#MM9_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM9_jia_ROSE/MM9_jia_peaks_2KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM9_jia.bam
#Using cutoff of 7059.6162 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM9_jia.bam	enhancerRank	isSuper
9_MACS_peak_28288_lociStitched	chr6	285927	359856	9	70134	82911.3735	1	1
6_MACS_peak_10826_lociStitched	chr14	106024753	106058312	6	31749	75390.2935	2	1
17_MACS_peak_1747_lociStitched	chr1	118147209	118230730	17	75605	71635.9617	3	1
7_MACS_peak_27749_lociStitched	chr5	139027171	139081392	7	47937	66870.7593	4	1
7_MACS_peak_10837_lociStitched	chr14	106144997	106179472	7	32189	66457.4575	5	1
6_MACS_peak_24076_lociStitched	chr3	141085242	141135065	6	45779	64495.8735	6	1
2_MACS_peak_5321_lociStitched	chr11	22676351	22705857	2	29483	59404.4298	7	1
9_MACS_peak_13575_lociStitched	chr17	16842298	16895872	9	49602	58743.891	8	1
3_MACS_peak_28440_lociStitched	chr6	7880212	7923057	3	42448	54254.6235	9	1
20_MACS_peak_10586_lociStitched	chr14	91811982	91869812	20	46648	52341.933	10	1
14_MACS_peak_5264_lociStitched	chr11	19439270	19501203	14	54549	51323.8771	11	1
13_MACS_peak_33297_lociStitched	chr8	81031307	81087765	13	47690	50484.7436	12	1
7_MACS_peak_21704_lociStitched	chr22	23261447	23298074	7	33218	49549.0056	13	1
8_MACS_peak_2780_lociStitched	chr1	203242241	203279890	8	32451	45201.3894	14	1
5_MACS_peak_6070_lociStitched	chr11	72837696	72874226	5	34316	45191.263	15	1
3_MACS_peak_5772_lociStitched	chr11	65180959	65200943	3	19406	44932.0256	16	1
7_MACS_peak_29509_lociStitched	chr6	90049301	90087250	7	34214	44540.7413	17	1
7_MACS_peak_6586_lociStitched	chr11	111216599	111254644	7	32352	43447.39	18	1
9_MACS_peak_3492_lociStitched	chr10	11557252	11606174	9	42175	41118.941	19	1
19_MACS_peak_33658_lociStitched	chr8	120910938	120969677	19	44695	40923.4613	20	1
2_MACS_peak_3669_lociStitched	chr10	22593995	22616785	2	22400	40686.987	21	1
3_MACS_peak_1992_lociStitched	chr1	150531807	150553268	3	21054	39494.6783	22	1
18_MACS_peak_2840_lociStitched	chr1	205242175	205291552	18	39390	38257.2996	23	1
8_MACS_peak_7038_lociStitched	chr12	9858080	9891153	8	30739	37385.7192	24	1
10_MACS_peak_18471_lociStitched	chr2	99066468	99110880	10	43036	36817.548	25	1
9_MACS_peak_28394_lociStitched	chr6	7127645	7165628	9	30098	35943.3129	26	1
20_MACS_peak_32625_lociStitched	chr8	19493887	19547063	20	42414	35707.684	27	1
13_MACS_peak_18381_lociStitched	chr2	88892189	88929172	13	31504	33898.6178	28	1
4_MACS_peak_21698_lociStitched	chr22	23222202	23249575	4	24916	33258.195	29	1
11_MACS_peak_13147_lociStitched	chr16	81837272	81877478	11	37146	33129.744	30	1
3_MACS_peak_6830_lociStitched	chr11	128581200	128611950	3	30569	32911.725	31	1
11_MACS_peak_32724_lociStitched	chr8	27216351	27257922	11	38828	32654.0205	32	1
1_MACS_peak_7110_lociStitched	chr12	12865457	12880301	1	14845	32561.7984	33	1
3_MACS_peak_25175_lociStitched	chr4	40185261	40211592	3	25250	32334.468	34	1
13_MACS_peak_4875_lociStitched	chr10	125813245	125855602	13	39929	32246.3841	35	1
3_MACS_peak_15683_lociStitched	chr19	2080587	2098878	3	17705	31947.0606	36	1
11_MACS_peak_14750_lociStitched	chr17	75429461	75471627	11	37567	31847.9798	37	1
5_MACS_peak_35342_lociStitched	chr9	134526017	134557674	5	30358	31846.942	38	1
5_MACS_peak_22391_lociStitched	chr22	50963352	50983932	5	17195	31516.212	39	1
8_MACS_peak_17408_lociStitched	chr2	33698950	33728497	8	25284	31180.9491	40	1
12_MACS_peak_3210_lociStitched	chr1	230252823	230291937	12	30731	31169.9466	41	1
4_MACS_peak_7231_lociStitched	chr12	26265791	26289034	4	19582	31034.0536	42	1
4_MACS_peak_5785_lociStitched	chr11	65258803	65278514	4	17941	30853.6283	43	1
18_MACS_peak_22757_lociStitched	chr3	31975277	32023660	18	41083	30418.3921	44	1
10_MACS_peak_1425_lociStitched	chr1	93394653	93430391	10	30928	30377.3	45	1
8_MACS_peak_14775_lociStitched	chr17	76700613	76738784	8	34060	29975.6863	46	1
8_MACS_peak_18049_lociStitched	chr2	64861239	64897088	8	32709	29776.1794	47	1
8_MACS_peak_30448_lociStitched	chr6	157969538	158009233	8	35694	29664.0735	48	1
5_MACS_peak_22495_lociStitched	chr3	13034385	13064835	5	27653	29295.945	49	1
8_MACS_peak_702_lociStitched	chr1	36614208	36644141	8	20718	28346.551	50	1
4_MACS_peak_11621_lociStitched	chr15	75064841	75093106	4	26465	27976.697	51	1
8_MACS_peak_22012_lociStitched	chr22	37612829	37645031	8	27005	27948.1158	52	1
5_MACS_peak_5794_lociStitched	chr11	65335545	65359505	5	20180	27640.256	53	1
14_MACS_peak_29247_lociStitched	chr6	52382386	52424674	14	36090	27402.624	54	1
12_MACS_peak_29105_lociStitched	chr6	41670434	41703456	12	28449	27213.4302	55	1
4_MACS_peak_19594_lociStitched	chr2	201979901	202000377	4	18269	27102.0336	56	1
7_MACS_peak_33752_lociStitched	chr8	125633978	125661027	7	22217	26732.5267	57	1
13_MACS_peak_15729_lociStitched	chr19	2607574	2641145	13	26574	26594.9462	58	1
6_MACS_peak_33794_lociStitched	chr8	126285083	126309907	6	21666	26462.384	59	1
7_MACS_peak_5100_lociStitched	chr11	7531209	7561107	7	26296	26399.934	60	1
3_MACS_peak_31930_lociStitched	chr7	114555675	114578840	3	22241	26104.6385	61	1
15_MACS_peak_15295_lociStitched	chr18	46440680	46480173	15	28417	25828.422	62	1
1_MACS_peak_18186_lociStitched	chr2	70310062	70317892	1	7831	25778.709	63	1
11_MACS_peak_14456_lociStitched	chr17	62150726	62188510	11	33050	25764.9096	64	1
9_MACS_peak_22589_lociStitched	chr3	16925274	16960452	9	29829	25708.0824	65	1
9_MACS_peak_15195_lociStitched	chr18	42286834	42317652	9	27976	25603.5944	66	1
8_MACS_peak_32228_lociStitched	chr7	137658936	137689799	8	27317	25554.564	67	1
6_MACS_peak_24367_lociStitched	chr3	171798205	171828778	6	28397	25268.5845	68	1
10_MACS_peak_4400_lociStitched	chr10	92949597	92984652	10	27680	25243.1055	69	1
6_MACS_peak_31300_lociStitched	chr7	55612172	55642472	6	28605	25130.82	70	1
6_MACS_peak_35354_lociStitched	chr9	134592077	134615505	6	22270	24756.3676	71	1
3_MACS_peak_27746_lociStitched	chr5	139008894	139022565	3	12443	24740.4087	72	1
10_MACS_peak_10932_lociStitched	chr15	31626273	31661005	10	28802	24725.7108	73	1
12_MACS_peak_26006_lociStitched	chr4	141651111	141683371	12	25010	24656.318	74	1
1_MACS_peak_17221_lociStitched	chr2	20403624	20426446	1	22823	24419.54	75	1
12_MACS_peak_15029_lociStitched	chr18	12854430	12886980	12	26952	24337.635	76	1
12_MACS_peak_31738_lociStitched	chr7	102061192	102088084	12	22514	24291.5436	77	1
9_MACS_peak_21817_lociStitched	chr22	29179661	29200350	9	18261	24220.6123	78	1
