#19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39_ROSE/19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X19_0EX5_0229Kronos_MM1S.KB.24hr.1_H3K27Ac_hs.dm_i39.bam
#Using cutoff of 31149.3378 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X19_0EX5_0229Kronos_MM1S.KB.24hr.1_H3K27Ac_hs.dm_i39.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	isSuperStretch
6_MACS_peak_17319_lociStitched	chr3	141079096	141160745	6	74219	695967.9111	17579.0297	1	1
11_MACS_peak_8825_lociStitched	chr16	11754714	11843335	11	74096	405485.3855	17006.3699	2	1
4_MACS_peak_21590_lociStitched	chr6	108878354	108961013	4	77459	231230.2866	13605.6714	3	1
7_MACS_peak_2032_lociStitched	chr1	203236278	203298424	7	40550	593724.2402	20644.9012	4	1
5_MACS_peak_12735_lociStitched	chr2	37514981	37588550	5	58674	415981.1967	15765.8367	5	1
5_MACS_peak_1237_lociStitched	chr1	118141907	118219403	5	61110	346980.5904	9415.764	6	1
8_MACS_peak_7487_lociStitched	chr14	91812915	91886114	8	61488	289040.8913	8198.288	7	1
10_MACS_peak_15688_lociStitched	chr22	23188609	23248961	10	47579	329383.1104	8539.808	8	1
3_MACS_peak_13347_lociStitched	chr2	99054612	99108430	3	49307	295848.3096	11899.1598	9	1
6_MACS_peak_10955_lociStitched	chr18	9095096	9157557	6	50859	220812.1272	12891.9504	10	1
3_MACS_peak_14780_lociStitched	chr20	30261713	30312440	3	46517	247243.398	11504.8836	11	1
3_MACS_peak_10023_lociStitched	chr17	32688367	32727274	3	33922	344167.4313	9800.6733	12	1
1_MACS_peak_20648_lociStitched	chr6	7879142	7919804	1	40663	249229.5966	9771.0786	13	1
5_MACS_peak_1513_lociStitched	chr1	154907896	154957929	5	36903	257354.7421	13969.2136	14	1
3_MACS_peak_18508_lociStitched	chr4	90204978	90246772	3	30835	306408.5316	9081.8362	15	1
5_MACS_peak_10066_lociStitched	chr17	34597614	34641732	5	37617	238184.2584	11236.8546	16	1
6_MACS_peak_9820_lociStitched	chr17	16847897	16895580	6	32954	262013.3167	9126.5262	17	1
5_MACS_peak_14822_lociStitched	chr20	32398778	32449174	5	37118	174864.0408	10089.2792	18	1
6_MACS_peak_21237_lociStitched	chr6	52392511	52443091	6	38711	140384.79	9933.912	19	1
3_MACS_peak_10533_lociStitched	chr17	62149775	62187297	3	37409	148744.7124	7767.054	20	1
5_MACS_peak_11173_lociStitched	chr18	46440275	46482995	5	37472	122691.84	8360.304	21	1
6_MACS_peak_20541_lociStitched	chr6	289975	337949	6	33358	203184.2822	15505.1968	22	1
3_MACS_peak_24338_lociStitched	chr8	120915106	120948957	3	32906	193323.061	6502.7771	23	1
2_MACS_peak_7629_lociStitched	chr14	106024472	106052942	2	26993	248861.964	5565.885	24	1
6_MACS_peak_20029_lociStitched	chr5	131789537	131837969	6	32056	181377.84	9894.6576	25	1
6_MACS_peak_20440_lociStitched	chr5	173309959	173357171	6	36520	81978.9168	7728.6044	26	1
7_MACS_peak_9328_lociStitched	chr16	68269996	68320800	7	33841	141616.15	9601.956	27	1
3_MACS_peak_10062_lociStitched	chr17	34509591	34540256	3	26524	234277.5335	8868.318	28	1
7_MACS_peak_17684_lociStitched	chr3	183220101	183261507	7	29769	191084.5494	11440.4778	29	1
4_MACS_peak_3612_lociStitched	chr10	125821729	125854974	4	30973	163409.1485	6353.1195	30	1
6_MACS_peak_9439_lociStitched	chr16	78763611	78805007	6	35268	43051.84	4387.976	31	1
5_MACS_peak_7750_lociStitched	chr15	31616728	31660660	5	32278	128619.7164	7855.0416	32	1
5_MACS_peak_2088_lociStitched	chr1	206271968	206311041	5	24384	221344.6377	10838.8502	33	1
5_MACS_peak_23010_lociStitched	chr7	102062846	102093328	5	25813	196861.9006	6044.5806	34	1
1_MACS_peak_2633_lociStitched	chr10	11202397	11224043	1	21647	231157.634	6398.5576	35	1
5_MACS_peak_18301_lociStitched	chr4	71515064	71555236	5	25897	188736.0904	8219.1912	36	1
5_MACS_peak_3529_lociStitched	chr10	112600035	112633392	5	23078	213631.5708	6688.0785	37	1
2_MACS_peak_3931_lociStitched	chr11	22676707	22704600	2	23887	201638.497	4973.3219	38	1
4_MACS_peak_7636_lociStitched	chr14	106143797	106173264	4	25282	185450.5645	3871.9638	39	1
3_MACS_peak_20026_lociStitched	chr5	131744619	131774527	3	24626	193764.9596	6690.4196	40	1
4_MACS_peak_6078_lociStitched	chr12	109009379	109036401	4	23015	207223.6114	6258.2952	41	1
1_MACS_peak_21558_lociStitched	chr6	106530224	106556246	1	26023	175453.335	6104.7612	42	1
3_MACS_peak_15915_lociStitched	chr22	37610885	37642475	3	28705	137536.542	6491.745	43	1
3_MACS_peak_8209_lociStitched	chr15	68568564	68599480	3	29422	120417.82	6418.1616	44	1
2_MACS_peak_4923_lociStitched	chr11	128584997	128618663	2	27875	146928.5238	7137.192	45	1
8_MACS_peak_12124_lociStitched	chr19	42022449	42070578	8	28703	134520.555	9688.3677	46	1
9_MACS_peak_21879_lociStitched	chr6	138246661	138297737	9	27808	144187.548	8601.1984	47	1
2_MACS_peak_15698_lociStitched	chr22	23269400	23286071	2	16188	238988.7876	4189.4223	48	1
4_MACS_peak_23427_lociStitched	chr7	150053119	150084950	4	25937	161367.2545	8387.4685	49	1
5_MACS_peak_16215_lociStitched	chr3	5222098	5256348	5	28819	108260.825	6514.35	50	1
4_MACS_peak_10951_lociStitched	chr18	9054643	9085266	4	19227	219695.5266	6372.6463	51	1
3_MACS_peak_15719_lociStitched	chr22	24176697	24200900	3	16574	228212.5073	4859.9624	52	1
1_MACS_peak_5564_lociStitched	chr12	53845207	53874844	1	29638	59697.8091	6594.2325	53	1
6_MACS_peak_23714_lociStitched	chr8	27208530	27253044	6	27916	108115.6032	8698.0356	54	1
2_MACS_peak_10151_lociStitched	chr17	38459047	38484344	2	21203	182722.7607	5284.5433	55	1
2_MACS_peak_17553_lociStitched	chr3	171801697	171827278	2	21646	180036.5199	7369.8861	56	1
3_MACS_peak_2638_lociStitched	chr10	11278933	11313242	3	26635	96600.4204	6583.8971	57	1
4_MACS_peak_3820_lociStitched	chr11	10314479	10345128	4	22172	163359.17	6687.6118	58	1
5_MACS_peak_14754_lociStitched	chr20	25261137	25303012	5	24423	133811.5625	6586.9375	59	1
1_MACS_peak_5549_lociStitched	chr12	53582467	53604464	1	21998	159339.6689	5371.6674	60	1
3_MACS_peak_22642_lociStitched	chr7	55616042	55643205	3	26896	77990.4056	5562.9824	61	1
3_MACS_peak_17261_lociStitched	chr3	133178967	133201183	3	18125	192601.612	5329.6184	62	1
1_MACS_peak_4274_lociStitched	chr11	65183305	65200047	1	16743	199889.4348	4726.2666	63	1
5_MACS_peak_8287_lociStitched	chr15	75063209	75093273	5	25205	107544.9408	5973.7168	64	1
