#11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_ROSE/11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam
#Using cutoff of 24861.666 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuperStretch
12_MACS_peak_19545_lociStitched	chr3	141079120	141159727	12	69922	385994.6802	17088.684	1	1
4_MACS_peak_14985_lociStitched	chr2	99054656	99132583	4	60806	373800.2336	17782.9414	2	1
5_MACS_peak_24402_lociStitched	chr6	108878216	108974516	5	88780	238698.81	16284.33	3	1
6_MACS_peak_1412_lociStitched	chr1	118141804	118219329	6	58908	276182.8125	10427.1125	4	1
5_MACS_peak_10001_lociStitched	chr16	11765828	11843263	5	69428	224042.6855	16129.7105	5	1
1_MACS_peak_23316_lociStitched	chr6	7877946	7919923	1	41978	319705.2274	11107.1142	6	1
5_MACS_peak_14306_lociStitched	chr2	37525831	37587954	5	52016	271483.7223	12697.9412	7	1
6_MACS_peak_8499_lociStitched	chr14	91812935	91885966	6	61723	223109.705	8639.5673	8	1
3_MACS_peak_16664_lociStitched	chr20	30261853	30312155	3	50043	203924.308	11307.8896	9	1
5_MACS_peak_1718_lociStitched	chr1	154907953	154957879	5	37210	250284.0306	15012.7482	10	1
4_MACS_peak_2337_lociStitched	chr1	203254914	203298088	4	30782	254627.2998	13863.1714	11	1
