REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X18_0EX4_0229Kronos_MM1S.KB.6hr.2_H3K27Ac_hs.dm_i37.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
9_MACS_peak_19173_lociStitched	chr3	141079038	141151152	9	63578	508778.6928	14718.4674	1	ZBTB38		ZBTB38	1	1
2_MACS_peak_22811_lociStitched	chr6	7878308	7919710	2	41269	301791.5986	8893.1496	2	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	2	1
9_MACS_peak_9761_lociStitched	chr16	11761577	11843304	9	71329	293032.1585	14261.3615	3	SNN,TXNDC11	ZC3H7A	TXNDC11	3	1
3_MACS_peak_8438_lociStitched	chr14	106023315	106053032	3	28749	257105.5406	5057.8334	4		TMEM121	TMEM121	4	1
5_MACS_peak_14095_lociStitched	chr2	37525695	37588322	5	53288	238803.0137	10909.6234	5	QPCT,PRKD3		PRKD3	5	1
5_MACS_peak_22698_lociStitched	chr6	289887	337909	5	34800	239202.3842	14901.2266	6	DUSP22		DUSP22	6	1
4_MACS_peak_14763_lociStitched	chr2	99054617	99108382	4	48748	227952.847	10166.9615	7	INPP4A		INPP4A	7	1
2_MACS_peak_17395_lociStitched	chr22	23268241	23286275	2	17612	217156.411	4017.9752	8		IGLL5	IGLL5	8	1
6_MACS_peak_8288_lociStitched	chr14	91812818	91886084	6	60479	218677.0302	7018.8828	9	CCDC88C		CCDC88C	9	1
2_MACS_peak_2280_lociStitched	chr1	203254912	203281721	2	21730	212110.1271	7782.6527	10	BTG2,LOC730227	FMOD	LOC730227	10	1
1_MACS_peak_20466_lociStitched	chr4	90204992	90230223	1	25232	205246.6157	5689.5905	11	GPRIN3		GPRIN3	11	1
4_MACS_peak_16392_lociStitched	chr20	30261605	30312299	4	48378	205543.8924	10062.759	12	BCL2L1	COX4I2,TPX2	BCL2L1	12	1
4_MACS_peak_4773_lociStitched	chr11	65182804	65213539	4	24589	200011.086	6377.5125	13	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	13	1
4_MACS_peak_17391_lociStitched	chr22	23217752	23247844	4	25982	195402.402	4956.1524	14	IGLL5		IGLL5	14	1
4_MACS_peak_25435_lociStitched	chr7	102063267	102093283	4	24300	188419.4368	5255.8016	15	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	15	1
4_MACS_peak_8445_lociStitched	chr14	106143800	106173249	4	25570	184707.0729	3460.2575	16			TMEM121	16	1
5_MACS_peak_6732_lociStitched	chr12	109009416	109036336	5	22635	178180.788	5297.856	17	SELPLG	TMEM119	SELPLG	17	1
1_MACS_peak_2938_lociStitched	chr10	11202471	11224031	1	21561	175785.148	5066.6	18	CELF2		CELF2	18	1
1_MACS_peak_2282_lociStitched	chr1	203288020	203298302	1	10283	173693.826	3914.3574	19		BTG2,LOC730227,FMOD	BTG2	19	1
6_MACS_peak_23877_lociStitched	chr6	108878208	108960677	6	75837	181646.2194	12807.4357	20	FOXO3		FOXO3	20	1
1_MACS_peak_5753_lociStitched	chr12	12866081	12882150	1	16070	169344.7634	3298.9657	21	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	21	1
6_MACS_peak_11108_lociStitched	chr17	32688326	32719779	6	26296	171462.8842	6394.3949	22	CCL1	CCL8,CCL13	CCL1	22	1
2_MACS_peak_1586_lociStitched	chr1	150532184	150553314	2	19316	167089.701	6601.012	23	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	23	1
6_MACS_peak_16436_lociStitched	chr20	32398649	32452401	6	38910	167845.9952	9976.3712	24	CHMP4B		CHMP4B	24	1
2_MACS_peak_1685_lociStitched	chr1	154907924	154936101	2	25371	165210.2041	7785.3051	25	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	25	1
2_MACS_peak_12701_lociStitched	chr19	2081452	2098521	2	15722	158478.8374	5279.4417	26	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	26	1
1_MACS_peak_23842_lociStitched	chr6	106530359	106556378	1	26020	154984.7754	5214.2076	27	PRDM1		PRDM1	27	1
2_MACS_peak_25906_lociStitched	chr7	150062629	150084816	2	21725	155413.2789	6163.5486	28	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	28	1
1_MACS_peak_6160_lociStitched	chr12	53582235	53604155	1	21921	153641.664	4574.704	29	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	29	1
