GENE_ID	locusLine	bin_1_H929_jia.bam
1_MACS_peak_1_lociStitched	chr1(.):13208-13872	0.3764
1_MACS_peak_2_lociStitched	chr1(.):28138-30178	3.0154
1_MACS_peak_3_lociStitched	chr1(.):236019-236974	0.3708
1_MACS_peak_4_lociStitched	chr1(.):713145-715885	1.8767
1_MACS_peak_5_lociStitched	chr1(.):761733-763882	1.6314
1_MACS_peak_6_lociStitched	chr1(.):839268-840741	0.7207
3_MACS_peak_7_lociStitched	chr1(.):875147-880661	0.423
2_MACS_peak_10_lociStitched	chr1(.):893595-903109	0.621
1_MACS_peak_12_lociStitched	chr1(.):935493-937900	0.6292
2_MACS_peak_13_lociStitched	chr1(.):947975-956193	0.5674
1_MACS_peak_15_lociStitched	chr1(.):967991-969239	0.3884
1_MACS_peak_16_lociStitched	chr1(.):975467-976316	0.449
1_MACS_peak_17_lociStitched	chr1(.):994340-995296	0.638
1_MACS_peak_18_lociStitched	chr1(.):1004043-1005005	0.7757
1_MACS_peak_19_lociStitched	chr1(.):1014644-1015494	0.3835
1_MACS_peak_20_lociStitched	chr1(.):1050639-1052117	0.7973
1_MACS_peak_21_lociStitched	chr1(.):1092581-1094318	1.9817
1_MACS_peak_22_lociStitched	chr1(.):1136102-1137299	0.5605
2_MACS_peak_23_lociStitched	chr1(.):1165845-1168192	1.6717
1_MACS_peak_25_lociStitched	chr1(.):1185157-1185921	0.4245
1_MACS_peak_26_lociStitched	chr1(.):1207794-1210316	1.5712
1_MACS_peak_27_lociStitched	chr1(.):1240574-1245332	1.4332
2_MACS_peak_28_lociStitched	chr1(.):1259241-1267310	0.7604
1_MACS_peak_30_lociStitched	chr1(.):1282546-1286933	1.6146
2_MACS_peak_31_lociStitched	chr1(.):1306184-1311655	1.1356
2_MACS_peak_33_lociStitched	chr1(.):1333401-1343764	0.8852
1_MACS_peak_35_lociStitched	chr1(.):1396875-1398810	0.776
2_MACS_peak_36_lociStitched	chr1(.):1406093-1411685	0.5703
2_MACS_peak_38_lociStitched	chr1(.):1439875-1450708	0.8093
1_MACS_peak_40_lociStitched	chr1(.):1509175-1511205	2.0359
2_MACS_peak_41_lociStitched	chr1(.):1534689-1538944	0.6763
1_MACS_peak_43_lociStitched	chr1(.):1549359-1552299	1.8065
1_MACS_peak_44_lociStitched	chr1(.):1565616-1566526	0.582
1_MACS_peak_45_lociStitched	chr1(.):1589647-1591599	1.3341
2_MACS_peak_46_lociStitched	chr1(.):1606410-1611055	0.7746
1_MACS_peak_48_lociStitched	chr1(.):1622551-1625581	3.5417
1_MACS_peak_49_lociStitched	chr1(.):1654946-1656815	1.294
2_MACS_peak_50_lociStitched	chr1(.):1669108-1679015	0.9158
1_MACS_peak_52_lociStitched	chr1(.):1708184-1713498	3.4344
2_MACS_peak_53_lociStitched	chr1(.):1820557-1829215	1.4013
1_MACS_peak_55_lociStitched	chr1(.):1837154-1842672	3.837
1_MACS_peak_56_lociStitched	chr1(.):1849853-1851707	0.609
1_MACS_peak_57_lociStitched	chr1(.):1980994-1982486	0.4695
1_MACS_peak_58_lociStitched	chr1(.):2064098-2064740	0.3261
2_MACS_peak_59_lociStitched	chr1(.):2120419-2127488	0.9532
2_MACS_peak_61_lociStitched	chr1(.):2135808-2137450	0.4036
1_MACS_peak_63_lociStitched	chr1(.):2158143-2163434	1.5777
1_MACS_peak_64_lociStitched	chr1(.):2186635-2187947	0.3866
1_MACS_peak_65_lociStitched	chr1(.):2220817-2223692	1.964
1_MACS_peak_66_lociStitched	chr1(.):2230591-2233747	2.4853
1_MACS_peak_67_lociStitched	chr1(.):2245977-2246997	1.271
1_MACS_peak_68_lociStitched	chr1(.):2322064-2324613	1.4539
2_MACS_peak_69_lociStitched	chr1(.):2343040-2346627	2.0914
1_MACS_peak_71_lociStitched	chr1(.):2370080-2372847	1.0689
2_MACS_peak_72_lociStitched	chr1(.):2394024-2399452	0.4976
1_MACS_peak_74_lociStitched	chr1(.):2411393-2413089	0.8959
1_MACS_peak_75_lociStitched	chr1(.):2453936-2459228	3.6848
3_MACS_peak_76_lociStitched	chr1(.):2470749-2489202	1.986
1_MACS_peak_79_lociStitched	chr1(.):2516019-2519242	2.2597
1_MACS_peak_80_lociStitched	chr1(.):2564709-2565192	0.3399
1_MACS_peak_81_lociStitched	chr1(.):2573294-2574952	2.0272
1_MACS_peak_82_lociStitched	chr1(.):2986084-2987174	0.4367
1_MACS_peak_83_lociStitched	chr1(.):3086703-3088137	0.695
1_MACS_peak_84_lociStitched	chr1(.):3109106-3110183	0.3937
1_MACS_peak_85_lociStitched	chr1(.):3447142-3448055	0.4729
2_MACS_peak_86_lociStitched	chr1(.):3540654-3542491	0.7285
1_MACS_peak_88_lociStitched	chr1(.):3565805-3566816	0.7934
1_MACS_peak_89_lociStitched	chr1(.):3589635-3590180	0.4107
1_MACS_peak_90_lociStitched	chr1(.):3688412-3690017	0.7345
1_MACS_peak_91_lociStitched	chr1(.):3711800-3713697	0.7306
