GENE_ID	locusLine	bin_1_KMS12_jia.bam
NM_032236	chr1(.):21999791-22114688	0.2546
NM_007051	chr1(.):50901934-51430936	0.0484
NM_021642	chr1(.):161470204-161494360	0.1394
NM_145214	chr1(.):228576376-228599517	0.2871
NM_015001	chr1(.):16169358-16271950	0.3578
NM_001013693	chr1(.):22133757-22156714	0.1358
NM_207168	chr1(.):150594521-150607098	0.5978
NM_020699	chr1(.):153772202-153900451	0.3656
NM_020524	chr1(.):154911558-154933567	0.6276
NM_181359	chr1(.):154372668-154445188	0.5636
NM_005973	chr1(.):156732273-156775609	0.3078
NM_005531	chr1(.):158974681-159029945	0.4148
NM_007348	chr1(.):161731083-161933852	0.1522
NM_006182	chr1(.):162597227-162755247	0.201
NM_014412	chr1(.):174963891-174986163	0.89
NM_001007214	chr1(.):174963570-174986163	0.8792
NM_182663	chr1(.):206675878-206767616	0.3263
NR_033883	chr1(.):244075703-244215619	0.1641
NM_001089591	chr1(.):16128656-16139194	0.0846
NR_024279	chr1(.):16155709-16179642	2.0552
NM_014675	chr1(.):17243444-17304474	0.11
NM_001032730	chr1(.):22049338-22114688	0.3699
NM_015484	chr1(.):25543766-25564013	0.4994
NM_001127691	chr1(.):25593980-25661936	0.0807
NM_020317	chr1(.):25563739-25578985	0.9384
NR_026685	chr1(.):26432655-26457026	0.8366
NM_152835	chr1(.):26433267-26457026	0.8571
NM_032588	chr1(.):26372797-26399121	0.0402
NR_023345	chr1(.):26498981-26521375	0.0388
NM_024869	chr1(.):26480510-26494119	0.0455
NM_015871	chr1(.):26491387-26502364	0.1011
NM_006314	chr1(.):26498980-26521375	0.0388
NM_006015	chr1(.):27017521-27113601	0.3789
NM_014280	chr1(.):28521789-28564542	0.1649
NM_016311	chr1(.):28557610-28569611	0.387
NM_001164721	chr1(.):28468676-28525447	0.0607
NM_001164722	chr1(.):28468676-28525437	0.0607
NM_031459	chr1(.):28581005-28614002	0.2164
NM_006004	chr1(.):46764379-46787447	0.6285
NM_006369	chr1(.):46739071-46774038	0.4042
NM_199044	chr1(.):46801389-46835690	0.1404
NM_001262	chr1(.):51429366-51445306	1.4306
NM_078626	chr1(.):51430641-51445309	1.5507
NM_002959	chr1(.):109847191-109945563	0.3641
NM_002790	chr1(.):109939471-109974037	0.3196
NM_004974	chr1(.):111140775-111153345	0.0705
NM_002232	chr1(.):111209309-111222655	1.2271
NM_017709	chr1(.):118143603-118176011	0.968
NM_001161334	chr1(.):149749244-149788928	0.3452
NM_001034077	chr1(.):149799220-149809616	1.6618
NM_001005464	chr1(.):149807258-149817765	3.3197
NM_001040874	chr1(.):149808784-149819318	3.5663
NM_001123375	chr1(.):149779779-149790236	0.9695
NM_000566	chr1(.):149749249-149769074	0.1397
NM_016074	chr1(.):149866154-149877348	0.1001
NM_003528	chr1(.):149851009-149863232	1.9121
NM_003517	chr1(.):149853524-149863961	2.205
NM_175065	chr1(.):149854018-149864466	2.198
NR_036461	chr1(.):149816758-149827340	3.7549
NM_001040874	chr1(.):149817627-149828161	3.6081
NM_001005464	chr1(.):149819180-149829687	3.3596
NM_001034077	chr1(.):149827329-149837725	1.6906
NM_019032	chr1(.):150516897-150538412	1.2644
NM_207046	chr1(.):150589598-150606609	0.4805
NR_036211	chr1(.):150519404-150529490	0.1063
NM_001197320	chr1(.):150542026-150557214	1.0226
NM_005620	chr1(.):151999981-152014511	1.5521
NM_002966	chr1(.):151950385-151971714	0.3741
NM_001008536	chr1(.):152051619-152066540	0.0718
NM_014437	chr1(.):153926587-153945188	1.4663
NM_130898	chr1(.):153935396-153951832	1.7154
NM_181715	chr1(.):153915151-153936043	0.9517
NM_006694	chr1(.):153941744-153955451	0.6854
NM_002870	chr1(.):153949127-153963806	0.9242
NM_014856	chr1(.):153896976-153924154	0.415
NM_001030	chr1(.):153958238-153969631	0.5906
NM_006556	chr1(.):154892207-154914484	0.6684
NM_001130041	chr1(.):154929773-154951959	1.5006
NM_001130040	chr1(.):154929773-154948223	1.5528
NM_201398	chr1(.):154950769-154970587	0.3983
NM_015872	chr1(.):154970111-154995999	1.6183
NM_207196	chr1(.):155018761-155040252	0.4865
NM_001184892	chr1(.):154950769-154966488	0.4419
NM_018655	chr1(.):154961061-154971791	0.3391
NM_001143687	chr1(.):155001281-155028406	0.2675
NR_024163	chr1(.):154942117-154956725	1.8016
NM_144622	chr1(.):154986002-155011257	0.237
NM_138300	chr1(.):154924501-154939258	0.9639
NR_036212	chr1(.):154943168-154953259	1.9555
NM_005920	chr1(.):156428518-156475529	1.4397
NM_004494	chr1(.):156706898-156726543	1.3118
NM_001126051	chr1(.):156706898-156727024	1.2826
NM_001126050	chr1(.):156706898-156727240	1.2694
NM_030980	chr1(.):156687412-156702705	0.5881
NM_001878	chr1(.):156664407-156680375	0.1707
NM_001142560	chr1(.):156693262-156711752	0.7678
NM_145729	chr1(.):156702093-156715923	0.4768
NM_001039711	chr1(.):161085768-161107478	0.4935
NM_016406	chr1(.):161118533-161133646	0.7727
NM_004550	chr1(.):161164104-161189184	0.2905
NM_000309	chr1(.):161131180-161146010	0.5928
NM_001643	chr1(.):161187082-161198418	0.3504
NM_003779	chr1(.):161136100-161152314	1.2401
NM_012475	chr1(.):161124253-161140516	0.5581
NM_001039712	chr1(.):161085768-161107256	0.4978
NM_032174	chr1(.):161190832-161205407	0.2667
NM_001166159	chr1(.):161166936-161189184	0.3082
NM_005099	chr1(.):161154537-161173845	0.6998
NM_004106	chr1(.):161180086-161194038	0.1511
NM_004001	chr1(.):161627904-161653444	0.395
NM_001184872	chr1(.):161671761-161689142	0.4255
NM_001002901	chr1(.):161687456-161702933	1.133
NR_002595	chr1(.):161648494-161660042	0.0971
NM_007240	chr1(.):161714580-161731952	0.3375
NM_003115	chr1(.):162526295-162574633	0.5976
NM_022100	chr1(.):174977093-174997591	0.2691
NM_017596	chr1(.):200933519-200997828	0.3642
NR_034150	chr1(.):203262885-203279453	0.9263
NM_006763	chr1(.):203269663-203283729	0.7843
NM_002023	chr1(.):203304751-203325289	0.0719
NM_001123168	chr1(.):206133910-206160074	0.5771
NM_001007544	chr1(.):206233871-206293647	0.6955
NM_148964	chr1(.):206312458-206337104	0.0748
NM_006893	chr1(.):206759973-206790904	0.1243
NM_182665	chr1(.):206725491-206767616	0.6076
NM_003493	chr1(.):228607545-228618026	0.0545
NM_033445	chr1(.):228640064-228650560	1.5285
NM_016102	chr1(.):228590635-228609583	0.33
NM_001010858	chr1(.):228670067-228688889	1.465
NM_175055	chr1(.):228640807-228651259	1.721
NM_182972	chr1(.):234735014-234750271	3.5778
NR_033927	chr1(.):234760056-234775526	0.0768
NM_006352	chr1(.):244211581-244225778	0.9125
NM_205768	chr1(.):244209560-244225778	1.0948
NR_015395	chr2(.):112119590-112257692	0.3737
NR_024373	chr2(.):112181885-112257692	0.6371
NM_145693	chr2(.):11881739-11972533	0.3135
NM_170672	chr2(.):33656415-33794798	0.1991
NM_012249	chr2(.):46764866-46816827	0.6509
NM_001190274	chr2(.):48029058-48137932	0.2811
NM_025133	chr2(.):48029058-48120858	0.0839
NM_178313	chr2(.):54780530-54894445	0.4282
NM_003128	chr2(.):54678453-54903583	0.2775
NM_022893	chr2(.):60679328-60785633	0.3272
NM_018014	chr2(.):60673301-60785633	0.3148
NM_014755	chr2(.):64853754-64886046	0.7313
NR_036586	chr2(.):65123973-65164581	0.5761
NR_027749	chr2(.):74705199-74726691	0.3954
NM_001080824	chr2(.):85043795-85113252	0.3153
NR_024204	chr2(.):87749973-87826030	0.8331
NM_006164	chr2(.):178090032-178134859	0.3337
NM_001145413	chr2(.):178090032-178133617	0.3411
NM_003879	chr2(.):201975889-202034003	0.6624
NM_001127184	chr2(.):201975815-202011323	1.0059
NM_173822	chr2(.):201833440-201941392	0.1018
NM_001167608	chr2(.):227695670-227868923	0.3688
NM_015376	chr2(.):33733941-33794798	0.0455
NM_001139488	chr2(.):33696320-33794798	0.2598
NM_006887	chr2(.):43444540-43458745	5.6465
NR_027251	chr2(.):43449349-43460994	4.1263
NM_080653	chr2(.):46733985-46752096	0.0662
NM_173074	chr2(.):46803412-46849251	0.2387
NM_014171	chr2(.):46839324-46857881	0.3792
NR_002229	chr2(.):54751358-54761978	0.1428
NR_034023	chr2(.):64829445-64848616	0.0864
NM_001193493	chr2(.):65210578-65256000	0.332
NM_003038	chr2(.):65211494-65256000	0.3376
NM_053050	chr2(.):74694108-74704927	0.6679
NM_032779	chr2(.):74694958-74715357	0.7007
NM_001146158	chr2(.):74683183-74697537	0.9997
NM_001015056	chr2(.):74647987-74672710	0.208
NM_012477	chr2(.):74680576-74693010	1.1839
NM_001145054	chr2(.):74636302-74649844	0.392
NM_001015055	chr2(.):74647987-74674060	0.2024
NM_031288	chr2(.):74677198-74690087	0.8827
