BAM	GENE_ID	NAME	LOCUSLINE	COLOR1	COLOR2	COLOR3	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9	bin_10	bin_11	bin_12	bin_13	bin_14	bin_15	bin_16	bin_17	bin_18	bin_19	bin_20	bin_21	bin_22	bin_23	bin_24	bin_25	bin_26	bin_27	bin_28	bin_29	bin_30	bin_31	bin_32	bin_33	bin_34	bin_35	bin_36	bin_37	bin_38	bin_39	bin_40	bin_41	bin_42	bin_43	bin_44	bin_45	bin_46	bin_47	bin_48	bin_49	bin_50	bin_51	bin_52	bin_53	bin_54	bin_55	bin_56	bin_57	bin_58	bin_59	bin_60	bin_61	bin_62	bin_63	bin_64	bin_65	bin_66	bin_67	bin_68	bin_69	bin_70	bin_71	bin_72	bin_73	bin_74	bin_75	bin_76	bin_77	bin_78	bin_79	bin_80	bin_81	bin_82	bin_83	bin_84	bin_85	bin_86	bin_87	bin_88	bin_89	bin_90	bin_91	bin_92	bin_93	bin_94	bin_95	bin_96	bin_97	bin_98	bin_99	bin_100	bin_101	bin_102	bin_103	bin_104	bin_105	bin_106	bin_107	bin_108	bin_109	bin_110	bin_111	bin_112	bin_113	bin_114	bin_115	bin_116	bin_117	bin_118	bin_119	bin_120	bin_121	bin_122	bin_123	bin_124	bin_125	bin_126	bin_127	bin_128	bin_129	bin_130	bin_131	bin_132	bin_133	bin_134	bin_135	bin_136	bin_137	bin_138	bin_139	bin_140	bin_141	bin_142	bin_143	bin_144	bin_145	bin_146	bin_147	bin_148	bin_149	bin_150	bin_151	bin_152	bin_153	bin_154	bin_155	bin_156	bin_157	bin_158	bin_159	bin_160	bin_161	bin_162	bin_163	bin_164	bin_165	bin_166	bin_167	bin_168	bin_169	bin_170	bin_171	bin_172	bin_173	bin_174	bin_175	bin_176	bin_177	bin_178	bin_179	bin_180	bin_181	bin_182	bin_183	bin_184	bin_185	bin_186	bin_187	bin_188	bin_189	bin_190	bin_191	bin_192	bin_193	bin_194	bin_195	bin_196	bin_197	bin_198	bin_199	bin_200
11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20.bam		H3K27Ac_0	chr6(+):261715-458764	220	220	220	0.2199	0.2688	0.2052	0.2135	0.2299	0.2135	0.2391	0.3209	0.4531	0.4484	0.5409	0.5965	0.51	0.396	0.3526	0.3464	0.3018	0.3424	0.2928	0.2441	0.2605	0.2538	0.3047	0.3621	0.3859	0.4629	0.5205	1.0107	5.956	19.5198	34.9736	38.0086	31.2068	18.2494	7.1325	6.3599	7.7797	6.1534	3.5989	2.0867	0.6824	1.0478	6.6582	16.9171	22.2032	20.501	13.1793	2.9839	0.6187	0.7213	1.7836	2.4074	2.8292	5.5814	10.161	13.0528	16.3579	24.7599	30.4615	33.8266	41.0908	43.6637	38.539	30.1369	16.4148	12.4565	19.0072	21.8743	19.9757	10.4803	2.8189	0.7818	0.5441	0.4098	1.3325	2.2224	2.6129	2.1397	1.1694	0.4973	0.5005	0.4563	0.4648	0.5351	0.5043	0.4481	0.4173	0.4569	0.5051	0.4637	0.4116	0.4336	0.5327	0.5354	0.4386	0.5007	0.5983	0.5518	0.4357	0.3754	0.3782	0.4601	0.4862	0.3219	0.2558	0.3132	0.2894	0.1816	0.1643	0.3804	0.7368	0.8177	0.7108	0.5798	0.3359	0.3369	0.3224	0.2426	0.2211	0.3029	0.888	1.1212	1.0261	0.7687	0.3354	0.2125	0.1918	0.2055	1.6404	3.5076	6.7483	10.9597	13.6613	14.0619	12.696	12.4156	12.5473	12.0173	11.0639	8.457	5.6624	3.4489	1.8096	1.1753	1.0568	1.0427	0.7405	0.7549	0.8622	0.7459	0.696	0.6942	0.7103	0.7849	0.815	0.6012	0.525	0.4365	0.2285	0.1626	0.1576	0.1181	0.1133	0.1065	0.135	0.1274	0.1263	0.1498	0.1732	0.2383	0.1894	0.126	0.1322	0.4404	1.517	1.8024	1.8826	1.651	0.361	0.1644	0.136	0.1824	0.1714	0.099	0.0772	0.0661	0.1151	0.1873	0.16	0.0774	0.0857	0.1047	0.1416	0.1479	0.1133	0.1336	0.1857	0.2527	0.2188	0.0943
12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21.bam		H3K27Ac_0	chr6(+):261715-458764	240	240	240	0.3055	0.3819	0.4125	0.4096	0.3673	0.2445	0.2917	0.3893	0.5037	0.5914	0.5738	0.6174	0.5806	0.4672	0.3565	0.3104	0.3543	0.4093	0.3845	0.4112	0.4397	0.3885	0.4195	0.4796	0.4653	0.4701	0.5647	1.2115	5.1956	16.2558	29.6437	33.1566	28.2818	17.1509	6.4888	4.9602	5.9406	5.0125	3.4457	2.3054	0.9775	1.2576	6.2295	15.2177	19.4433	17.3791	11.0752	2.7605	0.8151	0.8065	1.5815	2.0899	2.4921	4.6337	8.6824	11.9699	15.4077	22.0219	26.3522	30.1772	36.4231	37.4966	32.2903	25.4038	14.2161	11.5364	17.5903	20.3426	18.0146	9.3113	2.887	0.9519	0.6583	0.576	1.4414	2.2935	2.533	2.076	1.1513	0.5212	0.4745	0.5122	0.5144	0.4169	0.4758	0.5157	0.5291	0.5692	0.5268	0.4897	0.5335	0.504	0.4741	0.4641	0.3685	0.3313	0.4454	0.5237	0.5142	0.4901	0.4077	0.3324	0.3171	0.3147	0.3018	0.3253	0.3385	0.3675	0.3379	0.4126	0.6084	0.666	0.7034	0.5488	0.2718	0.2961	0.284	0.3225	0.3452	0.3785	0.6776	0.714	0.7745	0.7194	0.4153	0.2763	0.1538	0.2058	1.8056	3.7678	6.5412	9.0945	10.6493	11.1232	10.6697	10.2482	9.8372	9.9046	9.5731	7.5388	5.2572	3.3867	1.8533	1.3653	1.1351	0.9032	0.7589	0.8369	0.8371	0.9072	0.9554	0.936	0.8668	0.7022	0.5735	0.5896	0.6446	0.532	0.3403	0.2201	0.1437	0.0939	0.1676	0.211	0.2061	0.1955	0.2159	0.2281	0.1992	0.2107	0.2266	0.2025	0.1575	0.3593	1.3677	1.6876	1.7686	1.4855	0.3494	0.1999	0.1837	0.1904	0.2387	0.2012	0.1268	0.1165	0.2009	0.1936	0.121	0.1835	0.1509	0.0633	0.0576	0.0761	0.1163	0.1257	0.1336	0.1428	0.1002	0.0668
13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22.bam		H3K27Ac_1	chr6(+):261715-458764	90	90	90	0.0734	0.1002	0.1231	0.0978	0.1012	0.1038	0.0994	0.1272	0.1326	0.1364	0.1933	0.218	0.1459	0.1284	0.1403	0.1242	0.1369	0.1732	0.1926	0.1777	0.1085	0.0853	0.162	0.2283	0.184	0.1396	0.1293	0.2463	1.639	5.5822	10.0305	10.857	8.8597	4.7529	1.3958	1.1272	1.3903	1.1603	0.7405	0.4367	0.2196	0.2898	1.2215	3.0501	3.977	3.5599	2.3086	0.5528	0.2004	0.2008	0.3308	0.457	0.6128	1.1407	2.1403	2.7813	3.5435	5.4467	6.6271	7.4559	9.0491	9.9224	9.2302	7.3069	3.9731	2.9919	5.1262	6.1857	5.7199	3.178	0.9655	0.2221	0.1769	0.159	0.3373	0.5303	0.6953	0.5876	0.3488	0.2202	0.1847	0.1659	0.1494	0.1375	0.1589	0.1612	0.1845	0.1584	0.1636	0.1606	0.182	0.2457	0.2337	0.194	0.162	0.1696	0.1951	0.1788	0.1533	0.1362	0.1077	0.0911	0.1015	0.1234	0.1241	0.1453	0.1733	0.1478	0.1085	0.1517	0.2899	0.3577	0.3454	0.2671	0.1526	0.141	0.1279	0.1285	0.155	0.1521	0.218	0.2168	0.1256	0.084	0.0839	0.1081	0.088	0.1005	0.4003	0.7279	1.4353	2.4889	3.3344	3.2985	2.8996	2.5552	2.2552	2.1689	1.8977	1.5621	1.3198	0.8775	0.5542	0.3738	0.3319	0.2914	0.2233	0.2462	0.2094	0.188	0.2169	0.2363	0.2569	0.2179	0.2228	0.1964	0.1355	0.1033	0.0864	0.0556	0.0379	0.0515	0.0616	0.0728	0.0802	0.0716	0.0652	0.0542	0.071	0.0882	0.0774	0.0544	0.0466	0.1006	0.2951	0.3429	0.3578	0.2918	0.0631	0.0464	0.0466	0.0481	0.0444	0.0426	0.0548	0.0582	0.0435	0.0241	0.0319	0.0475	0.0632	0.0679	0.0755	0.0775	0.0609	0.0607	0.0678	0.0799	0.0734	0.0533
14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23.bam		H3K27Ac_1	chr6(+):261715-458764	65	65	65	0.1123	0.151	0.1607	0.1474	0.1205	0.1169	0.1272	0.1181	0.1604	0.2013	0.185	0.1522	0.1371	0.1445	0.1331	0.1014	0.1154	0.1355	0.1363	0.1732	0.1711	0.1285	0.1063	0.1047	0.1588	0.1903	0.1796	0.2635	1.4453	4.9502	9.0625	10.2523	8.7065	4.8913	1.5936	1.1968	1.3787	1.1129	0.7463	0.4813	0.226	0.2947	1.1895	3.0667	4.0439	3.6375	2.381	0.5933	0.1944	0.1705	0.2992	0.4154	0.596	1.2041	2.3449	2.9969	3.5442	5.3928	6.6023	7.504	9.1299	9.5365	8.6074	6.786	3.5748	2.7632	5.3155	6.6215	6.1874	3.5246	1.0475	0.2543	0.1463	0.1291	0.4186	0.6427	0.7514	0.6115	0.3285	0.1806	0.2132	0.2285	0.1982	0.2099	0.1828	0.1607	0.1734	0.1772	0.192	0.188	0.1937	0.185	0.2319	0.2565	0.1934	0.1731	0.2164	0.238	0.2313	0.2148	0.1926	0.1744	0.1599	0.1365	0.0991	0.0952	0.1053	0.1537	0.1681	0.2479	0.3836	0.404	0.3045	0.2016	0.1336	0.1422	0.1113	0.0984	0.0895	0.1073	0.1982	0.2055	0.1756	0.1568	0.0904	0.0616	0.0607	0.0789	0.4329	0.8199	1.6339	2.6442	3.2176	3.2447	3.0399	2.8648	2.4951	2.2021	1.8797	1.4145	1.1253	0.7469	0.5102	0.427	0.4013	0.3043	0.1704	0.1576	0.1731	0.1978	0.2048	0.2092	0.2116	0.1644	0.1727	0.1928	0.1468	0.1145	0.107	0.0774	0.045	0.0592	0.0795	0.0641	0.0654	0.0485	0.0275	0.0532	0.079	0.0879	0.0849	0.0786	0.078	0.1136	0.3746	0.4361	0.3446	0.2666	0.0501	0.05	0.0627	0.0843	0.0941	0.0691	0.0544	0.0505	0.0651	0.0845	0.0817	0.0751	0.0647	0.0581	0.0447	0.0392	0.0608	0.0612	0.0573	0.0597	0.041	0.0419
15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25.bam		H3K27Ac_3	chr6(+):261715-458764	90	90	90	0.0955	0.1024	0.1293	0.1588	0.1474	0.106	0.0977	0.116	0.2029	0.2629	0.2361	0.226	0.1914	0.1662	0.1389	0.1221	0.1138	0.1032	0.0862	0.0813	0.0661	0.0682	0.1029	0.106	0.093	0.0994	0.1343	0.3755	2.6988	9.1193	16.6372	18.6726	15.5467	8.452	2.4779	1.7576	2.167	1.8695	1.1959	0.7173	0.2481	0.326	1.4184	3.6155	4.5045	3.7521	2.3925	0.5305	0.156	0.2236	0.5454	0.8079	0.9516	1.7484	3.458	4.4166	5.5913	8.8483	10.7052	12.0621	14.8651	15.8904	14.128	11.016	6.0664	5.0709	8.9285	10.8335	9.7982	5.2132	1.4002	0.248	0.1538	0.1832	0.5355	0.7853	0.8718	0.7081	0.3765	0.1554	0.1513	0.1349	0.1175	0.1482	0.1831	0.1867	0.1913	0.2055	0.1662	0.1338	0.172	0.1835	0.1371	0.2013	0.2114	0.1895	0.177	0.139	0.1371	0.1283	0.1141	0.113	0.1272	0.151	0.1496	0.125	0.1082	0.0983	0.0963	0.1259	0.2001	0.2502	0.2848	0.2631	0.1513	0.1122	0.1109	0.1373	0.1529	0.1672	0.2764	0.2734	0.2669	0.2041	0.0467	0.0259	0.0393	0.0948	0.6449	1.2402	2.4554	3.6171	4.2284	4.27	3.835	3.3358	2.9932	2.7243	2.2913	1.7494	1.2666	0.7713	0.518	0.3546	0.2644	0.2367	0.1796	0.1313	0.1618	0.1882	0.167	0.15	0.1305	0.1446	0.1928	0.1912	0.1454	0.0818	0.034	0.0175	0.0202	0.0338	0.0493	0.0448	0.0335	0.0471	0.0589	0.0743	0.0838	0.0664	0.0509	0.0959	0.1023	0.1182	0.4637	0.5846	0.5789	0.4478	0.0623	0.0409	0.0465	0.0635	0.066	0.05	0.0587	0.0686	0.0666	0.0499	0.0434	0.0544	0.0662	0.0814	0.0729	0.0541	0.058	0.0708	0.0541	0.0363	0.0357	0.0331
16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29.bam		H3K27Ac_3	chr6(+):261715-458764	65	65	65	0.0824	0.1294	0.1433	0.1386	0.1309	0.1088	0.1091	0.1163	0.2239	0.298	0.3263	0.3134	0.205	0.1362	0.103	0.1049	0.1321	0.164	0.1531	0.1712	0.192	0.156	0.1543	0.163	0.1169	0.1044	0.1428	0.5178	3.0509	9.9711	18.2478	20.3737	16.993	9.6122	3.2059	2.3408	2.7197	2.1775	1.5239	0.9963	0.2595	0.2996	1.5027	4.0307	5.2524	4.6811	3.0139	0.7131	0.2761	0.3377	0.7748	1.0505	1.1956	2.0123	3.7944	5.2222	6.6947	10.4944	13.0964	15.1184	18.4455	19.5443	17.6113	13.5115	7.0199	5.8521	10.2498	12.0799	11.3109	6.3541	1.6607	0.316	0.2131	0.2368	0.6214	1.0086	1.1912	0.9848	0.5286	0.2472	0.2452	0.1877	0.178	0.2115	0.252	0.2822	0.2818	0.2617	0.1927	0.1392	0.1513	0.1998	0.2748	0.2887	0.1976	0.1564	0.1906	0.1725	0.1361	0.1234	0.1511	0.143	0.1093	0.1433	0.1697	0.1558	0.1655	0.1884	0.1828	0.2512	0.3908	0.4036	0.3759	0.2926	0.1402	0.1258	0.1358	0.1276	0.1225	0.1391	0.3591	0.4258	0.3339	0.234	0.1071	0.072	0.0768	0.1508	0.7832	1.4789	2.7977	4.0876	4.5504	4.4777	4.08	3.6749	3.3884	3.29	2.9111	2.1113	1.4859	0.92	0.5911	0.4542	0.3882	0.3784	0.3133	0.246	0.2109	0.1835	0.219	0.2366	0.2085	0.2369	0.2466	0.2543	0.2161	0.1284	0.0814	0.0669	0.0792	0.0713	0.0933	0.1168	0.0988	0.078	0.0727	0.0807	0.0872	0.0949	0.0849	0.0797	0.0973	0.1592	0.5407	0.7108	0.728	0.561	0.1	0.0632	0.0826	0.1291	0.102	0.0389	0.0618	0.0921	0.0838	0.0629	0.0483	0.0389	0.0428	0.0397	0.0493	0.0696	0.0784	0.1111	0.1148	0.0659	0.0553	0.0528
17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33.bam		H3K27Ac_6	chr6(+):261715-458764	90	90	90	0.0836	0.1435	0.1722	0.14	0.125	0.115	0.12	0.1353	0.1896	0.2332	0.246	0.2126	0.1508	0.1561	0.1588	0.1594	0.1609	0.149	0.1477	0.1358	0.1666	0.2053	0.1636	0.121	0.1659	0.24	0.2842	0.5417	3.2136	12.6794	22.1424	24.438	20.5803	10.6997	3.3286	2.639	3.3055	2.8997	2.0082	1.1461	0.2712	0.4336	2.3183	5.8913	7.5722	6.7583	4.4064	1.0252	0.2729	0.3422	0.804	1.0873	1.2385	2.4943	4.7493	6.1452	7.6087	11.2261	13.3524	15.3568	19.2478	20.9874	19.3407	15.3764	8.3289	7.3718	12.2615	14.6707	13.4362	7.1044	1.9474	0.3526	0.1961	0.204	0.7817	1.2372	1.387	1.1999	0.6572	0.2415	0.2672	0.2871	0.1951	0.1768	0.2209	0.2305	0.2213	0.168	0.1318	0.1423	0.1804	0.1965	0.2391	0.2582	0.195	0.1569	0.2071	0.2162	0.2048	0.1981	0.1763	0.1365	0.1074	0.11	0.1078	0.1137	0.1092	0.1404	0.1556	0.2397	0.384	0.3623	0.358	0.314	0.1427	0.1092	0.0976	0.1214	0.1679	0.207	0.4006	0.4468	0.4553	0.3979	0.1746	0.1369	0.1053	0.0988	0.6936	1.4938	3.2307	5.0557	6.4088	6.0901	4.6281	4.0893	4.2129	4.2447	3.62	2.5121	1.7244	1.141	0.8264	0.5826	0.4573	0.415	0.2737	0.2377	0.2121	0.1954	0.2207	0.2607	0.2801	0.2678	0.1902	0.1538	0.1493	0.1139	0.0771	0.0408	0.056	0.1031	0.1355	0.1056	0.0951	0.0673	0.0544	0.1012	0.0977	0.1078	0.1108	0.0681	0.0478	0.1563	0.5129	0.6236	0.676	0.5347	0.0709	0.0627	0.077	0.0943	0.086	0.0585	0.0463	0.0369	0.0532	0.1051	0.1071	0.0519	0.0288	0.045	0.0918	0.1011	0.066	0.0621	0.0661	0.0467	0.0337	0.0201
18_0EX4_0229Kronos_MM1S-KB-6hr-2_H3K27Ac_hs-dm_i37.bam		H3K27Ac_6	chr6(+):261715-458764	65	65	65	0.081	0.0883	0.1116	0.1598	0.1589	0.1363	0.1064	0.1038	0.1958	0.2277	0.2205	0.1898	0.1238	0.1144	0.0978	0.0905	0.1254	0.1378	0.1642	0.2133	0.2139	0.2028	0.1672	0.1611	0.1658	0.1832	0.1657	0.4947	3.4118	13.1414	22.8467	24.8626	20.7972	11.0131	3.5884	2.8166	3.4123	2.8425	1.8709	1.0824	0.3134	0.5198	2.534	6.2026	7.7742	6.8131	4.3133	0.9919	0.2546	0.3188	0.8044	1.1071	1.464	2.7827	4.9725	6.338	7.825	11.9122	14.4062	16.801	21.0061	22.1597	20.0159	16.1059	9.0866	7.5111	12.4212	14.5624	13.0268	6.9522	1.8124	0.3434	0.2431	0.2596	0.7328	1.1788	1.4081	1.1782	0.6146	0.245	0.2016	0.1576	0.1515	0.1833	0.2297	0.2083	0.2173	0.225	0.197	0.2094	0.2155	0.256	0.3263	0.2709	0.1913	0.1753	0.1593	0.1591	0.1562	0.153	0.1636	0.1979	0.1539	0.0869	0.1365	0.1594	0.1465	0.1506	0.1532	0.2337	0.3407	0.3451	0.3603	0.2976	0.1531	0.1079	0.1258	0.1314	0.1129	0.1169	0.3047	0.3863	0.4235	0.355	0.1285	0.0728	0.0929	0.1787	0.9464	1.823	3.5541	5.2349	6.0421	5.6598	4.831	4.4733	4.2859	4.1615	3.5699	2.4487	1.7692	1.1469	0.6604	0.4212	0.3702	0.3189	0.217	0.2122	0.2314	0.2384	0.238	0.2605	0.2537	0.2548	0.2384	0.1377	0.1029	0.0911	0.0792	0.0698	0.0664	0.0546	0.047	0.0457	0.0736	0.0609	0.0333	0.0504	0.0827	0.0813	0.0602	0.0678	0.0526	0.1793	0.6133	0.7334	0.8548	0.7048	0.1261	0.0815	0.0877	0.09	0.0788	0.0513	0.0644	0.0607	0.0431	0.0598	0.0534	0.0673	0.0755	0.0505	0.0385	0.0459	0.0533	0.0721	0.0769	0.0642	0.0813	0.0736
19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39.bam		H3K27Ac_24	chr6(+):261715-458764	90	90	90	0.0604	0.1013	0.1435	0.1884	0.1866	0.1331	0.1451	0.1167	0.1614	0.2231	0.2626	0.2665	0.1706	0.1194	0.122	0.1157	0.167	0.1748	0.1392	0.1394	0.1432	0.1429	0.1387	0.1512	0.2016	0.1599	0.1156	0.5375	4.2352	14.19	25.9347	29.3056	24.913	13.781	4.0418	3.5356	4.509	3.6656	2.3837	1.5318	0.4798	0.5633	2.566	6.7735	9.0352	8.213	5.3618	1.3518	0.2387	0.3931	1.3801	2.0264	2.2712	3.3701	5.8358	7.3242	8.0644	11.6887	14.0163	16.0173	19.6645	22.4716	21.2314	16.6697	9.2441	7.3647	11.8154	13.6096	11.6618	5.9555	1.5146	0.3928	0.2845	0.2433	0.882	1.5844	1.9316	1.5645	0.7648	0.1706	0.1495	0.1493	0.1527	0.1654	0.1908	0.1794	0.2263	0.258	0.2263	0.2356	0.2052	0.1654	0.1506	0.1568	0.1343	0.1104	0.0906	0.137	0.1534	0.1116	0.0881	0.0802	0.0874	0.1335	0.1235	0.1305	0.1137	0.0891	0.0988	0.1411	0.3266	0.4029	0.329	0.2265	0.1168	0.1301	0.1343	0.1236	0.1844	0.2369	0.4856	0.5357	0.567	0.4654	0.1295	0.041	0.0521	0.1052	0.5714	1.1517	2.9562	4.6947	5.7344	5.7592	5.366	5.6195	5.7391	5.5783	4.8716	3.2488	2.0815	1.2383	0.5943	0.3718	0.4642	0.4862	0.3376	0.2911	0.2844	0.2809	0.2468	0.1766	0.1686	0.1504	0.1446	0.1303	0.1296	0.11	0.0734	0.0432	0.0256	0.0505	0.0627	0.04	0.0371	0.0943	0.1356	0.1339	0.1324	0.1224	0.1278	0.123	0.0999	0.1217	0.584	0.727	0.7232	0.6135	0.1372	0.1109	0.0828	0.0445	0.0428	0.0328	0.028	0.0234	0.0301	0.0343	0.0451	0.1089	0.1238	0.0665	0.0527	0.044	0.0556	0.0759	0.0744	0.0974	0.1174	0.0636
20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43.bam		H3K27Ac_24	chr6(+):261715-458764	65	65	65	0.0678	0.0693	0.0886	0.1525	0.1816	0.2114	0.2108	0.1667	0.2144	0.2588	0.2686	0.2184	0.2235	0.2404	0.2119	0.1983	0.1425	0.139	0.1483	0.1469	0.1333	0.1437	0.1513	0.1484	0.1325	0.1831	0.2453	0.7224	4.211	13.8002	25.3632	28.4609	24.0502	14.0545	4.8809	4.0346	4.9895	4.0785	2.619	1.4997	0.3943	0.6396	2.7077	6.397	8.4201	7.943	5.0213	1.2357	0.3455	0.4379	1.2898	1.8291	2.024	3.2819	5.4247	6.8784	8.2131	11.311	12.9106	15.1247	19.2605	21.5801	19.9101	16.1523	9.4903	7.675	11.6752	13.5708	12.3452	6.6811	1.7349	0.4285	0.2942	0.3046	1.0741	1.6524	1.9538	1.5891	0.708	0.1433	0.1591	0.1982	0.2074	0.194	0.1548	0.1555	0.1805	0.2042	0.1727	0.1193	0.1379	0.1555	0.1384	0.171	0.1951	0.2235	0.2634	0.2041	0.136	0.1004	0.1296	0.1346	0.0807	0.0558	0.095	0.1462	0.1989	0.2367	0.2119	0.2131	0.2858	0.3607	0.3628	0.2636	0.1434	0.1124	0.1247	0.1512	0.1949	0.2035	0.4373	0.5126	0.5043	0.397	0.128	0.0659	0.0846	0.1259	0.6412	1.2854	2.7795	4.3309	5.5121	5.4631	5.3645	5.8809	5.8903	5.461	4.7621	3.4489	2.5525	1.6457	0.9431	0.5684	0.4337	0.382	0.3146	0.2655	0.2382	0.2199	0.2155	0.2033	0.2257	0.187	0.1437	0.1789	0.1509	0.1248	0.1278	0.1216	0.1172	0.0916	0.0979	0.1072	0.0948	0.0543	0.0485	0.0768	0.0799	0.086	0.1004	0.0697	0.0824	0.1595	0.5751	0.6692	0.5531	0.4335	0.1132	0.1066	0.0621	0.0565	0.0879	0.0733	0.064	0.0975	0.0934	0.0872	0.0953	0.0897	0.0828	0.065	0.0464	0.0446	0.0489	0.0478	0.0518	0.0549	0.0269	0.0332
