#32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48_ROSE/32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam
#Using cutoff of 2419.1208 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuperStretch
9_MACS_peak_11359_lociStitched	chr2	99061661	99105607	9	26026	33218.7814	11522.6412	1	1
9_MACS_peak_18445_lociStitched	chr6	7878048	7918942	9	27985	29705.4016	11920.601	2	1
7_MACS_peak_19347_lociStitched	chr6	106531326	106560149	7	20671	19383.4675	6891.5793	3	1
4_MACS_peak_2148_lociStitched	chr1	228744130	228777740	4	22316	23332.062	14532.964	4	1
1_MACS_peak_3985_lociStitched	chr11	65263965	65278801	1	14837	17123.7112	3667.4592	6	1
6_MACS_peak_5129_lociStitched	chr12	53583686	53603470	6	15554	17940.1312	5401.032	7	1
3_MACS_peak_2438_lociStitched	chr10	11204678	11223174	3	16165	16962.6816	5090.0992	8	1
10_MACS_peak_4695_lociStitched	chr12	7046079	7080746	10	16309	18179.3748	6867.5327	9	1
8_MACS_peak_7918_lociStitched	chr16	56964034	56986023	8	16219	15638.5768	5145.426	10	1
2_MACS_peak_3978_lociStitched	chr11	65183632	65199513	2	13624	17111.7775	5113.682	11	1
5_MACS_peak_8567_lociStitched	chr17	34622718	34640668	5	14455	17628.695	6740.225	12	1
4_MACS_peak_8559_lociStitched	chr17	34522812	34539657	4	14107	17235.804	6156.8475	13	1
5_MACS_peak_16194_lociStitched	chr4	90209938	90229761	5	15905	13721.4806	5037.0243	14	1
6_MACS_peak_7591_lociStitched	chr16	11766185	11785662	6	14565	14539.5805	4750.4403	15	1
4_MACS_peak_1142_lociStitched	chr1	150532183	150552742	4	12603	18346.8516	7179.2028	16	1
7_MACS_peak_7600_lociStitched	chr16	11813428	11837508	7	15141	13959.176	4979.744	17	1
6_MACS_peak_3518_lociStitched	chr11	10319725	10345038	6	14018	14099.341	4809.47	18	1
3_MACS_peak_9796_lociStitched	chr19	2082083	2098308	3	13008	15454.3125	5865.3375	19	1
5_MACS_peak_15247_lociStitched	chr3	171801950	171826812	5	12084	17831.0264	7836.5024	20	1
6_MACS_peak_12762_lociStitched	chr20	30293191	30312257	6	12799	13513.9808	5151.6332	21	1
4_MACS_peak_1852_lociStitched	chr1	204474922	204491152	4	10517	14970.552	5312.079	22	1
5_MACS_peak_10226_lociStitched	chr19	39888106	39903849	5	12270	11799.3785	3531.1549	23	1
3_MACS_peak_15005_lociStitched	chr3	141097472	141110734	3	10526	13089.594	4208.0326	24	1
4_MACS_peak_15844_lociStitched	chr4	40193781	40207882	4	11593	11733.4421	3946.8699	25	1
3_MACS_peak_10812_lociStitched	chr2	37538759	37551713	3	11633	10343.769	2962.5798	26	1
5_MACS_peak_17844_lociStitched	chr5	131745876	131764069	5	11750	11929.1501	4695.6133	27	1
3_MACS_peak_1280_lociStitched	chr1	156118713	156131906	3	10481	13179.807	5050.2804	28	1
3_MACS_peak_18355_lociStitched	chr6	315291	330248	3	10657	14361.7114	6474.8853	29	1
5_MACS_peak_9802_lociStitched	chr19	2255158	2274702	5	11351	12066.4656	4819.5504	30	1
3_MACS_peak_4780_lociStitched	chr12	12866858	12880040	3	11562	10251.6414	3225.6354	31	1
4_MACS_peak_21142_lociStitched	chr7	150063993	150081406	4	11232	12587.8577	5298.7759	32	1
5_MACS_peak_2444_lociStitched	chr10	11283939	11304292	5	9954	12570.0128	4434.9187	33	1
7_MACS_peak_13543_lociStitched	chr22	23223272	23240278	7	9889	11281.7804	3316.17	34	1
4_MACS_peak_10885_lociStitched	chr2	43444646	43457341	4	11769	9200.0665	3042.9915	35	1
3_MACS_peak_2216_lociStitched	chr1	234734936	234749677	3	9473	12972.08	5013.4141	36	1
4_MACS_peak_12165_lociStitched	chr2	201980069	201994562	4	9954	11098.7394	3859.4859	37	1
4_MACS_peak_10056_lociStitched	chr19	16253414	16273060	4	9274	12068.5378	4481.2526	38	1
3_MACS_peak_8872_lociStitched	chr17	56405273	56422714	3	9662	12430.2007	5322.9932	39	1
3_MACS_peak_8553_lociStitched	chr17	34409477	34420384	3	6850	11462.1663	2647.1289	40	1
5_MACS_peak_9103_lociStitched	chr17	75131586	75144850	5	10241	9930.7568	3491.0848	41	1
3_MACS_peak_10600_lociStitched	chr2	11883759	11895202	3	9733	9778.0435	2937.4181	42	1
1_MACS_peak_5651_lociStitched	chr12	109021884	109031104	1	9221	10269.236	3050.898	43	1
6_MACS_peak_13963_lociStitched	chr3	5228620	5247785	6	10340	10197.6965	3959.489	44	1
5_MACS_peak_17509_lociStitched	chr5	88113950	88126623	5	10633	8781.1217	2881.8402	45	1
3_MACS_peak_18352_lociStitched	chr6	290556	307303	3	8809	13352.3831	5861.45	46	1
4_MACS_peak_12096_lociStitched	chr2	197033652	197053385	4	9613	10961.6815	4207.0756	47	1
2_MACS_peak_171_lociStitched	chr1	17221236	17232649	2	6802	13046.2003	4880.1988	48	1
4_MACS_peak_15008_lociStitched	chr3	141118915	141132668	4	9250	9825.1432	3830.2105	49	1
5_MACS_peak_22684_lociStitched	chr9	94181295	94196026	5	9289	8635.3122	2991.8661	50	1
4_MACS_peak_18358_lociStitched	chr6	388970	401413	4	9444	8157.6308	2695.1538	51	1
3_MACS_peak_1826_lociStitched	chr1	203267598	203280341	3	9815	9874.5507	4849.9858	52	1
3_MACS_peak_13613_lociStitched	chr22	29185838	29197972	3	8132	9164.8102	2668.2666	53	1
5_MACS_peak_17245_lociStitched	chr5	55437642	55453247	5	7398	10695.667	3693.7035	54	1
3_MACS_peak_7612_lociStitched	chr16	12056572	12070776	3	8457	9654.4588	3426.0048	55	1
2_MACS_peak_10072_lociStitched	chr19	16694394	16706430	2	8232	9757.5852	3461.5536	56	1
2_MACS_peak_13550_lociStitched	chr22	23270221	23278743	2	7003	10019.3154	2899.1844	57	1
4_MACS_peak_18787_lociStitched	chr6	31694791	31708506	4	8793	8901.035	3221.6535	58	1
4_MACS_peak_8632_lociStitched	chr17	38470694	38483363	4	7404	9775.4004	3078.567	59	1
5_MACS_peak_4884_lociStitched	chr12	26265984	26279826	5	8793	8857.4958	3543.552	60	1
5_MACS_peak_21212_lociStitched	chr8	2029486	2041079	5	7974	8739.9627	2846.0815	61	1
3_MACS_peak_10815_lociStitched	chr2	37570169	37584032	3	8392	8891.7282	3392.2761	62	1
2_MACS_peak_1888_lociStitched	chr1	206728517	206737758	2	8515	8837.1683	3575.3429	63	1
2_MACS_peak_1829_lociStitched	chr1	203289287	203297878	2	7165	9704.3936	3369.3902	64	1
3_MACS_peak_7172_lociStitched	chr15	75072324	75083254	3	9040	7628.047	2989.355	65	1
2_MACS_peak_15432_lociStitched	chr3	186711439	186719740	2	7517	9240.6732	3268.9338	66	1
4_MACS_peak_9763_lociStitched	chr19	1258829	1276883	4	8410	9727.4952	4547.8026	67	1
2_MACS_peak_21010_lociStitched	chr7	136037062	136046872	2	5365	10222.02	3022.461	68	1
3_MACS_peak_8937_lociStitched	chr17	62197696	62208519	3	8975	7155.0853	2604.0138	69	1
4_MACS_peak_9275_lociStitched	chr18	9061231	9074287	4	6222	9802.4448	3176.5248	70	1
2_MACS_peak_14014_lociStitched	chr3	13050430	13059343	2	7928	8137.569	2729.1606	71	1
2_MACS_peak_20005_lociStitched	chr7	20255954	20261186	2	4890	8664.7152	1416.8256	72	1
2_MACS_peak_9813_lociStitched	chr19	2468866	2480021	2	7072	8966.389	2903.6465	73	1
4_MACS_peak_17514_lociStitched	chr5	88175202	88185826	4	8835	6891.7888	2431.8336	74	1
6_MACS_peak_14142_lociStitched	chr3	30683993	30703466	6	7526	9822.1812	4134.1179	75	1
2_MACS_peak_19387_lociStitched	chr6	108879359	108887775	2	8121	7060.1824	1895.2832	76	1
5_MACS_peak_20201_lociStitched	chr7	38388362	38408291	5	8450	8900.2914	4089.4308	77	1
5_MACS_peak_9280_lociStitched	chr18	9101981	9117979	5	6595	9987.5514	3673.1408	78	1
3_MACS_peak_19139_lociStitched	chr6	74220358	74234066	3	7263	9169.2812	3414.6628	79	1
7_MACS_peak_5757_lociStitched	chr12	123371736	123386811	7	7982	7315.8975	2219.04	80	1
3_MACS_peak_1378_lociStitched	chr1	161145098	161156566	3	7409	9465.6872	3880.7712	81	1
4_MACS_peak_8519_lociStitched	chr17	32692053	32710661	4	7181	9897.5952	4179.3568	82	1
3_MACS_peak_18641_lociStitched	chr6	26195426	26206912	3	7922	7838.0464	2760.0858	83	1
1_MACS_peak_1865_lociStitched	chr1	205252118	205258323	1	6206	8739.122	2426.155	84	1
4_MACS_peak_9142_lociStitched	chr17	76712667	76726080	4	7887	8118.8889	3169.4919	85	1
5_MACS_peak_9096_lociStitched	chr17	75078937	75093099	5	7687	8407.9794	3275.6706	86	1
4_MACS_peak_2226_lociStitched	chr1	235140445	235152079	4	5018	9885.4098	3092.3172	87	1
3_MACS_peak_6208_lociStitched	chr13	114557172	114566589	3	8576	6763.2894	2635.8183	88	1
3_MACS_peak_9061_lociStitched	chr17	73771227	73782205	3	8109	7239.991	2647.8936	89	1
2_MACS_peak_3266_lociStitched	chr10	112256898	112264915	2	7791	7170.4048	2272.0178	90	1
3_MACS_peak_9644_lociStitched	chr18	60822285	60830476	3	7021	7901.8577	2381.9428	91	1
6_MACS_peak_20481_lociStitched	chr7	78116553	78127981	6	8065	7579.0496	3008.9924	92	1
1_MACS_peak_3260_lociStitched	chr10	112113037	112118793	1	5757	8267.9184	1954.7376	93	1
5_MACS_peak_13722_lociStitched	chr22	37611397	37627546	5	7193	9011.142	3662.5932	94	1
1_MACS_peak_1113_lociStitched	chr1	149222041	149225536	1	3496	9978.5745	2758.254	95	1
3_MACS_peak_9821_lociStitched	chr19	2620032	2632098	3	6708	9386.1414	3745.2864	96	1
2_MACS_peak_15293_lociStitched	chr3	176912502	176920301	2	7437	7589.9868	2540.1343	97	1
3_MACS_peak_17929_lociStitched	chr5	138720388	138730282	3	6989	8019.087	2606.0796	98	1
3_MACS_peak_11339_lociStitched	chr2	97191627	97205421	3	6788	8370.1992	2891.2224	99	1
2_MACS_peak_4664_lociStitched	chr12	4378457	4388170	2	8167	6328.0195	2137.8313	100	1
3_MACS_peak_18622_lociStitched	chr6	25403885	25412584	3	6375	8428.4611	2668.8532	101	1
3_MACS_peak_17085_lociStitched	chr5	32530883	32543521	3	6732	8390.3682	2925.697	102	1
2_MACS_peak_7981_lociStitched	chr16	66549864	66559472	2	6028	8568.4144	2662.3768	103	1
3_MACS_peak_1628_lociStitched	chr1	183439042	183450910	3	6670	8873.7036	3426.2916	104	1
5_MACS_peak_6792_lociStitched	chr15	40388181	40401832	5	7623	8033.6135	3423.6708	105	1
4_MACS_peak_14903_lociStitched	chr3	129027209	129037348	4	7281	7567.7496	2656.418	106	1
4_MACS_peak_13162_lociStitched	chr21	19152441	19166768	4	6458	8455.7954	2915.5445	107	1
4_MACS_peak_18233_lociStitched	chr5	171601289	171616192	4	8299	6757.0202	2989.5418	108	1
2_MACS_peak_2117_lociStitched	chr1	226840481	226851520	2	7332	8688.7969	3993.9102	109	1
1_MACS_peak_1712_lociStitched	chr1	192544168	192550819	1	6652	7794.3069	2558.6397	110	1
5_MACS_peak_12338_lociStitched	chr2	219743947	219763485	5	7106	9518.9136	4673.4896	111	1
4_MACS_peak_16130_lociStitched	chr4	84132748	84143789	4	7077	7617.1859	2787.8525	112	1
2_MACS_peak_1571_lociStitched	chr1	179049095	179058898	2	5957	8643.3051	3011.4816	113	1
5_MACS_peak_23047_lociStitched	chr9	130538096	130551561	5	7135	7179.538	2493.718	114	1
2_MACS_peak_1239_lociStitched	chr1	154924139	154935376	2	7621	7675.9947	3580.1082	115	1
3_MACS_peak_18630_lociStitched	chr6	26020479	26034525	3	7096	7635.4056	3038.1498	116	1
5_MACS_peak_9149_lociStitched	chr17	76767577	76779381	5	7298	6835.6964	2490.644	117	1
2_MACS_peak_19251_lociStitched	chr6	90059711	90068283	2	6956	6890.1736	2287.0096	118	1
4_MACS_peak_15214_lociStitched	chr3	169480413	169492031	4	6641	8021.0672	3164.7432	119	1
4_MACS_peak_18036_lociStitched	chr5	148205116	148214871	4	6912	7360.1475	2737.253	120	1
2_MACS_peak_3725_lociStitched	chr11	35160163	35168572	2	7870	5971.2309	2387.3151	121	1
5_MACS_peak_9285_lociStitched	chr18	9133985	9144326	5	6741	7026.7095	2281.2246	122	1
2_MACS_peak_1237_lociStitched	chr1	154908292	154916980	2	5400	9340.4688	3683.712	123	1
3_MACS_peak_3878_lociStitched	chr11	60673341	60683614	3	6198	7544.4912	2468.6019	124	1
2_MACS_peak_7339_lociStitched	chr15	90638353	90646506	2	6462	7145.2892	2321.1591	125	1
4_MACS_peak_12740_lociStitched	chr20	25268919	25280970	4	6492	7145.0379	2366.8164	126	1
2_MACS_peak_9818_lociStitched	chr19	2595141	2600139	2	4773	7969.311	2102.6586	127	1
1_MACS_peak_13380_lociStitched	chr21	41325349	41332120	1	6772	6949.0773	2432.1432	128	1
3_MACS_peak_19685_lociStitched	chr6	138259911	138274077	3	6591	7716.2202	3041.4402	129	1
3_MACS_peak_7250_lociStitched	chr15	81585577	81595531	3	5592	8414.1162	3029.0022	130	1
2_MACS_peak_20700_lociStitched	chr7	104578913	104586469	2	4706	7941.356	2070.344	131	1
1_MACS_peak_16927_lociStitched	chr5	1312290	1317959	1	5670	7267.658	1939.3649	132	1
3_MACS_peak_12177_lociStitched	chr2	202116874	202126902	3	6264	7392.6416	2500.9832	133	1
2_MACS_peak_17169_lociStitched	chr5	43037215	43043710	2	6273	6415.1115	1531.521	134	1
3_MACS_peak_1361_lociStitched	chr1	160703246	160714752	3	7642	7215.4126	3704.932	135	1
1_MACS_peak_18817_lociStitched	chr6	32934978	32941876	1	6899	6320.6374	1992.1424	136	1
4_MACS_peak_22006_lociStitched	chr8	126441613	126449084	4	6972	5935.7095	1687.6989	137	1
1_MACS_peak_21149_lociStitched	chr7	150129866	150133633	1	3768	8047.4421	1894.801	138	1
2_MACS_peak_5647_lociStitched	chr12	108953716	108963766	2	6617	7733.475	3262.23	139	1
2_MACS_peak_5427_lociStitched	chr12	89738544	89748861	2	6105	7424.1132	2604.0108	140	1
3_MACS_peak_9962_lociStitched	chr19	11199543	11207639	3	6574	6427.4144	2001.3312	141	1
3_MACS_peak_10062_lociStitched	chr19	16434791	16442145	3	7058	5426.5166	1484.0372	142	1
2_MACS_peak_13315_lociStitched	chr21	36594120	36600812	2	3408	8296.7416	2091.9192	143	1
4_MACS_peak_21998_lociStitched	chr8	126292521	126307804	4	6651	7898.2544	3599.1465	144	1
1_MACS_peak_13398_lociStitched	chr21	43480999	43485205	1	4207	7832.4132	1979.7642	145	1
2_MACS_peak_1219_lociStitched	chr1	154375164	154381509	2	6315	7173.657	2609.6985	146	1
2_MACS_peak_1883_lociStitched	chr1	206287131	206292398	2	5175	7677.1792	2322.747	147	1
2_MACS_peak_20796_lociStitched	chr7	114561859	114572994	2	6592	7414.7965	3102.211	148	1
1_MACS_peak_15497_lociStitched	chr3	193817987	193822765	1	4779	7779.5396	2235.6262	149	1
