#RPMI8226 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/RPMI8226.H3K27ac_ROSE/RPMI8226_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by RPMI8226.jin.bam
#Using cutoff of 10610.632 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226.jin.bam	enhancerRank	isStretch
2_MACS_peak_14570_lociStitched	chr22	23264777	23281671	2	16783	209225.4324	1	1
7_MACS_peak_18363_lociStitched	chr6	7904623	7921709	7	16338	66676.4064	2	1
4_MACS_peak_18260_lociStitched	chr6	316884	330483	4	13554	50021.2017	3	1
4_MACS_peak_12812_lociStitched	chr2	134876248	134889800	4	13321	38226.1264	4	1
4_MACS_peak_6486_lociStitched	chr14	106157782	106170301	4	12078	41265.1278	5	1
6_MACS_peak_3727_lociStitched	chr11	65183970	65196342	6	11741	80949.996	6	1
4_MACS_peak_6463_lociStitched	chr14	106037554	106049550	4	11682	49536.2824	7	1
9_MACS_peak_19801_lociStitched	chr7	44668178	44680011	9	10977	23647.0672	8	1
6_MACS_peak_1180_lociStitched	chr1	118169962	118181498	6	10559	25807.1856	9	1
6_MACS_peak_6537_lociStitched	chr15	21925084	21936145	6	10492	24245.712	10	1
1_MACS_peak_18258_lociStitched	chr6	289996	300256	1	10261	65810.718	11	1
3_MACS_peak_18487_lociStitched	chr6	25403417	25413755	3	9934	25759.1946	12	1
14_MACS_peak_8253_lociStitched	chr16	79631797	79644554	14	9848	19296.2382	13	1
6_MACS_peak_12648_lociStitched	chr2	112455663	112466045	6	9636	36247.7148	14	1
5_MACS_peak_9263_lociStitched	chr17	56408151	56417271	5	8946	24369.552	15	1
4_MACS_peak_13626_lociStitched	chr20	25274126	25283368	4	8773	26892.3716	16	1
2_MACS_peak_7345_lociStitched	chr15	100649855	100658852	2	8716	38492.7648	17	1
4_MACS_peak_6549_lociStitched	chr15	21994719	22003590	4	8619	19968.621	18	1
