#13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22_ROSE/13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X13_0EWZ_0229Kronos_MM1S.KB.1hr.1_H3K27Ac_hs.dm_i22.bam
#Using cutoff of 19648.3232 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X13_0EWZ_0229Kronos_MM1S.KB.1hr.1_H3K27Ac_hs.dm_i22.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	isSuperStretch
10_MACS_peak_16989_lociStitched	chr3	141079146	141151139	10	54072	365134.0974	13383.4987	1	1
10_MACS_peak_8533_lociStitched	chr16	11762483	11843219	10	61320	178999.7856	14427.5232	2	1
5_MACS_peak_20040_lociStitched	chr6	7878362	7919608	5	40089	248738.1276	8455.43	3	1
5_MACS_peak_14486_lociStitched	chr20	30262201	30312289	5	44445	135793.5768	9546.7728	4	1
6_MACS_peak_13100_lociStitched	chr2	99054910	99107973	6	42504	146252.2406	10485.2488	5	1
7_MACS_peak_7175_lociStitched	chr14	91829533	91885799	7	44071	111913.074	5744.7586	6	1
5_MACS_peak_1188_lociStitched	chr1	118142087	118188177	5	36181	142127.733	5314.177	7	1
7_MACS_peak_14529_lociStitched	chr20	32398716	32448793	7	35000	91500.6944	8928.7291	8	1
7_MACS_peak_19933_lociStitched	chr6	290165	337743	7	29594	149437.7402	15191.6554	9	1
5_MACS_peak_20951_lociStitched	chr6	108878190	108920963	5	36493	53145.4525	6492.9414	10	1
4_MACS_peak_10932_lociStitched	chr18	46440413	46479967	4	34921	79147.554	6894.2622	11	1
9_MACS_peak_9818_lociStitched	chr17	34597798	34641284	9	33756	97304.2736	9666.9378	12	1
2_MACS_peak_5381_lociStitched	chr12	53573073	53604011	2	25329	151085.723	5977.2216	13	1
8_MACS_peak_20616_lociStitched	chr6	52392870	52442985	8	33211	80018.6205	9010.677	14	1
2_MACS_peak_15378_lociStitched	chr22	23221479	23247978	2	21729	157046.3235	4104.6951	15	1
3_MACS_peak_1449_lociStitched	chr1	154907995	154936190	3	25149	139616.001	7674.679	16	1
3_MACS_peak_7318_lociStitched	chr14	106024705	106052823	3	25904	129556.4968	4453.8912	17	1
1_MACS_peak_2544_lociStitched	chr10	11202740	11223721	1	20982	148973.4924	4848.7091	18	1
3_MACS_peak_22779_lociStitched	chr8	2027419	2050929	3	18481	158203.492	4067.23	19	1
4_MACS_peak_9554_lociStitched	chr17	16865928	16895511	4	20133	146601.5148	5097.1509	20	1
6_MACS_peak_14459_lociStitched	chr20	25261636	25302984	6	24031	122973.0868	7062.2384	21	1
1_MACS_peak_18650_lociStitched	chr5	1311756	1320878	1	9123	170351.5256	2357.1248	22	1
7_MACS_peak_7447_lociStitched	chr15	31616842	31660415	7	28660	67756.015	7289.7629	23	1
1_MACS_peak_20921_lociStitched	chr6	106531150	106555848	1	24699	105848.2186	5352.0566	24	1
8_MACS_peak_9055_lociStitched	chr16	68269948	68320735	8	28804	60644.7567	8323.9893	25	1
6_MACS_peak_9811_lociStitched	chr17	34509445	34539758	6	25354	95270.7277	7075.0542	26	1
3_MACS_peak_1505_lociStitched	chr1	156115350	156143788	3	22359	116902.9304	7308.566	27	1
1_MACS_peak_14108_lociStitched	chr2	232687019	232714800	1	27782	55136.9507	3355.9448	28	1
7_MACS_peak_4938_lociStitched	chr12	7045544	7085774	7	25773	79659.423	6991.974	29	1
2_MACS_peak_5397_lociStitched	chr12	53845345	53873423	2	28003	38393.8572	5121.4272	30	1
1_MACS_peak_4167_lociStitched	chr11	65183326	65200139	1	16814	136726.6786	4391.5556	31	1
2_MACS_peak_15380_lociStitched	chr22	23269476	23285986	2	16151	136265.285	3414.268	32	1
4_MACS_peak_5857_lociStitched	chr12	109009616	109036287	4	20442	116477.5912	5448.8853	33	1
4_MACS_peak_22281_lociStitched	chr7	102063734	102093114	4	20371	116277.226	4944.654	34	1
1_MACS_peak_12525_lociStitched	chr2	37529788	37553610	1	23823	84256.0318	3711.4676	35	1
1_MACS_peak_6635_lociStitched	chr13	114828896	114835208	1	6313	154820.736	1636.7016	36	0
5_MACS_peak_3490_lociStitched	chr10	125822131	125854594	5	25105	66571.8741	5911.5123	37	1
