REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM2.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
14_MACS_peak_9655_lociStitched	chr14	106025464	106050942	14	24456	73142.2424	1	1		TMEM121	TMEM121	1	1
5_MACS_peak_28046_lociStitched	chr6	106531606	106552689	5	20430	53487.571	2	1	PRDM1		PRDM1	2	1
14_MACS_peak_16326_lociStitched	chr2	20404223	20425867	14	20192	32232.2448	3	1	SDC1		SDC1	3	1
6_MACS_peak_22990_lociStitched	chr3	171808032	171827045	6	18680	40649.794	4	1	FNDC3B		FNDC3B	4	1
9_MACS_peak_30182_lociStitched	chr7	137662320	137679576	9	16292	30061.6776	5	1	CREB3L2		CREB3L2	5	1
5_MACS_peak_26832_lociStitched	chr6	7895662	7912473	5	15994	45426.6842	6	1	MUTED-TXNDC5,TXNDC5		TXNDC5	6	1
5_MACS_peak_17215_lociStitched	chr2	87807329	87822840	5	15086	27167.5165	7	1	NCRNA00152		NCRNA00152	7	1
8_MACS_peak_23005_lociStitched	chr3	171845828	171861330	8	14680	28215.1902	8	1	FNDC3B		FNDC3B	8	1
3_MACS_peak_27954_lociStitched	chr6	90054387	90068457	3	13820	44051.763	9	1	UBE2J1	GABRR2	UBE2J1	9	1
7_MACS_peak_17551_lociStitched	chr2	112184893	112199033	7	13506	21977.802	10	1	LOC541471		LOC541471	10	1
4_MACS_peak_22641_lociStitched	chr3	141096910	141110520	4	13353	45521.367	11	1	ZBTB38		ZBTB38	11	1
3_MACS_peak_6598_lociStitched	chr12	12866441	12879864	3	13158	54204.7586	12	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	12	1
7_MACS_peak_14393_lociStitched	chr18	52977313	52990891	7	12819	27587.7804	13	1	TCF4		TCF4	13	1
4_MACS_peak_17890_lociStitched	chr2	158288783	158301839	4	12721	42242.688	14	1	CYTIP		CYTIP	14	1
12_MACS_peak_6489_lociStitched	chr12	7058073	7072172	12	12553	18785.5076	15	1	PTPN6	LRRC23,ENO2,ATN1,C12orf57,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	15	1
7_MACS_peak_26011_lociStitched	chr5	131755711	131768609	7	12471	28380.7592	16	1	C5orf56		C5orf56	16	1
1_MACS_peak_5501_lociStitched	chr11	65183957	65196261	1	12305	67300.4192	17	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	17	1
5_MACS_peak_1559_lociStitched	chr1	118147934	118160187	5	11775	31950.9228	18	1	FAM46C		FAM46C	18	1
4_MACS_peak_9878_lociStitched	chr15	31642536	31654737	4	11654	29026.179	19	1	KLF13		KLF13	19	1
5_MACS_peak_21801_lociStitched	chr3	53199960	53211659	5	11558	23932.6443	20	1	PRKCD	RFT1	PRKCD	20	1
2_MACS_peak_3283_lociStitched	chr1	234738191	234749597	2	11392	48081.993	21	1	IRF2BP2	NCRNA00184	IRF2BP2	21	1
2_MACS_peak_13177_lociStitched	chr17	43297937	43309235	2	11295	26682.4866	22	1	FMNL1	LOC100133991,C17orf46	FMNL1	22	1
8_MACS_peak_30231_lociStitched	chr7	139466596	139478247	8	11078	24434.4772	23	1	TBXAS1,HIPK2		HIPK2	23	1
11_MACS_peak_8066_lociStitched	chr12	123354623	123366318	11	10893	15223.3815	24	1	VPS37B	HIP1R	VPS37B	24	1
4_MACS_peak_31160_lociStitched	chr8	98654944	98666011	4	10810	34705.0053	25	1	MTDH		MTDH	25	1
11_MACS_peak_9417_lociStitched	chr14	91833146	91844544	11	10612	16918.0514	26	1	CCDC88C		CCDC88C	26	1
5_MACS_peak_21129_lociStitched	chr3	13369632	13380571	5	10446	22616.3825	27	1	NUP210		NUP210	27	1
4_MACS_peak_17264_lociStitched	chr2	88917504	88928609	4	10381	39353.899	28	1	EIF2AK3		EIF2AK3	28	1
9_MACS_peak_11815_lociStitched	chr16	56964106	56975270	9	10337	27225.6468	29	1	HERPUD1	CETP,NLRC5	HERPUD1	29	1
1_MACS_peak_8144_lociStitched	chr12	125396202	125406513	1	10312	42642.1716	30	1	UBC	SCARB1	UBC	30	1
4_MACS_peak_8080_lociStitched	chr12	123370716	123381112	4	10273	24986.786	31	1	VPS37B		VPS37B	31	1
14_MACS_peak_17190_lociStitched	chr2	87765845	87777609	14	10035	15674.3536	32	1	NCRNA00152		NCRNA00152	32	1
6_MACS_peak_6730_lociStitched	chr12	26269280	26280080	6	10024	27695.52	33	1	BHLHE41		BHLHE41	33	1
3_MACS_peak_2048_lociStitched	chr1	156455768	156465985	3	10004	18922.9057	34	1	MEF2D		MEF2D	34	1
6_MACS_peak_21013_lociStitched	chr3	5234504	5244986	6	9738	25664.1288	35	1	EDEM1		EDEM1	35	1
7_MACS_peak_12228_lociStitched	chr16	87883726	87893585	7	9453	17677.187	36	1	SLC7A5		SLC7A5	36	1
4_MACS_peak_2051_lociStitched	chr1	156466491	156475934	4	9436	21639.5788	37	1	MEF2D		MEF2D	37	1
3_MACS_peak_1823_lociStitched	chr1	150532135	150541883	3	9368	33344.0088	38	1	ADAMTSL4	MIR4257,MCL1	MIR4257	38	1
3_MACS_peak_31124_lociStitched	chr8	95954003	95963323	3	9090	27617.024	39	1	TP53INP1	CCNE2	TP53INP1	39	1
7_MACS_peak_25658_lociStitched	chr5	88175339	88185687	7	8996	14989.078	40	1	MEF2C		MEF2C	40	1
4_MACS_peak_18338_lociStitched	chr2	201987284	201996856	4	8975	16302.0732	41	1	CFLAR		CFLAR	41	1
2_MACS_peak_2727_lociStitched	chr1	203288935	203297917	2	8855	18978.0678	42	1		BTG2,LOC730227,FMOD	BTG2	42	1
7_MACS_peak_26523_lociStitched	chr5	173314428	173323954	7	8846	18492.8238	43	1	CPEB4		CPEB4	43	1
2_MACS_peak_20280_lociStitched	chr22	23269911	23278794	2	8794	24256.8081	44	1		IGLL5	IGLL5	44	1
1_MACS_peak_29311_lociStitched	chr7	50343710	50352497	1	8788	17037.1143	45	1	IKZF1		IKZF1	45	1
1_MACS_peak_2499_lociStitched	chr1	182991034	182999753	1	8720	21276.1038	46	1	LAMC1		LAMC1	46	1
2_MACS_peak_10283_lociStitched	chr15	56657146	56665764	2	8595	15725.2646	47	1	TEX9		TEX9	47	1
3_MACS_peak_11047_lociStitched	chr15	93443056	93452179	3	8589	25647.4899	48	1	CHD2,MIR3175	LOC100507217	MIR3175	48	1
3_MACS_peak_22646_lociStitched	chr3	141126883	141135819	3	8546	21561.6744	49	1	ZBTB38		RASA2	49	1
2_MACS_peak_14472_lociStitched	chr18	60822018	60830732	2	8469	20552.8404	50	1	BCL2		BCL2	50	1
3_MACS_peak_21121_lociStitched	chr3	13050253	13059033	3	8435	19821.728	51	1	IQSEC1	IQSEC1	IQSEC1	51	1
3_MACS_peak_1587_lociStitched	chr1	118195446	118204279	3	8424	18212.7627	52	1		FAM46C	FAM46C	52	1
1_MACS_peak_22645_lociStitched	chr3	141117738	141126158	1	8421	33231.214	53	1	ZBTB38		ZBTB38	53	1
4_MACS_peak_2646_lociStitched	chr1	198898340	198907372	4	8405	20803.4056	54	1			MIR181A1	54	1
5_MACS_peak_10266_lociStitched	chr15	55567200	55575755	5	8401	20286.4715	55	1	RAB27A	PIGB,RAB27A	RAB27A	55	1
2_MACS_peak_19428_lociStitched	chr20	45978760	45987439	2	8399	24209.2026	56	1	ZMYND8	LOC100131496	ZMYND8	56	1
2_MACS_peak_2000_lociStitched	chr1	155943657	155952063	2	8286	18539.433	57	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	57	1
4_MACS_peak_20902_lociStitched	chr22	50353190	50361856	4	8245	16687.2496	58	1	PIM3	CRELD2,ALG12	PIM3	58	1
2_MACS_peak_2627_lociStitched	chr1	197740184	197748561	2	8202	31319.9276	59	1	DENND1B		DENND1B	59	1
1_MACS_peak_32849_lociStitched	chr9	127630504	127638571	1	8068	23361.2253	60	1	ARPC5L	WDR38,RPL35	ARPC5L	60	1
6_MACS_peak_6829_lociStitched	chr12	31737050	31745229	6	7827	16066.8276	61	1	DENND5B		DENND5B	61	1
3_MACS_peak_7024_lociStitched	chr12	48200751	48208824	3	7823	16755.5115	62	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	62	1
2_MACS_peak_1826_lociStitched	chr1	150545230	150553040	2	7789	29382.001	63	1	MCL1	ADAMTSL4,MIR4257,ENSA	MCL1	63	1
4_MACS_peak_11379_lociStitched	chr16	11829527	11837511	4	7766	16865.4016	64	1	TXNDC11		TXNDC11	64	1
8_MACS_peak_13827_lociStitched	chr17	75135797	75144920	8	7743	15111.3372	65	1	SEC14L1	SEC14L1	SEC14L1	65	1
6_MACS_peak_14387_lociStitched	chr18	52967788	52976023	6	7740	10871.847	66	1	TCF4		TCF4	66	1
5_MACS_peak_2064_lociStitched	chr1	156714647	156722436	5	7576	15199.4546	67	1	HDGF	C1orf66,PRCC,CRABP2,ISG20L2,MRPL24	HDGF	67	1
3_MACS_peak_28709_lociStitched	chr6	159458629	159466519	3	7548	16592.67	68	1	TAGAP	RSPH3	TAGAP	68	1
1_MACS_peak_5518_lociStitched	chr11	65263476	65271000	1	7525	30869.4672	69	1	MALAT1	SCYL1	MALAT1	69	1
3_MACS_peak_2129_lociStitched	chr1	159888227	159896070	3	7519	22397.2551	70	1	TAGLN2	CCDC19,IGSF9,SLAMF9	TAGLN2	70	1
4_MACS_peak_10828_lociStitched	chr15	81584980	81592735	4	7494	13949.694	71	1	IL16	STARD5	IL16	71	1
4_MACS_peak_24620_lociStitched	chr4	144274889	144283152	4	7468	11628.5199	72	1	GAB1		GAB1	72	1
3_MACS_peak_31489_lociStitched	chr8	126441416	126449351	3	7450	27370.989	73	1	TRIB1		TRIB1	73	1
2_MACS_peak_10686_lociStitched	chr15	75334133	75341793	2	7313	16304.31	74	1	PPCDC	SCAMP5	PPCDC	74	1
2_MACS_peak_2431_lociStitched	chr1	178544427	178551736	2	7259	14086.6357	75	1		C1orf220	C1orf220	75	1
6_MACS_peak_21270_lociStitched	chr3	23847021	23854559	6	7256	20859.9074	76	1	UBE2E1		UBE2E1	76	1
3_MACS_peak_22987_lociStitched	chr3	171800035	171807444	3	7213	16507.9929	77	1	FNDC3B		FNDC3B	77	1
2_MACS_peak_21011_lociStitched	chr3	5226182	5233600	2	7172	20131.7102	78	1	EDEM1		EDEM1	78	1
1_MACS_peak_2892_lociStitched	chr1	207993692	208000831	1	7140	23879.2411	79	1	LOC148696	MIR29C,MIR29B2	LOC148696	79	1
11_MACS_peak_1564_lociStitched	chr1	118161050	118169940	11	7125	9851.898	80	1	FAM46C		FAM46C	80	1
1_MACS_peak_1954_lociStitched	chr1	154971389	154978479	1	7091	12593.258	81	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	81	1
6_MACS_peak_18071_lociStitched	chr2	175456631	175465044	6	7088	13926.0389	82	1	WIPF1		WIPF1	82	1
7_MACS_peak_20261_lociStitched	chr22	23229931	23237762	7	7044	10914.0647	83	1	IGLL5		IGLL5	83	1
3_MACS_peak_24210_lociStitched	chr4	87855305	87862358	3	7011	13975.5195	84	1	AFF1	C4orf36	AFF1	84	1
3_MACS_peak_2174_lociStitched	chr1	160708263	160715669	3	7006	10587.6176	85	1	SLAMF7	CD48	SLAMF7	85	1
1_MACS_peak_2987_lociStitched	chr1	218336684	218343683	1	7000	33489.5151	86	1			RRP15	86	1
2_MACS_peak_2413_lociStitched	chr1	175155481	175162542	2	6987	12869.3786	87	1	KIAA0040		KIAA0040	87	1
2_MACS_peak_6075_lociStitched	chr11	111237249	111244307	2	6947	15291.8628	88	1	POU2AF1		POU2AF1	88	1
4_MACS_peak_2735_lociStitched	chr1	203707182	203714523	4	6945	11494.5378	89	1	ATP2B4	SNORA77,LAX1	SNORA77	89	1
6_MACS_peak_28723_lociStitched	chr6	160398277	160405482	6	6928	15180.935	90	1	IGF2R		IGF2R	90	1
8_MACS_peak_17248_lociStitched	chr2	88895975	88904026	8	6924	12600.6201	91	1	EIF2AK3		EIF2AK3	91	1
3_MACS_peak_13783_lociStitched	chr17	74258505	74265621	3	6841	16330.5084	92	1	FAM100B	RNF157,QRICH2	FAM100B	92	1
3_MACS_peak_13541_lociStitched	chr17	62164329	62171441	3	6836	10966.704	93	1	ERN1		ERN1	93	1
4_MACS_peak_17205_lociStitched	chr2	87781945	87789010	4	6835	11982.9465	94	1	NCRNA00152		NCRNA00152	94	1
2_MACS_peak_31509_lociStitched	chr8	128746906	128754195	2	6833	17723.2035	95	1	MYC		MYC	95	1
5_MACS_peak_9873_lociStitched	chr15	31634969	31642024	5	6829	10705.257	96	1	KLF13		KLF13	96	1
3_MACS_peak_23327_lociStitched	chr3	186713368	186720354	3	6823	21143.8276	97	1	ST6GAL1	ST6GAL1	ST6GAL1	97	1
6_MACS_peak_10980_lociStitched	chr15	90638644	90646192	6	6797	11148.396	98	1	IDH2		IDH2	98	1
5_MACS_peak_18659_lociStitched	chr2	232570613	232577580	5	6791	19220.5596	99	1	PTMA	MIR1244-1	PTMA	99	1
2_MACS_peak_25691_lociStitched	chr5	90673707	90680819	2	6785	27206.956	100	1	LOC100129716,ARRDC3		LOC100129716	100	1
2_MACS_peak_3958_lociStitched	chr10	63804760	63811789	2	6780	18650.0457	101	1	ARID5B		ARID5B	101	1
4_MACS_peak_19649_lociStitched	chr20	57463709	57470770	4	6759	12353.9256	102	1	GNAS	GNAS-AS	GNAS	102	1
9_MACS_peak_16813_lociStitched	chr2	56569434	56577753	9	6748	9541.893	103	1	CCDC85A		CCDC85A	103	1
5_MACS_peak_13637_lociStitched	chr17	66451231	66459010	5	6738	11385.3444	104	1	WIPI1	PRKAR1A,MIR635	WIPI1	104	1
2_MACS_peak_3942_lociStitched	chr10	63658434	63665400	2	6647	14656.464	105	1	ARID5B		ARID5B	105	1
4_MACS_peak_12861_lociStitched	chr17	29635077	29642268	4	6639	10593.0621	106	1	NF1,EVI2B	OMG,EVI2A	EVI2B	106	1
3_MACS_peak_3468_lociStitched	chr10	3821631	3828855	3	6608	33861.7776	107	1	KLF6		KLF6	107	1
3_MACS_peak_26030_lociStitched	chr5	131821024	131827616	3	6543	16769.3888	108	1	IRF1		IRF1	108	1
3_MACS_peak_32998_lociStitched	chr9	132646876	132653630	3	6512	13146.661	109	1	FNBP1	USP20,C9orf78	USP20	109	1
10_MACS_peak_26131_lociStitched	chr5	139037646	139044960	10	6485	8629.7886	110	1	CXXC5		CXXC5	110	1
6_MACS_peak_16231_lociStitched	chr2	9687199	9694027	6	6421	11430.072	111	1	ADAM17		ADAM17	111	1
6_MACS_peak_18268_lociStitched	chr2	197029409	197036849	6	6389	13450.032	112	1	STK17B		STK17B	112	1
3_MACS_peak_10432_lociStitched	chr15	65183673	65190147	3	6388	16987.1286	113	1		PLEKHO2,ANKDD1A	ANKDD1A	113	1
4_MACS_peak_10127_lociStitched	chr15	45016427	45022883	4	6382	16738.4712	114	1		B2M,TRIM69,PATL2	TRIM69	114	1
8_MACS_peak_25895_lociStitched	chr5	118673459	118680562	8	6376	8896.5075	115	1	TNFAIP8	TNFAIP8	TNFAIP8	115	1
