GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
DUSP22	NM_020185	chr6:285927-359856	1	1	1.148
IRF4	NM_001195286	chr6:387654-405169,chr6:285927-359856	1,218	1	0.6644
TMEM121	NM_025268	chr14:106024753-106058312,chr14:105947178-105949636,chr14:105953305-105958617	2,698,965	1	0.0874
FAM46C	NM_017709	chr1:118147209-118230730	3	1	0.7372
CXXC5	NM_016463	chr5:139027171-139081392,chr5:139008894-139022565	4,72	1	1.302
ZBTB38	NM_001080412	chr3:141085242-141135065	6	1	0.6185
GAS2	NM_001143830	chr11:22676351-22705857,chr11:22793212-22809059,chr11:22820369-22832445	7,813,1209	1	0.6633
FANCF	NM_022725	chr11:22676351-22705857	7	1	0.4006
TNFRSF13B	NM_012452	chr17:16842298-16895872,chr17:16825968-16839512	8,1131	1	0.867
BMP6	NM_001718	chr6:7880212-7923057	9	1	0.3401
MUTED-TXNDC5	NR_037616	chr6:7880212-7923057,chr6:7932214-7942911,chr6:7958512-7970564,chr6:7973664-7981441	9,450,547,645	1	0.5749
TXNDC5	NM_001145549	chr6:7880212-7923057,chr6:7932214-7942911,chr6:7958512-7970564	9,450,547	1	1.0727
CCDC88C	NM_001080414	chr14:91811982-91869812,chr14:91873120-91885707	10,489	1	0.5334
NAV2	NM_001111018	chr11:19439270-19501203,chr11:19564239-19577731	11,856	1	0.3196
FLJ13439	NR_033989	chr11:19439270-19501203,chr11:19564239-19577731	11,856	1	0.511
TPD52	NM_005079	chr8:81031307-81087765,chr8:80985874-81024593	12,95	1	0.6111
IGLL5	NM_001178126	chr22:23222202-23249575,chr22:23261447-23298074	13,29	1	1.1385
BTG2	NM_006763	chr1:203242241-203279890,chr1:203286398-203298542	14,392	1	0.9957
LOC730227	NR_034150	chr1:203242241-203279890,chr1:203286398-203298542	14,392	1	1.119
CHIT1	NM_003465	chr1:203242241-203279890	14	1	0.0499
FMOD	NM_002023	chr1:203242241-203279890,chr1:203286398-203298542	14,392	1	0.0716
FCHSD2	NM_014824	chr11:72837696-72874226,chr11:72531838-72547790,chr11:72754345-72772443,chr11:72793528-72818106	15,304,352,459	1	0.4553
FRMD8	NM_031904	chr11:65180959-65200943,chr11:65144017-65158019	16,326	1	0.6276
NEAT1	NR_028272	chr11:65180959-65200943,chr11:65144017-65158019,chr11:65237711-65245974	16,326,402	1	2.8946
MIR612	NR_030343	chr11:65180959-65200943,chr11:65258803-65278514,chr11:65237711-65245974	16,43,402	1	0.5481
SLC25A45	NM_001077241	chr11:65144017-65158019,chr11:65180959-65200943	16,326	1	0.7516
UBE2J1	NM_016021	chr6:90049301-90087250	17	1	0.9557
RRAGD	NM_021244	chr6:90049301-90087250	17	1	0.4649
GABRR2	NM_002043	chr6:90049301-90087250	17	1	0.2938
POU2AF1	NM_006235	chr11:111216599-111254644,chr11:111278562-111293859	18,133	1	1.1537
C11orf93	NM_001136105	chr11:111216599-111254644	18	1	0.3336
C11orf92	NR_034154	chr11:111216599-111254644	18	1	0.3424
USP6NL	NM_001080491	chr10:11557252-11606174	19	1	0.4672
DEPDC6	NM_022783	chr8:120910938-120969677	20	1	0.3952
DSCC1	NM_024094	chr8:120910938-120969677	20	1	0.1432
COMMD3	NM_012071	chr10:22593995-22616785,chr10:22621409-22635525	21,187	1	1.8749
BMI1	NM_005180	chr10:22593995-22616785,chr10:22621409-22635525	21,187	1	1.4109
SPAG6	NM_172242	chr10:22621409-22635525,chr10:22593995-22616785	21,187	1	0.262
ADAMTSL4	NM_019032	chr1:150531807-150553268	22	1	0.822
MCL1	NM_001197320	chr1:150531807-150553268,chr1:150579747-150588789	22,164	1	1.3274
MIR4257	NR_036211	chr1:150531807-150553268	22	1	0.1937
ENSA	NM_207046	chr1:150531807-150553268,chr1:150579747-150588789	22,164	1	0.6662
TMCC2	NM_014858	chr1:205242175-205291552	23	1	0.3545
NUAK2	NM_030952	chr1:205242175-205291552	23	1	0.6821
KLHDC8A	NM_018203	chr1:205242175-205291552	23	1	0.2394
CLECL1	NM_172004	chr12:9858080-9891153	24	1	1.3498
CLEC2D	NR_036693	chr12:9819620-9828377,chr12:9858080-9891153	24,1266	1	0.3036
CD69	NR_026672	chr12:9858080-9891153	24	1	0.0634
INPP4A	NM_004027	chr2:99066468-99110880	25	1	0.4009
RREB1	NM_001168344	chr6:7127645-7165628	26	1	0.4974
CSGALNACT1	NM_018371	chr8:19493887-19547063,chr8:19426820-19440751,chr8:19550824-19572140	27,271,801	1	0.3833
