GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
IGLL5	NM_001178126	chr22:23264777-23281671	1	1	0.0946
NEAT1	NR_028272	chr11:65183970-65196342	2	1	5.5831
FRMD8	NM_031904	chr11:65183970-65196342	2	1	0.7675
MIR612	NR_030343	chr11:65183970-65196342	2	1	0.3138
SLC25A45	NM_001077241	chr11:65183970-65196342	2	1	0.9183
MUTED-TXNDC5	NR_037616	chr6:7904623-7921709	3	1	0.5685
TXNDC5	NM_001145549	chr6:7904623-7921709	3	1	1.3086
DUSP22	NM_020185	chr6:289996-300256,chr6:316884-330483,chr6:256507-259448	4,5,285	1	2.0731
TMEM121	NM_025268	chr14:106037554-106049550,chr14:106025724-106035562	6,45	1	0.0825
IRF2BP2	NM_182972	chr1:234742293-234750136	8	1	3.1382
NCRNA00184	NR_033927	chr1:234742293-234750136	8	1	0.119
ADAMTS17	NM_139057	chr15:100649855-100658852	9	1	0.2587
MIR3679	NR_037450	chr2:134876248-134889800	10	1	2.1596
MAP2K3	NM_145109	chr17:21197477-21205917	11	1	1.32
C17orf103	NM_152914	chr17:21197477-21205917	11	1	0.0943
GRIN1	NM_000832	chr9:140061419-140069842	13	1	0.9885
LRRC26	NM_001013653	chr9:140061419-140069842	13	1	3.0132
MIR3621	NR_037416	chr9:140061419-140069842	13	1	3.0895
ANAPC2	NM_013366	chr9:140061419-140069842	13	1	1.3511
SSNA1	NM_003731	chr9:140061419-140069842	13	1	0.6223
NDOR1	NM_001144026	chr9:140061419-140069842	13	1	0.5116
C9orf169	NM_199001	chr9:140061419-140069842	13	1	0.8011
TPRN	NM_001128228	chr9:140061419-140069842	13	1	0.628
TMEM203	NM_053045	chr9:140061419-140069842	13	1	0.6087
RNF208	NM_031297	chr9:140061419-140069842	13	1	0.7126
GAS6	NM_000820	chr13:114562592-114568144,chr13:114556793-114561344,chr13:114581476-114586295	14,100,138	1	1.0425
FLJ44054	NR_024609	chr13:114562592-114568144,chr13:114581476-114586295,chr13:114556793-114561344	14,100,138	1	0.6367
PVT1	NR_003367	chr8:128806012-128810939	15	1	0.2039
MIR1204	NR_031609	chr8:128806012-128810939	15	1	3.1327
ARID5A	NM_212481	chr2:97201585-97204494,chr2:97188182-97195914	16,297	1	0.7789
NEURL3	NR_026875	chr2:97188182-97195914,chr2:97201585-97204494	16,297	1	0.0933
EEF1A1	NM_001402	chr6:74229357-74234214	17	1	1.982
NADK	NM_001198993	chr1:1707647-1714737	18	1	0.9367
SLC35E2	NM_182838	chr1:1707647-1714737	18	1	0.4905
CCND2	NM_001759	chr12:4378085-4385433	19	1	0.7526
C12orf5	NM_020375	chr12:4378085-4385433	19	1	0.1686
PYGB	NM_002862	chr20:25274126-25283368	20	1	0.7023
ABHD12	NM_015600	chr20:25274126-25283368,chr20:25289233-25292953	20,222	1	0.6756
ZBTB7B	NM_015872	chr1:154971115-154977623,chr1:154988071-154992891	21,104	1	1.8474
CKS1B	NR_024163	chr1:154971115-154977623,chr1:154988071-154992891,chr1:154908456-154911389	21,104,166	1	0.8719
MIR4258	NR_036212	chr1:154971115-154977623,chr1:154988071-154992891,chr1:154908456-154911389	21,104,166	1	0.9642
