GENE_ID	locusLine	bin_1_06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13.bam
NM_001010935	chr1(.):112157404-112261101	0.1096
NM_015001	chr1(.):16169358-16271950	0.1382
NR_026567	chr1(.):17012712-17051652	0.1637
NM_001113348	chr1(.):21538739-21677034	0.282
NM_004091	chr1(.):23827921-23862713	1.385
NM_173065	chr1(.):24475646-24518751	1.1997
NM_001048199	chr1(.):28827454-28870708	0.5279
NR_002909	chr1(.):28827454-28842404	1.1396
NM_002379	chr1(.):31179123-31201432	0.2098
NR_034182	chr1(.):31186618-31204593	0.2418
NM_002600	chr1(.):66253855-66845262	0.266
NM_001037341	chr1(.):66253192-66845262	0.2658
NM_001037340	chr1(.):66453389-66845262	0.3574
NM_018841	chr1(.):68162148-68304155	0.2125
NM_001081976	chr1(.):112020969-112111597	0.1326
NM_203458	chr1(.):145204110-145290912	0.5135
NM_004892	chr1(.):145091406-145121922	0.2741
NM_153713	chr1(.):145472084-145504091	0.2059
NM_207168	chr1(.):150594521-150607098	0.7831
NM_020699	chr1(.):153772202-153900451	0.1783
NM_020524	chr1(.):154911558-154933567	2.8249
NM_181359	chr1(.):154372668-154445188	0.9379
NM_002249	chr1(.):154674914-154847754	0.5415
NM_170782	chr1(.):154674914-154837338	0.5555
NM_005572	chr1(.):156079460-156112657	0.4236
NM_170708	chr1(.):156079460-156114878	0.4067
NM_005973	chr1(.):156732273-156775609	0.3217
NM_012394	chr1(.):161065345-161092866	0.3326
NM_052862	chr1(.):167594473-167680486	0.3918
NM_014412	chr1(.):174963891-174986163	0.9513
NM_001007214	chr1(.):174963570-174986163	0.9381
NM_145034	chr1(.):179804101-179851941	0.4145
NM_022347	chr1(.):179823164-179851941	0.6396
NM_015149	chr1(.):183600207-183902666	0.4307
NM_025191	chr1(.):184654624-184729041	0.3826
NM_144977	chr1(.):197516384-197749623	0.22
NM_001195215	chr1(.):197468878-197749623	0.1954
NM_014827	chr1(.):203759750-203828256	0.1948
NM_182663	chr1(.):206675878-206767616	0.6528
NM_001193338	chr1(.):207071630-207100235	1.1221
NM_005449	chr1(.):207071630-207100378	1.1168
NM_002221	chr1(.):226814390-226931876	0.7567
NM_004481	chr1(.):230197955-230422875	0.4068
NM_032328	chr1(.):245128170-245256148	0.2959
NR_026588	chr1(.):245128630-245256148	0.2966
NR_026587	chr1(.):245128630-245293530	0.2452
NR_026586	chr1(.):245128283-245293530	0.2449
NM_001089591	chr1(.):16128656-16139194	0.0629
NR_024279	chr1(.):16155709-16179642	1.1851
NR_026752	chr1(.):16939750-16962401	0.3955
NR_027504	chr1(.):16967068-16981915	1.207
NR_002729	chr1(.):17076400-17095975	0.1563
NM_014675	chr1(.):17243444-17304474	0.0991
NM_001397	chr1(.):21538739-21621982	0.3509
NM_001113347	chr1(.):21538739-21611183	0.0739
NM_001113349	chr1(.):21538739-21621766	0.3465
NM_017707	chr1(.):23750055-23815750	0.0711
NM_002167	chr1(.):23879408-23891322	0.5017
NM_021258	chr1(.):24441260-24474611	0.1089
NR_027087	chr1(.):24521729-24543180	0.6237
NM_006015	chr1(.):27017521-27113601	0.5557
NR_003109	chr1(.):28874528-28910057	0.4686
NM_001269	chr1(.):28839744-28870708	0.1972
NM_006762	chr1(.):31200314-31235683	1.9412
NM_001198979	chr1(.):40854016-40893998	0.1681
NM_001198978	chr1(.):40835304-40893998	0.3946
NM_001198980	chr1(.):40857471-40893998	0.0922
NM_022733	chr1(.):40834377-40893998	0.3886
NM_015696	chr1(.):53063042-53079723	0.1272
NM_001042693	chr1(.):53094065-53127737	0.7911
NM_001037339	chr1(.):66792792-66845262	0.8279
NM_001001933	chr1(.):75589118-75632218	0.8121
NM_004974	chr1(.):111140775-111153345	0.064
NM_002232	chr1(.):111209309-111222655	0.8249
NR_034126	chr1(.):112136628-112155940	1.087
NM_017709	chr1(.):118143603-118176011	2.5678
NM_001123068	chr1(.):143762143-143772881	0.1175
NR_027469	chr1(.):143713512-143749587	0.6248
NR_027468	chr1(.):143713512-143749457	0.6266
NM_032305	chr1(.):145451235-145475387	1.44
NM_202004	chr1(.):145408190-145422545	0.1167
NM_006472	chr1(.):145433461-145447628	2.0009
NM_001039888	chr1(.):145465507-145480647	0.348
NM_005105	chr1(.):145502637-145516444	1.2032
NR_027468	chr1(.):147901021-147936980	0.3999
NM_001161334	chr1(.):149749244-149788928	0.3316
NM_001034077	chr1(.):149799220-149809616	1.1544
NM_001005464	chr1(.):149807258-149817765	2.1913
NM_001040874	chr1(.):149808784-149819318	2.1943
NM_001123375	chr1(.):149779779-149790236	0.7675
NM_000566	chr1(.):149749249-149769074	0.2277
NM_005850	chr1(.):149890210-149904702	0.9664
NM_016074	chr1(.):149866154-149877348	0.4163
NM_003528	chr1(.):149851009-149863232	2.1697
NM_003517	chr1(.):149853524-149863961	2.5079
NM_175065	chr1(.):149854018-149864466	2.4936
NM_014849	chr1(.):149869871-149894434	0.2459
NM_181873	chr1(.):149895542-149913266	1.0329
NM_001145862	chr1(.):149895542-149913791	1.0046
NR_036461	chr1(.):149816758-149827340	2.1429
NM_001040874	chr1(.):149817627-149828161	2.1481
NM_001005464	chr1(.):149819180-149829687	2.1518
NM_001034077	chr1(.):149827329-149837725	1.1474
NM_016274	chr1(.):150117169-150136825	1.0438
NM_019032	chr1(.):150516897-150538412	1.9878
NM_207046	chr1(.):150589598-150606609	0.6418
NR_036211	chr1(.):150519404-150529490	0.1456
NM_001197320	chr1(.):150542026-150557214	0.9608
NM_020239	chr1(.):151018446-151037125	0.7865
NM_138278	chr1(.):151004028-151025076	0.1606
