REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
26_MACS_peak_13202_lociStitched	chr17	77078190	77297617	26	213357	328262.792	19616.7738	1	ENGASE,RBFOX3	C1QTNF1	ENGASE	1	1
15_MACS_peak_13843_lociStitched	chr19	1668836	1813165	15	139952	299424.9434	21606.0513	2	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	2	1
18_MACS_peak_13475_lociStitched	chr17	79316467	79474262	18	153825	265758.339	14438.2425	3	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1,C17orf70	BAHCC1	3	1
15_MACS_peak_9370_lociStitched	chr16	1204113	1342062	15	135412	245825.118	11946.3834	4	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSG1	4	1
5_MACS_peak_13458_lociStitched	chr17	78991634	79095259	5	102346	215788.7	10310.6875	5	BAIAP2,FLJ90757,AATK	CHMP6,MIR3065,LOC388428,MIR657,MIR338,MIR1250	BAIAP2	5	1
20_MACS_peak_1357_lociStitched	chr1	10755015	10903301	20	144626	214466.0418	13568.169	6	CASZ1		CASZ1	6	1
10_MACS_peak_13786_lociStitched	chr19	681112	794294	10	111072	209499.882	15743.6162	7	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	7	1
24_MACS_peak_12359_lociStitched	chr17	47938377	48078691	24	136057	208282.1016	15167.9434	8	DLX4,DLX3	TAC4	DLX4	8	1
21_MACS_peak_14085_lociStitched	chr19	3773047	3910688	21	133759	207135.9409	18595.2991	9	ATCAY,MATK,ZFR2	TJP3,MRPL54,ITGB1BP3,APBA3,RAX2	ZFR2	9	1
17_MACS_peak_19756_lociStitched	chr20	61313047	61424092	17	105675	181203.231	11459.844	10	NTSR1	SLCO4A1,C20orf20,OGFR,COL9A3,LOC100127888	NTSR1	10	1
26_MACS_peak_13235_lociStitched	chr17	77344718	77493399	26	141081	183442.6178	14005.7502	11	RBFOX3		RBFOX3	11	1
7_MACS_peak_19740_lociStitched	chr20	60984630	61072552	7	86927	172142.4838	8229.4992	12	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	12	1
1_MACS_peak_5487_lociStitched	chr11	1981897	2063462	1	81566	170005.9295	7406.102	13	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	13	1
5_MACS_peak_20400_lociStitched	chr21	46709100	46794456	5	84243	167972.0724	11693.772	14	LOC642852	COL18A1,POFUT2	LOC642852	14	1
6_MACS_peak_23911_lociStitched	chr4	9211638	9274657	6	62555	176226.3316	20216.4952	15	USP17		USP17	15	1
2_MACS_peak_13818_lociStitched	chr19	1282689	1344652	2	61600	160589.5071	8650.0348	16	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	16	1
16_MACS_peak_28528_lociStitched	chr9	132406572	132520085	16	110687	153299.3065	11374.0026	17	PRRX2,PTGES	METTL11A,TOR1B,C9orf50,ASB6	PRRX2	17	1
2_MACS_peak_1676_lociStitched	chr1	17011887	17067346	2	55377	155867.5195	15733.7183	18	ESPNP	MST1P2,MST1P9	ESPNP	18	1
32_MACS_peak_121_lociStitched	chr1	1914569	2044272	32	120480	150792.7078	11063.6659	19	GABRD,PRKCZ,KIAA1751		PRKCZ	19	1
4_MACS_peak_422_lociStitched	chr1	3404590	3488387	4	83315	146091.6898	6619.963	20	MEGF6,MIR551A	ARHGEF16	MIR551A	20	1
30_MACS_peak_5388_lociStitched	chr11	1587788	1700995	30	104840	150203.0476	12486.7321	21	LOC338651,KRTAP5-5,FAM99A,MOB2,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,KRTAP5-4	KRTAP5-6,FAM99B	KRTAP5-4	21	1
13_MACS_peak_20152_lociStitched	chr21	44049691	44146484	13	92409	151180.9867	13589.7372	22	PDE9A		PDE9A	22	1
