REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X24_0F2A_0229Kronos_MM1S.KB.1hr.2_H3K27me3_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
11_MACS_peak_16575_lociStitched	chr17	77083780	77199216	11	113553	241018.8244	10862.5276	1	ENGASE,RBFOX3		ENGASE	ENGASE	0.9343999999999999	1	1
5_MACS_peak_6945_lociStitched	chr11	1982251	2063134	5	80395	209333.2923	7991.2404	2	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	2.8495999999999997	2	1
7_MACS_peak_37202_lociStitched	chr9	139525934	139614843	7	88100	205904.3531	9397.6813	3	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	MIR126	MIR126	2.6836	3	1
7_MACS_peak_24654_lociStitched	chr20	60984675	61072386	7	86638	204007.0149	8604.4491	4	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	2.2155	4	1
8_MACS_peak_17389_lociStitched	chr19	681203	769468	8	86962	204033.374	12824.9045	5	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,POLRMT,RNF126	PALM	PALM	2.3564	5	1
19_MACS_peak_29984_lociStitched	chr4	9211678	9274618	19	61426	197209.902	22293.348	6	USP17		USP17	USP17	2.7673	6	1
4_MACS_peak_627_lociStitched	chr1	3408394	3488285	4	79414	174553.8459	6622.9639	7	MEGF6,MIR551A	ARHGEF16	MIR551A	MIR551A	1.9368	7	1
5_MACS_peak_16973_lociStitched	chr17	79009545	79075142	5	65391	174225.632	7747.0057	8	BAIAP2	CHMP6,MIR3065,FLJ90757,MIR657,MIR338,MIR1250	BAIAP2	BAIAP2	2.417	8	1
2_MACS_peak_18623_lociStitched	chr19	8851097	8897611	2	46454	190846.942	24843.1274	9		OR2Z1,ACTL9,ZNF558	OR2Z1	ACTL9	0.3609	9	1
5_MACS_peak_2174_lociStitched	chr1	17012365	17066270	5	53265	176113.0255	15050.276	10	ESPNP	MST1P2,MST1P9	ESPNP	ESPNP	3.4502	10	1
23_MACS_peak_16627_lociStitched	chr17	77354060	77455598	23	98091	163476.18	10732.5666	11	RBFOX3		RBFOX3	RBFOX3	1.4731	11	1
2_MACS_peak_17429_lociStitched	chr19	1286380	1328665	2	42286	148073.613	5797.2735	12	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,C19orf26,C19orf23	EFNA2	EFNA2	3.3752	12	1
17_MACS_peak_27618_lociStitched	chr22	46295871	46374716	17	75846	145547.87	7182.7795	13	WNT7B	LOC730668	WNT7B	WNT7B	1.7239	13	1
6_MACS_peak_25263_lociStitched	chr21	44155798	44218059	6	61222	144962.2863	9625.5506	14	PDE9A		WDR4	WDR4	NONE	14	1
12_MACS_peak_30003_lociStitched	chr4	9324637	9370797	12	45213	141226.52	15832.88	15	USP17,USP17L6P		USP17L6P	USP17L6P	1.5399	15	1
1_MACS_peak_25489_lociStitched	chr21	46301200	46342605	1	41406	128740.5665	7134.0815	16	ITGB2	C21orf70,PTTG1IP,C21orf67	ITGB2	ITGB2	2.7713	16	1
6_MACS_peak_17018_lociStitched	chr17	79399928	79452104	6	51566	124544.112	4643.664	17	BAHCC1,MIR3186	FSCN2,ACTG1	MIR3186	MIR3186	2.6953	17	1
12_MACS_peak_287_lociStitched	chr1	2346631	2411265	12	62420	125099.107	6146.6934	18	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	MORN1	1.673	18	1
8_MACS_peak_11710_lociStitched	chr16	1144911	1202512	8	55954	121284.6656	4694.4815	19	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	CACNA1H	2.03	19	1
7_MACS_peak_17773_lociStitched	chr19	3798184	3856452	7	57861	124827.5364	8612.0104	20	MATK,ZFR2	MRPL54,ATCAY,APBA3,RAX2,MATK	MATK	MATK	1.4297	20	1
7_MACS_peak_17469_lociStitched	chr19	1704033	1753672	7	48481	122514.0159	7128.1604	21	ONECUT3		ONECUT3	ONECUT3	2.4724	21	1
19_MACS_peak_17708_lociStitched	chr19	3360344	3434846	19	71533	124373.6388	10050.3198	22	NFIC	C19orf77	NFIC	NFIC	1.5298	22	1
14_MACS_peak_13739_lociStitched	chr17	1042143	1106225	14	61695	118647.823	7395.0628	23	ABR	ABR	ABR	ABR	0.5408	23	1
3_MACS_peak_21291_lociStitched	chr19	48406099	48462661	3	56028	131048.4978	21193.7814	24	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	SNAR-C2	1.9097000000000002	24	1
4_MACS_peak_24785_lociStitched	chr20	61850412	61901356	4	50817	114145.1264	5965.5424	25	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	MIR3196	2.2563999999999997	25	1
13_MACS_peak_35956_lociStitched	chr9	133769879	133825566	13	53192	112432.053	5407.2077	26	FIBCD1	QRFP	FIBCD1	FIBCD1	2.0679	26	1
5_MACS_peak_277_lociStitched	chr1	2246734	2293965	5	46457	106855.4144	4246.0669	27	MORN1,LOC100129534	RER1	LOC100129534	LOC100129534	2.0206	27	1
15_MACS_peak_531_lociStitched	chr1	3099376	3167709	15	67006	107303.3099	5323.1407	28	PRDM16		MIR4251	MIR4251	1.4012	28	1
3_MACS_peak_37175_lociStitched	chr9	139216977	139253127	3	35804	104234.91	3264.345	29	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	GPSM1	2.4146	29	1
9_MACS_peak_26597_lociStitched	chr22	37772194	37831511	9	58679	107227.3409	6275.7386	30	ELFN2		ELFN2	ELFN2	1.5889	30	1
11_MACS_peak_24720_lociStitched	chr20	61585490	61640684	11	53726	105668.913	5596.6716	31	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	BHLHE23	1.5784	31	1
13_MACS_peak_15487_lociStitched	chr17	47952638	48014449	13	60486	104911.8103	6712.6746	32		DLX4,TAC4	TAC4	DLX4	2.0273	32	1
2_MACS_peak_31063_lociStitched	chr6	31991202	32028182	2	36846	99638.912	4940.528	33	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	TNXA	2.6973	33	1
11_MACS_peak_1756_lociStitched	chr1	10792302	10851998	11	58143	100665.3648	6339.7152	34	CASZ1		CASZ1	CASZ1	1.6681	34	1
5_MACS_peak_25492_lociStitched	chr21	46404243	46438361	5	32844	98682.9032	4807.2262	35	NCRNA00163,NCRNA00162	C21orf70,C21orf67	NCRNA00162	NCRNA00162	2.6001	35	1
8_MACS_peak_37194_lociStitched	chr9	139477231	139525149	8	47229	98174.3984	4465.9576	36		EGFL7,MIR126,NOTCH1	EGFL7	EGFL7	2.7453	36	1
7_MACS_peak_24821_lociStitched	chr20	62074625	62123073	7	47017	97041.344	4418.4576	37	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	KCNQ2	1.7264	37	1
19_MACS_peak_24965_lociStitched	chr20	62807507	62866170	19	55787	96518.2339	6505.7267	38	MYT1	PCMTD2	MYT1	MYT1	1.3798	38	1
