GENE	TF	CHROM	START	STOP	ENHANCER_ID
A1BG	0	chr19	58891358	58899717	2_MACS_peak_11728_lociStitched
A1BG-AS1	0	chr19	58891358	58899717	2_MACS_peak_11728_lociStitched
AANAT	0	chr17	74486399	74503015	4_MACS_peak_9755_lociStitched
AARS2	0	chr6	44223768	44234379	2_MACS_peak_19688_lociStitched
ABCA7	0	chr19	1018245	1029881	2_MACS_peak_10530_lociStitched
ABCF1	0	chr6	30581989	30586878	1_MACS_peak_19423_lociStitched
ABCG4	0	chr11	118963716	118979608	3_MACS_peak_4235_lociStitched
ABHD4	0	chr14	23018169	23039465	5_MACS_peak_6211_lociStitched
ACBD4	0	chr17	43224061	43229714	1_MACS_peak_9358_lociStitched
ACBD4	0	chr17	43237152	43240451	1_MACS_peak_9359_lociStitched
ACCN3	0	chr7	150776597	150785750	2_MACS_peak_21844_lociStitched
ACD	0	chr16	67693026	67702481	2_MACS_peak_8410_lociStitched
ACO2	0	chr22	41839765	41845146	1_MACS_peak_14920_lociStitched
ACTB	0	chr7	5567893	5571606	1_MACS_peak_20670_lociStitched
ACTR3	0	chr2	114642638	114649563	1_MACS_peak_12678_lociStitched
ACTR3C	0	chr7	150063930	150068401	1_MACS_peak_21832_lociStitched
ACTR3C	0	chr7	150016452	150021729	1_MACS_peak_21830_lociStitched
ADAM15	0	chr1	154970255	154980043	1_MACS_peak_1418_lociStitched
ADAMTS4	0	chr1	161122805	161137379	3_MACS_peak_1534_lociStitched
ADAMTS4	0	chr1	161144937	161157342	2_MACS_peak_1537_lociStitched
ADAMTSL4	0	chr1	150532274	150553388	2_MACS_peak_1324_lociStitched
ADAR	0	chr1	154523150	154533011	2_MACS_peak_1395_lociStitched
ADAT3	0	chr19	1847341	1865493	4_MACS_peak_10570_lociStitched
ADAT3	0	chr19	1939667	1943708	1_MACS_peak_10580_lociStitched
ADCY10	0	chr1	167903206	167908374	1_MACS_peak_1611_lociStitched
ADM2	0	chr22	50962895	50970988	2_MACS_peak_15049_lociStitched
ADNP	0	chr20	49545857	49549071	1_MACS_peak_14052_lociStitched
ADORA2A	0	chr22	24819569	24833082	2_MACS_peak_14642_lociStitched
ADRBK1	0	chr11	67054496	67058103	1_MACS_peak_3842_lociStitched
AFMID	0	chr17	76163865	76172612	3_MACS_peak_9809_lociStitched
AGAP3	0	chr7	150776597	150785750	2_MACS_peak_21844_lociStitched
AGXT2L2	0	chr5	177657181	177674644	4_MACS_peak_19002_lociStitched
AHNAK	0	chr11	62306422	62328528	3_MACS_peak_3672_lociStitched
AHNAK	0	chr11	62223509	62233682	2_MACS_peak_3670_lociStitched
AHRR	0	chr5	368036	376717	1_MACS_peak_17644_lociStitched
AHRR	0	chr5	390518	403758	2_MACS_peak_17645_lociStitched
AIF1	0	chr6	31627116	31634997	2_MACS_peak_19462_lociStitched
AIMP2	0	chr7	6047421	6057610	2_MACS_peak_20676_lociStitched
AKAP2	0	chr9	112904471	112921587	3_MACS_peak_23766_lociStitched
AKAP5	0	chr14	64968040	64973998	1_MACS_peak_6532_lociStitched
AKT1S1	0	chr19	50378485	50382461	1_MACS_peak_11537_lociStitched
ALDOA	0	chr16	30074486	30079338	1_MACS_peak_8190_lociStitched
ALG12	0	chr22	50352911	50364844	3_MACS_peak_15029_lociStitched
ALKBH4	0	chr7	102063550	102075708	2_MACS_peak_21482_lociStitched
ALKBH5	0	chr17	18085411	18091454	1_MACS_peak_8975_lociStitched
