GENE_ID	locusLine	bin_1_24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06.bam
2_MACS_peak_1_lociStitched	chr1(.):30112-33129	0.849
1_MACS_peak_3_lociStitched	chr1(.):33796-36283	0.962
1_MACS_peak_4_lociStitched	chr1(.):37301-37766	0.5356
1_MACS_peak_5_lociStitched	chr1(.):39013-40251	0.7308
2_MACS_peak_6_lociStitched	chr1(.):89729-91317	0.9188
1_MACS_peak_8_lociStitched	chr1(.):93576-94119	0.6558
3_MACS_peak_9_lociStitched	chr1(.):131411-134068	0.7483
1_MACS_peak_12_lociStitched	chr1(.):135102-135980	0.8442
1_MACS_peak_13_lociStitched	chr1(.):327533-328138	0.5814
2_MACS_peak_14_lociStitched	chr1(.):329776-331377	0.6238
1_MACS_peak_16_lociStitched	chr1(.):331955-332350	0.5987
3_MACS_peak_17_lociStitched	chr1(.):658079-659810	0.5733
1_MACS_peak_20_lociStitched	chr1(.):661911-662411	0.4808
1_MACS_peak_21_lociStitched	chr1(.):799231-799776	0.7664
1_MACS_peak_22_lociStitched	chr1(.):801809-802296	0.9594
1_MACS_peak_23_lociStitched	chr1(.):808363-808974	0.9604
1_MACS_peak_24_lociStitched	chr1(.):810141-810448	0.8057
1_MACS_peak_25_lociStitched	chr1(.):823102-823710	0.7846
4_MACS_peak_27_lociStitched	chr1(.):830177-844483	1.591
1_MACS_peak_31_lociStitched	chr1(.):845458-869473	3.261
1_MACS_peak_32_lociStitched	chr1(.):870220-878938	3.139
1_MACS_peak_33_lociStitched	chr1(.):894691-895695	1.234
3_MACS_peak_34_lociStitched	chr1(.):909027-911670	1.0061
3_MACS_peak_37_lociStitched	chr1(.):913472-923222	2.4978
1_MACS_peak_40_lociStitched	chr1(.):923939-924464	0.7346
8_MACS_peak_41_lociStitched	chr1(.):925013-945601	1.8233
1_MACS_peak_49_lociStitched	chr1(.):946360-946749	0.6646
2_MACS_peak_50_lociStitched	chr1(.):949671-950592	0.6867
2_MACS_peak_52_lociStitched	chr1(.):952504-954182	0.9383
4_MACS_peak_54_lociStitched	chr1(.):955481-976325	2.114
7_MACS_peak_58_lociStitched	chr1(.):977598-1004085	1.7816
2_MACS_peak_65_lociStitched	chr1(.):1004596-1012852	2.29
2_MACS_peak_67_lociStitched	chr1(.):1013639-1016615	1.8313
5_MACS_peak_69_lociStitched	chr1(.):1052642-1072650	2.1348
3_MACS_peak_74_lociStitched	chr1(.):1073845-1075076	0.6757
2_MACS_peak_77_lociStitched	chr1(.):1075581-1076197	0.7894
1_MACS_peak_79_lociStitched	chr1(.):1076943-1079196	1.4488
1_MACS_peak_80_lociStitched	chr1(.):1080870-1087805	1.4613
1_MACS_peak_81_lociStitched	chr1(.):1089171-1089706	1.054
2_MACS_peak_82_lociStitched	chr1(.):1090766-1122030	2.5339
3_MACS_peak_84_lociStitched	chr1(.):1122795-1124294	0.85
1_MACS_peak_87_lociStitched	chr1(.):1125051-1125351	0.5418
3_MACS_peak_88_lociStitched	chr1(.):1126241-1128344	0.9893
5_MACS_peak_91_lociStitched	chr1(.):1128942-1150124	2.1505
5_MACS_peak_96_lociStitched	chr1(.):1171659-1185022	2.0772
1_MACS_peak_101_lociStitched	chr1(.):1213373-1213663	0.7503
4_MACS_peak_102_lociStitched	chr1(.):1214409-1224167	1.723
