GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
ENGASE	NM_001042573	chr17:77078322-77289957,chr17:77015739-77047649	1,207	1	0.9319000000000001
RBFOX3	NM_001082575	chr17:77078322-77289957,chr17:77345325-77493176,chr17:77305812-77328824,chr17:77522676-77546137	1,11,511,594	1	1.5421
C1QTNF1	NM_198593	chr17:77015739-77047649,chr17:77078322-77289957	1,207	1	1.3653
ONECUT3	NM_001080488	chr19:1672454-1812368	2	1	2.5315000000000003
ATP8B3	NM_138813	chr19:1672454-1812368	2	1	1.9097
LOC100288123	NR_034114	chr19:1672454-1812368	2	1	0.0
TCF3	NM_001136139	chr19:1672454-1812368	2	1	0.0
MIR1909	NR_031730	chr19:1672454-1812368	2	1	0.32199999999999995
REXO1	NM_020695	chr19:1672454-1812368	2	1	0.08650000000000002
BAHCC1	NM_001080519	chr17:79316894-79474420	3	1	2.2088
MIR3186	NR_036152	chr17:79316894-79474420	3	1	2.6436
FSCN2	NM_012418	chr17:79316894-79474420	3	1	0.5184000000000001
SLC38A10	NM_138570	chr17:79316894-79474420,chr17:79271735-79301251	3,180	1	0.025800000000000003
C17orf55	NM_178519	chr17:79271735-79301251,chr17:79316894-79474420	3,180	1	2.0938
TMEM105	NM_178520	chr17:79271735-79301251,chr17:79316894-79474420	3,180	1	1.8112
ACTG1	NM_001614	chr17:79316894-79474420	3	1	0.1728
C17orf70	NM_025161	chr17:79316894-79474420	3	1	0.004100000000000006
EGFL7	NM_016215	chr9:139477036-139614523	4	1	2.6443
MIR126	NR_029695	chr9:139477036-139614523	4	1	2.4941000000000004
FAM69B	NM_152421	chr9:139477036-139614523,chr9:139627661-139659052	4,153	1	1.2528000000000001
AGPAT2	NM_006412	chr9:139477036-139614523,chr9:139627661-139659052	4,153	1	2.4911
LOC100128593	NR_033913	chr9:139627661-139659052,chr9:139477036-139614523	4,153	1	2.2983
NOTCH1	NM_017617	chr9:139477036-139614523	4	1	0.04390000000000001
SNORA43	NR_002975	chr9:139477036-139614523,chr9:139627661-139659052	4,153	1	0.174
SNORA17	NR_002958	chr9:139477036-139614523,chr9:139627661-139659052	4,153	1	0.1717
SNHG7	NR_024542	chr9:139477036-139614523,chr9:139627661-139659052	4,153	1	0.2212
LCN10	NM_001001712	chr9:139627661-139659052,chr9:139477036-139614523	4,153	1	2.3461000000000003
LCN6	NM_198946	chr9:139627661-139659052,chr9:139477036-139614523	4,153	1	2.3973
LCN8	NM_178469	chr9:139627661-139659052,chr9:139477036-139614523	4,153	1	1.6214
LCN15	NM_203347	chr9:139627661-139659052,chr9:139477036-139614523	4,153	1	1.1978
CACNA1H	NM_021098	chr16:1204087-1341862,chr16:1144505-1202560	5,53	1	2.0431
TPSAB1	NM_003294	chr16:1204087-1341862	5	1	1.8285
TPSD1	NM_012217	chr16:1204087-1341862	5	1	2.2030000000000003
TPSG1	NM_012467	chr16:1204087-1341862	5	1	2.6187
TPSB2	NM_024164	chr16:1204087-1341862	5	1	1.8481
UBE2I	NM_194261	chr16:1204087-1341862	5	1	0.015199999999999991
BAIAP3	NM_001199097	chr16:1204087-1341862	5	1	0.8997
BAIAP2	NM_017451	chr17:78991576-79111380	6	1	2.4189000000000003
MIR3065	NR_036151	chr17:78991576-79111380,chr17:79112540-79161797	6,78	1	1.9914000000000003
FLJ90757	NR_026857	chr17:78991576-79111380	6	1	2.1498
AATK	NM_001080395	chr17:78991576-79111380,chr17:79112540-79161797	6,78	1	2.0118
MIR657	NR_030394	chr17:78991576-79111380,chr17:79112540-79161797	6,78	1	1.9117
MIR338	NR_029897	chr17:78991576-79111380,chr17:79112540-79161797	6,78	1	1.9931
MIR1250	NR_031652	chr17:78991576-79111380,chr17:79112540-79161797	6,78	1	2.1285999999999996
CHMP6	NM_024591	chr17:78991576-79111380	6	1	0.2931
LOC388428	NR_027255	chr17:79112540-79161797,chr17:78991576-79111380	6,78	1	1.9516999999999998
FSTL3	NM_005860	chr19:681187-793343,chr19:665075-679694	7,546	1	1.8472000000000002
PALM	NM_002579	chr19:681187-793343,chr19:665075-679694	7,546	1	2.3426
C19orf21	NM_173481	chr19:681187-793343	7	1	2.0839
PRSSL1	NM_214710	chr19:681187-793343,chr19:665075-679694	7,546	1	2.0862
FGF22	NM_020637	chr19:681187-793343,chr19:585366-603703,chr19:665075-679694	7,345,546	1	0.24739999999999998
PTBP1	NM_031991	chr19:681187-793343,chr19:819348-863787	7,106	1	0.07829999999999998
MIR3187	NR_036154	chr19:681187-793343,chr19:819348-863787	7,106	1	0.18830000000000002
AZU1	NM_001700	chr19:819348-863787,chr19:681187-793343	7,106	1	1.9394000000000002
PRTN3	NM_002777	chr19:819348-863787,chr19:681187-793343	7,106	1	1.9883000000000002
POLRMT	NM_005035	chr19:681187-793343,chr19:585366-603703,chr19:665075-679694	7,345,546	1	0.08589999999999998
RNF126	NM_194460	chr19:681187-793343,chr19:665075-679694	7,546	1	0.2032
