GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
DUSP22	NM_020185	chr6:290375-333243	1	1	1.8041
ZBTB38	NM_001080412	chr3:141085104-141113755	3	1	0.7494
TMEM121	NM_025268	chr14:106023696-106051179	4	1	0.1026
IGJ	NM_144646	chr4:71524275-71549850	5	1	1.204
ENAM	NM_031889	chr4:71524275-71549850	5	1	0.0852
UTP3	NM_020368	chr4:71524275-71549850	5	1	0.5716
RUFY3	NM_001130709	chr4:71524275-71549850	5	1	0.1741
SEL1L	NM_005065	chr14:81935404-81957192	6	1	0.5156
COMMD3	NM_012071	chr10:22595345-22616812,chr10:22617407-22623000,chr10:22626436-22631310	7,698,711	1	1.6232
BMI1	NM_005180	chr10:22595345-22616812,chr10:22617407-22623000,chr10:22626436-22631310	7,698,711	1	1.2614
SPAG6	NM_172242	chr10:22595345-22616812,chr10:22617407-22623000,chr10:22626436-22631310	7,698,711	1	0.1636
ANKRD55	NM_024669	chr5:55435541-55455172,chr5:55461535-55466104	8,654	1	0.4905
IGLL5	NM_001178126	chr22:23229732-23249091,chr22:23264592-23282195	9,21	1	1.3872
FNDC3B	NM_001135095	chr3:171809785-171828638,chr3:171800262-171806188	10,425	1	0.2952
NSMCE2	NM_173685	chr8:126291663-126310799,chr8:126161986-126168486	11,274	1	0.4855
MEF2D	NM_005920	chr1:156457119-156476082	12	1	0.9572
FBXO18	NM_178150	chr10:5929828-5949359	13	1	0.651
ANKRD16	NM_019046	chr10:5929828-5949359	13	1	0.4236
FAM46C	NM_017709	chr1:118192318-118211155,chr1:118171467-118190110	14,15	1	0.4439
CSK	NM_001127190	chr15:75063111-75081795	17	1	0.7434
CYP1A2	NM_000761	chr15:75063111-75081795	17	1	0.0899
LMAN1L	NM_021819	chr15:75063111-75081795	17	1	0.1018
CPLX3	NM_001030005	chr15:75063111-75081795	17	1	0.095
CYP1A1	NM_000499	chr15:75063111-75081795	17	1	0.0788
ZNF217	NM_006526	chr20:52195984-52213673,chr20:52236973-52241718	18,563	1	0.709
HGF	NM_001010932	chr7:81418251-81436004	19	1	0.1267
CDH9	NM_016279	chr5:26869383-26887160	20	1	0.1731
MUTED-TXNDC5	NR_037616	chr6:7902245-7919504	22	1	0.3525
TXNDC5	NM_001145549	chr6:7902245-7919504	22	1	0.8693
EDEM3	NM_025191	chr1:184708912-184725619	23	1	0.8038
DAD1	NM_001344	chr14:23022874-23040202	24	1	0.4925
ABHD4	NM_022060	chr14:23022874-23040202	24	1	0.1607
MIR142	NR_029683	chr17:56407604-56424096	25	1	2.0031
SUPT4H1	NM_003168	chr17:56407604-56424096	25	1	0.8491
MPO	NM_000250	chr17:56407604-56424096	25	1	0.0721
BZRAP1	NM_004758	chr17:56407604-56424096	25	1	0.4686
SMAD7	NM_005904	chr18:46439364-46455926,chr18:46473475-46480056	26,257	1	1.0255
CDKN2C	NM_001262	chr1:51432126-51448806	27	1	1.5849
FAF1	NM_007051	chr1:51432126-51448806	27	1	0.0686
TXNDC11	NM_015914	chr16:11821566-11837579	28	1	0.513
SMCR8	NM_144775	chr17:18217377-18232394	29	1	1.265
TOP3A	NM_004618	chr17:18217377-18232394	29	1	0.3089
SHMT1	NM_004169	chr17:18217377-18232394	29	1	0.609
EVPLL	NM_001145127	chr17:18217377-18232394	29	1	0.0775
PLEKHA7	NM_175058	chr11:16973425-16990153	30	1	0.3111
SSTR3	NM_001051	chr22:37605983-37621377,chr22:37623979-37628904	31,520	1	0.947
RAC2	NM_002872	chr22:37605983-37621377,chr22:37623979-37628904	31,520	1	0.7806
C1QTNF6	NM_031910	chr22:37605983-37621377,chr22:37623979-37628904	31,520	1	0.1025
NDUFV2	NM_021074	chr18:9101725-9109370,chr18:9059203-9074694,chr18:9079321-9086527,chr18:9135085-9141734	32,172,256,258	1	0.7063
CFLAR	NM_003879	chr2:201980009-201994923	33	1	0.6377
NDUFB3	NM_002491	chr2:201980009-201994923	33	1	0.2045
FAM126B	NM_173822	chr2:201980009-201994923	33	1	0.118
PALM2-AKAP2	NM_007203	chr9:112908621-112924805	34	1	0.185
AKAP2	NM_001004065	chr9:112908621-112924805	34	1	0.3541
C9orf152	NM_001012993	chr9:112908621-112924805	34	1	0.1281
HBS1L	NM_006620	chr6:135332304-135349264,chr6:135322600-135331195	35,205	1	0.3139
MIR3662	NR_037435	chr6:135332304-135349264,chr6:135322600-135331195	35,205	1	0.0595
CLECL1	NM_172004	chr12:9872103-9887820	36	1	0.8691
CLEC2D	NR_036693	chr12:9872103-9887820	36	1	0.0606
CD69	NR_026672	chr12:9872103-9887820	36	1	0.0589
LOC400927	NR_002821	chr22:38783457-38798487	37	1	0.4375
KCNJ4	NM_004981	chr22:38783457-38798487	37	1	0.0962
C3orf37	NM_020187	chr3:129023274-129037085,chr3:128997084-129002610	38,525	1	0.5906
C3orf47	NR_026991	chr3:129023274-129037085,chr3:128997084-129002610	38,525	1	1.1252
H1FX	NM_006026	chr3:129023274-129037085,chr3:128997084-129002610	38,525	1	1.9016
BTG2	NM_006763	chr1:203264706-203278376,chr1:203288605-203298166,chr1:203254941-203261544	39,96,249	1	1.4959
LOC730227	NR_034150	chr1:203264706-203278376,chr1:203288605-203298166,chr1:203254941-203261544	39,96,249	1	1.7087
FMOD	NM_002023	chr1:203264706-203278376,chr1:203288605-203298166	39,96	1	0.1743
MFSD11	NM_024311	chr17:74775540-74788985	40	1	0.4923
MIR636	NR_030366	chr17:74775540-74788985	40	1	1.0588
SRSF2	NM_003016	chr17:74775540-74788985	40	1	0.8669
ITGB5	NM_002213	chr3:124499685-124513675,chr3:124487826-124494371	41,255	1	0.4515
RNASEK	NM_001004333	chr17:6914791-6928170	43	1	1.2248
C17orf49	NM_001142799	chr17:6914791-6928170	43	1	1.4251
BCL6B	NM_181844	chr17:6914791-6928170	43	1	0.5548
MIR195	NR_029712	chr17:6914791-6928170	43	1	1.6299
MIR497	NR_030178	chr17:6914791-6928170	43	1	1.6082
ALOX12	NM_000697	chr17:6914791-6928170	43	1	0.3953
SLC16A13	NM_201566	chr17:6914791-6928170	43	1	0.2756
SLC16A11	NM_153357	chr17:6914791-6928170	43	1	0.1054
MALAT1	NR_002819	chr11:65261024-65274815	44	1	1.2804
MIR612	NR_030343	chr11:65261024-65274815,chr11:65183575-65193714	44,77	1	0.4238
SCYL1	NM_001048218	chr11:65261024-65274815,chr11:65339448-65345883	44,293	1	0.3149
SNX25	NM_031953	chr4:186272577-186285715,chr4:186250353-186256533,chr4:186260559-186267246,chr4:186228230-186234036,chr4:186180533-186185793	45,302,335,374,812	1	0.5248
LRP2BP	NM_018409	chr4:186272577-186285715,chr4:186250353-186256533,chr4:186260559-186267246,chr4:186313943-186319593	45,302,335,404	1	0.4909
ANKRD37	NM_181726	chr4:186313943-186319593,chr4:186272577-186285715	45,404	1	0.7945
CASP8	NM_001228	chr2:202112920-202126797,chr2:202085169-202090144	46,752	1	0.6227
FMNL1	NM_005892	chr17:43296713-43309195	47	1	1.1366
LOC100133991	NR_024434	chr17:43296713-43309195	47	1	0.1935
C17orf46	NM_152343	chr17:43296713-43309195	47	1	0.1182
CLPTM1L	NM_030782	chr5:1311335-1323993,chr5:1290852-1297716	48,231	1	0.9176
TERT	NM_001193376	chr5:1290852-1297716,chr5:1311335-1323993	48,231	1	0.4886
FLI1	NM_002017	chr11:128585743-128598274	49	1	0.3273
PMVK	NM_006556	chr1:154907271-154919265,chr1:154924685-154929977	50,443	1	1.5419
PBXIP1	NM_020524	chr1:154907271-154919265,chr1:154924685-154929977,chr1:154969624-154977530	50,160,443	1	1.8954
CKS1B	NR_024163	chr1:154907271-154919265,chr1:154969624-154977530,chr1:154924685-154929977	50,160,443	1	1.1783
MIR4258	NR_036212	chr1:154907271-154919265,chr1:154969624-154977530,chr1:154924685-154929977	50,160,443	1	1.2151
FLAD1	NM_201398	chr1:154907271-154919265,chr1:154969624-154977530,chr1:154924685-154929977	50,160,443	1	0.4828
LENEP	NM_018655	chr1:154907271-154919265,chr1:154969624-154977530,chr1:154924685-154929977	50,160,443	1	0.5409
PYGO2	NM_138300	chr1:154924685-154929977,chr1:154907271-154919265,chr1:154969624-154977530	50,160,443	1	1.5044
SHC1	NM_001130040	chr1:154907271-154919265,chr1:154969624-154977530,chr1:154924685-154929977	50,160,443	1	1.2888
ITGB7	NM_000889	chr12:53590801-53603590	51	1	0.8731
ZNF740	NM_001004304	chr12:53590801-53603590	51	1	0.4304
MFSD5	NM_001170790	chr12:53590801-53603590	51	1	0.2971
CSAD	NM_015989	chr12:53590801-53603590	51	1	0.2586
RARG	NM_001042728	chr12:53590801-53603590	51	1	0.6962
ADAMTSL4	NM_019032	chr1:150531533-150543125,chr1:150547847-150553255	52,524	1	1.1077
MIR4257	NR_036211	chr1:150531533-150543125,chr1:150547847-150553255	52,524	1	0.2881
MCL1	NM_001197320	chr1:150547847-150553255,chr1:150531533-150543125	52,524	1	1.1619
MEF2C	NM_001131005	chr5:88175337-88186897,chr5:88163687-88174449	53,90	1	0.251
ADA	NM_000022	chr20:43270616-43282299	54	1	0.636
LOC79015	NR_034104	chr20:43270616-43282299	54	1	0.3702
LIMD1	NM_014240	chr3:45634475-45639928,chr3:45605926-45618471	56,407	1	0.2772
SMAD3	NM_005902	chr15:67368792-67381131,chr15:67388984-67394704,chr15:67357071-67361290	57,408,797	1	0.3944
