REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM5_jia.bam
4_MACS_peak_914_lociStitched	chr1	118147638	118177052	4	29115	30393.486200000003
7_MACS_peak_14251_lociStitched	chr6	7887536	7914378	7	25484	30114.0398
5_MACS_peak_13532_lociStitched	chr5	88167972	88186923	5	17654	17935.2264
5_MACS_peak_10991_lociStitched	chr22	23222842	23239085	5	15659	17704.870000000003
3_MACS_peak_2878_lociStitched	chr11	65184022	65199000	3	14938	24333.2588
2_MACS_peak_1871_lociStitched	chr10	22601782	22615475	2	13688	13818.975600000002
5_MACS_peak_5149_lociStitched	chr14	91829901	91843518	5	13136	13306.5324
3_MACS_peak_9488_lociStitched	chr2	89154505	89167733	3	12910	15933.125999999998
6_MACS_peak_15251_lociStitched	chr7	8004623	8017761	6	12075	12089.5876
6_MACS_peak_5749_lociStitched	chr15	75073636	75086411	6	12322	10566.2025
6_MACS_peak_4640_lociStitched	chr13	78484484	78496849	6	11482	8644.371500000001
4_MACS_peak_5850_lociStitched	chr15	81584233	81596561	4	11772	10724.1272
4_MACS_peak_11001_lociStitched	chr22	23270093	23281814	4	11414	15859.685099999999
1_MACS_peak_2885_lociStitched	chr11	65263664	65275373	1	11710	18788.2614
5_MACS_peak_11983_lociStitched	chr3	114164983	114176203	5	10878	9412.458
5_MACS_peak_3603_lociStitched	chr12	26269394	26280389	5	9835	9032.3925
1_MACS_peak_14878_lociStitched	chr6	106531929	106542798	1	10870	11198.3307
4_MACS_peak_7491_lociStitched	chr17	74258539	74269400	4	9995	10551.4615
4_MACS_peak_4335_lociStitched	chr12	125395651	125406439	4	10615	13077.2136
6_MACS_peak_1689_lociStitched	chr1	234738307	234748948	6	9962	10161.0909
1_MACS_peak_12169_lociStitched	chr3	141101463	141111821	1	10359	10102.1574
5_MACS_peak_9478_lociStitched	chr2	89130631	89140915	5	9917	10326.1644
3_MACS_peak_4299_lociStitched	chr12	123371421	123381439	3	9626	10853.501199999999
2_MACS_peak_5578_lociStitched	chr15	56656791	56666617	2	9704	9380.8822
3_MACS_peak_8495_lociStitched	chr19	39892759	39902518	3	9288	11273.5968
2_MACS_peak_7186_lociStitched	chr17	43298275	43307738	2	9420	10271.1402
3_MACS_peak_2892_lociStitched	chr11	65336113	65345413	3	9195	9535.29
3_MACS_peak_12313_lociStitched	chr3	171811922	171821139	3	8960	8802.234999999999
4_MACS_peak_2352_lociStitched	chr10	112256572	112265784	4	8654	9114.352799999999
4_MACS_peak_5954_lociStitched	chr15	90637369	90646493	4	9024	10034.575200000001
1_MACS_peak_5993_lociStitched	chr15	93443158	93452098	1	8941	14900.298
3_MACS_peak_4528_lociStitched	chr13	46268371	46277206	3	8714	9676.975499999999
1_MACS_peak_11438_lociStitched	chr3	13050480	13059307	1	8828	9356.62
3_MACS_peak_12170_lociStitched	chr3	141118013	141126734	3	8467	8727.976799999999
3_MACS_peak_16594_lociStitched	chr8	126441283	126449912	3	8029	10304.7518
4_MACS_peak_3252_lociStitched	chr11	111237093	111245622	4	7654	5591.6124
1_MACS_peak_15952_lociStitched	chr7	130788667	130797060	1	8394	17057.093900000003
4_MACS_peak_9466_lociStitched	chr2	88920093	88928395	4	7824	7846.220200000001
2_MACS_peak_5925_lociStitched	chr15	89177497	89185772	2	8254	12320.6475
3_MACS_peak_15816_lociStitched	chr7	104650757	104659004	3	8009	14739.0384
2_MACS_peak_7820_lociStitched	chr18	60822271	60830437	2	8120	8980.1502
2_MACS_peak_13173_lociStitched	chr5	6480325	6488413	2	7817	6801.1992
3_MACS_peak_14088_lociStitched	chr5	173313861	173321473	3	7441	7041.1
3_MACS_peak_2758_lociStitched	chr11	58340282	58347880	3	7412	10646.3176
3_MACS_peak_5922_lociStitched	chr15	89164481	89171966	3	6911	6539.6445
5_MACS_peak_10855_lociStitched	chr21	44580798	44588150	5	6885	6018.3472
4_MACS_peak_14127_lociStitched	chr5	176852585	176859922	4	7067	6372.1845
2_MACS_peak_14044_lociStitched	chr5	162929780	162937019	2	7234	7824.6350999999995
3_MACS_peak_921_lociStitched	chr1	118195668	118202868	3	6799	7137.36
1_MACS_peak_954_lociStitched	chr1	143461312	143468493	1	7182	9607.4599
3_MACS_peak_12272_lociStitched	chr3	160116275	160123382	3	6401	6174.5616
2_MACS_peak_3555_lociStitched	chr12	12866815	12873857	2	6912	8024.3589999999995
3_MACS_peak_14879_lociStitched	chr6	106544856	106551847	3	6846	4558.1320000000005
3_MACS_peak_12173_lociStitched	chr3	141128053	141135038	3	6661	6162.1669999999995
2_MACS_peak_12696_lociStitched	chr4	40197494	40204428	2	6448	6927.7594
2_MACS_peak_14876_lociStitched	chr6	106439335	106446267	2	6855	7173.926799999999
4_MACS_peak_1055_lociStitched	chr1	150545951	150552851	4	6764	6078.9
1_MACS_peak_9995_lociStitched	chr2	201986986	201993858	1	6873	6948.9664
4_MACS_peak_857_lociStitched	chr1	111211323	111218194	4	6567	5797.7498
5_MACS_peak_1873_lociStitched	chr10	22623859	22630689	5	6315	5470.147
1_MACS_peak_13559_lociStitched	chr5	90674182	90680862	1	6681	11569.76
3_MACS_peak_5782_lociStitched	chr15	75742245	75748896	3	6591	14163.304500000002
4_MACS_peak_1777_lociStitched	chr10	6794257	6800781	4	6283	4448.0632
1_MACS_peak_13620_lociStitched	chr5	100233740	100240240	1	6501	4993.3
