GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
NM_021642	chr1(.):161470204-161494360	0.1382
NM_002585	chr1(.):164523801-164826045	0.1584
NM_201569	chr1(.):183436505-183528328	0.188
NM_004446	chr1(.):220136941-220225000	0.1582
NR_026567	chr1(.):17012712-17051652	0.2301
NM_001113348	chr1(.):21538739-21677034	0.1135
NM_004091	chr1(.):23827921-23862713	0.151
NM_173065	chr1(.):24475646-24518751	0.1477
NM_002379	chr1(.):31179123-31201432	0.1421
NR_034182	chr1(.):31186618-31204593	0.1454
NM_001127714	chr1(.):41970683-42389496	0.1294
NM_001101662	chr1(.):52249865-52349609	0.1245
NM_002600	chr1(.):66253855-66845262	0.1151
NM_001037341	chr1(.):66253192-66845262	0.1151
NM_001037340	chr1(.):66453389-66845262	0.1228
NM_001100910	chr1(.):120834004-120860681	0.1395
NR_024584	chr1(.):144295516-144346755	0.0969
NR_034178	chr1(.):143910747-144099477	0.1989
NM_203458	chr1(.):145204110-145290912	0.3947
NM_001195260	chr1(.):144946760-145002111	0.3194
NM_004892	chr1(.):145091406-145121922	0.3758
NM_153713	chr1(.):145472084-145504091	0.1895
NM_022359	chr1(.):144946760-145081186	0.3622
NM_001002812	chr1(.):144885590-145000022	0.275
NM_014644	chr1(.):144846426-145000022	0.261
NM_001195261	chr1(.):144946760-145000082	0.3171
NM_001198834	chr1(.):144846423-145000033	0.261
NM_001002810	chr1(.):144946760-145000033	0.3172
NM_001198832	chr1(.):144846423-145044992	0.2959
NM_207168	chr1(.):150594521-150607098	0.2378
NM_015203	chr1(.):150331989-150454041	0.1632
NM_020699	chr1(.):153772202-153900451	0.1671
NM_020524	chr1(.):154911558-154933567	0.3052
NM_181359	chr1(.):154372668-154445188	0.213
NM_002249	chr1(.):154674914-154847754	0.2101
NM_170782	chr1(.):154674914-154837338	0.2094
NM_005572	chr1(.):156079460-156112657	0.2008
NM_031282	chr1(.):157538538-157572870	0.2201
NM_005531	chr1(.):158974681-159029945	0.1881
NM_012394	chr1(.):161065345-161092866	0.2061
NM_145034	chr1(.):179804101-179851941	0.1933
NM_022347	chr1(.):179823164-179851941	0.2273
NM_015149	chr1(.):183600207-183902666	0.1933
NM_144977	chr1(.):197516384-197749623	0.1777
NM_001195215	chr1(.):197468878-197749623	0.1776
NM_015375	chr1(.):205106630-205185727	0.1671
NM_182663	chr1(.):206675878-206767616	0.2172
NM_006147	chr1(.):209956261-209984479	0.1879
NM_002221	chr1(.):226814390-226931876	0.2011
NM_004481	chr1(.):230197955-230422875	0.1754
NM_032328	chr1(.):245128170-245256148	0.1494
NR_026588	chr1(.):245128630-245256148	0.1494
NR_026587	chr1(.):245128630-245293530	0.1418
NR_026586	chr1(.):245128283-245293530	0.1419
NM_003431	chr1(.):247314202-247340318	0.1509
NR_002729	chr1(.):17076400-17095975	0.2442
NM_014675	chr1(.):17243444-17304474	0.1368
NM_001397	chr1(.):21538739-21621982	0.1131
NM_001113347	chr1(.):21538739-21611183	0.1024
NM_001113349	chr1(.):21538739-21621766	0.1123
NM_017707	chr1(.):23750055-23815750	0.0953
NM_002167	chr1(.):23879408-23891322	0.1688
NM_021258	chr1(.):24441260-24474611	0.1165
NR_027087	chr1(.):24521729-24543180	0.159
NM_014280	chr1(.):28521789-28564542	0.1312
NM_016311	chr1(.):28557610-28569611	0.1687
NM_031459	chr1(.):28581005-28614002	0.1192
NR_024127	chr1(.):28900049-28913366	0.1829
NM_152304	chr1(.):28913711-28926088	0.1398
NM_001193532	chr1(.):28914006-28926088	0.1397
NR_003035	chr1(.):28902431-28912565	0.2018
NR_002987	chr1(.):28901275-28911405	0.2006
NR_003109	chr1(.):28874528-28910057	0.1501
NR_002976	chr1(.):28901892-28912024	0.1996
NR_003077	chr1(.):28900254-28910334	0.2066
NM_006762	chr1(.):31200314-31235683	0.191
NM_001198979	chr1(.):40854016-40893998	0.1278
NM_001198978	chr1(.):40835304-40893998	0.1498
NM_001198980	chr1(.):40857471-40893998	0.1182
NM_022733	chr1(.):40834377-40893998	0.1493
NR_031580	chr1(.):52297015-52307074	0.1071
NM_002228	chr1(.):59241462-59254785	0.1755
NR_034015	chr1(.):59245822-59370384	0.139
NM_001037339	chr1(.):66792792-66845262	0.1613
NM_001127215	chr1(.):92935317-92954356	0.1296
NM_005263	chr1(.):92935317-92957433	0.1222
NM_001127216	chr1(.):92935317-92956628	0.1246
NM_017709	chr1(.):118143603-118176011	0.1407
NM_001123068	chr1(.):143762143-143772881	0.1644
NR_027469	chr1(.):143713512-143749587	0.1758
NR_027468	chr1(.):143713512-143749457	0.1756
NM_207418	chr1(.):143891451-143918143	0.2012
NR_024584	chr1(.):144475745-144526969	0.107
NM_001002811	chr1(.):144885590-144937032	0.2364
NM_032305	chr1(.):145451235-145475387	0.2642
NM_202004	chr1(.):145408190-145422545	0.1609
NM_006472	chr1(.):145433461-145447628	0.2603
NM_001039888	chr1(.):145465507-145480647	0.2451
NM_003846	chr1(.):145511164-145528732	0.2144
NM_005105	chr1(.):145502637-145516444	0.2513
NM_001184795	chr1(.):145511559-145528732	0.2167
NM_003637	chr1(.):145519989-145548868	0.1783
NM_144698	chr1(.):145544208-145573526	0.168
NR_002328	chr1(.):145504819-145521076	0.2545
NR_027468	chr1(.):147901021-147936980	0.1565
NM_001161334	chr1(.):149749244-149788928	0.1634
NM_001034077	chr1(.):149799220-149809616	0.2395
NM_001005464	chr1(.):149807258-149817765	0.267
NM_001040874	chr1(.):149808784-149819318	0.2624
NM_001123375	chr1(.):149779779-149790236	0.2238
NM_005850	chr1(.):149890210-149904702	0.2149
NM_016074	chr1(.):149866154-149877348	0.1948
NM_003528	chr1(.):149851009-149863232	0.2983
NM_003517	chr1(.):149853524-149863961	0.3099
NM_175065	chr1(.):149854018-149864466	0.3034
NM_014849	chr1(.):149869871-149894434	0.1579
NM_181873	chr1(.):149895542-149913266	0.2373
NM_001145862	chr1(.):149895542-149913791	0.234
NR_036461	chr1(.):149816758-149827340	0.2818
NM_001040874	chr1(.):149817627-149828161	0.2914
NM_001005464	chr1(.):149819180-149829687	0.2918
NM_001034077	chr1(.):149827329-149837725	0.2569
NM_016274	chr1(.):150117169-150136825	0.2294
NM_004698	chr1(.):150288927-150330704	0.1615
NM_019032	chr1(.):150516897-150538412	0.235
NM_207046	chr1(.):150589598-150606609	0.2418
NR_036211	chr1(.):150519404-150529490	0.1493
NM_001197320	chr1(.):150542026-150557214	0.2555
NM_005620	chr1(.):151999981-152014511	0.2987
NM_002966	chr1(.):151950385-151971714	0.2058
NM_001008536	chr1(.):152051619-152066540	0.1329
NM_014437	chr1(.):153926587-153945188	0.2551
NM_130898	chr1(.):153935396-153951832	0.2602
NM_181715	chr1(.):153915151-153936043	0.2351
NM_006694	chr1(.):153941744-153955451	0.1978
NM_002870	chr1(.):153949127-153963806	0.2257
NM_014856	chr1(.):153896976-153924154	0.179
NM_001030	chr1(.):153958238-153969631	0.2153
NM_020452	chr1(.):154295275-154328780	0.216
NM_001005855	chr1(.):154293035-154315322	0.2249
NM_080429	chr1(.):154288591-154302801	0.2336
NM_006556	chr1(.):154892207-154914484	0.2529
NM_001130041	chr1(.):154929773-154951959	0.2814
NM_001130040	chr1(.):154929773-154948223	0.2803
NM_201398	chr1(.):154950769-154970587	0.2225
NM_015872	chr1(.):154970111-154995999	0.2124
