GENE_ID	locusLine	bin_1_23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05.bam
3_MACS_peak_1_lociStitched	chr1(.):30391-37055	0.7611
1_MACS_peak_4_lociStitched	chr1(.):38994-40533	0.5945
2_MACS_peak_5_lociStitched	chr1(.):87640-90489	0.8195
2_MACS_peak_7_lociStitched	chr1(.):92614-94562	0.6425
2_MACS_peak_9_lociStitched	chr1(.):131758-133829	0.6204
1_MACS_peak_11_lociStitched	chr1(.):135133-135915	0.5031
2_MACS_peak_12_lociStitched	chr1(.):329730-331404	0.5029
1_MACS_peak_14_lociStitched	chr1(.):439692-440137	0.4459
1_MACS_peak_15_lociStitched	chr1(.):462007-462619	0.5603
1_MACS_peak_16_lociStitched	chr1(.):540455-540966	0.5394
2_MACS_peak_17_lociStitched	chr1(.):658197-660305	0.5034
1_MACS_peak_19_lociStitched	chr1(.):661447-662491	0.5439
3_MACS_peak_20_lociStitched	chr1(.):798701-802912	0.7499
1_MACS_peak_23_lociStitched	chr1(.):807945-808427	0.5569
2_MACS_peak_24_lociStitched	chr1(.):809559-811057	0.7638
1_MACS_peak_26_lociStitched	chr1(.):812330-812950	0.6961
1_MACS_peak_27_lociStitched	chr1(.):820953-822354	0.8294
4_MACS_peak_29_lociStitched	chr1(.):829208-843905	1.4319
2_MACS_peak_33_lociStitched	chr1(.):845014-879043	2.5455
1_MACS_peak_35_lociStitched	chr1(.):894698-895567	1.0057
3_MACS_peak_36_lociStitched	chr1(.):908592-912055	0.8364
8_MACS_peak_39_lociStitched	chr1(.):913423-947238	1.6128
12_MACS_peak_47_lociStitched	chr1(.):950122-1016488	1.5741
3_MACS_peak_59_lociStitched	chr1(.):1052549-1073269	1.8412
9_MACS_peak_62_lociStitched	chr1(.):1075439-1124489	1.7438
4_MACS_peak_71_lociStitched	chr1(.):1125911-1149987	1.6554
4_MACS_peak_75_lociStitched	chr1(.):1171830-1184890	1.7118
6_MACS_peak_79_lociStitched	chr1(.):1214423-1227436	1.3318
1_MACS_peak_85_lociStitched	chr1(.):1286758-1290702	1.8216
2_MACS_peak_86_lociStitched	chr1(.):1292050-1300543	1.308
8_MACS_peak_88_lociStitched	chr1(.):1356108-1382010	1.2337
1_MACS_peak_96_lociStitched	chr1(.):1383487-1396588	1.343
1_MACS_peak_97_lociStitched	chr1(.):1421841-1422626	0.6213
1_MACS_peak_98_lociStitched	chr1(.):1459216-1460382	0.747
4_MACS_peak_99_lociStitched	chr1(.):1512531-1537374	1.1864
1_MACS_peak_103_lociStitched	chr1(.):1538638-1539339	0.6446
2_MACS_peak_104_lociStitched	chr1(.):1565714-1568988	1.5075
1_MACS_peak_106_lociStitched	chr1(.):1630819-1632381	0.9321
6_MACS_peak_107_lociStitched	chr1(.):1843879-1861902	1.215
2_MACS_peak_113_lociStitched	chr1(.):1863664-1865653	0.7834
6_MACS_peak_115_lociStitched	chr1(.):1867798-1910481	1.3211
32_MACS_peak_121_lociStitched	chr1(.):1914569-2044272	1.1626
2_MACS_peak_153_lociStitched	chr1(.):2046577-2049104	0.8506
6_MACS_peak_155_lociStitched	chr1(.):2056358-2063376	0.786
5_MACS_peak_161_lociStitched	chr1(.):2065087-2078082	0.984
5_MACS_peak_166_lociStitched	chr1(.):2079813-2085966	0.9198
9_MACS_peak_171_lociStitched	chr1(.):2088058-2117209	1.1628
5_MACS_peak_180_lociStitched	chr1(.):2128256-2142833	1.2963
2_MACS_peak_185_lociStitched	chr1(.):2143845-2158732	1.2427
