GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
FOXO3	NM_201559	chr6:108878216-108974516,chr6:108985725-108999007	1,220	1	1.9869
ZBTB38	NM_001080412	chr3:141079120-141159727	2	1	2.7166
RASA2	NM_006506	chr3:141205475-141219075,chr3:141079120-141159727	2,865	1	0.1025
SNN	NM_003498	chr16:11765828-11843263,chr16:11712327-11723826	3,789	1	2.3276
TXNDC11	NM_015914	chr16:11765828-11843263	3	1	2.7882
ZC3H7A	NM_014153	chr16:11765828-11843263	3	1	0.2697
CCDC88C	NM_001080414	chr14:91812935-91885966,chr14:91781543-91802098	4,208	1	1.5394
INPP4A	NM_004027	chr2:99054656-99132583,chr2:99156456-99173616	5,797	1	2.3236
FAM46C	NM_017709	chr1:118141804-118219329	6	1	4.6234
QPCT	NM_012413	chr2:37525831-37587954	7	1	3.5942
PRKD3	NM_005813	chr2:37525831-37587954	7	1	1.487
BCL2L1	NM_001191	chr20:30261853-30312155	8	1	2.88
COX4I2	NM_032609	chr20:30261853-30312155	8	1	0.0
TPX2	NM_012112	chr20:30261853-30312155	8	1	0.0
NDUFV2	NM_021074	chr18:9095119-9157724,chr18:9055127-9074456	9,226	1	3.189
ANKRD12	NM_001083625	chr18:9095119-9157724	9	1	0.4751
BMP6	NM_001718	chr6:7877946-7919923	10	1	0.02560000000000001
MUTED-TXNDC5	NR_037616	chr6:7877946-7919923	10	1	1.8199
TXNDC5	NM_001145549	chr6:7877946-7919923	10	1	6.8302
TRAM2	NM_012288	chr6:52392742-52442993,chr6:52358153-52368615	11,611	1	1.7516
CHMP4B	NM_176812	chr20:32398815-32452376	12	1	1.6648999999999998
ERN1	NM_001433	chr17:62149957-62187401,chr17:62195384-62210432,chr17:62132988-62141749	13,158,650	1	1.7861
SNORD104	NR_004380	chr17:62149957-62187401,chr17:62195384-62210432	13,158	1	0.6117
SNORA76	NR_002995	chr17:62149957-62187401,chr17:62195384-62210432	13,158	1	0.6144
CKS1B	NR_024163	chr1:154907953-154957879,chr1:154970811-154979802	14,604	1	2.7157
MIR4258	NR_036212	chr1:154907953-154957879,chr1:154970811-154979802	14,604	1	3.2880000000000003
FLAD1	NM_201398	chr1:154907953-154957879,chr1:154970811-154979802	14,604	1	0.3045
PMVK	NM_006556	chr1:154907953-154957879	14	1	2.7216
PBXIP1	NM_020524	chr1:154907953-154957879,chr1:154970811-154979802	14,604	1	5.3924
PYGO2	NM_138300	chr1:154907953-154957879,chr1:154970811-154979802	14,604	1	5.0262
SHC1	NM_001130041	chr1:154907953-154957879,chr1:154970811-154979802	14,604	1	2.4315
LENEP	NM_018655	chr1:154907953-154957879,chr1:154970811-154979802	14,604	1	0.20670000000000002
ZBTB7B	NM_015872	chr1:154970811-154979802,chr1:154907953-154957879	14,604	1	2.0825
DCST1	NM_001143687	chr1:154907953-154957879,chr1:154970811-154979802	14,604	1	0.10090000000000002
DCST2	NM_144622	chr1:154907953-154957879,chr1:154970811-154979802	14,604	1	0.40490000000000004
CCL4L1	NM_001001435	chr17:34597814-34641453,chr17:34509682-34540274	15,36	1	2.3502
CCL3L1	NM_021006	chr17:34597814-34641453,chr17:34509682-34540274	15,36	1	5.215999999999999
CCL3L3	NM_001001437	chr17:34597814-34641453,chr17:34509682-34540274	15,36	1	5.2168
TBC1D3C	NM_001001418	chr17:34597814-34641453	15	1	0.0
SMAD7	NM_005904	chr18:46440229-46480190	16	1	2.0202
KLF13	NM_015995	chr15:31616817-31660648	17	1	1.5294
DUSP22	NM_020185	chr6:290005-337869	18	1	2.9954
PLA2G15	NM_012320	chr16:68269861-68320882	19	1	1.8638
SLC7A6	NM_003983	chr16:68269861-68320882	19	1	0.9515
ESRP2	NM_024939	chr16:68269861-68320882	19	1	0.1928
PRMT7	NM_001184824	chr16:68269861-68320882	19	1	0.15239999999999998
SLC7A6OS	NM_032178	chr16:68269861-68320882	19	1	0.2433
WWOX	NM_016373	chr16:78763435-78804985	20	1	0.0196
C5orf56	NM_001013717	chr5:131789749-131837841,chr5:131744764-131774503	21,56	1	3.1971000000000003
IRF1	NM_002198	chr5:131789749-131837841	21	1	0.8111999999999999
IL5	NM_000879	chr5:131789749-131837841	21	1	0.0
DEPDC6	NM_022783	chr8:120912516-120947926	22	1	0.6052
DSCC1	NM_024094	chr8:120912516-120947926	22	1	0.1157
ARL8B	NM_018184	chr3:5221989-5257148	23	1	0.2692
EDEM1	NM_014674	chr3:5221989-5257148	23	1	2.6124
PCBP2	NM_001128914	chr12:53845116-53876431	24	1	1.9442
MAP3K12	NM_006301	chr12:53845116-53876431	24	1	1.0553000000000001
AMHR2	NM_001164691	chr12:53845116-53876431,chr12:53763687-53776637	24,746	1	0.0
PRR13	NM_001005354	chr12:53845116-53876431	24	1	0.19920000000000002
TARBP2	NM_134323	chr12:53845116-53876431	24	1	1.1222999999999999
NPFF	NM_003717	chr12:53845116-53876431	24	1	0.10659999999999999
BTG2	NM_006763	chr1:203254914-203298088	25	1	3.0522
LOC730227	NR_034150	chr1:203254914-203298088	25	1	4.8374999999999995
FMOD	NM_002023	chr1:203254914-203298088	25	1	0.0
ATN1	NM_001007026	chr12:7045189-7085767,chr12:7022757-7038396	26,188	1	1.9985999999999997
C12orf57	NM_138425	chr12:7045189-7085767,chr12:7022757-7038396	26,188	1	2.4469000000000003
PTPN6	NM_080548	chr12:7045189-7085767,chr12:7022757-7038396	26,188	1	3.7449
MIR200C	NR_029779	chr12:7045189-7085767,chr12:7022757-7038396	26,188	1	2.7779
MIR141	NR_029682	chr12:7045189-7085767,chr12:7022757-7038396	26,188	1	2.0962
EMG1	NM_006331	chr12:7045189-7085767,chr12:7022757-7038396	26,188	1	0.9051000000000001
PHB2	NM_007273	chr12:7045189-7085767,chr12:7022757-7038396	26,188	1	1.4056
SCARNA12	NR_003010	chr12:7045189-7085767,chr12:7022757-7038396	26,188	1	1.1571
LPCAT3	NM_005768	chr12:7045189-7085767	26	1	0.1167
LRRC23	NM_006992	chr12:7022757-7038396,chr12:7045189-7085767	26,188	1	0.41910000000000003
ENO2	NM_001975	chr12:7022757-7038396,chr12:7045189-7085767	26,188	1	1.6011000000000002
KLHL6	NM_130446	chr3:183219709-183261099	27	1	1.9285999999999999
CPEB4	NM_030627	chr5:173310181-173344116	28	1	0.7092
RAC2	NM_002872	chr22:37610893-37642397	29	1	1.5507
CYTH4	NM_013385	chr22:37610893-37642397	29	1	0.0624
C1QTNF6	NM_031910	chr22:37610893-37642397	29	1	0.0
SSTR3	NM_001051	chr22:37610893-37642397	29	1	0.3089
FEM1B	NM_015322	chr15:68568623-68599495	30	1	2.1778
ITGA11	NM_001004439	chr15:68568623-68599495	30	1	0.12040000000000001
CLN6	NM_017882	chr15:68478670-68503663,chr15:68568623-68599495	30,191	1	0.7671
PYGB	NM_002862	chr20:25261475-25303001	31	1	1.3812
ABHD12	NM_015600	chr20:25261475-25303001	31	1	1.2579
CHST15	NM_015892	chr10:125822086-125854780	32	1	0.8867999999999999
COPS7B	NM_022730	chr2:232687022-232715087	33	1	0.092
PDE6D	NM_002601	chr2:232687022-232715087	33	1	0.055099999999999996
MIR1471	NR_031717	chr2:232687022-232715087	33	1	0.0
CLPTM1L	NM_030782	chr5:1311690-1346142	34	1	3.7784
TERT	NM_001193376	chr5:1311690-1346142	34	1	0.0
CELF2	NM_001083591	chr10:11278740-11313223,chr10:11202245-11224476	35,63	1	1.6928
TBC1D3B	NM_001001417	chr17:34509682-34540274	36	1	0.0
IGLL5	NM_001178126	chr22:23221441-23249227,chr22:23189825-23210344,chr22:23268627-23286314	37,106,107	1	7.829400000000001
CYTH1	NM_017456	chr17:76710967-76746821,chr17:76753831-76779876	38,81	1	1.5259999999999998
TPD52	NM_005079	chr8:81046218-81084520	39	1	0.7092
VOPP1	NM_030796	chr7:55616232-55642898,chr7:55569660-55586644,chr7:55597567-55606054	40,116,701	1	1.8579
TMEM121	NM_025268	chr14:106024605-106052781	41	1	0.0116
ZNF740	NM_001004304	chr12:53573162-53604053	42	1	0.8348
CSAD	NM_015989	chr12:53573162-53604053	42	1	0.1578
ITGB7	NM_000889	chr12:53573162-53604053	42	1	5.5168
MFSD5	NM_001170790	chr12:53573162-53604053	42	1	0.0769
RARG	NM_001042728	chr12:53573162-53604053	42	1	1.5807
GLRX5	NM_016417	chr14:95946114-95986376	43	1	0.184
C14orf49	NM_152592	chr14:95946114-95986376	43	1	0.3094
SCARNA13	NR_003002	chr14:95946114-95986376	43	1	0.3892
SNHG10	NR_001459	chr14:95946114-95986376	43	1	0.3287
SELPLG	NM_003006	chr12:109009280-109036291	44	1	6.1122000000000005
TMEM119	NM_181724	chr12:109009280-109036291,chr12:108952732-108970792	44,122	1	0.0
CCL8	NM_005623	chr17:32690378-32726892	45	1	0.0
CCL13	NM_005408	chr17:32690378-32726892	45	1	0.0
