REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
6_MACS_peak_22185_lociStitched	chr8	115522456	115567364	6	42940	61339.8372	1	1				NONE	NONE	1	1
10_MACS_peak_20524_lociStitched	chr7	30323435	30371307	10	42320	60017.1264	2	1	ZNRF2,MIR550A1,MIR550B1	DKFZP586I1420	MIR550B1	MIR550B1	2.3732	2	1
12_MACS_peak_17694_lociStitched	chr5	14199538	14253841	12	42309	44875.9992	3	1	TRIO		TRIO	TRIO	0.2806	3	1
4_MACS_peak_14735_lociStitched	chr22	23261486	23302894	4	37259	285959.5072	4	1		IGLL5	IGLL5	IGLL5	0.1037	4	1
8_MACS_peak_12754_lociStitched	chr2	89130720	89171361	8	36856	39080.3856	5	1			ANKRD36BP2	ANKRD36BP2	NONE	5	1
12_MACS_peak_10566_lociStitched	chr18	67272886	67315858	12	34948	31717.6332	6	1	DOK6		DOK6	DOK6	0.1275	6	1
6_MACS_peak_23858_lociStitched	chrX	48768094	48806065	6	33316	57545.0505	7	1	SLC35A2,PIM2,OTUD5	PQBP1,TIMM17B,KCND1	PIM2	PIM2	1.8004	7	1
8_MACS_peak_9800_lociStitched	chr17	62149806	62187294	8	33263	46327.6704	8	1	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.8883	8	1
4_MACS_peak_17890_lociStitched	chr5	55436898	55473599	4	33262	75435.2354	9	1	ANKRD55		ANKRD55	ANKRD55	0.6307	9	1
3_MACS_peak_1694_lociStitched	chr1	161409424	161442633	3	33094	74677.0783	10	1		FCGR2A	FCGR2A	FCGR2A	0.1913	10	1
13_MACS_peak_19101_lociStitched	chr6	26155260	26208219	13	33050	65955.1386	11	1	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H2AC,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H1T,HIST1H2BC,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H2BE	HIST1H2BC	1.5084	11	1
2_MACS_peak_21430_lociStitched	chr7	148394440	148425226	2	30614	54198.753	12	1	CUL1		CUL1	CUL1	0.5498	12	1
6_MACS_peak_11914_lociStitched	chr19	54871003	54903503	6	30337	82702.75	13	1	LAIR1	TTYH1,LILRA5,LILRA4	LAIR1	LAIR1	1.2424	13	1
18_MACS_peak_17489_lociStitched	chr4	180977821	181014502	18	29625	32517.7065	14	1				NONE	NONE	14	1
13_MACS_peak_19125_lociStitched	chr6	26320566	26368220	13	29589	42612.2068	15	1	BTN3A2	HIST1H2BI,BTN3A2,BTN2A2,BTN3A1,HIST1H3G,HIST1H4H	BTN3A2	HIST1H2BI	0.9169	15	1
