BAM	GENE_ID	NAME	LOCUSLINE	COLOR1	COLOR2	COLOR3	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9	bin_10	bin_11	bin_12	bin_13	bin_14	bin_15	bin_16	bin_17	bin_18	bin_19	bin_20	bin_21	bin_22	bin_23	bin_24	bin_25	bin_26	bin_27	bin_28	bin_29	bin_30	bin_31	bin_32	bin_33	bin_34	bin_35	bin_36	bin_37	bin_38	bin_39	bin_40	bin_41	bin_42	bin_43	bin_44	bin_45	bin_46	bin_47	bin_48	bin_49	bin_50	bin_51	bin_52	bin_53	bin_54	bin_55	bin_56	bin_57	bin_58	bin_59	bin_60	bin_61	bin_62	bin_63	bin_64	bin_65	bin_66	bin_67	bin_68	bin_69	bin_70	bin_71	bin_72	bin_73	bin_74	bin_75	bin_76	bin_77	bin_78	bin_79	bin_80	bin_81	bin_82	bin_83	bin_84	bin_85	bin_86	bin_87	bin_88	bin_89	bin_90	bin_91	bin_92	bin_93	bin_94	bin_95	bin_96	bin_97	bin_98	bin_99	bin_100	bin_101	bin_102	bin_103	bin_104	bin_105	bin_106	bin_107	bin_108	bin_109	bin_110	bin_111	bin_112	bin_113	bin_114	bin_115	bin_116	bin_117	bin_118	bin_119	bin_120	bin_121	bin_122	bin_123	bin_124	bin_125	bin_126	bin_127	bin_128	bin_129	bin_130	bin_131	bin_132	bin_133	bin_134	bin_135	bin_136	bin_137	bin_138	bin_139	bin_140	bin_141	bin_142	bin_143	bin_144	bin_145	bin_146	bin_147	bin_148	bin_149	bin_150	bin_151	bin_152	bin_153	bin_154	bin_155	bin_156	bin_157	bin_158	bin_159	bin_160	bin_161	bin_162	bin_163	bin_164	bin_165	bin_166	bin_167	bin_168	bin_169	bin_170	bin_171	bin_172	bin_173	bin_174	bin_175	bin_176	bin_177	bin_178	bin_179	bin_180	bin_181	bin_182	bin_183	bin_184	bin_185	bin_186	bin_187	bin_188	bin_189	bin_190	bin_191	bin_192	bin_193	bin_194	bin_195	bin_196	bin_197	bin_198	bin_199	bin_200
21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02.bam		H3K27me3_0	chr5(+):87828193-88385787	220	220	220	0.3275	0.5835	0.4574	0.4281	0.404	0.31	0.3482	0.2451	0.3497	0.5364	0.401	0.3221	0.2323	0.5895	0.4455	0.5128	0.617	0.354	0.4063	0.3346	0.4941	0.4785	0.419	0.297	0.8518	0.3381	0.1816	0.2542	0.2064	0.4527	0.5524	0.6085	0.6001	0.1951	0.2309	0.2329	0.2234	0.446	0.2558	0.4558	0.3188	0.3553	0.4751	0.5516	0.425	0.8853	0.9422	0.9745	0.9213	0.7131	0.8972	0.9975	0.6401	0.9755	0.5961	0.572	1.0843	1.8918	0.7218	0.4664	0.2985	0.2511	0.2199	0.4121	0.4073	0.4677	0.5427	0.5632	0.6416	0.5519	0.4735	0.5022	0.8208	0.5358	0.4841	0.5131	0.5241	0.6685	0.4984	0.3595	0.27	0.2996	0.3759	0.3798	0.3544	0.1749	0.334	0.3375	0.2567	0.2571	0.2421	0.326	0.3444	0.2036	0.3206	0.4843	0.7141	0.1642	0.2336	0.5431	0.4552	0.7055	0.3811	0.4117	0.6843	1.0378	0.5671	0.3597	0.4363	0.1761	0.3146	0.4005	0.3412	0.6785	0.354	0.3402	0.3167	0.4126	0.2062	0.518	0.2963	0.2944	0.5664	0.4532	0.674	0.8834	0.6231	0.6392	0.4872	0.7874	0.3856	0.5152	0.4347	0.3718	0.4351	0.4871	0.195	0.5416	0.364	0.3351	0.3585	0.3564	0.1985	0.278	0.5232	0.3798	0.7378	0.4756	0.4417	0.4574	0.4547	0.359	0.2592	0.3074	0.4359	0.4377	0.3851	0.3642	0.4537	0.5067	0.6679	0.4501	0.203	0.4387	0.5175	0.4227	0.5646	0.2994	0.301	0.446	0.3068	0.9488	0.3704	0.5025	0.407	0.4846	0.4161	0.3127	0.7821	0.3958	0.6727	0.6788	0.496	0.459	0.5672	0.5386	0.2525	0.2621	0.3371	0.6379	0.3656	0.4315	0.8019	0.7155	0.6871	0.6876	0.3368	0.4086	0.5054	0.4786
22_0F28_0229Kronos_MM1S-No-Treatment-2_H3K27me3_hs-dm_i04.bam		H3K27me3_0	chr5(+):87828193-88385787	240	240	240	0.5055	0.5477	0.4895	0.1958	0.4987	0.3465	0.4478	0.4379	0.3785	0.3715	0.4016	0.398	0.5756	0.581	0.4842	0.6842	0.5625	0.3039	0.3784	0.4257	0.518	0.3796	0.5228	0.5748	0.4815	0.4122	0.6142	0.7026	0.4042	0.6432	0.3614	0.3	0.2277	0.2507	0.2266	0.4829	0.8604	0.3498	0.44	0.6615	0.7127	0.602	0.7939	0.6575	0.4954	1.0626	0.945	0.692	0.9077	1.1	1.09	0.6276	0.3122	0.6738	0.7248	0.6074	1.7243	2.035	0.6635	0.4904	0.8374	0.6407	0.5689	0.4439	0.5573	0.5308	0.3049	0.4596	0.7051	0.7179	0.5832	0.7225	0.3766	0.6737	0.3419	0.4841	0.701	0.6195	0.5582	0.5546	0.4793	0.4284	0.9437	0.6292	0.6027	0.5185	0.614	0.4212	0.4507	0.4209	0.3273	0.4112	0.4666	0.706	0.6982	0.8271	0.6216	0.5371	0.332	0.3569	0.5351	0.6386	0.6789	0.7377	0.7741	1.2961	1.1661	0.8083	0.9515	0.6418	0.468	0.7419	0.4874	0.4707	0.567	0.4812	0.5146	0.5657	0.6537	0.3543	0.3978	0.4363	0.6258	0.7421	0.611	0.5235	0.6767	1.1627	0.7433	0.5047	0.4897	0.3813	0.451	0.3119	0.6245	0.4631	0.5159	0.8077	0.7027	0.4404	0.4226	0.1404	0.1719	0.6248	0.4074	0.3835	0.4468	0.3148	0.3844	0.6589	0.4779	0.4324	0.6002	0.3861	0.3276	0.5448	0.6455	0.5307	0.4157	0.3532	0.4476	0.5323	0.4527	0.504	0.6699	0.7019	0.6582	0.5001	0.3393	0.7413	0.4941	0.5033	0.5923	0.4193	0.5765	0.3747	0.4794	0.4773	0.5486	0.5674	0.4987	0.4098	0.7716	0.5832	0.5439	0.5511	0.4931	0.5438	0.7989	0.4909	0.6308	1.1205	0.5819	0.9124	0.4547	0.7088	0.8099	0.6125	0.8455	0.4602
23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05.bam		H3K27me3_1	chr5(+):87828193-88385787	90	90	90	0.3888	0.4231	0.4898	0.595	0.5647	0.3988	0.2818	0.2703	0.1695	0.4449	0.3885	0.2788	0.2896	0.244	0.3359	0.2517	0.3082	0.5881	0.2489	0.3166	0.5255	0.3911	0.4548	0.3586	0.1715	0.382	0.2371	0.2845	0.1989	0.3061	0.4953	0.457	0.6739	0.4327	0.301	0.3393	0.55	0.2877	0.1121	0.4123	0.3048	0.2511	0.4023	0.4932	0.5611	1.003	0.7597	0.8406	1.3009	0.8099	1.0243	0.9041	0.847	0.9395	0.3783	0.3871	1.2488	1.7973	0.6364	0.3933	0.4197	0.716	0.4639	0.1949	0.337	0.5226	0.1689	0.3239	0.5429	0.4281	0.7996	0.6924	0.6536	0.4146	0.4718	0.5176	0.9341	0.6526	0.5409	0.4555	0.1966	0.3352	0.6197	0.5239	0.28	0.2598	0.411	0.2756	0.3405	0.4604	0.3119	0.3387	0.2724	0.4395	0.5083	0.4413	0.4856	0.5801	0.5524	0.893	0.5678	0.351	0.8442	0.947	0.9604	0.5348	0.932	0.9641	0.6332	0.5713	0.4697	0.4558	0.3897	0.29	0.5769	0.3424	0.7284	0.5741	0.5139	0.4704	0.2991	0.672	0.4218	0.5787	0.8016	0.8179	0.6	0.7741	0.923	0.6136	0.5823	0.6012	0.4852	0.5498	0.221	0.4644	0.3114	0.5443	0.4085	0.1223	0.3051	0.3365	0.1691	0.6078	0.3642	0.4521	0.4332	0.2507	0.3894	0.4855	0.2597	0.6478	0.4796	0.3843	0.4583	0.6664	0.7363	0.5045	0.6177	0.4228	0.4057	0.3088	0.5909	0.5426	0.3153	0.3458	0.276	0.4883	0.3669	0.2791	0.3796	0.3815	0.4511	0.4181	0.295	0.2722	0.3752	0.3862	0.5607	0.3209	0.509	0.4025	0.409	0.3456	0.4729	0.837	0.4259	0.5456	0.5868	0.6112	0.4289	0.6	0.3672	0.706	0.8893	0.4634	0.2983	0.3606	0.2773	0.5302
24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06.bam		H3K27me3_1	chr5(+):87828193-88385787	65	65	65	0.457	0.1561	0.2106	0.3906	0.3503	0.3779	0.2493	0.1645	0.2984	0.5562	0.3545	0.2652	0.255	0.3206	0.2061	0.3779	0.7157	0.3632	0.4082	0.7991	0.2271	0.0816	0.1418	0.3263	0.3383	0.2681	0.3121	0.2943	0.4417	0.6766	0.3889	0.2268	0.5434	0.2512	0.2489	0.2034	0.2448	0.3587	0.4132	0.1354	0.6013	0.3132	0.5786	0.6015	0.9429	0.7028	0.7046	0.6069	1.1206	0.9676	0.7227	0.7292	0.8895	0.9339	0.3387	0.4328	1.6923	2.0576	0.4847	0.2766	0.3816	0.2159	0.2006	0.3412	0.2998	0.2661	0.546	0.4132	0.4444	0.4057	0.4015	0.3945	0.5697	0.2061	0.2881	0.2857	0.2535	0.3347	0.3689	0.2898	0.3764	0.2159	0.3496	0.3073	0.377	0.4258	0.4335	0.1601	0.2486	0.3349	0.3895	0.5135	0.5694	0.3588	0.2803	0.4506	0.3848	0.5432	0.5596	0.5355	0.2165	0.3151	0.2269	0.3896	0.3781	0.5079	0.5183	0.7503	0.5135	0.1973	0.4145	0.3619	0.2683	0.5676	0.6149	0.4389	0.1971	0.3982	0.3976	0.4317	0.4605	0.4476	0.475	0.2276	0.2679	0.6064	0.6499	0.5777	0.6195	0.5286	0.3796	0.3599	0.2959	0.2721	0.4346	0.379	0.2572	0.357	0.4954	0.238	0.2499	0.2262	0.3831	0.3089	0.3008	0.418	0.6028	0.4122	0.434	0.4403	0.3558	0.4085	0.4992	0.4588	0.4787	0.5788	0.3677	0.3372	0.2066	0.3812	0.5538	0.2536	0.3384	0.2622	0.4785	0.4499	0.3922	0.2108	0.2501	0.4608	0.3748	0.4173	0.6613	0.3344	0.3959	0.5184	0.3164	0.3862	0.3417	0.4358	0.4758	0.4496	0.4454	0.5221	0.3046	0.2699	0.6536	0.4353	0.5727	0.4626	0.1952	0.3503	0.4216	0.4774	0.4215	0.442	0.2677	0.6805	0.1932	0.2494
25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07.bam		H3K27me3_3	chr5(+):87828193-88385787	90	90	90	0.416	0.5367	0.4541	0.3778	0.1362	0.3199	0.3589	0.4929	0.5262	0.5265	0.3942	0.2401	0.2482	0.2281	0.3428	0.3579	0.4548	0.4942	0.3167	0.2445	0.1674	0.3618	0.5095	0.3247	0.2138	0.0982	0.3225	0.3697	0.3854	0.5736	0.722	0.6552	0.342	0.2008	0.3739	0.2981	0.242	0.204	0.3945	0.2808	0.3943	0.3505	0.4535	0.6617	0.4527	0.509	0.4856	0.6009	0.946	0.9217	0.7491	0.7966	0.6861	0.8311	0.4013	0.6301	1.3404	1.7131	0.9446	0.4318	0.6213	0.5917	0.4564	0.3473	0.1947	0.1645	0.3069	0.1665	0.2399	0.3953	0.3764	0.3793	0.4159	0.2873	0.2938	0.2038	0.2863	0.5464	0.5152	0.5436	0.224	0.1821	0.1046	0.403	0.2818	0.4278	0.3366	0.3081	0.2399	0.3045	0.173	0.1696	0.2405	0.3128	0.5448	0.3094	0.3637	0.4481	0.4422	0.1417	0.3746	0.4455	0.5615	0.4361	0.4673	0.404	0.39	0.288	0.387	0.3797	0.3754	0.2018	0.1727	0.1681	0.203	0.4698	0.573	0.4273	0.4831	0.3337	0.3348	0.3616	0.2803	0.4673	0.5871	0.6259	0.6024	0.4887	0.4085	0.5967	0.3868	0.4571	0.3505	0.3977	0.3445	0.3839	0.2253	0.2267	0.4024	0.212	0.1967	0.4099	0.2295	0.2091	0.4063	0.3412	0.2401	0.1713	0.2105	0.1458	0.51	0.6497	0.3813	0.1587	0.24	0.5786	0.5248	0.201	0.3435	0.276	0.4256	0.4568	0.1486	0.4497	0.8332	0.5852	0.3961	0.2743	0.253	0.2358	0.2034	0.402	0.1845	0.299	0.1632	0.5124	0.6878	0.5714	0.7299	0.6271	0.3465	0.7412	0.3516	0.5241	0.4597	0.702	0.4293	0.4262	0.4056	0.2387	0.4627	0.4138	0.1555	0.4936	0.7149	0.4418	0.3253	0.2921	0.3169	0.3098
26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13.bam		H3K27me3_3	chr5(+):87828193-88385787	65	65	65	0.3632	0.2406	0.2842	0.4473	0.3616	0.2707	0.2682	0.2925	0.3073	0.462	0.4205	0.2132	0.2739	0.3223	0.283	0.3897	0.4504	0.4469	0.1781	0.2462	0.3295	0.283	0.0729	0.1703	0.5591	0.4194	0.2833	0.491	0.3753	0.4131	0.4845	0.3684	0.548	0.4418	0.1219	0.2191	0.3374	0.1614	0.4971	0.2494	0.2989	0.2316	0.3654	0.4055	0.5964	0.485	0.8975	0.4525	0.4993	0.6477	0.5638	1.0232	0.3578	0.4321	0.6632	0.3395	1.3863	1.6995	0.8478	0.4733	0.5199	0.6861	0.4767	0.4923	0.2715	0.1704	0.416	0.3579	0.3042	0.2994	0.23	0.465	0.4838	0.688	0.2669	0.4773	0.8932	0.5303	0.2499	0.3949	0.171	0.2621	0.3799	0.3391	0.2164	0.3771	0.5486	0.5561	0.2889	0.2113	0.1581	0.4578	0.3766	0.4785	0.6296	0.4509	0.404	0.3593	0.3915	0.3644	0.3051	0.5855	0.5151	0.6741	0.5678	0.7483	0.6532	0.4485	0.3583	0.4477	0.348	0.4153	0.1392	0.3115	0.3957	0.448	0.6486	0.4567	0.4523	0.3893	0.2891	0.3245	0.5168	0.873	0.544	0.8374	0.8955	0.5889	0.5043	0.2765	0.2335	0.3761	0.1982	0.3962	0.3651	0.4804	0.2794	0.1992	0.4221	0.4198	0.2558	0.0781	0.3026	0.4228	0.3972	0.4161	0.2525	0.3305	0.2918	0.2412	0.2146	0.2597	0.2226	0.3848	0.5798	0.6147	0.4078	0.1666	0.2379	0.4452	0.8199	0.5943	0.4685	0.464	0.8314	0.6711	0.2672	0.2503	0.4155	0.4999	0.5006	0.1593	0.1424	0.1586	0.3776	0.5788	0.2694	0.4	0.4492	0.2238	0.2434	0.2533	0.3136	0.2318	0.2036	0.4268	0.3326	0.3304	0.4395	0.2671	0.3032	0.3851	0.2955	0.43	0.413	0.4632	0.4225	0.533	0.5859	0.1446
27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14.bam		H3K27me3_6	chr5(+):87828193-88385787	90	90	90	0.4101	0.5075	0.45	0.314	0.3772	0.4962	0.0851	0.2592	0.3639	0.483	0.7453	0.5605	0.2217	0.2982	0.3664	0.3408	0.3633	0.4875	0.3598	0.6838	0.461	0.355	0.3306	0.3839	0.4932	0.3838	0.7117	0.5617	0.2712	0.5309	0.9067	0.5806	0.7495	0.542	0.4489	0.5603	0.6428	0.3496	0.4062	0.6047	0.4189	0.3352	0.5873	0.7474	0.9427	1.0985	1.0014	0.4521	0.956	0.6987	1.1484	0.9426	0.629	0.804	0.6842	0.5514	1.2497	1.2264	0.5833	0.5114	0.4449	0.2004	0.2955	0.679	0.4172	0.6507	0.5748	0.3411	0.4862	0.57	0.5709	0.8614	0.5899	0.5663	0.4862	0.3111	0.7973	0.6244	0.6232	0.3903	0.4866	0.4696	0.4133	0.2944	0.4224	0.5097	0.3591	0.2545	0.3288	0.7178	0.5196	0.4412	0.6456	0.6779	0.5912	0.6469	0.635	0.5311	0.902	0.8102	0.2985	0.6707	0.4584	0.5425	0.4424	0.7512	0.8555	0.7012	0.5633	0.606	0.7049	0.5105	0.4396	0.3095	0.5357	0.8512	0.7947	0.4147	0.34	0.2917	0.3374	0.4078	0.3679	0.5879	0.6144	1.0149	1.0505	0.7902	0.4088	0.3945	0.7726	0.8403	0.5638	0.4415	0.2928	0.5582	0.3252	0.385	0.4566	0.3596	0.5051	0.3759	0.41	0.4457	0.6651	0.4453	0.4921	0.5562	0.885	0.3839	0.2542	0.5619	0.5544	0.4129	0.497	0.5128	0.4252	0.4073	0.4736	0.5576	0.5203	0.5881	0.3941	0.5366	0.9193	0.4645	0.3596	0.6625	0.6001	0.5451	0.6523	0.677	0.3444	0.4539	0.4101	0.4973	0.5085	0.6428	0.4066	0.3804	0.3801	0.4563	0.3427	0.532	0.7539	0.6682	0.4526	0.5113	0.433	0.473	0.7462	0.5683	0.4081	0.4785	0.6296	0.752	0.3931	0.6166	0.8083	0.5186
28_0F2E_0229Kronos_MM1S-KB-6hr-2_H3K27me3_hs-dm_i16.bam		H3K27me3_6	chr5(+):87828193-88385787	65	65	65	0.4049	0.5633	0.5739	0.3731	0.4479	0.3117	0.4888	0.2341	0.4978	0.8147	0.5547	0.5896	0.5059	0.4425	0.3325	0.3564	0.4231	0.4129	0.6902	0.883	0.4955	0.371	0.6481	0.6956	0.4503	0.4365	0.3294	0.2399	0.3834	0.5183	0.8131	0.6924	0.6889	0.6024	0.3131	0.2233	0.4477	0.5224	0.5236	0.592	0.6285	0.532	0.5809	0.7178	0.52	0.9131	0.8797	0.5271	0.9091	0.9685	1.1049	1.6789	0.8908	0.9417	0.469	0.7013	1.2856	1.2505	0.7232	0.6487	0.7	0.5278	0.698	0.5091	0.3586	0.5316	0.4431	0.4922	0.4405	0.6476	0.6318	0.738	0.912	0.7365	0.3678	0.5401	0.6957	0.8523	0.5995	0.6728	0.747	1.066	0.7285	0.5937	0.6373	0.5993	0.6501	0.671	0.7075	0.5985	0.5369	0.6518	0.5109	0.4638	0.6193	0.7774	0.4492	0.2689	0.5493	0.782	0.6655	0.9346	0.9515	0.7177	0.6908	0.9071	0.8997	0.878	0.8477	0.7506	0.6076	0.3642	0.7085	0.6756	0.5711	0.6429	0.8255	0.6007	0.4816	0.5561	0.632	0.5042	0.738	1.2617	0.6682	0.8623	1.0389	0.9495	0.9189	0.8051	0.4149	0.3117	0.5386	0.5679	0.4984	0.62	0.5695	0.5927	0.4587	0.3831	0.5648	0.5526	0.5443	0.5301	0.5038	0.4709	0.6706	0.665	0.6603	0.4896	0.5206	0.4558	0.5617	0.3176	0.363	0.4131	0.4081	0.3394	0.4223	0.497	0.5557	0.3488	0.7126	0.8485	0.4863	0.3975	0.5581	0.6016	0.4346	0.3776	0.3958	0.368	0.6382	0.3125	0.6216	0.514	0.6224	0.4319	0.5235	0.4325	0.5763	0.603	0.4425	0.364	0.4318	0.4364	0.35	0.5247	0.3435	0.6271	0.6232	0.7542	0.7312	0.9934	0.8176	0.516	0.4266	0.4662	0.6366	0.4051
29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17.bam		H3K27me3_24	chr5(+):87828193-88385787	90	90	90	0.4461	0.4077	0.4581	0.375	0.5653	0.3688	0.2759	0.2874	0.4444	0.4566	0.4116	0.141	0.4931	0.4414	0.2034	0.3326	0.4437	0.5038	0.3935	0.4954	0.5545	0.4068	0.3737	0.2564	0.3805	0.3195	0.2338	0.3185	0.6394	0.4117	0.6493	0.2938	0.4831	0.3082	0.3387	0.5405	0.4327	0.3303	0.1806	0.4318	0.6093	0.7485	0.4781	0.4591	0.7029	0.6965	0.8548	0.6352	0.8829	0.9156	1.082	0.9718	0.8173	0.665	0.525	0.6432	1.5926	1.3472	0.441	0.4058	0.397	0.7951	0.4733	0.5324	0.5428	0.3404	0.5654	0.5193	0.4099	0.4405	0.6984	0.8417	0.768	0.7111	0.3031	0.243	0.7758	0.554	0.3951	0.4834	0.2412	0.4557	0.7422	0.2948	0.4398	0.4218	0.6627	0.2515	0.32	0.5556	0.4032	0.3455	0.3317	0.1925	0.5783	0.8211	0.5445	0.5762	0.6414	0.4502	0.4768	0.692	0.6473	0.4417	0.798	0.8221	1.0083	0.4014	0.2837	0.6632	0.8199	0.4886	0.5775	0.404	0.4981	0.2288	0.6584	0.8051	0.5327	0.4188	0.4796	0.4726	0.526	0.8773	0.9684	0.71	0.7269	1.0151	0.6022	0.4205	0.4206	0.3059	0.1814	0.2517	0.2001	0.2916	0.3406	0.4079	0.3178	0.4074	0.3355	0.475	0.3552	0.5156	0.2351	0.4459	0.6523	0.4855	0.2078	0.4973	0.3893	0.5659	0.7153	0.4167	0.3647	0.5817	0.3555	0.4298	0.3189	0.4108	0.4564	0.4024	0.5147	0.6035	0.4576	0.3272	0.6627	0.451	0.5048	0.5373	0.416	0.4168	0.3214	0.6293	0.7891	0.4997	0.5582	0.3657	0.4016	0.5009	0.3554	0.3127	0.4013	0.504	0.4361	0.8357	0.5771	0.1343	0.2238	0.7544	0.4656	0.5855	0.4525	0.7176	0.7511	0.4537	0.2015	0.4621	0.4571	0.5482
30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19.bam		H3K27me3_24	chr5(+):87828193-88385787	65	65	65	0.4593	0.3983	0.3594	0.2113	0.1556	0.4109	0.4795	0.2917	0.2476	0.3156	0.3661	0.1598	0.3244	0.3784	0.6039	0.4013	0.2436	0.2102	0.4043	0.2816	0.5183	0.7077	0.758	0.4645	0.499	0.3888	0.2272	0.3127	0.5405	0.6165	0.3813	0.3951	0.6127	0.4045	0.4	0.4361	0.3934	0.3984	0.4753	0.5332	0.7549	0.6174	0.5021	0.6347	0.5883	0.5855	0.7969	1.0976	1.1817	0.6225	0.7419	0.8655	0.756	0.6087	0.3132	0.2945	1.3563	1.4808	0.6014	0.4714	0.4755	0.4088	0.4808	0.5537	0.3881	0.3342	0.4819	0.3351	0.3913	0.5766	0.7851	0.6201	0.4023	0.4738	0.5444	0.5993	0.6528	0.4291	0.4412	0.4656	0.3615	0.5529	0.5611	0.6188	0.7308	0.6035	0.4198	0.4035	0.4042	0.6874	0.6415	0.4359	0.6178	0.4176	0.6331	0.6968	0.4639	0.4511	0.831	0.8373	0.5142	0.6223	0.7749	0.8687	0.9429	0.825	0.7302	1.0332	0.6085	0.527	0.579	0.3984	0.8954	0.5093	0.6079	0.4283	0.5637	0.5345	0.6735	0.6724	0.8113	0.2868	0.4762	0.7277	0.6705	0.7463	0.8346	0.7481	0.8992	0.5877	0.6822	0.7935	0.4184	0.3729	0.2611	0.232	0.3509	0.3721	0.3935	0.6121	0.473	0.3996	0.5747	0.2831	0.2194	0.3181	0.4062	0.3473	0.5377	0.7209	0.4907	0.2965	0.503	0.5319	0.2434	0.493	0.9012	0.4368	0.3898	0.5405	0.5278	0.5961	0.4559	0.5931	0.4819	0.452	0.4922	0.325	0.2973	0.4888	0.5955	0.3038	0.3127	0.469	0.6802	0.5441	0.5114	0.6157	0.503	0.3204	0.4443	0.6439	0.6072	0.3014	0.3088	0.4168	0.7132	0.647	0.7457	0.6583	0.6164	0.5218	0.8622	0.9242	0.5503	0.353	0.3948	0.3946	0.6187	0.4522
