ENHANCER_ID	CHROM	START	STOP	GENE_LIST
4_MACS_peak_1690_lociStitched	chr1	149801425	149834915	HIST2H2AA4,FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB,HIST2H4B,HIST2H3A,HIST2H2BC
3_MACS_peak_8752_lociStitched	chr14	106023443	106057867	TMEM121
4_MACS_peak_23981_lociStitched	chr6	7883121	7921645	TXNDC5,MUTED-TXNDC5
4_MACS_peak_18675_lociStitched	chr22	23255937	23287901	IGLL5
5_MACS_peak_8471_lociStitched	chr14	91812350	91867243	CCDC88C
3_MACS_peak_20537_lociStitched	chr3	141079652	141132523	ZBTB38
5_MACS_peak_8756_lociStitched	chr14	106143853	106176314	TMEM121
4_MACS_peak_1838_lociStitched	chr1	154907436	154935437	PBXIP1,CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B,PMVK,PYGO2,SHC1
7_MACS_peak_16118_lociStitched	chr2	99054390	99109476	INPP4A
3_MACS_peak_16052_lociStitched	chr2	89130550	89169835	ANKRD36BP2
11_MACS_peak_1526_lociStitched	chr1	118147892	118218071	FAM46C
3_MACS_peak_18672_lociStitched	chr22	23223262	23249235	IGLL5
2_MACS_peak_13967_lociStitched	chr19	13259784	13284799	IER2,NACC1,LYL1,TRMT1,STX10
3_MACS_peak_1923_lociStitched	chr1	156626743	156648006	NES,HAPLN2,BCAN,CRABP2,ISG20L2
2_MACS_peak_1916_lociStitched	chr1	156456769	156479258	MEF2D
3_MACS_peak_4071_lociStitched	chr10	112166733	112188218	DUSP5
2_MACS_peak_1716_lociStitched	chr1	150531364	150554334	MCL1,MIR4257,ENSA,ADAMTSL4
3_MACS_peak_24604_lociStitched	chr6	45383001	45405912	RUNX2,SUPT3H
3_MACS_peak_7108_lociStitched	chr12	123355353	123387329	VPS37B,HIP1R
3_MACS_peak_1006_lociStitched	chr1	51432024	51451692	CDKN2C,FAF1
7_MACS_peak_15628_lociStitched	chr2	47713305	47755798	KCNK12
5_MACS_peak_19287_lociStitched	chr22	50962323	50983735	ODF3B,ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22ORF41,CPT1B,CHKB,NCAPH2,SCO2,TYMP
2_MACS_peak_24875_lociStitched	chr6	90054002	90072578	UBE2J1,GABRR2,RRAGD
5_MACS_peak_2020_lociStitched	chr1	161142765	161164063	B4GALT3,UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3,ADAMTS4
3_MACS_peak_11562_lociStitched	chr17	16872897	16895891	TNFRSF13B
2_MACS_peak_13163_lociStitched	chr18	42286140	42314356	SETBP1
4_MACS_peak_21579_lociStitched	chr4	71522861	71557037	IGJ,ENAM,RUFY3,UTP3
3_MACS_peak_29090_lociStitched	chr9	93676146	93708736	SYK
2_MACS_peak_18077_lociStitched	chr20	55963910	55978789	RBM38,RAE1,MTRNR2L3
3_MACS_peak_12301_lociStitched	chr17	56405055	56423295	MIR142,MPO,BZRAP1,SUPT4H1
2_MACS_peak_5666_lociStitched	chr11	120365261	120385594	GRIK4
1_MACS_peak_15274_lociStitched	chr2	20404120	20426098	SDC1
3_MACS_peak_21760_lociStitched	chr4	90210976	90230251	GPRIN3
1_MACS_peak_5696_lociStitched	chr11	122929149	122942613	HSPA8,LOC341056
7_MACS_peak_25023_lociStitched	chr6	109186720	109228038	ARMC2
2_MACS_peak_4990_lociStitched	chr11	65183722	65198781	NEAT1,FRMD8,MIR612,SLC25A45
6_MACS_peak_30765_lociStitched	chrX	153188322	153219622	NAA10,AVPR2,TMEM187,MIR3202-1,L1CAM,MIR3202-2,ARHGAP4,RENBP,HCFC1
2_MACS_peak_24970_lociStitched	chr6	106531390	106556688	PRDM1
1_MACS_peak_28085_lociStitched	chr8	103817670	103829187	AZIN1
2_MACS_peak_2287_lociStitched	chr1	184709299	184725660	EDEM3
5_MACS_peak_18498_lociStitched	chr21	45552325	45580472	C21ORF33,PWP2
3_MACS_peak_14464_lociStitched	chr19	39887636	39904640	ZFP36,SUPT5H,PAF1,RPS16,MED29,PLEKHG2
1_MACS_peak_1938_lociStitched	chr1	157141959	157154577	ETV3,CYCSP52
1_MACS_peak_23789_lociStitched	chr5	176851833	176862541	GRK6,SLC34A1,PRR7,PFN3,F12,DBN1
2_MACS_peak_18020_lociStitched	chr20	52191530	52214105	ZNF217
1_MACS_peak_20125_lociStitched	chr3	98448601	98465595	ST3GAL6
3_MACS_peak_26602_lociStitched	chr7	102061387	102087260	ORAI2,LRWD1,ALKBH4,POLR2J,PRKRIP1
6_MACS_peak_13501_lociStitched	chr19	1248041	1277297	CIRBP,STK11,ATP5D,EFNA2,C19ORF26,MIDN,C19ORF24,C19ORF23
4_MACS_peak_5563_lociStitched	chr11	115086874	115101064	CADM1
5_MACS_peak_17783_lociStitched	chr20	37498592	37523915	FAM83D,PPP1R16B
1_MACS_peak_18086_lociStitched	chr20	56045721	56058392	CTCFL
3_MACS_peak_13549_lociStitched	chr19	2081418	2097743	MOBKL2A,MKNK2,IZUMO4
5_MACS_peak_4213_lociStitched	chr10	125821859	125854771	CHST15
3_MACS_peak_18705_lociStitched	chr22	24176780	24192101	DERL3,SMARCB1,SLC2A11,MIF
4_MACS_peak_15501_lociStitched	chr2	38818401	38845140	HNRPLL,GALM
4_MACS_peak_2064_lociStitched	chr1	162530281	162562951	UAP1,DDR2
1_MACS_peak_18769_lociStitched	chr22	29185991	29199761	XBP1,HSCB,CCDC117,CHEK2
1_MACS_peak_17185_lociStitched	chr2	232569724	232577806	PTMA,MIR1244-1
7_MACS_peak_27989_lociStitched	chr8	98635005	98665582	MTDH
2_MACS_peak_27464_lociStitched	chr8	33407706	33425565	RNF122,C8ORF41,DUSP26
8_MACS_peak_15505_lociStitched	chr2	38855283	38896112	GALM,HNRPLL
3_MACS_peak_8397_lociStitched	chr14	81930703	81955729	SEL1L
5_MACS_peak_11824_lociStitched	chr17	32688722	32719405	CCL1,CCL8,CCL13
8_MACS_peak_8537_lociStitched	chr14	94420205	94448314	ASB2,FAM181A,C14ORF48,OTUB2,C14ORF86
4_MACS_peak_7083_lociStitched	chr12	122224781	122244549	RHOF,SETD1B,LOC338799
2_MACS_peak_573_lociStitched	chr1	27018591	27030908	ARID1A
6_MACS_peak_7787_lociStitched	chr14	23018145	23039978	DAD1,ABHD4
