GENE_ID	locusLine	bin_1_39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82.bam
1_MACS_peak_1_lociStitched	chr1(.):28348-30431	0.2075
1_MACS_peak_2_lociStitched	chr1(.):441856-442686	0.0746
1_MACS_peak_3_lociStitched	chr1(.):540183-541246	0.113
1_MACS_peak_4_lociStitched	chr1(.):713114-715286	0.1945
1_MACS_peak_5_lociStitched	chr1(.):752423-753281	0.0973
1_MACS_peak_6_lociStitched	chr1(.):761830-763680	0.1862
1_MACS_peak_7_lociStitched	chr1(.):793412-794470	0.1643
1_MACS_peak_8_lociStitched	chr1(.):879181-880547	0.1229
3_MACS_peak_9_lociStitched	chr1(.):893890-902780	0.0908
1_MACS_peak_12_lociStitched	chr1(.):947957-949679	0.1603
1_MACS_peak_13_lociStitched	chr1(.):967944-969086	0.1155
1_MACS_peak_14_lociStitched	chr1(.):997593-1000404	0.1189
1_MACS_peak_15_lociStitched	chr1(.):1051068-1052179	0.083
3_MACS_peak_16_lociStitched	chr1(.):1071306-1080386	0.0684
1_MACS_peak_19_lociStitched	chr1(.):1092827-1094177	0.1295
1_MACS_peak_20_lociStitched	chr1(.):1166067-1168175	0.1145
1_MACS_peak_21_lociStitched	chr1(.):1185059-1185900	0.1297
1_MACS_peak_22_lociStitched	chr1(.):1208003-1210172	0.142
2_MACS_peak_23_lociStitched	chr1(.):1242404-1245074	0.095
1_MACS_peak_25_lociStitched	chr1(.):1259381-1261410	0.1308
2_MACS_peak_26_lociStitched	chr1(.):1283881-1285515	0.0497
1_MACS_peak_28_lociStitched	chr1(.):1309827-1311670	0.1816
2_MACS_peak_29_lociStitched	chr1(.):1333765-1343545	0.1564
1_MACS_peak_31_lociStitched	chr1(.):1396687-1399025	0.2381
1_MACS_peak_32_lociStitched	chr1(.):1405942-1408328	0.152
2_MACS_peak_33_lociStitched	chr1(.):1439728-1448713	0.1356
1_MACS_peak_35_lociStitched	chr1(.):1509223-1511172	0.1656
2_MACS_peak_36_lociStitched	chr1(.):1544938-1552199	0.1318
1_MACS_peak_38_lociStitched	chr1(.):1565661-1566506	0.1689
1_MACS_peak_39_lociStitched	chr1(.):1589534-1591627	0.2289
2_MACS_peak_40_lociStitched	chr1(.):1606186-1610965	0.1893
1_MACS_peak_42_lociStitched	chr1(.):1622720-1625534	0.1746
1_MACS_peak_43_lociStitched	chr1(.):1655033-1656753	0.2079
2_MACS_peak_44_lociStitched	chr1(.):1668872-1678933	0.1483
2_MACS_peak_46_lociStitched	chr1(.):1708310-1715028	0.1825
1_MACS_peak_48_lociStitched	chr1(.):1772489-1774645	0.1722
