ENHANCER_ID	CHROM	START	STOP	GENE_LIST
2_MACS_peak_23925_lociStitched	chr6	7894881	7922201	TXNDC5,MUTED-TXNDC5
2_MACS_peak_9105_lociStitched	chr14	106025643	106053156	TMEM121
8_MACS_peak_18362_lociStitched	chr22	23264510	23287169	IGLL5
3_MACS_peak_1594_lociStitched	chr1	154907538	154920952	PMVK,CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1,PBXIP1
4_MACS_peak_20151_lociStitched	chr3	141085199	141111668	ZBTB38
3_MACS_peak_1666_lociStitched	chr1	156457508	156479667	MEF2D
3_MACS_peak_5052_lociStitched	chr11	65183646	65198367	NEAT1,FRMD8,MIR612,SLC25A45
1_MACS_peak_22322_lociStitched	chr5	1311090	1320329	TERT,CLPTM1L
3_MACS_peak_2095_lociStitched	chr1	184707366	184724958	EDEM3
4_MACS_peak_3244_lociStitched	chr10	22595358	22615631	COMMD3,SPAG6,BMI1
1_MACS_peak_22288_lociStitched	chr5	9943	11858	PLEKHG4B
3_MACS_peak_21260_lociStitched	chr4	71521962	71538325	IGJ,ENAM,UTP3,RUFY3
2_MACS_peak_6076_lociStitched	chr12	12866220	12880071	CDKN1B,MIR613,GPR19,APOLD1
3_MACS_peak_8940_lociStitched	chr14	94436435	94449465	ASB2,C14ORF48,OTUB2,C14ORF86
4_MACS_peak_30303_lociStitched	chrX	58215636	58243316	ZXDA
5_MACS_peak_21331_lociStitched	chr4	77117233	77137674	SCARB2,FAM47E,NUP54
2_MACS_peak_14965_lociStitched	chr2	20403924	20425666	SDC1
5_MACS_peak_24964_lociStitched	chr6	106531645	106556394	PRDM1
7_MACS_peak_3029_lociStitched	chr10	5929972	5950170	FBXO18,ANKRD16
2_MACS_peak_11614_lociStitched	chr17	16887889	16895893	TNFRSF13B
1_MACS_peak_1588_lociStitched	chr1	154755656	154766034	KCNN3
2_MACS_peak_21502_lociStitched	chr4	90214216	90229984	GPRIN3
1_MACS_peak_22990_lociStitched	chr5	88175258	88187032	MEF2C
