REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X23_0F29_0229Kronos_MM1S.KB.1hr.1_H3K27me3_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
26_MACS_peak_13202_lociStitched	chr17	77078190	77297617	26	213357	328262.792	19616.7738	1	ENGASE,RBFOX3	C1QTNF1	ENGASE	C1QTNF1	1.2781	1	1
18_MACS_peak_13475_lociStitched	chr17	79316467	79474262	18	153825	265758.339	14438.2425	2	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1,C17orf70	BAHCC1	BAHCC1	1.8323999999999998	2	1
20_MACS_peak_1357_lociStitched	chr1	10755015	10903301	20	144626	214466.0418	13568.169	3	CASZ1		CASZ1	CASZ1	1.437	3	1
26_MACS_peak_13235_lociStitched	chr17	77344718	77493399	26	141081	183442.6178	14005.7502	4	RBFOX3		RBFOX3	RBFOX3	1.2301	4	1
15_MACS_peak_13843_lociStitched	chr19	1668836	1813165	15	139952	299424.9434	21606.0513	5	ONECUT3,ATP8B3	LOC100288123,TCF3,MIR1909,REXO1	ONECUT3	ONECUT3	2.0356	5	1
24_MACS_peak_12359_lociStitched	chr17	47938377	48078691	24	136057	208282.1016	15167.9434	6	DLX4,DLX3	TAC4	DLX4	DLX4	1.7066000000000001	6	1
15_MACS_peak_9370_lociStitched	chr16	1204113	1342062	15	135412	245825.118	11946.3834	7	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSG1	TPSG1	2.1500000000000004	7	1
21_MACS_peak_14085_lociStitched	chr19	3773047	3910688	21	133759	207135.9409	18595.2991	8	ATCAY,MATK,ZFR2	TJP3,MRPL54,ITGB1BP3,APBA3,RAX2	ZFR2	ZFR2	1.6303	8	1
33_MACS_peak_10921_lociStitched	chr17	724900	854477	33	121832	142042.3074	11843.3378	9	NXN	RNMTL1,TIMM22,GLOD4	NXN	NXN	0.9817	9	1
32_MACS_peak_121_lociStitched	chr1	1914569	2044272	32	120480	150792.7078	11063.6659	10	GABRD,PRKCZ,KIAA1751		PRKCZ	PRKCZ	0.8748	10	1
10_MACS_peak_13786_lociStitched	chr19	681112	794294	10	111072	209499.882	15743.6162	11	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	PRTN3	1.7628	11	1
16_MACS_peak_28528_lociStitched	chr9	132406572	132520085	16	110687	153299.3065	11374.0026	12	PRRX2,PTGES	METTL11A,TOR1B,C9orf50,ASB6	PRRX2	PRRX2	1.2549000000000001	12	1
17_MACS_peak_19756_lociStitched	chr20	61313047	61424092	17	105675	181203.231	11459.844	13	NTSR1	SLCO4A1,C20orf20,OGFR,COL9A3,LOC100127888	NTSR1	NTSR1	1.5036	13	1
30_MACS_peak_5388_lociStitched	chr11	1587788	1700995	30	104840	150203.0476	12486.7321	14	LOC338651,KRTAP5-5,FAM99A,MOB2,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,KRTAP5-4	KRTAP5-6,FAM99B	KRTAP5-4	FAM99B	1.2946	14	1
25_MACS_peak_332_lociStitched	chr1	2974009	3083990	25	104477	129678.5971	7302.7384	15	PRDM16,MIR4251,FLJ42875	ACTRT2	MIR4251	MIR4251	1.2258	15	1
15_MACS_peak_14045_lociStitched	chr19	3327187	3434806	15	104147	147384.2205	13333.9941	16	NFIC	C19orf77	NFIC	NFIC	1.2939	16	1
5_MACS_peak_13458_lociStitched	chr17	78991634	79095259	5	102346	215788.7	10310.6875	17	BAIAP2,FLJ90757,AATK	CHMP6,MIR3065,LOC388428,MIR657,MIR338,MIR1250	BAIAP2	BAIAP2	2.0488	17	1
12_MACS_peak_28765_lociStitched	chr9	135021003	135116571	12	93647	134483.2896	9757.4928	18	NTNG2		NTNG2	NTNG2	1.2625	18	1
13_MACS_peak_20152_lociStitched	chr21	44049691	44146484	13	92409	151180.9867	13589.7372	19	PDE9A		PDE9A	PDE9A	1.5606	19	1
13_MACS_peak_5507_lociStitched	chr11	2148625	2241889	13	90596	138720.8736	7367.856	20	IGF2AS,IGF2,INS-IGF2,MIR483,INS,TH		TH	TH	1.4442	20	1
7_MACS_peak_19740_lociStitched	chr20	60984630	61072552	7	86927	172142.4838	8229.4992	21	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	1.8666	21	1
5_MACS_peak_20400_lociStitched	chr21	46709100	46794456	5	84243	167972.0724	11693.772	22	LOC642852	COL18A1,POFUT2	LOC642852	COL18A1	1.5872	22	1
10_MACS_peak_22010_lociStitched	chr22	46289839	46374830	10	83638	129934.2408	7130.7449	23	WNT7B	LOC730668	WNT7B	WNT7B	1.448	23	1
4_MACS_peak_422_lociStitched	chr1	3404590	3488387	4	83315	146091.6898	6619.963	24	MEGF6,MIR551A	ARHGEF16	MIR551A	MIR551A	1.5353	24	1
22_MACS_peak_7311_lociStitched	chr12	3319850	3409034	22	82704	96283.0464	8436.8064	25	TSPAN9		TSPAN9	TSPAN9	0.7316	25	1
1_MACS_peak_5487_lociStitched	chr11	1981897	2063462	1	81566	170005.9295	7406.102	26	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	2.3477	26	1
9_MACS_peak_20165_lociStitched	chr21	44147863	44231074	9	81513	144787.14	11200.2006	27	PDE9A		WDR4	WDR4	NONE	27	1
13_MACS_peak_28694_lociStitched	chr9	133834660	133917317	13	79452	118149.9158	8249.1686	28	LAMC3	FIBCD1	LAMC3	FIBCD1	1.724	28	1
18_MACS_peak_20347_lociStitched	chr21	46404154	46485827	18	77935	146733.7118	11001.3531	29	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	NCRNA00162	2.1197	29	1
8_MACS_peak_14138_lociStitched	chr19	4544607	4624094	8	77808	143195.8305	11970.7422	30	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	PLIN5	1.8613999999999997	30	1
10_MACS_peak_21296_lociStitched	chr22	37771359	37846228	10	72251	107100.1045	7636.638	31	ELFN2	MFNG	ELFN2	ELFN2	1.3609	31	1
3_MACS_peak_19750_lociStitched	chr20	61141386	61213339	3	71345	130609.0856	6720.4102	32	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	MIR133A2	1.9561	32	1
15_MACS_peak_11020_lociStitched	chr17	1827180	1900931	15	70660	99563.85	7212.8478	33	RTN4RL1	DPH1,OVCA2	RTN4RL1	RTN4RL1	1.2469	33	1
11_MACS_peak_20591_lociStitched	chr22	19690071	19764328	11	70517	120504.2596	6683.13	34	SEPT5,SEPT5-GP1BB,GP1BB,TBX1		GP1BB	GP1BB	1.8728	34	1
18_MACS_peak_23816_lociStitched	chr4	8584095	8658901	18	70079	83707.914	5879.7516	35	GPR78,CPZ		CPZ	CPZ	1.2068	35	1
17_MACS_peak_1377_lociStitched	chr1	10906839	10981592	17	69758	91198.66	7639.7566	36			CASZ1	CASZ1	1.437	36	1
16_MACS_peak_15503_lociStitched	chr19	18059409	18132160	16	69552	101233.0165	7755.2566	37	KCNN1,ARRDC2	CCDC124	ARRDC2	ARRDC2	1.1506999999999998	37	1
