GENE	TF	CHROM	START	STOP	ENHANCER_ID
A2LD1	0	chr13	101044062	101049769	1_MACS_peak_8204_lociStitched
AAAS	0	chr12	53763570	53784199	5_MACS_peak_6733_lociStitched
AAMP	0	chr2	219080932	219096782	2_MACS_peak_17440_lociStitched
AANAT	0	chr17	74475193	74498557	4_MACS_peak_13111_lociStitched
AARS2	0	chr6	44223687	44234045	2_MACS_peak_25792_lociStitched
ABCB9	0	chr12	123458324	123466887	2_MACS_peak_7498_lociStitched
ABCD2	0	chr12	40006331	40025393	3_MACS_peak_6515_lociStitched
ABCF1	0	chr6	30580533	30587410	1_MACS_peak_25473_lociStitched
ABCG4	0	chr11	118954908	118979803	4_MACS_peak_5940_lociStitched
ABHD12	0	chr20	25254452	25282191	4_MACS_peak_18017_lociStitched
ABHD4	0	chr14	23018241	23040678	2_MACS_peak_8371_lociStitched
ABHD4	0	chr14	23065988	23084586	3_MACS_peak_8374_lociStitched
ACBD3	0	chr1	226308214	226318114	1_MACS_peak_2799_lociStitched
ACBD3	0	chr1	226334555	226350986	3_MACS_peak_2800_lociStitched
ACBD5	0	chr10	27528052	27533051	1_MACS_peak_3390_lociStitched
ACCN3	0	chr7	150776369	150785819	3_MACS_peak_28620_lociStitched
ACTG1	0	chr17	79477853	79487420	1_MACS_peak_13246_lociStitched
ACTN4	0	chr19	39169797	39185593	2_MACS_peak_14781_lociStitched
ACTN4	0	chr19	39137449	39151153	3_MACS_peak_14778_lociStitched
ACTR3C	0	chr7	150063872	150083942	3_MACS_peak_28605_lociStitched
ACTR3C	0	chr7	150009426	150022156	2_MACS_peak_28603_lociStitched
ADA	0	chr20	43269485	43282441	1_MACS_peak_18310_lociStitched
ADAD2	0	chr16	84165517	84179258	4_MACS_peak_11618_lociStitched
ADAM15	0	chr1	154969968	154979264	1_MACS_peak_1863_lociStitched
ADAM15	0	chr1	155033709	155044238	2_MACS_peak_1868_lociStitched
ADAMTS4	0	chr1	161122667	161158663	6_MACS_peak_2022_lociStitched
ADAMTSL4	0	chr1	150531748	150553405	1_MACS_peak_1752_lociStitched
ADD1	0	chr4	2786570	2803976	3_MACS_peak_21596_lociStitched
ADD3	0	chr10	111826361	111844095	2_MACS_peak_4325_lociStitched
ADM	0	chr11	10314678	10344848	4_MACS_peak_4728_lociStitched
ADM2	0	chr22	50962573	50985152	4_MACS_peak_19583_lociStitched
ADRBK1	0	chr11	67029870	67058381	4_MACS_peak_5375_lociStitched
AES	0	chr19	3060641	3067246	2_MACS_peak_14065_lociStitched
AFF1	0	chr4	87854694	87869458	2_MACS_peak_22313_lociStitched
AFF1	0	chr4	87923570	87931533	1_MACS_peak_22316_lociStitched
AFF1	0	chr4	87877296	87885171	1_MACS_peak_22315_lociStitched
AFMID	0	chr17	76108186	76144658	9_MACS_peak_13158_lociStitched
AFMID	0	chr17	76163809	76185299	4_MACS_peak_13167_lociStitched
AGA	0	chr4	178360429	178364741	1_MACS_peak_23067_lociStitched
AGAP3	0	chr7	150776369	150785819	3_MACS_peak_28620_lociStitched
AGBL3	0	chr7	134670449	134682742	2_MACS_peak_28450_lociStitched
AIF1	0	chr6	31619000	31634971	3_MACS_peak_25512_lociStitched
AIFM1	0	chrX	129298570	129310950	2_MACS_peak_32451_lociStitched
AIM2	0	chr1	159035657	159048947	2_MACS_peak_1977_lociStitched
AIP	0	chr11	67187547	67213014	4_MACS_peak_5385_lociStitched
AKAP2	0	chr9	112903468	112920922	1_MACS_peak_31105_lociStitched
AKAP2	0	chr9	112863006	112873580	1_MACS_peak_31104_lociStitched
AKT1S1	0	chr19	50424508	50434455	1_MACS_peak_15172_lociStitched
AKT1S1	0	chr19	50369593	50382528	4_MACS_peak_15164_lociStitched
ALDH16A1	0	chr19	49953628	49964720	3_MACS_peak_15139_lociStitched
ALDH3B1	0	chr11	67796958	67809733	2_MACS_peak_5408_lociStitched
ALDH4A1	0	chr1	19274584	19284166	2_MACS_peak_350_lociStitched
ALDOA	0	chr16	30074624	30078913	1_MACS_peak_11111_lociStitched
ALG12	0	chr22	50324825	50339897	4_MACS_peak_19555_lociStitched
ALG1L2	0	chr3	129811440	129817391	1_MACS_peak_20771_lociStitched
ALKBH4	0	chr7	102062480	102086812	4_MACS_peak_28050_lociStitched
ALKBH5	0	chr17	18085201	18092399	1_MACS_peak_12071_lociStitched
ALOX12	0	chr17	6914824	6926088	3_MACS_peak_11883_lociStitched
ALOX5	0	chr10	45913561	45919138	1_MACS_peak_3556_lociStitched
ALPK1	0	chr4	113191607	113220355	3_MACS_peak_22525_lociStitched
ALPK2	0	chr18	56291714	56307404	3_MACS_peak_13773_lociStitched
ALPK2	0	chr18	56316081	56327539	1_MACS_peak_13776_lociStitched
ALPP	0	chr2	233138312	233149308	2_MACS_peak_17639_lociStitched
