GENE_ID	locusLine	bin_1_KMS28BM_jia.bam
NM_013943	chr1(.):25066759-25175815	0.3039
NM_015215	chr1(.):6840383-7834766	0.1918
NM_007051	chr1(.):50901934-51430936	0.0801
NM_001006605	chr1(.):93302720-93432079	0.2541
NM_152263	chr1(.):154129289-154169609	0.7682
NR_002188	chr1(.):155178615-155202325	0.5856
NM_001043351	chr1(.):154122779-154160725	0.849
NM_021642	chr1(.):161470204-161494360	0.4688
NM_001198993	chr1(.):1677670-1715297	1.6923
NM_023018	chr1(.):1677670-1714909	1.7073
NM_017900	chr1(.):1304109-1315818	1.616
NM_001014980	chr1(.):1172832-1187102	0.124
NM_001198994	chr1(.):1677670-1716508	1.6443
NM_003820	chr1(.):2482804-2500267	1.3694
NM_003036	chr1(.):2155133-2246652	0.7963
NM_012102	chr1(.):8407463-8882699	0.2239
NM_152942	chr1(.):12180957-12209264	0.3271
NM_001243	chr1(.):12118433-12209264	0.1968
NM_001136265	chr1(.):19225773-19287826	0.6174
NM_001113348	chr1(.):21538739-21677034	0.7078
NM_004091	chr1(.):23827921-23862713	1.2216
NM_173065	chr1(.):24475646-24518751	0.7357
NM_001048199	chr1(.):28827454-28870708	0.7904
NR_002909	chr1(.):28827454-28842404	1.7038
NM_001720	chr1(.):40218902-40259533	1.5318
NM_174964	chr1(.):44168217-44401831	0.3044
NM_002227	chr1(.):65293905-65437187	0.2286
NM_198459	chr1(.):115122195-115217732	0.0789
NM_001100910	chr1(.):120834004-120860681	0.8493
NR_034178	chr1(.):143910747-144099477	0.3929
NM_153713	chr1(.):145472084-145504091	0.3093
NM_207168	chr1(.):150594521-150607098	1.1223
NM_207042	chr1(.):150589598-150607098	0.9366
NM_207044	chr1(.):150590753-150607098	0.9908
NM_020699	chr1(.):153772202-153900451	0.4448
NM_020524	chr1(.):154911558-154933567	0.5908
NM_181359	chr1(.):154372668-154445188	0.9493
NM_002249	chr1(.):154674914-154847754	0.3515
NM_170782	chr1(.):154674914-154837338	0.3543
NM_005572	chr1(.):156079460-156112657	0.8998
NM_170708	chr1(.):156079460-156114878	0.8511
NM_005973	chr1(.):156732273-156775609	0.3885
NM_012394	chr1(.):161065345-161092866	0.5797
NM_006182	chr1(.):162597227-162755247	0.0806
NM_014412	chr1(.):174963891-174986163	0.5921
NM_014857	chr1(.):174123633-174932327	0.0664
NM_001035230	chr1(.):174839683-174932327	0.091
NM_001007214	chr1(.):174963570-174986163	0.5847
NM_015149	chr1(.):183600207-183902666	0.2752
NM_025191	chr1(.):184654624-184729041	1.0321
NM_144977	chr1(.):197516384-197749623	0.4235
NM_001195215	chr1(.):197468878-197749623	0.3712
NM_182663	chr1(.):206675878-206767616	0.4536
NM_001143962	chr1(.):223709971-223858436	0.0259
NM_022735	chr1(.):226327379-226379423	0.7103
NM_001130045	chr1(.):1104285-1138313	0.1999
NR_029639	chr1(.):1097483-1107578	0.0697
NM_016547	chr1(.):1147287-1172447	0.7843
NM_080605	chr1(.):1162628-1175420	1.2806
NM_153254	chr1(.):1110076-1126243	0.0733
NM_003327	chr1(.):1141705-1154512	1.3902
NM_004195	chr1(.):1133887-1147089	1.7296
NR_029834	chr1(.):1098242-1108332	0.0806
NR_029957	chr1(.):1099384-1109467	0.0842
