GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
TMEM121	NM_025268	chr14:106024814-106056795	1	1	0.1863
DUSP22	NM_020185	chr6:287224-347291	2	1	1.7617
IRF4	NM_001195286	chr6:388992-404766,chr6:287224-347291	2,116	1	1.2211
KIAA0125	NR_026800	chr14:106325095-106386772	3	1	0.3706
CCDC88C	NM_001080414	chr14:91829166-91885646,chr14:91781445-91800785,chr14:91808699-91824952	4,172,252	1	0.9445
FAM46C	NM_017709	chr1:118147475-118188073,chr1:118191984-118230790	5,7	1	2.3605
PRDM1	NM_001198	chr6:106531213-106565912	8	1	3.5986
BMP6	NM_001718	chr6:7878724-7921438	9	1	0.4521
MUTED-TXNDC5	NR_037616	chr6:7878724-7921438	9	1	0.5369
TXNDC5	NM_001145549	chr6:7878724-7921438	9	1	1.4242
INPP4A	NM_004027	chr2:99060788-99113795	10	1	0.5742
HIP1R	NM_003959	chr12:123345039-123388420	11	1	0.3767
VPS37B	NM_024667	chr12:123345039-123388420,chr12:123410493-123423127	11,404	1	1.6618
ERN1	NM_001433	chr17:62150209-62186985,chr17:62192546-62210181	12,194	1	1.2613
SNORD104	NR_004380	chr17:62150209-62186985,chr17:62192546-62210181	12,194	1	0.4136
SNORA76	NR_002995	chr17:62150209-62186985,chr17:62192546-62210181	12,194	1	0.4145
LOC541471	NR_015395	chr2:112181988-112224728,chr2:112230471-112244494	13,320	1	0.7902
SMAP2	NM_022733	chr1:40839141-40871938	14	1	1.2261
ZNF643	NM_023070	chr1:40839141-40871938	14	1	0.0574
UNC5C	NM_003728	chr4:96443538-96472563	15	1	0.2897
TP53INP1	NM_001135733	chr8:95948085-95976867,chr8:95983204-95993374	16,531	1	2.4007
CCNE2	NM_057749	chr8:95948085-95976867	16	1	0.2542
CXCR4	NM_003467	chr2:136870554-136898419	17	1	2.3867
ZBTB38	NM_001080412	chr3:141079360-141112545,chr3:141117770-141141380	18,38	1	1.0789
IGLL5	NM_001178126	chr22:23219969-23249041,chr22:23252545-23287347,chr22:23197161-23214541	20,39,211	1	1.3526
NCRNA00152	NR_024204	chr2:87794288-87823055,chr2:87753775-87777003,chr2:87781724-87790556	21,73,347	1	1.667
KLF13	NM_015995	chr15:31626906-31661186,chr15:31615642-31621498	22,668	1	1.2846
CXXC5	NM_016463	chr5:139027232-139059031,chr5:139013189-139023264	23,403	1	1.1988
FNDC3B	NM_001135095	chr3:171802007-171833530,chr3:171753130-171764917	24,651	1	0.4561
C5orf56	NM_001013717	chr5:131744805-131774658,chr5:131788825-131817237	25,40	1	1.8724
SLC22A5	NM_003060	chr5:131744805-131774658	25	1	0.2876
MIR3936	NR_037500	chr5:131744805-131774658	25	1	0.4197
GLCCI1	NM_138426	chr7:8006493-8030847,chr7:7958440-7964536	26,754	1	0.8635
CREB3L2	NM_194071	chr7:137660500-137687949	27	1	0.6885
RAC2	NM_002872	chr22:37614123-37642100	28	1	1.5027
CYTH4	NM_013385	chr22:37614123-37642100	28	1	0.4943
C1QTNF6	NM_031910	chr22:37614123-37642100	28	1	0.0858
SSTR3	NM_001051	chr22:37614123-37642100	28	1	0.1353
PLCG2	NM_002661	chr16:81837249-81876938	29	1	0.3806
HDAC7	NM_001098416	chr12:48191173-48215120	30	1	1.2666
SLC48A1	NM_017842	chr12:48191173-48215120	30	1	0.3209
RAPGEF3	NM_001098532	chr12:48191173-48215120	30	1	0.4158
EIF2AK3	NM_004836	chr2:88896820-88928705	31	1	0.9367
SDC1	NM_002997	chr2:20403318-20426422	32	1	1.3087
COMMD3	NM_012071	chr10:22595098-22615306	33	1	3.3258
BMI1	NM_005180	chr10:22595098-22615306	33	1	1.8777
SPAG6	NM_172242	chr10:22595098-22615306	33	1	0.102
IKZF3	NM_183232	chr17:37909361-37935238,chr17:38016014-38024792	34,485	1	0.7225
GRB7	NM_005310	chr17:37909361-37935238	34	1	0.4173
C17orf37	NM_032339	chr17:37909361-37935238	34	1	0.2793
POU2AF1	NM_006235	chr11:111227975-111251851,chr11:111284398-111294615	35,375	1	1.4989
NEAT1	NR_028272	chr11:65183550-65201782,chr11:65236475-65246436,chr11:65148001-65158691	37,379,576	1	5.3106
FRMD8	NM_031904	chr11:65148001-65158691,chr11:65183550-65201782	37,576	1	0.8747
MIR612	NR_030343	chr11:65183550-65201782,chr11:65254539-65274415,chr11:65236475-65246436	37,56,379	1	0.4599
SLC25A45	NM_001077241	chr11:65148001-65158691,chr11:65183550-65201782	37,576	1	1.0286
IRF1	NM_002198	chr5:131820848-131837058,chr5:131788825-131817237	40,126	1	1.3554
ARMC2	NM_032131	chr6:109183574-109208513,chr6:109213054-109228255	41,123	1	0.8075
TNFRSF13C	NM_052945	chr22:42310767-42343514	42	1	1.3786
CENPM	NM_001002876	chr22:42310767-42343514	42	1	2.2462
MIR33A	NR_029507	chr22:42310767-42343514	42	1	0.107
LOC339674	NR_024355	chr22:42310767-42343514	42	1	0.1867
SEPT3	NM_145733	chr22:42310767-42343514	42	1	0.1293
MEF2D	NM_005920	chr1:156455709-156479302	43	1	0.9329
TRIB1	NM_025195	chr8:126434473-126452439	44	1	4.1395
C21orf33	NM_198155	chr21:45552680-45581444	45	1	0.9034
PWP2	NM_005049	chr21:45552680-45581444	45	1	0.3129
JAK1	NM_002227	chr1:65412546-65434334	46	1	0.5338
ADAMTSL4	NM_019032	chr1:150531919-150553224	47	1	0.9579
MCL1	NM_001197320	chr1:150531919-150553224,chr1:150581340-150587134	47,709	1	1.4234
MIR4257	NR_036211	chr1:150531919-150553224	47	1	0.1877
ENSA	NM_207046	chr1:150531919-150553224,chr1:150581340-150587134	47,709	1	0.5443
CSK	NM_001127190	chr15:75065550-75093037	48	1	0.9752
CYP1A2	NM_000761	chr15:75065550-75093037	48	1	0.0547
LMAN1L	NM_021819	chr15:75065550-75093037	48	1	0.1248
CPLX3	NM_001030005	chr15:75065550-75093037	48	1	0.1012
CYP1A1	NM_000499	chr15:75065550-75093037	48	1	0.0668
ULK3	NM_001099436	chr15:75065550-75093037	48	1	0.221
PDE4B	NM_002600	chr1:66795863-66818831,chr1:66736956-66750405,chr1:66836080-66848653	49,195,399	1	0.2369
EDEM1	NM_014674	chr3:5222936-5247281	50	1	1.1704
ST6GAL1	NM_173216	chr3:186703255-186721997,chr3:186780438-186785943	51,779	1	0.934
FLI1	NM_002017	chr11:128585837-128611678,chr11:128562424-128571002	52,885	1	0.6375
RHOH	NM_004310	chr4:40191037-40210465	53	1	0.7518
MAP3K1	NM_005921	chr5:56108684-56137621	54	1	0.6017
CFLAR	NM_003879	chr2:201979444-201996369	55	1	1.1919
NDUFB3	NM_002491	chr2:201979444-201996369	55	1	0.3007
FAM126B	NM_173822	chr2:201979444-201996369	55	1	0.1738
MALAT1	NR_002819	chr11:65254539-65274415,chr11:65236475-65246436	56,379	1	2.6397
SCYL1	NM_001048218	chr11:65254539-65274415,chr11:65336059-65348515,chr11:65236475-65246436	56,351,379	1	0.463
UNC5A	NM_133369	chr5:176270522-176291943,chr5:176236770-176252076	57,119	1	0.94
HK3	NM_002115	chr5:176270522-176291943	57	1	0.3119
USP6NL	NM_001080491	chr10:11557127-11582145	59	1	0.5222
ARID5B	NM_032199	chr10:63800685-63816405,chr10:63658603-63665577,chr10:63745818-63753836	60,349,529	1	0.7967
TNS3	NM_022748	chr7:47511909-47529043,chr7:47533399-47545180,chr7:47606442-47629998	61,120,184	1	0.5011
LDLRAP1	NM_015627	chr1:25870005-25891963	62	1	1.0009
IRF2BP2	NM_182972	chr1:234734123-234749686	63	1	3.8569
NCRNA00184	NR_033927	chr1:234734123-234749686	63	1	0.1082
CYTIP	NM_004288	chr2:158289561-158302043,chr2:158323346-158328501	64,466	1	2.044
IQSEC1	NM_001134382	chr3:13034675-13060747	65	1	0.3072
SIK1	NM_173354	chr21:44829506-44852032	66	1	2.3653
C21orf125	NR_026960	chr21:44829506-44852032	66	1	0.2488
C21orf84	NR_026863	chr21:44829506-44852032	66	1	0.1511
BTG2	NM_006763	chr1:203264843-203278502,chr1:203236548-203261304,chr1:203288638-203298316	67,210,235	1	1.8164
CHIT1	NM_003465	chr1:203236548-203261304	67	1	0.0474
LOC730227	NR_034150	chr1:203264843-203278502,chr1:203236548-203261304,chr1:203288638-203298316	67,210,235	1	1.9798
BHLHE41	NM_030762	chr12:26266162-26280995,chr12:26306222-26316724	68,388	1	3.4055
NSMCE2	NM_173685	chr8:126285265-126308598,chr8:126236461-126250103,chr8:126340242-126355947	69,292,340	1	0.506
ALOX5	NM_000698	chr10:45913032-45937858	70	1	0.7447
LPHN2	NM_012302	chr1:82258349-82279627	71	1	0.2959
CHST15	NM_015892	chr10:125813323-125840437,chr10:125859024-125867880	72,784	1	0.7429
KLHDC7B	NM_138433	chr22:50963341-50988088	74	1	0.5997
SCO2	NM_001169111	chr22:50963341-50988088	74	1	0.8141
TYMP	NM_001113756	chr22:50963341-50988088	74	1	1.5701
ODF3B	NM_001014440	chr22:50963341-50988088	74	1	1.7888
