GENE_ID	locusLine	bin_1_41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85.bam
NM_199454	chr1(.):2980741-3360185	0.0659
NM_015215	chr1(.):6840383-7834766	0.0871
NM_001033581	chr1(.):2000085-2121834	0.0747
NM_012405	chr1(.):6276252-6301044	0.103
NM_017891	chr1(.):1012197-1056736	0.0805
NM_001033582	chr1(.):2031154-2121834	0.0784
NM_002744	chr1(.):1976908-2121834	0.076
NM_017449	chr1(.):23032330-23246823	0.0871
NM_032409	chr1(.):20954947-20983004	0.1049
NR_002188	chr1(.):155178615-155202325	0.199
NM_001014980	chr1(.):1172832-1187102	0.0847
NM_003820	chr1(.):2482804-2500267	0.0853
NM_003036	chr1(.):2155133-2246652	0.0774
NM_001409	chr1(.):3399505-3533059	0.0739
NM_007274	chr1(.):6319331-6458826	0.0892
NM_001042663	chr1(.):6521151-6562484	0.0894
NM_181864	chr1(.):6319331-6450883	0.0871
NM_198681	chr1(.):6521151-6585069	0.0857
NM_001079843	chr1(.):10691665-10861707	0.0825
NM_017766	chr1(.):10702269-10861707	0.0837
NM_020350	chr1(.):11791141-11815828	0.103
NM_007365	chr1(.):17388255-17450948	0.0947
NM_013358	chr1(.):17526620-17577501	0.0815
NR_026567	chr1(.):17012712-17051652	0.2087
NM_030812	chr1(.):18076807-18158558	0.0809
NM_018125	chr1(.):17861329-18029370	0.0762
NM_001011722	chr1(.):17902047-18029370	0.0759
NM_013945	chr1(.):18952499-19067632	0.0805
NM_001135254	chr1(.):18952499-19080360	0.0814
NM_000478	chr1(.):21830857-21909905	0.0928
NM_000831	chr1(.):37256127-37504844	0.0885
NM_004952	chr1(.):155046347-155065014	0.2134
NM_144702	chr1(.):156885423-156907880	0.1479
NM_138795	chr1(.):202096976-202118866	0.161
NM_001017403	chr1(.):202158117-202293889	0.148
NM_021636	chr1(.):202167904-202293889	0.1469
NM_001017404	chr1(.):202178282-202293889	0.1484
NM_015090	chr1(.):204792781-204996950	0.146
NM_033131	chr1(.):228189751-228253961	0.1204
NM_032129	chr1(.):896876-915484	0.0703
NM_152486	chr1(.):856120-884961	0.0832
NM_198317	chr1(.):890966-906099	0.0766
NR_027055	chr1(.):798450-817182	0.1164
NM_015658	chr1(.):874582-899679	0.0829
NR_026874	chr1(.):847952-859817	0.1061
NR_027693	chr1(.):905578-922473	0.0746
NM_001142467	chr1(.):929343-940552	0.0754
NM_005101	chr1(.):943846-954919	0.0899
NM_021170	chr1(.):929341-940552	0.0754
NM_198576	chr1(.):950502-996492	0.0802
NM_001130045	chr1(.):1104285-1138313	0.0862
NR_029639	chr1(.):1097483-1107578	0.0597
NM_016547	chr1(.):1147287-1172447	0.0957
NM_080605	chr1(.):1162628-1175420	0.1198
NM_153254	chr1(.):1110076-1126243	0.0857
NM_003327	chr1(.):1141705-1154512	0.0745
NM_004195	chr1(.):1133887-1147089	0.0756
NR_029834	chr1(.):1098242-1108332	0.0592
NR_029957	chr1(.):1099384-1109467	0.0611
NM_022834	chr1(.):1365902-1383262	0.0649
NM_030937	chr1(.):1316090-1339718	0.1231
NM_031921	chr1(.):1402163-1436582	0.0845
NR_015434	chr1(.):1329909-1342426	0.1407
