GENE	TF	CHROM	START	STOP	ENHANCER_ID
AAAS	0	chr12	53763886	53777645	4_MACS_peak_7446_lociStitched
AAMP	0	chr2	219080861	219096867	2_MACS_peak_19244_lociStitched
AANAT	0	chr17	74474563	74503258	4_MACS_peak_14398_lociStitched
ABCA7	0	chr19	1066221	1078082	3_MACS_peak_15353_lociStitched
ABCA7	0	chr19	1018228	1029843	2_MACS_peak_15350_lociStitched
ABCB9	0	chr12	123409247	123423417	2_MACS_peak_8333_lociStitched
ABCD1	0	chrX	152981374	152993558	1_MACS_peak_35662_lociStitched
ABCF1	0	chr6	30581127	30587110	1_MACS_peak_27866_lociStitched
ABCG4	0	chr11	118954903	118980525	4_MACS_peak_6540_lociStitched
ABHD1	0	chr2	27292747	27310989	5_MACS_peak_17239_lociStitched
ABHD11	0	chr7	73128646	73134645	1_MACS_peak_30189_lociStitched
ABHD12	0	chr20	25261452	25293004	5_MACS_peak_19794_lociStitched
ABHD4	0	chr14	23018151	23040230	2_MACS_peak_9323_lociStitched
ACADVL	0	chr17	7136370	7147338	2_MACS_peak_13116_lociStitched
ACAP1	0	chr17	7209412	7219567	2_MACS_peak_13121_lociStitched
ACBD3	0	chr1	226308520	226317334	1_MACS_peak_3076_lociStitched
ACBD4	0	chr17	43223834	43229641	2_MACS_peak_13830_lociStitched
ACO2	0	chr22	41839676	41845243	1_MACS_peak_21461_lociStitched
ACTG1	0	chr17	79476205	79487126	2_MACS_peak_14530_lociStitched
ACTN4	0	chr19	39137374	39186991	7_MACS_peak_16291_lociStitched
ACTR3	0	chr2	114642952	114650342	1_MACS_peak_18255_lociStitched
ACVR2A	0	chr2	148044781	148058274	2_MACS_peak_18500_lociStitched
ADA	0	chr20	43269222	43282603	1_MACS_peak_20135_lociStitched
ADAM15	0	chr1	154969641	154980094	1_MACS_peak_2017_lociStitched
ADAM6	0	chr14	106385262	106397195	1_MACS_peak_10272_lociStitched
ADAMTS4	0	chr1	161122617	161164068	6_MACS_peak_2198_lociStitched
ADAMTSL4	0	chr1	150531292	150554189	2_MACS_peak_1883_lociStitched
ADAR	0	chr1	154522527	154532859	2_MACS_peak_1996_lociStitched
ADAR	0	chr1	154574434	154582640	2_MACS_peak_1998_lociStitched
ADARB1	0	chr21	46512549	46533384	5_MACS_peak_20892_lociStitched
ADAT3	0	chr19	1847067	1865779	4_MACS_peak_15396_lociStitched
ADCY10	0	chr1	167902905	167908292	1_MACS_peak_2323_lociStitched
ADD1	0	chr4	2786931	2815094	5_MACS_peak_23915_lociStitched
ADD3	0	chr10	111826867	111838648	2_MACS_peak_4664_lociStitched
ADM	0	chr11	10323879	10344968	5_MACS_peak_5176_lociStitched
ADM2	0	chr22	50962220	50984713	4_MACS_peak_21631_lociStitched
ADM2	0	chr22	50906602	50921679	3_MACS_peak_21626_lociStitched
ADNP	0	chr20	49567915	49576088	1_MACS_peak_20285_lociStitched
ADNP	0	chr20	49544524	49549547	1_MACS_peak_20284_lociStitched
ADORA2A	0	chr22	24819312	24833582	1_MACS_peak_21108_lociStitched
ADORA3	0	chr1	112134682	112147907	2_MACS_peak_1582_lociStitched
ADRBK1	0	chr11	67029868	67047150	3_MACS_peak_5900_lociStitched
ADRBK1	0	chr11	67053977	67058465	1_MACS_peak_5903_lociStitched
AEN	0	chr15	89158368	89185049	3_MACS_peak_11362_lociStitched
AFF1	0	chr4	87854874	87862871	1_MACS_peak_24634_lociStitched
AFMID	0	chr17	76108278	76141392	6_MACS_peak_14442_lociStitched
AFMID	0	chr17	76163902	76173444	2_MACS_peak_14449_lociStitched
AGAP1	0	chr2	236402168	236412304	2_MACS_peak_19467_lociStitched
AGAP2	0	chr12	58134020	58150380	5_MACS_peak_7573_lociStitched
AGBL5	0	chr2	27292747	27310989	5_MACS_peak_17239_lociStitched
AHNAK	0	chr11	62312044	62328638	4_MACS_peak_5688_lociStitched
AIF1	0	chr6	31618957	31634985	3_MACS_peak_27905_lociStitched
AIFM1	0	chrX	129298190	129310940	3_MACS_peak_35466_lociStitched
AIM2	0	chr1	159035377	159048675	2_MACS_peak_2144_lociStitched
AIP	0	chr11	67187482	67212956	4_MACS_peak_5912_lociStitched
AKAP13	0	chr15	86231598	86251644	3_MACS_peak_11335_lociStitched
AKAP2	0	chr9	112902821	112925228	3_MACS_peak_33973_lociStitched
AKAP2	0	chr9	112862241	112874163	2_MACS_peak_33971_lociStitched
AKAP2	0	chr9	112809784	112828920	3_MACS_peak_33967_lociStitched
AKNA	0	chr9	117124692	117161523	5_MACS_peak_34021_lociStitched
AKT1S1	0	chr19	50423759	50434953	1_MACS_peak_16687_lociStitched
AKT1S1	0	chr19	50369595	50382361	4_MACS_peak_16683_lociStitched
ALDH16A1	0	chr19	49945554	49978433	6_MACS_peak_16661_lociStitched
ALDH16A1	0	chr19	49989759	50001663	2_MACS_peak_16667_lociStitched
ALDH9A1	0	chr1	165697820	165711283	2_MACS_peak_2284_lociStitched
ALDOA	0	chr16	30074440	30078941	1_MACS_peak_12185_lociStitched
ALG12	0	chr22	50322785	50331366	3_MACS_peak_21596_lociStitched
ALG12	0	chr22	50352694	50364880	3_MACS_peak_21599_lociStitched
ALKBH4	0	chr7	102063868	102087243	3_MACS_peak_30597_lociStitched
ALKBH5	0	chr17	18085068	18092105	1_MACS_peak_13311_lociStitched
ALOX12	0	chr17	6914645	6940338	6_MACS_peak_13107_lociStitched
ALOXE3	0	chr17	8053373	8067059	5_MACS_peak_13160_lociStitched
ALPP	0	chr2	233138302	233150459	2_MACS_peak_19425_lociStitched
AMH	0	chr19	2253865	2274444	5_MACS_peak_15419_lociStitched
AMH	0	chr19	2234685	2242199	1_MACS_peak_15418_lociStitched
AMHR2	0	chr12	53763886	53777645	4_MACS_peak_7446_lociStitched
AMPD1	0	chr1	115210314	115260546	4_MACS_peak_1629_lociStitched
ANAPC16	0	chr10	74003801	74037852	6_MACS_peak_4152_lociStitched
ANAPC2	0	chr9	140130555	140137463	3_MACS_peak_34470_lociStitched
ANKDD1A	0	chr15	65182584	65190267	1_MACS_peak_10943_lociStitched
ANKMY1	0	chr2	241498215	241510712	2_MACS_peak_19521_lociStitched
ANKMY1	0	chr2	241517571	241528207	2_MACS_peak_19523_lociStitched
ANKRD11	0	chr16	89553992	89558511	1_MACS_peak_12921_lociStitched
ANKRD12	0	chr18	9135127	9148214	2_MACS_peak_14698_lociStitched
ANKRD13D	0	chr11	67029868	67047150	3_MACS_peak_5900_lociStitched
ANKRD13D	0	chr11	67053977	67058465	1_MACS_peak_5903_lociStitched
ANKRD16	0	chr10	5929705	5950179	3_MACS_peak_3474_lociStitched
ANKRD23	0	chr2	97531675	97536128	1_MACS_peak_18047_lociStitched
ANKRD26P1	0	chr16	46645373	46667776	5_MACS_peak_12292_lociStitched
ANKRD28	0	chr3	15828346	15861008	4_MACS_peak_21810_lociStitched
ANKRD34A	0	chr1	145434373	145442808	1_MACS_peak_1774_lociStitched
ANKRD34A	0	chr1	145449215	145458075	1_MACS_peak_1775_lociStitched
ANKRD34A	0	chr1	145500561	145517763	3_MACS_peak_1778_lociStitched
ANKRD34A	0	chr1	145469233	145480395	2_MACS_peak_1776_lociStitched
ANKRD35	0	chr1	145500561	145517763	3_MACS_peak_1778_lociStitched
ANKRD36BP2	0	chr2	89129615	89171449	1_MACS_peak_17987_lociStitched
ANKRD39	0	chr2	97531675	97536128	1_MACS_peak_18047_lociStitched
ANKRD42	0	chr11	82866498	82874061	1_MACS_peak_6150_lociStitched
