GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
IGLL5	NM_001178126	chr22:23191771-23298620	1	1	3.7384000000000004
MIR650	NR_030755	chr22:23191771-23298620	1	1	0.5048
INPP4A	NM_004027	chr2:99054527-99133597	2	1	1.2192
ZBTB38	NM_001080412	chr3:141079060-141149862	3	1	1.2791
QPCT	NM_012413	chr2:37529749-37624738	4	1	1.6985999999999999
PRKD3	NM_005813	chr2:37529749-37624738	4	1	0.6364
BTG2	NM_006763	chr1:203236422-203298138	5	1	1.7689
LOC730227	NR_034150	chr1:203236422-203298138	5	1	2.7621
CHIT1	NM_003465	chr1:203236422-203298138	5	1	0.03970000000000001
FMOD	NM_002023	chr1:203236422-203298138	5	1	0.0
MUTED-TXNDC5	NR_037616	chr6:7888864-7922283,chr6:7958162-7978831	6,342	1	0.88
TXNDC5	NM_001145549	chr6:7888864-7922283,chr6:7958162-7978831	6,342	1	2.8513
FAM46C	NM_017709	chr1:118141635-118219473	7	1	1.9299000000000002
DUSP22	NM_020185	chr6:290008-338070	8	1	1.7553
CCL4L1	NM_001001435	chr17:34596591-34651540,chr17:34508014-34550181	9,13	1	2.1664
CCL3L1	NM_021006	chr17:34596591-34651540,chr17:34508014-34550181	9,13	1	3.1189999999999998
CCL3L3	NM_001001437	chr17:34596591-34651540,chr17:34508014-34550181	9,13	1	3.1174
TBC1D3C	NM_001001418	chr17:34596591-34651540,chr17:34508014-34550181	9,13	1	0.012199999999999989
CCDC88C	NM_001080414	chr14:91813027-91885965	10	1	0.6971
TMEM121	NM_025268	chr14:106024455-106058184	11	1	0.056700000000000014
FOXO3	NM_201559	chr6:108878016-108958379,chr6:108986204-108999115	12,491	1	0.9162999999999999
TBC1D3B	NM_001001417	chr17:34508014-34550181	13	1	0.11569999999999997
CHMP4B	NM_176812	chr20:32398757-32477978	14	1	0.8296000000000001
BCL2L1	NM_001191	chr20:30261914-30312225	15	1	1.2917999999999998
COX4I2	NM_032609	chr20:30261914-30312225	15	1	0.0
TPX2	NM_012112	chr20:30261914-30312225	15	1	0.0
PMVK	NM_006556	chr1:154907932-154935667,chr1:154942160-154957866	16,622	1	1.2141000000000002
PBXIP1	NM_020524	chr1:154907932-154935667,chr1:154970836-154979749,chr1:154942160-154957866	16,512,622	1	2.5612999999999997
PYGO2	NM_138300	chr1:154907932-154935667,chr1:154970836-154979749,chr1:154942160-154957866	16,512,622	1	2.1754000000000002
SHC1	NM_001130041	chr1:154907932-154935667,chr1:154942160-154957866,chr1:154970836-154979749	16,512,622	1	0.9892
CKS1B	NR_024163	chr1:154942160-154957866,chr1:154907932-154935667,chr1:154970836-154979749	16,512,622	1	1.1444
MIR4258	NR_036212	chr1:154942160-154957866,chr1:154907932-154935667,chr1:154970836-154979749	16,512,622	1	1.3228
FLAD1	NM_201398	chr1:154942160-154957866,chr1:154907932-154935667,chr1:154970836-154979749	16,512,622	1	0.1813
LENEP	NM_018655	chr1:154907932-154935667,chr1:154970836-154979749,chr1:154942160-154957866	16,512,622	1	0.14809999999999998
ZBTB7B	NM_015872	chr1:154970836-154979749,chr1:154907932-154935667,chr1:154942160-154957866	16,512,622	1	1.0366000000000002
CCL1	NM_002981	chr17:32688360-32729284	17	1	1.2922
CCL8	NM_005623	chr17:32688360-32729284	17	1	0.0
CCL13	NM_005408	chr17:32688360-32729284	17	1	0.2219
GNG7	NM_052847	chr19:2594362-2638131	18	1	0.47819999999999996
CELF2	NM_001025077	chr10:11202496-11224610,chr10:11278711-11304978	19,99	1	0.39580000000000004
LOC723809	NR_027374	chr7:104562477-104608469,chr7:104616924-104626166	20,685	1	0.41870000000000007
MLL5	NM_182931	chr7:104650536-104658813,chr7:104562477-104608469,chr7:104616924-104626166	20,169,685	1	0.2924
LOC100216545	NR_024586	chr7:104650536-104658813,chr7:104562477-104608469,chr7:104616924-104626166	20,169,685	1	2.523
NEAT1	NR_028272	chr11:65183261-65200152,chr11:65235701-65247322	21,318	1	4.7445
FRMD8	NM_031904	chr11:65183261-65200152	21	1	0.6638
MIR612	NR_030343	chr11:65183261-65200152,chr11:65253659-65279033,chr11:65235701-65247322	21,68,318	1	0.41829999999999995
SLC25A45	NM_001077241	chr11:65183261-65200152	21	1	0.6158
C21orf33	NM_198155	chr21:45552564-45581380	22	1	1.2184
PWP2	NM_005049	chr21:45552564-45581380	22	1	0.09560000000000002
IZUMO4	NM_001039846	chr19:2081515-2098656,chr19:2040527-2063001	23,341	1	1.0262
MOBKL2A	NM_130807	chr19:2081515-2098656,chr19:2040527-2063001	23,341	1	1.8953000000000002
MKNK2	NM_017572	chr19:2040527-2063001,chr19:2081515-2098656	23,341	1	0.6092
TNFRSF13B	NM_012452	chr17:16859049-16895626	24	1	0.8765999999999999
SELPLG	NM_003006	chr12:109006766-109035907,chr12:109072122-109087404	25,807	1	2.7067
TMEM119	NM_181724	chr12:109006766-109035907,chr12:108952690-108973439	25,127	1	0.09799999999999999
PYGB	NM_002862	chr20:25261503-25302636	26	1	0.6692
ABHD12	NM_015600	chr20:25261503-25302636	26	1	0.5615
REPIN1	NM_013400	chr7:150062265-150084769,chr7:150100432-150115065	27,165	1	2.5776000000000003
ZNF775	NM_173680	chr7:150062265-150084769,chr7:150100432-150115065	27,165	1	1.3864999999999998
LRRC61	NM_001142928	chr7:150062265-150084769	27	1	0.4949
C7orf29	NM_138434	chr7:150062265-150084769	27	1	0.0
LOC728743	NR_027237	chr7:150100432-150115065,chr7:150062265-150084769	27,165	1	2.0871
LOC285972	NR_034033	chr7:150062265-150084769,chr7:150100432-150115065	27,165	1	0.5809
ACTR3C	NM_001164458	chr7:150062265-150084769	27	1	0.12210000000000001
RARRES2	NM_002889	chr7:150062265-150084769	27	1	0.0
SKAP1	NM_003726	chr17:46506190-46571453	29	1	0.0
