GENE_ID	locusLine	bin_1_NCI-H929.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):9903-10776	2.0734
1_MACS_peak_2_lociStitched	chr1(.):28436-30137	5.4675
1_MACS_peak_3_lociStitched	chr1(.):713049-715325	3.6878
1_MACS_peak_4_lociStitched	chr1(.):761861-763618	4.3928
1_MACS_peak_5_lociStitched	chr1(.):839381-840827	1.4077
2_MACS_peak_6_lociStitched	chr1(.):876901-880234	0.482
3_MACS_peak_8_lociStitched	chr1(.):893764-903117	0.8795
1_MACS_peak_11_lociStitched	chr1(.):911556-912181	0.5282
1_MACS_peak_12_lociStitched	chr1(.):934885-938034	2.2733
1_MACS_peak_13_lociStitched	chr1(.):948119-949696	1.8548
1_MACS_peak_14_lociStitched	chr1(.):954635-956243	2.2613
1_MACS_peak_15_lociStitched	chr1(.):968554-969325	0.7192
3_MACS_peak_16_lociStitched	chr1(.):994500-1005299	0.2569
1_MACS_peak_19_lociStitched	chr1(.):1050568-1051762	1.9185
1_MACS_peak_20_lociStitched	chr1(.):1092286-1094237	2.4474
1_MACS_peak_21_lociStitched	chr1(.):1136407-1137167	0.6155
1_MACS_peak_22_lociStitched	chr1(.):1143467-1144606	0.6021
2_MACS_peak_23_lociStitched	chr1(.):1166424-1168536	3.6372
1_MACS_peak_25_lociStitched	chr1(.):1185260-1185796	0.532
1_MACS_peak_26_lociStitched	chr1(.):1208059-1210275	3.1806
2_MACS_peak_27_lociStitched	chr1(.):1240269-1244924	2.2238
2_MACS_peak_29_lociStitched	chr1(.):1259325-1266906	0.695
3_MACS_peak_31_lociStitched	chr1(.):1280141-1286696	1.2676
2_MACS_peak_34_lociStitched	chr1(.):1306888-1311587	1.7431
1_MACS_peak_36_lociStitched	chr1(.):1333634-1335977	3.2043
2_MACS_peak_37_lociStitched	chr1(.):1341583-1347766	1.6348
1_MACS_peak_39_lociStitched	chr1(.):1371048-1371476	0.5069
1_MACS_peak_40_lociStitched	chr1(.):1396762-1398756	1.5794
2_MACS_peak_41_lociStitched	chr1(.):1406006-1410721	1.8195
2_MACS_peak_43_lociStitched	chr1(.):1439837-1450038	2.4236
1_MACS_peak_45_lociStitched	chr1(.):1508963-1511228	8.5033
4_MACS_peak_46_lociStitched	chr1(.):1534595-1541471	0.6513
1_MACS_peak_50_lociStitched	chr1(.):1549487-1552072	4.2158
1_MACS_peak_51_lociStitched	chr1(.):1565107-1566606	1.9137
1_MACS_peak_52_lociStitched	chr1(.):1589673-1591707	3.3604
2_MACS_peak_53_lociStitched	chr1(.):1606163-1611069	1.8465
1_MACS_peak_55_lociStitched	chr1(.):1622800-1625624	7.2089
2_MACS_peak_56_lociStitched	chr1(.):1654963-1658659	1.4912
1_MACS_peak_58_lociStitched	chr1(.):1668821-1671000	1.1314
1_MACS_peak_59_lociStitched	chr1(.):1675908-1678984	4.8463
1_MACS_peak_60_lociStitched	chr1(.):1707738-1714775	3.6363
1_MACS_peak_61_lociStitched	chr1(.):1774517-1775106	0.5263
2_MACS_peak_62_lociStitched	chr1(.):1820976-1829553	2.6997
1_MACS_peak_64_lociStitched	chr1(.):1837739-1842545	4.6582
2_MACS_peak_65_lociStitched	chr1(.):1849705-1851671	1.0812
1_MACS_peak_67_lociStitched	chr1(.):1873897-1875868	1.2634
1_MACS_peak_68_lociStitched	chr1(.):1981035-1982448	0.8166
1_MACS_peak_69_lociStitched	chr1(.):2064069-2065564	0.6698
2_MACS_peak_70_lociStitched	chr1(.):2120428-2127436	1.3443
1_MACS_peak_72_lociStitched	chr1(.):2136615-2137281	0.7382
1_MACS_peak_73_lociStitched	chr1(.):2143608-2144664	0.6209
2_MACS_peak_74_lociStitched	chr1(.):2158208-2162198	1.7026
1_MACS_peak_76_lociStitched	chr1(.):2186322-2188445	0.6786
1_MACS_peak_77_lociStitched	chr1(.):2220938-2223438	1.7232
1_MACS_peak_78_lociStitched	chr1(.):2230397-2234133	4.9627
1_MACS_peak_79_lociStitched	chr1(.):2245954-2246930	1.6745
1_MACS_peak_80_lociStitched	chr1(.):2322218-2324122	2.1056
1_MACS_peak_81_lociStitched	chr1(.):2342901-2346290	2.7083
1_MACS_peak_82_lociStitched	chr1(.):2370153-2372234	1.1559
1_MACS_peak_83_lociStitched	chr1(.):2398417-2399312	0.6224
1_MACS_peak_84_lociStitched	chr1(.):2411473-2413292	0.9085
1_MACS_peak_85_lociStitched	chr1(.):2431064-2431587	0.4737
2_MACS_peak_86_lociStitched	chr1(.):2454272-2458411	1.8436
2_MACS_peak_88_lociStitched	chr1(.):2471090-2481272	2.7154
1_MACS_peak_90_lociStitched	chr1(.):2486266-2489062	3.5135
1_MACS_peak_91_lociStitched	chr1(.):2516194-2519105	4.1306
1_MACS_peak_92_lociStitched	chr1(.):2573379-2574877	4.8943
1_MACS_peak_93_lociStitched	chr1(.):2986178-2986910	0.5947
1_MACS_peak_94_lociStitched	chr1(.):3086560-3088770	2.3219
1_MACS_peak_95_lociStitched	chr1(.):3370675-3371536	0.6015
1_MACS_peak_96_lociStitched	chr1(.):3447115-3448708	0.8624
1_MACS_peak_97_lociStitched	chr1(.):3456207-3457120	0.7137
2_MACS_peak_98_lociStitched	chr1(.):3540818-3542372	0.8503
1_MACS_peak_100_lociStitched	chr1(.):3566139-3566859	0.8092
1_MACS_peak_101_lociStitched	chr1(.):3589272-3590292	1.1719
3_MACS_peak_102_lociStitched	chr1(.):3688456-3693152	0.282
1_MACS_peak_105_lociStitched	chr1(.):3712021-3713579	2.3892
1_MACS_peak_106_lociStitched	chr1(.):3773142-3774962	1.2853
2_MACS_peak_107_lociStitched	chr1(.):3781010-3782249	0.5535
1_MACS_peak_109_lociStitched	chr1(.):3815942-3818436	4.9252
2_MACS_peak_110_lociStitched	chr1(.):4066273-4068621	0.5396
2_MACS_peak_112_lociStitched	chr1(.):4086884-4088509	0.6912
1_MACS_peak_114_lociStitched	chr1(.):4237123-4238317	0.769
1_MACS_peak_115_lociStitched	chr1(.):4439065-4440461	0.8784
1_MACS_peak_116_lociStitched	chr1(.):4623669-4624242	0.6879
1_MACS_peak_117_lociStitched	chr1(.):4663193-4664899	1.0756
2_MACS_peak_118_lociStitched	chr1(.):4712741-4716840	3.7332
1_MACS_peak_120_lociStitched	chr1(.):4733354-4737497	1.5117
2_MACS_peak_121_lociStitched	chr1(.):4853485-4857554	0.9595
3_MACS_peak_123_lociStitched	chr1(.):4997228-5005425	0.8257
1_MACS_peak_126_lociStitched	chr1(.):5185519-5186225	0.9388
1_MACS_peak_127_lociStitched	chr1(.):5280004-5281985	0.9575
1_MACS_peak_128_lociStitched	chr1(.):5449087-5449823	0.5709
1_MACS_peak_129_lociStitched	chr1(.):5482604-5484061	0.8576
1_MACS_peak_130_lociStitched	chr1(.):5611243-5611892	0.5206
1_MACS_peak_131_lociStitched	chr1(.):5692045-5692454	0.592
2_MACS_peak_132_lociStitched	chr1(.):5705752-5713576	2.1741
1_MACS_peak_134_lociStitched	chr1(.):6051363-6055749	3.5478
1_MACS_peak_135_lociStitched	chr1(.):6068481-6071823	1.6887
1_MACS_peak_136_lociStitched	chr1(.):6083851-6089156	2.6277
1_MACS_peak_137_lociStitched	chr1(.):6187392-6188098	0.5089
1_MACS_peak_138_lociStitched	chr1(.):6258558-6260627	4.8603
1_MACS_peak_139_lociStitched	chr1(.):6294533-6296821	3.059
1_MACS_peak_140_lociStitched	chr1(.):6452667-6454710	3.7641
1_MACS_peak_141_lociStitched	chr1(.):6474634-6475158	0.7181
1_MACS_peak_142_lociStitched	chr1(.):6549868-6551646	3.0256
1_MACS_peak_143_lociStitched	chr1(.):6613693-6615172	3.9503
1_MACS_peak_144_lociStitched	chr1(.):6639333-6641267	2.2596
1_MACS_peak_145_lociStitched	chr1(.):6660186-6664655	5.0285
1_MACS_peak_146_lociStitched	chr1(.):6672684-6675367	1.7055
1_MACS_peak_147_lociStitched	chr1(.):6684682-6686411	1.9863
1_MACS_peak_148_lociStitched	chr1(.):6732975-6735155	1.3276
1_MACS_peak_149_lociStitched	chr1(.):6760752-6762588	4.5122
1_MACS_peak_150_lociStitched	chr1(.):6843905-6846600	5.7414
3_MACS_peak_151_lociStitched	chr1(.):6960836-6966981	0.5155
1_MACS_peak_154_lociStitched	chr1(.):6976889-6984245	2.3786
1_MACS_peak_155_lociStitched	chr1(.):7021413-7024126	0.9091
2_MACS_peak_156_lociStitched	chr1(.):7167491-7169533	0.9253
1_MACS_peak_158_lociStitched	chr1(.):7467071-7468242	1.2113
1_MACS_peak_159_lociStitched	chr1(.):7477359-7478008	0.3773
2_MACS_peak_160_lociStitched	chr1(.):7608155-7615994	1.0113
1_MACS_peak_162_lociStitched	chr1(.):7680579-7683243	1.0711
1_MACS_peak_163_lociStitched	chr1(.):7740092-7741277	1.3262
1_MACS_peak_164_lociStitched	chr1(.):7764070-7765322	1.9127
1_MACS_peak_165_lociStitched	chr1(.):7830839-7832076	1.6566
1_MACS_peak_166_lociStitched	chr1(.):7843223-7844688	0.9272
1_MACS_peak_167_lociStitched	chr1(.):7889713-7890337	0.9841
1_MACS_peak_168_lociStitched	chr1(.):7901665-7903701	1.0833
1_MACS_peak_169_lociStitched	chr1(.):7959774-7960845	0.9125
1_MACS_peak_170_lociStitched	chr1(.):8013659-8014962	1.362
1_MACS_peak_171_lociStitched	chr1(.):8020999-8022684	2.9093
1_MACS_peak_172_lociStitched	chr1(.):8085570-8086822	1.4825
1_MACS_peak_173_lociStitched	chr1(.):8229282-8229907	0.5815
1_MACS_peak_174_lociStitched	chr1(.):8455288-8456092	0.7293
1_MACS_peak_175_lociStitched	chr1(.):8483200-8484528	0.8479
1_MACS_peak_176_lociStitched	chr1(.):8554349-8555427	0.5834
