GENE_ID	locusLine	bin_1_04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam
1_MACS_peak_1_lociStitched	chr1(.):9855-10615	3.8796
1_MACS_peak_2_lociStitched	chr1(.):28271-30255	2.556
1_MACS_peak_3_lociStitched	chr1(.):441911-442673	0.3036
1_MACS_peak_4_lociStitched	chr1(.):540374-541212	0.448
1_MACS_peak_5_lociStitched	chr1(.):713156-715411	1.6311
1_MACS_peak_6_lociStitched	chr1(.):761685-763847	1.4836
1_MACS_peak_7_lociStitched	chr1(.):879196-880618	0.6739
3_MACS_peak_8_lociStitched	chr1(.):893634-902792	0.4878
1_MACS_peak_11_lociStitched	chr1(.):948059-949656	0.7346
1_MACS_peak_12_lociStitched	chr1(.):998190-1000287	0.9325
1_MACS_peak_13_lociStitched	chr1(.):1051082-1051919	0.5855
2_MACS_peak_14_lociStitched	chr1(.):1071676-1080466	0.279
1_MACS_peak_16_lociStitched	chr1(.):1092757-1094054	1.0045
1_MACS_peak_17_lociStitched	chr1(.):1166157-1167859	1.7813
1_MACS_peak_18_lociStitched	chr1(.):1185064-1186003	0.3518
1_MACS_peak_19_lociStitched	chr1(.):1207882-1210207	1.1493
2_MACS_peak_20_lociStitched	chr1(.):1242372-1245147	1.71
1_MACS_peak_22_lociStitched	chr1(.):1259320-1261581	1.6743
2_MACS_peak_23_lociStitched	chr1(.):1283731-1285545	0.941
1_MACS_peak_25_lociStitched	chr1(.):1309743-1311631	1.5205
2_MACS_peak_26_lociStitched	chr1(.):1333486-1343704	0.636
2_MACS_peak_28_lociStitched	chr1(.):1396691-1408665	0.6061
2_MACS_peak_30_lociStitched	chr1(.):1439707-1448999	0.9401
1_MACS_peak_32_lociStitched	chr1(.):1509088-1511248	2.0656
1_MACS_peak_33_lociStitched	chr1(.):1549826-1552363	1.9657
1_MACS_peak_34_lociStitched	chr1(.):1565646-1566640	0.638
1_MACS_peak_35_lociStitched	chr1(.):1589554-1591649	1.6545
2_MACS_peak_36_lociStitched	chr1(.):1606331-1610871	1.3802
1_MACS_peak_38_lociStitched	chr1(.):1622792-1625698	4.4554
1_MACS_peak_39_lociStitched	chr1(.):1654868-1656773	1.3401
2_MACS_peak_40_lociStitched	chr1(.):1668755-1679006	1.6692
2_MACS_peak_42_lociStitched	chr1(.):1708340-1714973	2.2143
1_MACS_peak_44_lociStitched	chr1(.):1755009-1756117	0.4823
1_MACS_peak_45_lociStitched	chr1(.):1772482-1775133	0.4188
4_MACS_peak_46_lociStitched	chr1(.):1821031-1851692	0.3668
1_MACS_peak_50_lociStitched	chr1(.):2125865-2127239	0.8056
2_MACS_peak_51_lociStitched	chr1(.):2158282-2160800	0.7248
1_MACS_peak_53_lociStitched	chr1(.):2185795-2188704	2.696
2_MACS_peak_54_lociStitched	chr1(.):2220882-2234004	2.0592
1_MACS_peak_56_lociStitched	chr1(.):2322079-2324278	1.1353
1_MACS_peak_57_lociStitched	chr1(.):2342917-2346110	1.8639
1_MACS_peak_58_lociStitched	chr1(.):2456709-2458522	1.0745
2_MACS_peak_59_lociStitched	chr1(.):2476842-2489142	1.0477
2_MACS_peak_61_lociStitched	chr1(.):2508733-2518895	0.4078
1_MACS_peak_63_lociStitched	chr1(.):2573557-2575136	1.8795
1_MACS_peak_64_lociStitched	chr1(.):3087068-3087805	0.419
2_MACS_peak_65_lociStitched	chr1(.):3540344-3547818	0.3832
2_MACS_peak_67_lociStitched	chr1(.):3565709-3570148	1.0691
1_MACS_peak_69_lociStitched	chr1(.):3688305-3689171	0.4447
1_MACS_peak_70_lociStitched	chr1(.):3712087-3713897	0.9604
1_MACS_peak_71_lociStitched	chr1(.):3773073-3774862	0.7042
1_MACS_peak_72_lociStitched	chr1(.):3815892-3818340	4.4993
1_MACS_peak_73_lociStitched	chr1(.):4066984-4068649	0.4081
1_MACS_peak_74_lociStitched	chr1(.):4439083-4440458	0.535
1_MACS_peak_75_lociStitched	chr1(.):6051246-6055192	1.9714
1_MACS_peak_76_lociStitched	chr1(.):6083775-6087405	1.7349
2_MACS_peak_77_lociStitched	chr1(.):6258625-6266695	0.6087
1_MACS_peak_79_lociStitched	chr1(.):6294661-6296852	1.4288
1_MACS_peak_80_lociStitched	chr1(.):6419089-6420731	0.5402
1_MACS_peak_81_lociStitched	chr1(.):6452391-6454702	1.4725
1_MACS_peak_82_lociStitched	chr1(.):6474354-6475538	0.6827
1_MACS_peak_83_lociStitched	chr1(.):6549843-6551645	1.0059
1_MACS_peak_84_lociStitched	chr1(.):6613576-6615179	1.1764
1_MACS_peak_85_lociStitched	chr1(.):6639618-6640961	0.8683
2_MACS_peak_86_lociStitched	chr1(.):6660189-6674992	0.8628
1_MACS_peak_88_lociStitched	chr1(.):6684421-6686628	1.281
1_MACS_peak_89_lociStitched	chr1(.):6760889-6762345	1.1775
1_MACS_peak_90_lociStitched	chr1(.):6843687-6845423	2.4862
