#11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_ROSE/11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam
#Using cutoff of 24861.666 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isStretch
5_MACS_peak_24402_lociStitched	chr6	108878216	108974516	5	88780	238698.81	16284.33	1	1
12_MACS_peak_19545_lociStitched	chr3	141079120	141159727	12	69922	385994.6802	17088.684	2	1
5_MACS_peak_10001_lociStitched	chr16	11765828	11843263	5	69428	224042.6855	16129.7105	3	1
6_MACS_peak_8499_lociStitched	chr14	91812935	91885966	6	61723	223109.705	8639.5673	4	1
4_MACS_peak_14985_lociStitched	chr2	99054656	99132583	4	60806	373800.2336	17782.9414	5	1
6_MACS_peak_1412_lociStitched	chr1	118141804	118219329	6	58908	276182.8125	10427.1125	6	1
5_MACS_peak_14306_lociStitched	chr2	37525831	37587954	5	52016	271483.7223	12697.9412	7	1
3_MACS_peak_16664_lociStitched	chr20	30261853	30312155	3	50043	203924.308	11307.8896	8	1
4_MACS_peak_12306_lociStitched	chr18	9095119	9157724	4	49299	183451.4315	11744.698	9	1
1_MACS_peak_23316_lociStitched	chr6	7877946	7919923	1	41978	319705.2274	11107.1142	10	1
6_MACS_peak_23990_lociStitched	chr6	52392742	52442993	6	40828	133612.3839	10326.5805	11	1
6_MACS_peak_16709_lociStitched	chr20	32398815	32452376	6	39509	108311.0542	10685.4195	12	1
2_MACS_peak_11874_lociStitched	chr17	62149957	62187401	2	37302	120876.7208	8559.6984	13	1
5_MACS_peak_1718_lociStitched	chr1	154907953	154957879	5	37210	250284.0306	15012.7482	14	1
5_MACS_peak_11362_lociStitched	chr17	34597814	34641453	5	36788	147578.3702	11324.3205	15	1
4_MACS_peak_12575_lociStitched	chr18	46440229	46480190	4	36719	92210.0075	7564.6173	16	1
5_MACS_peak_8798_lociStitched	chr15	31616817	31660648	5	35377	101293.441	7964.0927	17	1
6_MACS_peak_23203_lociStitched	chr6	290005	337869	6	34657	226186.1184	17159.244	18	1
7_MACS_peak_10550_lociStitched	chr16	68269861	68320882	7	34281	97404.1911	9714.3984	19	1
9_MACS_peak_10665_lociStitched	chr16	78763435	78804985	9	33542	40444.77	4375.215	20	1
6_MACS_peak_22610_lociStitched	chr5	131789749	131837841	6	33224	135600.2032	10012.7544	21	1
6_MACS_peak_27592_lociStitched	chr8	120912516	120947926	6	32732	89821.006	7142.197	22	1
4_MACS_peak_18253_lociStitched	chr3	5221989	5257148	4	32658	125728.584	7337.6833	23	1
1_MACS_peak_6358_lociStitched	chr12	53845116	53876431	1	31316	81807.306	6466.5475	24	1
