GENE_ID	locusLine	bin_1_01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02.bam
NM_032236	chr1(.):21999791-22114688	0.2107
NM_024408	chr1(.):120449175-120617276	0.1513
NM_201569	chr1(.):183436505-183528328	0.3459
NM_001198993	chr1(.):1677670-1715297	0.6802
NM_023018	chr1(.):1677670-1714909	0.6844
NM_001198994	chr1(.):1677670-1716508	0.662
NM_003820	chr1(.):2482804-2500267	0.5562
NR_026567	chr1(.):17012712-17051652	0.2033
NM_001113348	chr1(.):21538739-21677034	0.2768
NM_001013693	chr1(.):22133757-22156714	0.1172
NM_004091	chr1(.):23827921-23862713	0.9313
NM_173065	chr1(.):24475646-24518751	0.6452
NM_002379	chr1(.):31179123-31201432	0.3549
NR_034182	chr1(.):31186618-31204593	0.4038
NM_001101662	chr1(.):52249865-52349609	0.2691
NM_002600	chr1(.):66253855-66845262	0.2103
NM_001037341	chr1(.):66253192-66845262	0.2102
NM_001037340	chr1(.):66453389-66845262	0.2808
NR_034178	chr1(.):143910747-144099477	0.4128
NM_203458	chr1(.):145204110-145290912	0.4714
NM_153713	chr1(.):145472084-145504091	0.2473
NM_207168	chr1(.):150594521-150607098	1.0288
NM_020699	chr1(.):153772202-153900451	0.2015
NM_020524	chr1(.):154911558-154933567	3.0188
NM_181359	chr1(.):154372668-154445188	0.7989
NM_002249	chr1(.):154674914-154847754	0.6165
NM_170782	chr1(.):154674914-154837338	0.623
NM_005572	chr1(.):156079460-156112657	0.5988
NM_170708	chr1(.):156079460-156114878	0.5836
NM_005973	chr1(.):156732273-156775609	0.2745
NM_001135050	chr1(.):159891828-159920386	0.8186
NM_012394	chr1(.):161065345-161092866	0.4027
NM_014412	chr1(.):174963891-174986163	0.8275
NM_001007214	chr1(.):174963570-174986163	0.816
NM_145034	chr1(.):179804101-179851941	0.3545
NM_022347	chr1(.):179823164-179851941	0.5327
NM_015149	chr1(.):183600207-183902666	0.4167
NM_025191	chr1(.):184654624-184729041	0.4114
NM_144977	chr1(.):197516384-197749623	0.1923
NM_001195215	chr1(.):197468878-197749623	0.1731
NM_138795	chr1(.):202096976-202118866	0.2642
NM_001017403	chr1(.):202158117-202293889	0.1375
NM_021636	chr1(.):202167904-202293889	0.1389
NM_014827	chr1(.):203759750-203828256	0.2247
NM_182663	chr1(.):206675878-206767616	0.7101
NM_001193338	chr1(.):207071630-207100235	1.0359
NM_005449	chr1(.):207071630-207100378	1.0314
NM_152495	chr1(.):224799178-224933249	0.3144
NM_002221	chr1(.):226814390-226931876	0.7064
NM_004481	chr1(.):230197955-230422875	0.5517
NM_014765	chr1(.):235267657-235297256	0.4494
NM_032328	chr1(.):245128170-245256148	0.2139
NR_026588	chr1(.):245128630-245256148	0.2144
NR_026587	chr1(.):245128630-245293530	0.1789
NR_026586	chr1(.):245128283-245293530	0.1786
NM_182838	chr1(.):1658680-1682431	0.6598
NM_001198995	chr1(.):1677670-1695081	0.225
NM_001010926	chr1(.):2455183-2466684	0.2028
NR_026927	chr1(.):2476358-2489284	1.5944
NM_018216	chr1(.):2434974-2463035	0.0876
NM_001195741	chr1(.):2513188-2527908	0.3504
NR_036638	chr1(.):2512898-2527908	0.3447
NR_026752	chr1(.):16939750-16962401	0.2965
NR_027504	chr1(.):16967068-16981915	1.0798
NR_002729	chr1(.):17076400-17095975	0.1893
NM_014675	chr1(.):17243444-17304474	0.1057
NM_001397	chr1(.):21538739-21621982	0.3162
NM_001113347	chr1(.):21538739-21611183	0.0839
NM_001113349	chr1(.):21538739-21621766	0.3128
NM_001032730	chr1(.):22049338-22114688	0.3045
NM_017707	chr1(.):23750055-23815750	0.0753
NM_002167	chr1(.):23879408-23891322	0.5841
NR_027042	chr1(.):23948823-23972056	0.2659
NM_021258	chr1(.):24441260-24474611	0.0975
NR_027087	chr1(.):24521729-24543180	0.634
NM_015627	chr1(.):25865075-25900377	0.7387
NM_006015	chr1(.):27017521-27113601	0.519
NM_014280	chr1(.):28521789-28564542	0.1922
NM_016311	chr1(.):28557610-28569611	0.5217
NM_001164721	chr1(.):28468676-28525447	0.193
NM_001164722	chr1(.):28468676-28525437	0.193
NM_031459	chr1(.):28581005-28614002	0.224
NM_006762	chr1(.):31200314-31235683	1.6724
NM_005202	chr1(.):36555843-36570850	0.116
NM_018067	chr1(.):36616802-36651441	0.5493
NM_014408	chr1(.):36597172-36620067	0.6738
NR_002983	chr1(.):40028045-40038182	1.1704
NR_003929	chr1(.):39982951-40030370	0.2522
NM_014571	chr1(.):40084102-40110348	0.116
NM_001135653	chr1(.):40021484-40047521	0.7702
NM_001198979	chr1(.):40854016-40893998	0.3281
NM_001198978	chr1(.):40835304-40893998	0.7357
NM_001198980	chr1(.):40857471-40893998	0.1655
NM_022733	chr1(.):40834377-40893998	0.7263
NR_031580	chr1(.):52297015-52307074	0.0633
NM_001037339	chr1(.):66792792-66845262	0.6777
NM_001001933	chr1(.):75589118-75632218	0.5071
NM_006769	chr1(.):87789150-87819607	0.6671
NM_004974	chr1(.):111140775-111153345	0.0751
NM_002232	chr1(.):111209309-111222655	0.6597
NM_017709	chr1(.):118143603-118176011	2.0994
NM_001123068	chr1(.):143762143-143772881	0.118
NR_027469	chr1(.):143713512-143749587	0.6987
NR_027468	chr1(.):143713512-143749457	0.701
NM_207418	chr1(.):143891451-143918143	0.6785
NM_032305	chr1(.):145451235-145475387	1.2432
NM_202004	chr1(.):145408190-145422545	0.1288
NM_006472	chr1(.):145433461-145447628	1.3316
NM_001039888	chr1(.):145465507-145480647	0.2882
NM_005105	chr1(.):145502637-145516444	1.093
NR_027468	chr1(.):147901021-147936980	0.4436
NM_001161334	chr1(.):149749244-149788928	0.3946
NM_001034077	chr1(.):149799220-149809616	1.131
NM_001005464	chr1(.):149807258-149817765	2.2266
NM_001040874	chr1(.):149808784-149819318	2.2161
NM_001123375	chr1(.):149779779-149790236	1.081
NM_000566	chr1(.):149749249-149769074	0.1868
NM_005850	chr1(.):149890210-149904702	0.7774
NM_016074	chr1(.):149866154-149877348	0.374
NM_003528	chr1(.):149851009-149863232	2.4865
NM_003517	chr1(.):149853524-149863961	2.8748
NM_175065	chr1(.):149854018-149864466	2.8517
NM_014849	chr1(.):149869871-149894434	0.249
NM_181873	chr1(.):149895542-149913266	1.0511
NM_001145862	chr1(.):149895542-149913791	1.0245
NR_036461	chr1(.):149816758-149827340	2.0188
NM_001040874	chr1(.):149817627-149828161	2.0252
NM_001005464	chr1(.):149819180-149829687	2.0333
NM_001034077	chr1(.):149827329-149837725	1.1387
NM_016274	chr1(.):150117169-150136825	1.1542
NM_019032	chr1(.):150516897-150538412	1.4838
NM_207046	chr1(.):150589598-150606609	0.8488
NR_036211	chr1(.):150519404-150529490	0.1544
NM_001197320	chr1(.):150542026-150557214	0.8996
NM_005620	chr1(.):151999981-152014511	1.0622
NM_002966	chr1(.):151950385-151971714	0.2085
NM_001008536	chr1(.):152051619-152066540	0.0783
NM_023015	chr1(.):153695566-153751555	0.2253
NM_024330	chr1(.):153742767-153757633	0.5877
NM_020452	chr1(.):154295275-154328780	1.0489
NM_001005855	chr1(.):154293035-154315322	1.4161
NM_080429	chr1(.):154288591-154302801	2.1018
NM_006556	chr1(.):154892207-154914484	1.5584
NM_001130041	chr1(.):154929773-154951959	1.3116
NM_001130040	chr1(.):154929773-154948223	1.4199
NM_201398	chr1(.):154950769-154970587	0.3535
NM_015872	chr1(.):154970111-154995999	1.2482
NM_207196	chr1(.):155018761-155040252	0.3454
NM_001184892	chr1(.):154950769-154966488	0.3508
NM_018655	chr1(.):154961061-154971791	0.3612
NM_001143687	chr1(.):155001281-155028406	0.3737
NR_024163	chr1(.):154942117-154956725	1.4628
NM_144622	chr1(.):154986002-155011257	0.4212
NM_138300	chr1(.):154924501-154939258	2.7473
NR_036212	chr1(.):154943168-154953259	1.7053
NM_006912	chr1(.):155862600-155886177	0.172
NM_001162384	chr1(.):155911629-155953336	1.228
NM_181885	chr1(.):155906479-155917625	1.8196
NM_004723	chr1(.):155911629-155952966	1.2267
NM_014949	chr1(.):155877835-155909188	0.3636
NR_002974	chr1(.):155884699-155894833	0.0995
NR_003005	chr1(.):155890748-155900877	0.1
NM_020131	chr1(.):156000091-156028516	0.2838
NM_001093725	chr1(.):156036803-156056789	0.1923
NM_020387	chr1(.):156025965-156045295	0.1489
NM_001145264	chr1(.):156019516-156033301	0.4163
NM_003145	chr1(.):155973838-155995758	0.4474
NM_014655	chr1(.):156158729-156187587	0.5889
NM_007221	chr1(.):156177783-156214833	0.7488
NM_022367	chr1(.):156118321-156152542	1.9118
NM_001193302	chr1(.):156118368-156152542	1.9124
NM_001193301	chr1(.):156114734-156152542	1.8849
NM_005920	chr1(.):156428518-156475529	1.5003
NM_004494	chr1(.):156706898-156726543	1.1113
NM_001126051	chr1(.):156706898-156727024	1.0883
NM_001126050	chr1(.):156706898-156727240	1.0781
NM_030980	chr1(.):156687412-156702705	0.4842
NM_001878	chr1(.):156664407-156680375	0.1239
NM_001142560	chr1(.):156693262-156711752	0.7431
NM_145729	chr1(.):156702093-156715923	0.5968
NR_001560	chr1(.):157093153-157103463	0.1617
NM_005240	chr1(.):157097975-157113177	0.9443
NM_001145312	chr1(.):157089458-157113383	0.6438
NM_031281	chr1(.):157478166-157527310	0.4824
NM_003564	chr1(.):159882902-159900284	1.3823
NM_001013661	chr1(.):159819105-159837447	0.393
NM_012337	chr1(.):159837153-159874906	0.5878
NM_001146172	chr1(.):159916281-159929044	0.1058
NM_001778	chr1(.):160643535-160686585	0.8834
NM_003037	chr1(.):160574890-160622081	0.2739
NM_021181	chr1(.):160704076-160729601	0.6743
NM_152366	chr1(.):161063180-161075138	0.4093
NM_030916	chr1(.):161035780-161064385	0.7134
NM_007122	chr1(.):161004040-161020757	1.7234
NM_001113205	chr1(.):161002421-161013774	0.3801
NR_033385	chr1(.):161063150-161075138	0.4084
NM_181720	chr1(.):161011731-161044760	1.4748
NM_016946	chr1(.):160960000-160996133	0.4451
NM_001077470	chr1(.):161194455-161213000	0.466
NM_001039711	chr1(.):161085768-161107478	0.6502
NM_016406	chr1(.):161118533-161133646	1.1396
NM_004550	chr1(.):161164104-161189184	0.7893
NM_000309	chr1(.):161131180-161146010	0.7576
NM_001643	chr1(.):161187082-161198418	1.1986
NM_001185094	chr1(.):161082907-161095984	0.4812
NM_003779	chr1(.):161136100-161152314	1.4468
NM_012475	chr1(.):161124253-161140516	0.8066
NM_001039712	chr1(.):161085768-161107256	0.6555
NM_005600	chr1(.):161082861-161095984	0.4796
NM_001185093	chr1(.):161082906-161095984	0.4812
NM_032174	chr1(.):161190832-161205407	0.6368
NM_001166159	chr1(.):161166936-161189184	0.8233
NM_005099	chr1(.):161154537-161173845	1.36
NM_004106	chr1(.):161180086-161194038	0.8026
NM_002021	chr1(.):171212662-171260113	0.4939
NM_022100	chr1(.):174977093-174997591	0.3186
NR_033186	chr1(.):178506930-178523024	0.2558
NM_022371	chr1(.):179046111-179070129	1.3795
NM_015602	chr1(.):179846419-179894211	0.4916
NM_016545	chr1(.):181052637-181064979	0.6737
NM_002922	chr1(.):192539856-192554159	1.3856
NM_001195216	chr1(.):197698138-197749623	0.5561
NM_005298	chr1(.):200837165-200848251	0.2807
NM_018265	chr1(.):200855638-200889864	0.7708
NM_001142569	chr1(.):200858998-200889864	0.6681
NM_017596	chr1(.):200933519-200997828	0.524
NM_004767	chr1(.):202087028-202103634	0.1267
NM_080588	chr1(.):202111142-202134119	1.0449
NR_002930	chr1(.):202132178-202163577	0.1393
NM_002832	chr1(.):202111142-202134751	1.0201
NR_034150	chr1(.):203262885-203279453	3.0068
NM_003465	chr1(.):203180206-203203860	0.2179
NM_006763	chr1(.):203269663-203283729	2.0827
NM_002023	chr1(.):203304751-203325289	0.1925
NR_003019	chr1(.):203693708-203703833	0.172
NM_001136190	chr1(.):203729283-203750480	1.0691
NM_001174108	chr1(.):203761650-203774590	0.3507
NM_002646	chr1(.):204386757-204464474	0.2357
NM_002393	chr1(.):204480510-204532248	1.1809
NM_014858	chr1(.):205192037-205247471	0.6012
NM_030952	chr1(.):205266190-205295883	0.6136
NM_001123168	chr1(.):206133910-206160074	0.6442
NM_000707	chr1(.):206219282-206236482	0.1931
NM_001007544	chr1(.):206233871-206293647	0.7381
NM_148964	chr1(.):206312458-206337104	0.1682
NM_006893	chr1(.):206759973-206790904	0.1742
NM_182665	chr1(.):206725491-206767616	1.1952
NM_000572	chr1(.):206935947-206950839	0.7411
NM_013371	chr1(.):206997221-207021325	0.4937
NM_001185157	chr1(.):207065787-207082484	0.1661
NM_153758	chr1(.):206967214-207021324	0.73
NM_018724	chr1(.):207034153-207047568	0.1457
NM_002644	chr1(.):207096866-207124811	0.4583
NM_001170631	chr1(.):207126311-207148970	0.1529
NR_026817	chr1(.):207986723-208000941	1.6344
NR_029832	chr1(.):207970196-207980284	0.5213
NR_029518	chr1(.):207970787-207980868	0.7397
NM_183059	chr1(.):211644863-211671259	0.1225
NM_021194	chr1(.):211743380-211757099	1.1277
NM_153606	chr1(.):212792788-212805120	0.278
NM_001030287	chr1(.):212733696-212799116	0.7659
NM_001674	chr1(.):212776993-212799116	1.4179
NM_000120	chr1(.):226008001-226038262	0.315
NM_020997	chr1(.):226068981-226081836	0.782
NM_014698	chr1(.):226028232-226075420	0.777
NM_001172425	chr1(.):226119297-226134083	1.7834
NM_013328	chr1(.):226102579-226116965	0.523
NM_181441	chr1(.):228289379-228302013	1.187
NR_037415	chr1(.):228279963-228290042	0.1994
NM_001024227	chr1(.):228265850-228291913	1.307
NM_001024226	chr1(.):228265360-228291913	1.2848
NM_024319	chr1(.):228283427-228296022	0.5781
NM_001159390	chr1(.):228322928-228341655	0.4639
NM_033445	chr1(.):228640064-228650560	0.1948
NM_001010858	chr1(.):228670067-228688889	0.9887
NM_175055	chr1(.):228640807-228651259	0.1819
NM_005646	chr1(.):234522058-234619849	0.1654
NM_182972	chr1(.):234735014-234750271	3.773
NR_033927	chr1(.):234760056-234775526	0.1233
NR_002956	chr1(.):235286117-235296252	0.5573
NM_031844	chr1(.):245008601-245032827	0.7662
NM_198076	chr1(.):244993638-245013359	0.9845
NR_026778	chr1(.):244998939-245015243	0.296
NM_030645	chr1(.):249099650-249125154	1.3775
NM_024836	chr1(.):249127529-249148714	0.7783
NM_001136036	chr1(.):249139202-249158125	0.7119
NM_001193328	chr1(.):249139202-249158315	0.708
NR_036070	chr1(.):249115575-249125642	2.2754
NM_015535	chr2(.):201165603-201351986	0.409
NM_001100422	chr2(.):201165984-201351986	0.4095
NM_001100423	chr2(.):201166355-201351986	0.4101
NM_134421	chr2(.):10438825-10572743	0.3971
NM_002149	chr2(.):10438039-10572743	0.3965
NM_020458	chr2(.):47163312-47308275	0.4507
NR_033872	chr2(.):70184394-70319147	0.3334
NM_032827	chr2(.):85975908-86023506	0.136
NR_015395	chr2(.):112119590-112257692	0.5053
NR_024373	chr2(.):112181885-112257692	0.8411
NM_001099289	chr2(.):109740996-110267207	0.2332
NM_020760	chr2(.):197058976-197462335	0.2092
NM_145693	chr2(.):11881739-11972533	0.6543
NM_183360	chr2(.):25595111-25901503	0.293
NM_170672	chr2(.):33656415-33794798	0.4568
NM_005813	chr2(.):37472645-37549222	0.8015
NM_019063	chr2(.):42391489-42564688	0.1057
NM_012249	chr2(.):46764866-46816827	0.6004
NM_014755	chr2(.):64853754-64886046	0.9515
NR_036586	chr2(.):65123973-65164581	0.7904
NM_004836	chr2(.):88851258-88932094	0.4409
NM_144563	chr2(.):88986175-89055452	0.5474
NM_020151	chr2(.):96845602-96879573	0.2705
NM_004027	chr2(.):99056320-99212496	1.375
NM_001566	chr2(.):99056320-99203284	1.4561
NM_003581	chr2(.):106356519-106515730	0.279
NM_001193483	chr2(.):109145856-109308702	0.3228
NM_001142807	chr2(.):111485149-111880799	0.312
NM_001077269	chr2(.):175419301-175552627	0.3966
NR_024415	chr2(.):192537797-192558248	1.0946
NM_001031716	chr2(.):192537860-192558248	1.0968
NM_004226	chr2(.):196993306-197041336	0.5436
NM_001228	chr2(.):202093165-202157434	0.8102
NM_003879	chr2(.):201975889-202034003	1.0816
NM_001127184	chr2(.):201975815-202011323	1.6281
NM_173822	chr2(.):201833440-201941392	0.1354
NM_033358	chr2(.):202093165-202151638	0.8817
NM_022730	chr2(.):232646161-232678434	0.1102
NM_001137551	chr2(.):238595806-238695290	0.284
NM_001137550	chr2(.):238531223-238695290	0.2263
NM_001037160	chr2(.):10191925-10225538	0.0746
NM_182626	chr2(.):10276508-10356856	0.0666
NM_001165931	chr2(.):10257694-10276546	1.018
NM_001034	chr2(.):10257862-10276546	1.0262
NM_002539	chr2(.):10575507-10593453	0.9941
NR_028374	chr2(.):10581839-10591975	1.5722
NM_002997	chr2(.):20395557-20429927	1.7291
NM_001006946	chr2(.):20395557-20430194	1.7161
NM_004040	chr2(.):20641834-20654201	0.8147
NM_005253	chr2(.):28610778-28642516	0.5729
NM_015376	chr2(.):33733941-33794798	0.194
NM_001139488	chr2(.):33696320-33794798	0.609
NM_012413	chr2(.):37566752-37605465	1.9106
NM_138370	chr2(.):42270160-42290668	0.1186
NM_006887	chr2(.):43444540-43458745	2.5301
NR_027251	chr2(.):43449349-43460994	1.7618
NM_080653	chr2(.):46733985-46752096	0.0699
NM_173074	chr2(.):46803412-46849251	0.159
NM_014171	chr2(.):46839324-46857881	0.2116
NM_001171508	chr2(.):47124008-47173994	0.3531
NM_002354	chr2(.):47591286-47619167	0.0591
NR_033837	chr2(.):64407212-64437619	0.4616
NR_034023	chr2(.):64829445-64848616	0.2993
NM_001193493	chr2(.):65210578-65256000	0.3668
NM_003038	chr2(.):65211494-65256000	0.3711
NM_181784	chr2(.):65532984-65664656	0.4374
NM_001128210	chr2(.):65532984-65598931	0.16
NM_014882	chr2(.):68996932-69058957	0.1936
NM_001166277	chr2(.):68956912-69058957	0.3071
NM_006196	chr2(.):70309584-70321334	2.7742
NR_024444	chr2(.):70346167-70357448	1.0091
NM_006433	chr2(.):85916413-85930875	0.3803
NM_198843	chr2(.):85879439-85900864	0.1194
NM_015425	chr2(.):86248450-86338278	0.573
NR_026984	chr2(.):86242338-86255991	0.1952
NR_015424	chr2(.):89060418-89111109	0.1585
NM_001193304	chr2(.):96910945-96936751	0.5719
NM_001037228	chr2(.):96900976-96912701	1.2127
NM_004804	chr2(.):96926883-96944900	0.2765
NR_026875	chr2(.):97158382-97178846	0.2492
NM_212481	chr2(.):97197463-97223371	1.4001
NM_001193484	chr2(.):109232701-109308702	0.2168
NM_001193485	chr2(.):109266266-109308702	0.1998
NM_001193482	chr2(.):109218616-109308702	0.367
NM_001193488	chr2(.):109199921-109308702	0.4032
NM_004987	chr2(.):109199766-109308702	0.4027
NM_006538	chr2(.):111873490-111931022	0.5526
NM_207002	chr2(.):111873490-111891423	1.1114
NM_001006622	chr2(.):128515059-128573761	0.2121
NM_004805	chr2(.):128598839-128620729	0.1867
NM_004807	chr2(.):129018053-129081171	0.1316
NM_006186	chr2(.):157175943-157194287	0.7214
NM_004288	chr2(.):158266130-158305604	0.7466
NM_003387	chr2(.):175419301-175504307	0.5665
NM_002491	chr2(.):201931461-201955473	0.2542
NM_001127183	chr2(.):201978386-202033841	1.1281
NM_033356	chr2(.):202120222-202157434	0.8974
NM_001080125	chr2(.):202117753-202157434	0.9147
NM_006139	chr2(.):204566197-204607557	0.912
NM_017431	chr2(.):219682105-219701512	0.0676
NM_025216	chr2(.):219740254-219763651	2.3945
NM_006522	chr2(.):219719545-219743954	0.191
NM_024795	chr2(.):228221873-228249022	0.0505
NM_002601	chr2(.):232592146-232650974	0.1025
NR_031717	chr2(.):232751951-232762008	0.0438
NM_004735	chr2(.):238595806-238679558	0.3303
NM_014674	chr3(.):5224358-5266650	1.4584
NM_001195099	chr3(.):15703743-15803058	0.0713
NM_001195098	chr3(.):15703743-15844691	0.1946
NM_015199	chr3(.):15703743-15906053	0.2129
NM_016128	chr3(.):128963452-129001616	0.7115
NM_003571	chr3(.):133113789-133199056	0.7187
NM_207015	chr3(.):174572110-175528428	0.1685
NM_001135095	chr3(.):171753343-172123492	0.3629
NM_022763	chr3(.):171752417-172123492	0.3632
NM_181361	chr3(.):178249223-178567217	0.1691
NM_001134382	chr3(.):12933718-13119617	0.4571
NM_024923	chr3(.):13352736-13466809	0.3258
NM_014869	chr3(.):12933718-13013960	0.0706
NM_144636	chr3(.):14148576-14171371	0.919
NM_001024847	chr3(.):30642993-30740633	0.425
NM_001123396	chr3(.):46390234-46405868	1.0759
NM_001123041	chr3(.):46390234-46407413	1.0064
NM_007114	chr3(.):69063977-69106484	0.1554
NM_024548	chr3(.):101438493-101491181	0.2545
NM_002213	chr3(.):124476794-124611144	0.503
NM_032343	chr3(.):126418117-126684244	0.141
NM_001001487	chr3(.):130608433-130740555	0.1054
NM_001199181	chr3(.):130564368-130727046	0.196
NM_001199180	chr3(.):130564368-130740555	0.1861
NM_001199179	chr3(.):130607834-130727046	0.1097
NM_001001485	chr3(.):130607858-130740555	0.1053
NM_001199184	chr3(.):130607904-130727046	0.1098
NM_014382	chr3(.):130608291-130727046	0.1099
NM_001080412	chr3(.):141038054-141173632	1.4463
NM_016275	chr3(.):150316065-150353234	0.5347
NM_001190242	chr3(.):159969773-160106554	0.0912
NM_001190241	chr3(.):159969773-160122320	0.2217
NM_024665	chr3(.):176733541-176920048	0.4255
NM_005832	chr3(.):178271617-178567217	0.1524
NM_130446	chr3(.):183200318-183278499	1.3082
NM_173216	chr3(.):186643314-186801341	0.6882
NM_003032	chr3(.):186734664-186801341	0.7736
NM_005524	chr3(.):193848933-193861396	1.5686
NM_018184	chr3(.):5158929-5227601	0.2461
NM_015931	chr3(.):8656319-8698737	0.1617
NM_024334	chr3(.):14161439-14190180	0.7888
NM_194293	chr3(.):39219706-39239077	0.4294
NM_001198621	chr3(.):39219705-39239085	0.4297
NM_014240	chr3(.):45631322-45727755	0.3805
NM_001295	chr3(.):46238199-46254832	1.6867
NM_001837	chr3(.):46278871-46313197	0.1632
NM_003965	chr3(.):46443720-46456014	0.3459
NM_001199149	chr3(.):46472495-46510161	0.2679
NM_002343	chr3(.):46472495-46511598	0.2649
NM_001100168	chr3(.):46406632-46422697	0.5082
NM_001130910	chr3(.):46444048-46456014	0.3538
NM_003212	chr3(.):46614075-46628952	0.0578
NM_001174136	chr3(.):46611044-46628952	0.0601
NM_024512	chr3(.):46551877-46613011	0.6226
NM_031440	chr3(.):46534484-46547439	0.4662
NM_198195	chr3(.):69098880-69134524	0.3871
NM_006407	chr3(.):69129089-69160239	0.7209
NM_198271	chr3(.):69151038-69176746	0.196
NR_036087	chr3(.):69093108-69103186	0.4931
NM_006100	chr3(.):98446571-98518236	0.7352
NM_145037	chr3(.):101493028-101552075	0.5365
NM_001134456	chr3(.):101493285-101552075	0.5382
NM_001005474	chr3(.):101541833-101584869	0.3224
NM_022135	chr3(.):119355907-119384404	0.7244
NM_005694	chr3(.):119383371-119401243	0.3562
NM_015900	chr3(.):119311721-119353658	0.1543
NR_033434	chr3(.):124444212-124473119	0.1572
NR_031687	chr3(.):125504246-125514395	0.1092
NM_001127196	chr3(.):128881657-128907810	0.6317
NM_020701	chr3(.):128841258-128885073	0.1992
NM_020187	chr3(.):128992683-129029135	0.9
NM_001006109	chr3(.):128992816-129029135	0.9029
NM_006026	chr3(.):129028613-129040120	3.0237
NR_026991	chr3(.):129030113-129048412	1.5406
NR_027898	chr3(.):129926662-129997649	0.0657
NM_032025	chr3(.):150259573-150308803	0.2807
NM_014445	chr3(.):150254779-150269428	0.6154
NR_027954	chr3(.):156385959-156398502	0.9539
NM_001184718	chr3(.):156389452-156429557	0.5876
NM_001184717	chr3(.):156387714-156429557	0.5736
