GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
IGLL5	NM_001178126	chr22:23190046-23298715	1	1	3.8158000000000003
MIR650	NR_030755	chr22:23190046-23298715	1	1	0.4817
INPP4A	NM_004027	chr2:99054342-99135432	2	1	1.1938
FAM46C	NM_017709	chr1:118141631-118230339	3	1	1.9529
FOXO3	NM_201559	chr6:108878019-108958091,chr6:108986263-108997559	4,617	1	0.9176
CHMP4B	NM_176812	chr20:32398703-32477908	5	1	0.7884
CCDC88C	NM_001080414	chr14:91812916-91885954,chr14:91781595-91801727	6,547	1	0.7231
QPCT	NM_012413	chr2:37526088-37593775,chr2:37600487-37625121	7,161	1	1.7241
PRKD3	NM_005813	chr2:37526088-37593775	7	1	0.6342
CYTH1	NM_017456	chr17:76711045-76780745	8	1	0.8281
BTG2	NM_006763	chr1:203236278-203298308	9	1	1.7989
LOC730227	NR_034150	chr1:203236278-203298308	9	1	2.7142
CHIT1	NM_003465	chr1:203236278-203298308	9	1	0.0446
FMOD	NM_002023	chr1:203236278-203298308	9	1	0.0014000000000000123
ZBTB38	NM_001080412	chr3:141079356-141134439	10	1	1.2567
SKAP1	NM_003726	chr17:46506463-46571503	11	1	0.0
HOXB1	NM_002144	chr17:46506463-46571503,chr17:46579021-46596281	11,236	1	0.030100000000000002
CCL4L1	NM_001001435	chr17:34596755-34646103,chr17:34508251-34544290	12,27	1	2.2661
CCL3L1	NM_021006	chr17:34596755-34646103,chr17:34508251-34544290,chr17:34442117-34474215	12,27,196	1	3.0743
CCL3L3	NM_001001437	chr17:34596755-34646103,chr17:34508251-34544290,chr17:34442117-34474215	12,27,196	1	3.0752
TBC1D3C	NM_001001418	chr17:34596755-34646103,chr17:34508251-34544290	12,27	1	0.0
DUSP22	NM_020185	chr6:289806-338561	13	1	1.7169000000000003
TRAM2	NM_012288	chr6:52392407-52443001	14	1	0.874
C5orf56	NM_001013717	chr5:131789694-131842804,chr5:131744667-131768439	15,115	1	1.5911
IRF1	NM_002198	chr5:131789694-131842804	15	1	0.5275000000000001
RAD50	NM_005732	chr5:131789694-131842804	15	1	0.06789999999999999
IL5	NM_000879	chr5:131789694-131842804	15	1	0.0
LOC541471	NR_015395	chr2:112185209-112241962	16	1	0.36429999999999996
IL19	NM_153758	chr1:206955374-207008163,chr1:206938549-206948578	18,840	1	0.5022
IL20	NM_018724	chr1:206955374-207008163	18	1	0.0
IL10	NM_000572	chr1:206938549-206948578,chr1:206955374-207008163	18,840	1	0.5206999999999999
CCL1	NM_002981	chr17:32688371-32727809	19	1	1.2469999999999999
CCL8	NM_005623	chr17:32688371-32727809	19	1	0.0
CCL13	NM_005408	chr17:32688371-32727809	19	1	0.2038
SMAD7	NM_005904	chr18:46439251-46483113	20	1	0.9484000000000001
ERN1	NM_001433	chr17:62149281-62187570,chr17:62196772-62210294	21,396	1	0.8698999999999999
SNORD104	NR_004380	chr17:62149281-62187570,chr17:62196772-62210294	21,396	1	0.3145
SNORA76	NR_002995	chr17:62149281-62187570,chr17:62196772-62210294	21,396	1	0.32130000000000003
MUTED-TXNDC5	NR_037616	chr6:7886244-7922480,chr6:7958192-7978948	22,288	1	0.9056
TXNDC5	NM_001145549	chr6:7886244-7922480,chr6:7958192-7978948	22,288	1	2.9808
GALNT2	NM_004481	chr1:230238128-230287869	24	1	0.3685999999999999
KLF13	NM_015995	chr15:31616596-31660545	25	1	0.8160000000000001
DEPDC6	NM_022783	chr8:120914396-120950570	26	1	0.3275
DSCC1	NM_024094	chr8:120914396-120950570	26	1	0.055999999999999994
TBC1D3B	NM_001001417	chr17:34508251-34544290,chr17:34442117-34474215	27,196	1	0.08339999999999997
TMEM121	NM_025268	chr14:106023350-106058027,chr14:105946905-105958458	28,657	1	0.077
CCR3	NM_001837	chr3:46317784-46365443,chr3:46245401-46264316	29,399	1	0.039900000000000005
CCR2	NM_001123396	chr3:46389504-46411896,chr3:46317784-46365443,chr3:46421227-46460521	29,51,513	1	0.8887
