#MM5_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM5_jia_ROSE/MM5_jia_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM5_jia.bam
#Using cutoff of 3488.7154 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM5_jia.bam	enhancerRank	isStretch
4_MACS_peak_914_lociStitched	chr1	118147638	118177052	4	29115	30393.4862	1	1
7_MACS_peak_14251_lociStitched	chr6	7887536	7914378	7	25484	30114.0398	2	1
5_MACS_peak_13532_lociStitched	chr5	88167972	88186923	5	17654	17935.2264	3	1
5_MACS_peak_10991_lociStitched	chr22	23222842	23239085	5	15659	17704.87	4	1
3_MACS_peak_2878_lociStitched	chr11	65184022	65199000	3	14938	24333.2588	5	1
2_MACS_peak_1871_lociStitched	chr10	22601782	22615475	2	13688	13818.9756	6	1
5_MACS_peak_5149_lociStitched	chr14	91829901	91843518	5	13136	13306.5324	7	1
3_MACS_peak_9488_lociStitched	chr2	89154505	89167733	3	12910	15933.126	8	1
6_MACS_peak_5749_lociStitched	chr15	75073636	75086411	6	12322	10566.2025	9	1
6_MACS_peak_15251_lociStitched	chr7	8004623	8017761	6	12075	12089.5876	10	1
4_MACS_peak_5850_lociStitched	chr15	81584233	81596561	4	11772	10724.1272	11	1
1_MACS_peak_2885_lociStitched	chr11	65263664	65275373	1	11710	18788.2614	12	1
6_MACS_peak_4640_lociStitched	chr13	78484484	78496849	6	11482	8644.3715	13	1
4_MACS_peak_11001_lociStitched	chr22	23270093	23281814	4	11414	15859.6851	14	1
5_MACS_peak_11983_lociStitched	chr3	114164983	114176203	5	10878	9412.458	15	1
1_MACS_peak_14878_lociStitched	chr6	106531929	106542798	1	10870	11198.3307	16	1
4_MACS_peak_4335_lociStitched	chr12	125395651	125406439	4	10615	13077.2136	17	1
1_MACS_peak_12169_lociStitched	chr3	141101463	141111821	1	10359	10102.1574	18	1
4_MACS_peak_7491_lociStitched	chr17	74258539	74269400	4	9995	10551.4615	19	1
6_MACS_peak_1689_lociStitched	chr1	234738307	234748948	6	9962	10161.0909	20	1
5_MACS_peak_9478_lociStitched	chr2	89130631	89140915	5	9917	10326.1644	21	1
5_MACS_peak_3603_lociStitched	chr12	26269394	26280389	5	9835	9032.3925	22	1
2_MACS_peak_5578_lociStitched	chr15	56656791	56666617	2	9704	9380.8822	23	1
3_MACS_peak_4299_lociStitched	chr12	123371421	123381439	3	9626	10853.5012	24	1
2_MACS_peak_7186_lociStitched	chr17	43298275	43307738	2	9420	10271.1402	25	1
3_MACS_peak_8495_lociStitched	chr19	39892759	39902518	3	9288	11273.5968	26	1
3_MACS_peak_2892_lociStitched	chr11	65336113	65345413	3	9195	9535.29	27	1
4_MACS_peak_5954_lociStitched	chr15	90637369	90646493	4	9024	10034.5752	28	1
3_MACS_peak_12313_lociStitched	chr3	171811922	171821139	3	8960	8802.235	29	1
1_MACS_peak_5993_lociStitched	chr15	93443158	93452098	1	8941	14900.298	30	1
1_MACS_peak_11438_lociStitched	chr3	13050480	13059307	1	8828	9356.62	31	1
3_MACS_peak_4528_lociStitched	chr13	46268371	46277206	3	8714	9676.9755	32	1
4_MACS_peak_2352_lociStitched	chr10	112256572	112265784	4	8654	9114.3528	33	1
3_MACS_peak_12170_lociStitched	chr3	141118013	141126734	3	8467	8727.9768	34	1
1_MACS_peak_15952_lociStitched	chr7	130788667	130797060	1	8394	17057.0939	35	1
2_MACS_peak_5925_lociStitched	chr15	89177497	89185772	2	8254	12320.6475	36	1
2_MACS_peak_7820_lociStitched	chr18	60822271	60830437	2	8120	8980.1502	37	1
3_MACS_peak_16594_lociStitched	chr8	126441283	126449912	3	8029	10304.7518	38	1
3_MACS_peak_15816_lociStitched	chr7	104650757	104659004	3	8009	14739.0384	39	1
4_MACS_peak_9466_lociStitched	chr2	88920093	88928395	4	7824	7846.2202	40	1
2_MACS_peak_13173_lociStitched	chr5	6480325	6488413	2	7817	6801.1992	41	1
4_MACS_peak_3252_lociStitched	chr11	111237093	111245622	4	7654	5591.6124	42	1
3_MACS_peak_14088_lociStitched	chr5	173313861	173321473	3	7441	7041.1	43	1
3_MACS_peak_2758_lociStitched	chr11	58340282	58347880	3	7412	10646.3176	44	1
2_MACS_peak_14044_lociStitched	chr5	162929780	162937019	2	7234	7824.6351	45	1
1_MACS_peak_954_lociStitched	chr1	143461312	143468493	1	7182	9607.4599	46	1
4_MACS_peak_14127_lociStitched	chr5	176852585	176859922	4	7067	6372.1845	47	1
2_MACS_peak_3555_lociStitched	chr12	12866815	12873857	2	6912	8024.359	48	1
3_MACS_peak_5922_lociStitched	chr15	89164481	89171966	3	6911	6539.6445	49	1
5_MACS_peak_10855_lociStitched	chr21	44580798	44588150	5	6885	6018.3472	50	1
1_MACS_peak_9995_lociStitched	chr2	201986986	201993858	1	6873	6948.9664	51	1
2_MACS_peak_14876_lociStitched	chr6	106439335	106446267	2	6855	7173.9268	52	1
3_MACS_peak_14879_lociStitched	chr6	106544856	106551847	3	6846	4558.132	53	1
3_MACS_peak_921_lociStitched	chr1	118195668	118202868	3	6799	7137.36	54	1
4_MACS_peak_1055_lociStitched	chr1	150545951	150552851	4	6764	6078.9	55	1
1_MACS_peak_13559_lociStitched	chr5	90674182	90680862	1	6681	11569.76	56	1
3_MACS_peak_12173_lociStitched	chr3	141128053	141135038	3	6661	6162.167	57	1
3_MACS_peak_5782_lociStitched	chr15	75742245	75748896	3	6591	14163.3045	58	1
4_MACS_peak_857_lociStitched	chr1	111211323	111218194	4	6567	5797.7498	59	1
1_MACS_peak_13620_lociStitched	chr5	100233740	100240240	1	6501	4993.3	60	1
1_MACS_peak_669_lociStitched	chr1	66797296	66803761	1	6466	7598.3145	61	1
2_MACS_peak_12696_lociStitched	chr4	40197494	40204428	2	6448	6927.7594	62	1
3_MACS_peak_12272_lociStitched	chr3	160116275	160123382	3	6401	6174.5616	63	1
2_MACS_peak_9608_lociStitched	chr2	111874759	111881199	2	6327	6527.584	64	1
5_MACS_peak_1873_lociStitched	chr10	22623859	22630689	5	6315	5470.147	65	1
4_MACS_peak_1777_lociStitched	chr10	6794257	6800781	4	6283	4448.0632	66	1
2_MACS_peak_8295_lociStitched	chr19	16694004	16700357	2	6245	6847.2634	67	1
2_MACS_peak_8196_lociStitched	chr19	12898969	12905258	2	6200	9164.3308	68	1
1_MACS_peak_13933_lociStitched	chr5	142779465	142785642	1	6178	9330.3585	69	1
1_MACS_peak_16951_lociStitched	chr9	66454627	66460801	1	6175	13932.8658	70	1
1_MACS_peak_17097_lociStitched	chr9	98267792	98273917	1	6126	6491.8875	71	1
2_MACS_peak_3405_lociStitched	chr11	128586036	128592216	2	6106	4546.626	72	1
3_MACS_peak_12811_lociStitched	chr4	78737230	78743452	3	6075	6283.5978	73	1
1_MACS_peak_9779_lociStitched	chr2	158295373	158301442	1	6070	8059.632	74	1
1_MACS_peak_9994_lociStitched	chr2	201980340	201986396	1	6057	6361.828	75	1
2_MACS_peak_14546_lociStitched	chr6	32935544	32941777	2	5986	8979.2598	76	1
1_MACS_peak_15814_lociStitched	chr7	104581275	104587186	1	5912	12842.2386	77	1
2_MACS_peak_12493_lociStitched	chr3	195630822	195637158	2	5892	8841.888	78	1
3_MACS_peak_15517_lociStitched	chr7	55634921	55641169	3	5882	5501.364	79	1
1_MACS_peak_5501_lociStitched	chr15	45001924	45007781	1	5858	11392.4507	80	1
