#MM10_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM10_jia_ROSE/MM10_jia_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM10_jia.bam
#Using cutoff of 18600.4404 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM10_jia.bam	enhancerRank	isStretch
8_MACS_peak_11870_lociStitched	chr17	62133214	62209832	8	72989	151389.5062	1	1
14_MACS_peak_19726_lociStitched	chr3	141079613	141161323	14	71579	288877.534	2	1
17_MACS_peak_10083_lociStitched	chr16	11766652	11837847	17	59317	76321.04	3	1
11_MACS_peak_15258_lociStitched	chr2	99054927	99111686	11	47175	69932.7639	4	1
11_MACS_peak_8635_lociStitched	chr14	91828614	91885530	11	41663	91799.8164	5	1
14_MACS_peak_14836_lociStitched	chr2	64318210	64372272	14	40647	61700.9606	6	1
11_MACS_peak_14455_lociStitched	chr2	37508628	37554167	11	39138	88628.0018	7	1
2_MACS_peak_15195_lociStitched	chr2	88889978	88928696	2	38648	85346.0874	8	1
8_MACS_peak_17479_lociStitched	chr21	19147414	19193148	8	35406	92661.6574	9	1
11_MACS_peak_24986_lociStitched	chr6	90035740	90086490	11	35142	83341.65	10	1
5_MACS_peak_1275_lociStitched	chr1	118147733	118187908	5	34324	47776.11	11	1
6_MACS_peak_15174_lociStitched	chr2	87781972	87823157	6	34305	88782.5045	12	1
7_MACS_peak_5514_lociStitched	chr12	9858415	9896524	7	34022	89476.1211	13	1
7_MACS_peak_23878_lociStitched	chr6	7880507	7919948	7	33789	53300.5674	14	1
10_MACS_peak_9802_lociStitched	chr15	93424186	93471193	10	33592	124074.9765	15	1
14_MACS_peak_20471_lociStitched	chr4	1900343	1944391	14	32634	37568.5392	16	1
9_MACS_peak_7002_lociStitched	chr12	123347384	123388254	9	31253	80407.638	17	1
4_MACS_peak_2833_lociStitched	chr1	244996250	245029169	4	30750	118873.8009	18	1
7_MACS_peak_26799_lociStitched	chr7	90337417	90381237	7	29962	117604.116	19	1
3_MACS_peak_25126_lociStitched	chr6	106530176	106560423	3	29525	100444.2376	20	1
4_MACS_peak_2050_lociStitched	chr1	184693058	184725669	4	28924	92311.9577	21	1
10_MACS_peak_18533_lociStitched	chr3	31571983	31617604	10	28810	41273.3187	22	1
7_MACS_peak_16137_lociStitched	chr2	197006897	197048545	7	28651	66099.5408	23	1
5_MACS_peak_23787_lociStitched	chr6	290261	331333	5	27033	68738.0992	24	1
3_MACS_peak_6708_lociStitched	chr12	104321117	104351934	3	26995	71738.8943	25	1
6_MACS_peak_26243_lociStitched	chr7	29694307	29726387	6	26881	47789.576	26	1
11_MACS_peak_27029_lociStitched	chr7	104643166	104691078	11	26572	103533.0408	27	1
3_MACS_peak_25778_lociStitched	chr6	159211667	159240953	3	26398	56106.1188	28	1
6_MACS_peak_18292_lociStitched	chr3	5222793	5251096	6	25989	70751.8394	29	1
9_MACS_peak_20220_lociStitched	chr3	183220045	183260693	9	25686	40440.6952	30	1
7_MACS_peak_22467_lociStitched	chr5	32571026	32609943	7	25311	57869.579	31	1
4_MACS_peak_15369_lociStitched	chr2	112184685	112212643	4	25241	59159.128	32	1
6_MACS_peak_5476_lociStitched	chr12	7045474	7081279	6	25066	53242.035	33	1
1_MACS_peak_27444_lociStitched	chr7	137662633	137687621	1	24989	49013.962	34	1
1_MACS_peak_23025_lociStitched	chr5	88162082	88186968	1	24887	128921.923	35	1
5_MACS_peak_14466_lociStitched	chr2	37559978	37593498	5	24375	50581.68	36	1
7_MACS_peak_8539_lociStitched	chr14	81967804	82001010	7	24274	79063.486	37	1
4_MACS_peak_8535_lociStitched	chr14	81930705	81961293	4	24221	36739.2468	38	1
3_MACS_peak_20859_lociStitched	chr4	40191428	40216605	3	24049	100778.4956	39	1
4_MACS_peak_1643_lociStitched	chr1	156447382	156475907	4	23649	85098.6325	40	1
8_MACS_peak_18866_lociStitched	chr3	52718154	52755822	8	23610	52234.2156	41	1
2_MACS_peak_22094_lociStitched	chr4	177038972	177062967	2	23544	93304.5575	42	1
5_MACS_peak_17343_lociStitched	chr20	57460001	57485861	5	23199	69643.566	43	1
4_MACS_peak_23792_lociStitched	chr6	388995	413327	4	23152	48707.7976	44	1
7_MACS_peak_1738_lociStitched	chr1	161122696	161157833	7	23068	82779.2583	45	1
3_MACS_peak_20044_lociStitched	chr3	171800804	171826865	3	22932	49023.3471	46	1
6_MACS_peak_7307_lociStitched	chr13	41542987	41570516	6	22817	40682.3562	47	1
9_MACS_peak_23089_lociStitched	chr5	95235577	95276788	9	22753	30533.2299	48	1
3_MACS_peak_1618_lociStitched	chr1	155929062	155954287	3	22738	76974.0875	49	1
5_MACS_peak_29453_lociStitched	chr9	37185205	37213586	5	22706	37315.3388	50	1
3_MACS_peak_21804_lociStitched	chr4	144256633	144284820	3	22675	60737.3476	51	1
9_MACS_peak_23013_lociStitched	chr5	88100395	88132965	9	22562	23408.059	52	1
4_MACS_peak_19933_lociStitched	chr3	160116096	160141167	4	22304	64979.0178	53	1
7_MACS_peak_17145_lociStitched	chr20	43587570	43622397	7	21283	48590.6304	54	1
3_MACS_peak_27147_lociStitched	chr7	114555877	114583755	3	21165	53422.6114	55	1
1_MACS_peak_1456_lociStitched	chr1	150532097	150553228	1	21132	134970.0363	56	1
8_MACS_peak_22442_lociStitched	chr5	32144825	32175760	8	20918	45718.8365	57	1
4_MACS_peak_29961_lociStitched	chr9	112903214	112925579	4	20912	32147.451	58	1
8_MACS_peak_8962_lociStitched	chr15	31630908	31660681	8	20899	27218.4766	59	1
5_MACS_peak_4583_lociStitched	chr11	65183822	65211408	5	20885	101968.8904	60	1
1_MACS_peak_14265_lociStitched	chr2	20405306	20426082	1	20777	40660.7096	61	1
3_MACS_peak_11322_lociStitched	chr17	29628230	29649562	3	20591	100855.5628	62	1
7_MACS_peak_23992_lociStitched	chr6	16469169	16495972	7	20523	43536.1129	63	1
6_MACS_peak_1575_lociStitched	chr1	154927032	154957515	6	20478	96338.4732	64	1
4_MACS_peak_28492_lociStitched	chr8	98654757	98677938	4	20458	56431.8264	65	1
2_MACS_peak_16221_lociStitched	chr2	201979438	202000258	2	20090	92563.638	66	1
7_MACS_peak_8839_lociStitched	chr14	106146167	106176756	7	20057	33598.9576	67	1
7_MACS_peak_27820_lociStitched	chr8	27231689	27264194	7	20054	19265.7135	68	1
8_MACS_peak_27436_lociStitched	chr7	137617234	137652732	8	19935	20397.1508	69	1
5_MACS_peak_26510_lociStitched	chr7	55616335	55642048	5	19927	32678.6517	70	1
4_MACS_peak_19372_lociStitched	chr3	112047433	112071303	4	19326	38664.626	71	1
5_MACS_peak_26213_lociStitched	chr7	26220793	26244407	5	19322	43471.0126	72	1
2_MACS_peak_15985_lociStitched	chr2	182320389	182340146	2	19296	34691.3163	73	1
1_MACS_peak_12659_lociStitched	chr18	52972794	52991954	1	19161	51450.348	74	1
3_MACS_peak_28213_lociStitched	chr8	71500366	71521138	3	19085	38147.778	75	1
4_MACS_peak_28809_lociStitched	chr8	126284444	126308633	4	18959	55431.5124	76	1
9_MACS_peak_8830_lociStitched	chr14	106025855	106055784	9	18873	31476.3293	77	1
4_MACS_peak_661_lociStitched	chr1	40838989	40863755	4	18720	53942.8246	78	1
5_MACS_peak_27163_lociStitched	chr7	115845784	115873686	5	18569	34698.9272	79	1
2_MACS_peak_5124_lociStitched	chr11	111229780	111251480	2	18450	49274.19	80	1
4_MACS_peak_23342_lociStitched	chr5	131745438	131767393	4	18436	31119.017	81	1
9_MACS_peak_20016_lociStitched	chr3	169863214	169900108	9	18433	33824.4192	82	1
1_MACS_peak_10546_lociStitched	chr16	56963708	56982075	1	18368	62844.5272	83	1
6_MACS_peak_9538_lociStitched	chr15	75069021	75092925	6	18299	32951.664	84	1
6_MACS_peak_13682_lociStitched	chr19	42037914	42067907	6	18246	35250.7729	85	1
4_MACS_peak_11645_lociStitched	chr17	46123830	46142553	4	18241	62257.7196	86	1
8_MACS_peak_18988_lociStitched	chr3	67040000	67069390	8	18166	52666.88	87	1
2_MACS_peak_21318_lociStitched	chr4	90211167	90229326	2	18114	38578.7955	88	1
3_MACS_peak_24869_lociStitched	chr6	79771836	79794543	3	18105	67308.0894	89	1
3_MACS_peak_11784_lociStitched	chr17	56405610	56430893	3	17988	49006.0389	90	1
4_MACS_peak_19596_lociStitched	chr3	128821329	128842995	4	17874	44449.9656	91	1
10_MACS_peak_22998_lociStitched	chr5	88023205	88045745	10	17843	16717.918	92	1
5_MACS_peak_16718_lociStitched	chr20	5567176	5592464	5	17766	32492.5512	93	1
2_MACS_peak_5935_lociStitched	chr12	46116154	46137729	2	17735	87417.585	94	1
7_MACS_peak_19385_lociStitched	chr3	112176776	112202566	7	17734	21787.392	95	1
5_MACS_peak_18402_lociStitched	chr3	15832751	15860606	5	17546	80105.409	96	1
2_MACS_peak_7259_lociStitched	chr13	35731316	35748859	2	17352	19932.3566	97	1
2_MACS_peak_3515_lociStitched	chr10	89621168	89642982	2	17257	30024.7896	98	1
3_MACS_peak_1457_lociStitched	chr1	150581656	150603597	3	17222	67540.9803	99	1
5_MACS_peak_14852_lociStitched	chr2	64430653	64456363	5	17197	51975.336	100	1
5_MACS_peak_4272_lociStitched	chr11	35182123	35206920	5	16934	34991.0467	101	1
3_MACS_peak_11597_lociStitched	chr17	44215237	44235511	3	16913	22530.4962	102	1
2_MACS_peak_14625_lociStitched	chr2	46788225	46805428	2	16895	32678.8188	103	1
7_MACS_peak_17665_lociStitched	chr21	36576925	36608166	7	16733	32362.5519	104	1
3_MACS_peak_7796_lociStitched	chr14	23018295	23040351	3	16601	32669.3472	105	1
1_MACS_peak_2731_lociStitched	chr1	234734237	234750812	1	16576	152634.2025	106	1
5_MACS_peak_22305_lociStitched	chr5	6711681	6740848	5	16576	33789.9695	107	1
3_MACS_peak_21149_lociStitched	chr4	77116037	77136416	3	16555	35604.1509	108	1
5_MACS_peak_9795_lociStitched	chr15	93346317	93377690	5	16518	56320.8096	109	1
3_MACS_peak_4035_lociStitched	chr11	10324002	10344971	3	16479	40725.9918	110	1
4_MACS_peak_16979_lociStitched	chr20	32987856	33008582	4	16447	18545.6248	111	1
