REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82.bam
7_MACS_peak_14537_lociStitched	chr2	37526039	37606605	7	60669	180588.68899999998	14775.8044
6_MACS_peak_1428_lociStitched	chr1	118141784	118219442	6	62029	170769.94199999998	8627.8038
6_MACS_peak_24444_lociStitched	chr6	108878301	108952013	6	61872	95250.6464	10931.489599999999
9_MACS_peak_8534_lociStitched	chr14	91813045	91885879	9	52364	109527.7692	7414.5012
9_MACS_peak_19694_lociStitched	chr3	141079115	141149704	9	54770	286090.1581	13701.3249
6_MACS_peak_16884_lociStitched	chr20	32398673	32452633	6	36661	88586.132	9130.032
9_MACS_peak_24054_lociStitched	chr6	52392366	52443062	9	33780	75815.868	8937.704800000001
9_MACS_peak_24751_lociStitched	chr6	138246796	138297452	9	20904	34076.2912	8064.435200000001
7_MACS_peak_10616_lociStitched	chr16	68269855	68320002	7	24342	42454.4502	8183.990400000001
4_MACS_peak_23259_lociStitched	chr6	289858	338070	4	34851	149799.50519999999	15967.8144
5_MACS_peak_15212_lociStitched	chr2	99060431	99107707	5	40965	119896.66359999999	8925.7088
9_MACS_peak_2367_lociStitched	chr1	203236344	203281360	9	31932	120885.9664	11267.5048
7_MACS_peak_11450_lociStitched	chr17	34597787	34641905	7	33150	73447.6464	8735.364
7_MACS_peak_9746_lociStitched	chr15	93346133	93389263	7	16933	49426.979999999996	5891.558
7_MACS_peak_8842_lociStitched	chr15	31616636	31657548	7	26262	54482.51040000001	6173.620800000001
7_MACS_peak_12743_lociStitched	chr18	46439346	46480151	7	35749	53768.7485	7010.299
3_MACS_peak_16840_lociStitched	chr20	30271747	30312318	3	36847	110259.80669999999	8244.0272
5_MACS_peak_2447_lociStitched	chr1	206271698	206311966	5	26340	95515.696	9346.202800000001
5_MACS_peak_16816_lociStitched	chr20	25261675	25301552	5	21420	81341.1046	6288.6029
6_MACS_peak_5942_lociStitched	chr12	7045833	7085599	6	22381	50196.6218	6776.1264
7_MACS_peak_8590_lociStitched	chr14	95946313	95985826	7	17561	24162.199500000002	3054.3549
8_MACS_peak_10588_lociStitched	chr16	67547927	67587211	8	14057	24796.0608	5912.242
5_MACS_peak_11398_lociStitched	chr17	32688414	32726806	5	34857	98337.26879999999	7309.836800000001
