2024-07-16 17:06:28 INFO	Starting bamliquidator_batch 1.4.0 with args {'bin_size': 100000, 'regions_file': '/data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM2.H3K27ac_ROSE/MM2_SuperStretchEnhancers_HG19_TSS_ENHANCER_GENES_-5000_+5000.gff', 'output_directory': '/data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM2.H3K27ac_ROSE/MM2_SuperStretchEnhancers_HG19_TSS_ENHANCER_GENES_-5000_+5000_MM2.jin.bam', 'counts_file': None, 'flatten': False, 'extension': 200, 'sense': '.', 'match_bamToGFF': True, 'region_format': None, 'skip_plot': False, 'black_list': ['chrUn', '_random', 'Zv9_', '_hap'], 'quiet': False, 'number_of_threads': 0, 'xml_timings': False, 'bam_file_path': '/data/projects/MM_TRN/bam_files_jin/MM2.jin.bam'}
2024-07-16 17:06:29 INFO	Liquidating /data/projects/MM_TRN/bam_files_jin/MM2.jin.bam (file 1 of 1)
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1695: bam file key 1 chr6_apd_hap1 NM_002118 4184389 -> 4200831 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1696: bam file key 1 chr6_apd_hap1 NM_001134870 1950811 -> 1971739 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1697: bam file key 1 chr6_apd_hap1 NM_133471 1950811 -> 1972318 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1698: bam file key 1 chr6_apd_hap1 NR_001317 1129223 -> 1140287 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1699: bam file key 1 chr6_apd_hap1 NM_002116 1145194 -> 1158548 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1700: bam file key 1 chr6_apd_hap1 NR_001318 1103576 -> 1117186 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1701: bam file key 1 chr6_apd_hap1 NM_003587 1933891 -> 1957475 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1702: bam file key 1 chr6_apd_hap1 NM_007243 1962471 -> 1975415 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1703: bam file key 1 chr6_apd_hap1 NM_178014 1994798 -> 2009837 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1704: bam file key 1 chr6_apd_hap1 NM_014641 1974227 -> 2002101 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1705: bam file key 1 chr6_apd_hap1 NM_025258 3043121 -> 3064858 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1706: bam file key 1 chr6_apd_hap1 NM_172166 3035681 -> 3050206 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1707: bam file key 1 chr6_apd_hap1 NM_001039651 3040523 -> 3052375 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1708: bam file key 1 chr6_apd_hap1 NR_003129 3455972 -> 3468308 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1709: bam file key 1 chr6_apd_hap1 NM_004557 3472357 -> 3491922 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1710: bam file key 1 chr6_apd_hap1 NM_032741 3445723 -> 3465629 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1711: bam file key 1 chr6_apd_hap1 NM_002586 3462250 -> 3477701 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1712: bam file key 1 chr6_apd_hap1 NM_030651 3425876 -> 3439457 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1713: bam file key 1 chr6_apd_hap1 NM_001136 3458486 -> 3471764 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1714: bam file key 1 chr6_apd_hap1 NM_022107 3468280 -> 3483038 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1715: bam file key 1 chr6_apd_hap1 NM_030652 3442144 -> 3455803 . 0
2024-07-16 17:06:29 WARNING	Excluding invalid region on line 1716: bam file key 1 chr6_apd_hap1 NM_005155 3431359 -> 3451192 . 0
