REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS11_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
4_MACS_peak_14324_lociStitched	chr2	37535738	37593688	4	54438	178138.3	1	1	QPCT,PRKD3		QPCT	QPCT	2.7186	1	1
4_MACS_peak_19194_lociStitched	chr3	141079286	141132445	4	49125	175637.336	2	1	ZBTB38		ZBTB38	ZBTB38	1.3712	2	1
2_MACS_peak_1786_lociStitched	chr1	156448454	156479816	2	30992	225345.3786	3	1	MEF2D	C1orf61	MEF2D	MEF2D	4.703	3	1
4_MACS_peak_22697_lociStitched	chr6	289817	340337	4	43704	166296.684	4	1	DUSP22		DUSP22	DUSP22	2.4587	4	1
2_MACS_peak_8249_lociStitched	chr14	106023223	106057942	2	34658	197134.482	5	1		TMEM121	TMEM121	TMEM121	0.2884	5	1
6_MACS_peak_1715_lociStitched	chr1	154907544	154958197	6	36669	169515.3298	6	1	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	ZBTB7B	3.159	6	1
6_MACS_peak_11085_lociStitched	chr17	37909357	37958427	6	39926	134113.217	7	1	IKZF3	GRB7,C17orf37	GRB7	GRB7	0.4042	7	1
1_MACS_peak_20241_lociStitched	chr4	71523399	71556279	1	32881	152651.976	8	1	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	3.9267	8	1
4_MACS_peak_1574_lociStitched	chr1	149800608	149835678	4	31528	142426.284	9	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2AA4	4.5521	9	1
4_MACS_peak_8251_lociStitched	chr14	106144088	106176079	4	30532	144141.8487	10	1			TMEM121	TMEM121	0.2884	10	1
9_MACS_peak_17765_lociStitched	chr22	39822916	39871639	9	39437	88822.029	11	1	TAB1,MGAT3	MGAT3,SMCR7L,ATF4	MGAT3	ATF4	1.2401	11	1
16_MACS_peak_29038_lociStitched	chrX	58213076	58278968	16	43158	42829.8	12	1			ZXDA	ZXDA	NONE	12	1
3_MACS_peak_16372_lociStitched	chr20	30277214	30312075	3	33654	116536.8369	13	1	BCL2L1	TPX2	BCL2L1	BCL2L1	1.861	13	1
3_MACS_peak_21585_lociStitched	chr5	55435960	55473481	3	34980	101438.0235	14	1	ANKRD55		ANKRD55	ANKRD55	0.8552	14	1
1_MACS_peak_26930_lociStitched	chr8	120914901	120950931	1	36031	94730.076	15	1	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.7571	15	1
9_MACS_peak_17417_lociStitched	chr22	23189886	23247650	9	39813	61969.2192	16	1	IGLL5	MIR650	IGLL5	MIR650	2.144	16	1
2_MACS_peak_14906_lociStitched	chr2	89130691	89160504	2	29623	124961.1895	17	1			ANKRD36BP2	ANKRD36BP2	0.1766	17	1
7_MACS_peak_22568_lociStitched	chr5	173310334	173356891	7	38885	52949.2761	18	1	CPEB4		CPEB4	CPEB4	0.7014	18	1
8_MACS_peak_2314_lociStitched	chr1	203236440	203281478	8	31357	103862.1318	19	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	2.5497	19	1
6_MACS_peak_12155_lociStitched	chr18	20800136	20848386	6	33534	78859.8	20	1	CABLES1		CABLES1	CABLES1	0.8919	20	1
8_MACS_peak_14974_lociStitched	chr2	99054912	99107532	8	35848	52109.586	21	1	INPP4A		INPP4A	INPP4A	0.4175	21	1
5_MACS_peak_24677_lociStitched	chr7	29677592	29726602	5	31556	73828.664	22	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	LOC646762	1.4006	22	1
7_MACS_peak_5819_lociStitched	chr12	48191002	48227734	7	28306	87940.0812	23	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.8107	23	1
4_MACS_peak_26836_lociStitched	chr8	103793372	103828747	4	27401	89431.5375	24	1		AZIN1	AZIN1	AZIN1	0.3508	24	1
1_MACS_peak_16784_lociStitched	chr20	52192074	52216221	1	24148	103856.247	25	1	ZNF217		ZNF217	ZNF217	1.9607	25	1
3_MACS_peak_10974_lociStitched	chr17	32688735	32721710	3	29726	73916.76	26	1	CCL1	CCL8,CCL13	CCL1	CCL1	0.7719	26	1
3_MACS_peak_25402_lociStitched	chr7	102062115	102093268	3	26709	91057.1037	27	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.8026	27	1
3_MACS_peak_22809_lociStitched	chr6	7893934	7921051	3	26013	92848.608	28	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.125	28	1
5_MACS_peak_8084_lociStitched	chr14	95944624	95987294	5	29810	70516.442	29	1		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.8182	29	1
1_MACS_peak_20469_lociStitched	chr4	90210361	90230191	1	19831	110982.561	30	1	GPRIN3		GPRIN3	GPRIN3	1.6569	30	1
1_MACS_peak_23817_lociStitched	chr6	106531150	106556885	1	25736	85877.695	31	1	PRDM1		PRDM1	PRDM1	2.597	31	1
5_MACS_peak_1955_lociStitched	chr1	167502308	167535359	5	25092	84151.1511	32	1	CREG1	CD247	CREG1	CREG1	3.0491	32	1
4_MACS_peak_23855_lociStitched	chr6	108897191	108933104	4	28970	56864.6442	33	1	FOXO3		FOXO3	FOXO3	1.0458	33	1
6_MACS_peak_18386_lociStitched	chr3	46318109	46348395	6	29293	47894.2804	34	1		CCR3,CCR2	CCR3	CCR2	0.6776	34	1
5_MACS_peak_23494_lociStitched	chr6	52392254	52424802	5	27288	59920.868	35	1	TRAM2		TRAM2	TRAM2	1.0791	35	1
3_MACS_peak_14138_lociStitched	chr2	20397914	20426441	3	23126	82796.7648	36	1	SDC1		SDC1	SDC1	2.4284	36	1
2_MACS_peak_1598_lociStitched	chr1	150532329	150553271	2	18126	101451.4248	37	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.7301	37	1
7_MACS_peak_9205_lociStitched	chr15	93346261	93389674	7	24667	73068.4203	38	1		ASB9P1,LOC100507217	ASB9P1	LOC100507217	1.7284	38	1
2_MACS_peak_25178_lociStitched	chr7	81418075	81443129	2	22655	81235.0896	39	1		HGF	HGF	HGF	0.1003	39	1
5_MACS_peak_26990_lociStitched	chr8	126283123	126322755	5	26954	53380.3408	40	1	NSMCE2		TRIB1	TRIB1	1.8191	40	1
3_MACS_peak_5968_lociStitched	chr12	53845159	53875376	3	26912	53453.873	41	1	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	1.4019	41	1
4_MACS_peak_11544_lociStitched	chr17	57902417	57931578	4	25798	58686.5125	42	1	TMEM49,MIR21	RPS6KB1,TUBD1	MIR21	MIR21	2.0866	42	1
5_MACS_peak_11509_lociStitched	chr17	56401711	56431001	5	20648	84686.177	43	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	3.8214	43	1
2_MACS_peak_2387_lociStitched	chr1	206727293	206750506	2	20095	85948.4538	44	1	RASSF5	LGTN	RASSF5	RASSF5	1.0661	44	1
6_MACS_peak_1724_lociStitched	chr1	155021944	155059552	6	23704	67393.536	45	1	DCST1,ADAM15,EFNA4,EFNA3	ZBTB7B,EFNA1,SLC50A1,DCST2	EFNA4	ZBTB7B	3.159	45	1
3_MACS_peak_16442_lociStitched	chr20	32398874	32435697	3	26171	46422.7561	46	1	CHMP4B		CHMP4B	CHMP4B	1.0813	46	1
4_MACS_peak_11868_lociStitched	chr17	76711393	76746415	4	25009	55250.7072	47	1	CYTH1		CYTH1	CYTH1	0.7477	47	1
5_MACS_peak_28152_lociStitched	chr9	123630126	123667712	5	23789	63381.2718	48	1	PHF19,TRAF1	LOC253039,PSMD5	PHF19	PHF19	1.0932	48	1
3_MACS_peak_25880_lociStitched	chr7	150062712	150086725	3	22255	70312.4653	49	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	3.0212	49	1
7_MACS_peak_11600_lociStitched	chr17	62150505	62186378	7	25703	41200.1405	50	1	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.7842	50	1
5_MACS_peak_17217_lociStitched	chr21	44829754	44860250	5	22581	64587.4784	51	1	SIK1	C21orf125,C21orf84	SIK1	SIK1	2.7674	51	1
