GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
TMEM121	NM_025268	chr14:106024770-106049557	1	1	0.3661
MUTED-TXNDC5	NR_037616	chr6:7897711-7919947	2	1	0.9354
TXNDC5	NM_001145549	chr6:7897711-7919947	2	1	2.6906
IGLL5	NM_001178126	chr22:23234439-23248947,chr22:23228796-23233784,chr22:23268220-23286986	3,4,235	1	3.2291
CREB3L2	NM_194071	chr7:137664973-137679525,chr7:137708027-137713050	5,231	1	0.5615
CDKN1B	NM_004064	chr12:12866228-12880017	6	1	4.1833
APOLD1	NM_001130415	chr12:12866228-12880017	6	1	0.5794
MIR613	NR_030344	chr12:12866228-12880017	6	1	0.0841
GPR19	NM_006143	chr12:12866228-12880017	6	1	0.3466
DERL3	NM_001002862	chr22:24178735-24192774	7	1	1.8718
SMARCB1	NM_001007468	chr22:24178735-24192774	7	1	0.4949
SLC2A11	NM_001024938	chr22:24178735-24192774	7	1	0.2425
MIF	NM_002415	chr22:24178735-24192774	7	1	0.9292
VOPP1	NM_030796	chr7:55581904-55595387,chr7:55599794-55606278	8,67	1	1.1102
UBASH3B	NM_032873	chr11:122613581-122626305,chr11:122584445-122588338,chr11:122566673-122569863	9,432,531	1	0.6494
FMNL1	NM_005892	chr17:43298355-43308947	11	1	1.7118
LOC100133991	NR_024434	chr17:43298355-43308947	11	1	0.3267
C17orf46	NM_152343	chr17:43298355-43308947,chr17:43388450-43391425	11,696	1	0.2488
CCDC88C	NM_001080414	chr14:91832888-91843919	12	1	0.8435
LRRC16A	NM_001173977	chr6:25403393-25413703	13	1	0.3761
EPS15L1	NM_021235	chr19:16473815-16484642,chr19:16491555-16494991	14,438	1	0.7353
KLF2	NM_016270	chr19:16434962-16440239,chr19:16473815-16484642	14,145	1	1.9901
C6orf105	NM_032744	chr6:11726365-11736322,chr6:11804506-11807557	15,564	1	0.7985
ZFP36	NM_003407	chr19:39891837-39902326	16	1	3.2827
MED29	NM_017592	chr19:39891837-39902326	16	1	1.7721
