GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
LOC541471	NR_015395	chr2:112181721-112258276,chr2:112283041-112294424	1,547	1	0.9482
FAM46C	NM_017709	chr1:118147721-118221123	2	1	1.4124
NCRNA00152	NR_024204	chr2:87749789-87825917	3	1	1.6372
RORA	NM_002943	chr15:60824868-60885799,chr15:60798932-60816293,chr15:60938722-60954261,chr15:60924623-60933127	4,350,989,1082	1	1.2407
NUP210	NM_024923	chr3:13319790-13394673,chr3:13449806-13470805	5,192	1	0.9627
BCL2L1	NM_001191	chr20:30248839-30312399	6	1	1.6328
COX4I2	NM_032609	chr20:30248839-30312399	6	1	0.1193
TPX2	NM_012112	chr20:30248839-30312399	6	1	0.1384
DUSP22	NM_020185	chr6:290234-357600	7	1	2.3986
IRF4	NM_001195286	chr6:388069-411357,chr6:290234-357600	7,107	1	1.473
KCNK1	NM_002245	chr1:233742287-233814160	8	1	1.4155
ST6GAL1	NM_173216	chr3:186693094-186751221,chr3:186775351-186797648,chr3:186756192-186766498	9,119,673	1	1.1098
CCDC88C	NM_001080414	chr14:91811546-91867185,chr14:91781672-91803269,chr14:91872085-91885880	10,145,318	1	0.9814
INPP4A	NM_004027	chr2:99054926-99109886	11	1	0.6133
CPEB4	NM_030627	chr5:173309979-173358125	12	1	0.9058
TMEM121	NM_025268	chr14:106022094-106068845	13	1	0.203
QPCT	NM_012413	chr2:37562601-37607344,chr2:37524661-37553989,chr2:37614634-37625368	14,42,771	1	3.1079
PRKD3	NM_005813	chr2:37524661-37553989,chr2:37562601-37607344	14,42	1	0.667
TMEM184B	NM_001195071	chr22:38634350-38687893,chr22:38609645-38629648	15,261	1	1.6998
CSNK1E	NM_152221	chr22:38634350-38687893	15	1	0.6774
MAFF	NM_001161574	chr22:38609645-38629648,chr22:38634350-38687893,chr22:38568488-38578492	15,261,995	1	0.6494
BMP6	NM_001718	chr6:7878411-7919799	16	1	0.159
MUTED-TXNDC5	NR_037616	chr6:7878411-7919799	16	1	0.6985
