GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
ZBTB38	NM_001080412	chr3:141079122-141160545	1	1	3.5465
RASA2	NM_006506	chr3:141079122-141160545	1	1	0.044300000000000006
FOXO3	NM_201559	chr6:108878301-108961425,chr6:108986317-108998732	2,250	1	1.4862000000000002
SNN	NM_003498	chr16:11761587-11843254	3	1	1.8970999999999998
TXNDC11	NM_015914	chr16:11761587-11843254	3	1	2.9042
ZC3H7A	NM_014153	chr16:11761587-11843254	3	1	0.2721
QPCT	NM_012413	chr2:37525717-37593660	4	1	3.8457000000000003
PRKD3	NM_005813	chr2:37525717-37593660	4	1	1.2218
NDUFV2	NM_021074	chr18:9095057-9158864,chr18:9054808-9074466	5,69	1	3.6739
ANKRD12	NM_001083625	chr18:9095057-9158864	5	1	0.4971
BCL2L1	NM_001191	chr20:30261737-30312264	6	1	2.904
COX4I2	NM_032609	chr20:30261737-30312264	6	1	0.0
TPX2	NM_012112	chr20:30261737-30312264	6	1	0.0803
BMP6	NM_001718	chr6:7878487-7919616	7	1	0.029199999999999976
MUTED-TXNDC5	NR_037616	chr6:7878487-7919616	7	1	1.3239
TXNDC5	NM_001145549	chr6:7878487-7919616	7	1	5.1643
CCDC88C	NM_001080414	chr14:91829237-91886027	8	1	1.3260999999999998
INPP4A	NM_004027	chr2:99054837-99107982	9	1	1.2138
FAM46C	NM_017709	chr1:118141979-118188247,chr1:118194854-118219216	10,59	1	4.233
DUSP22	NM_020185	chr6:290131-337800	11	1	2.7529
GPRIN3	NM_198281	chr4:90204452-90230139	12	1	2.6902
NEAT1	NR_028272	chr11:65183322-65212294	13	1	12.7767
MIR612	NR_030343	chr11:65183322-65212294	13	1	0.39669999999999994
FRMD8	NM_031904	chr11:65183322-65212294	13	1	1.4375
SLC25A45	NM_001077241	chr11:65183322-65212294	13	1	1.2597999999999998
TMEM121	NM_025268	chr14:106024643-106052811	14	1	0.11270000000000001
SMAD7	NM_005904	chr18:46440475-46482781	15	1	2.0509
PRDM1	NM_001198	chr6:106530435-106556568	16	1	5.164000000000001
PMVK	NM_006556	chr1:154907910-154936473,chr1:154942263-154958324	17,277	1	2.8064999999999998
PBXIP1	NM_020524	chr1:154907910-154936473,chr1:154942263-154958324,chr1:154971093-154979946	17,277,553	1	4.232
PYGO2	NM_138300	chr1:154907910-154936473,chr1:154942263-154958324,chr1:154971093-154979946	17,277,553	1	3.5518
SHC1	NM_001130041	chr1:154907910-154936473,chr1:154942263-154958324,chr1:154971093-154979946	17,277,553	1	2.6786
CKS1B	NR_024163	chr1:154942263-154958324,chr1:154907910-154936473,chr1:154971093-154979946	17,277,553	1	2.9494
MIR4258	NR_036212	chr1:154942263-154958324,chr1:154907910-154936473,chr1:154971093-154979946	17,277,553	1	3.4566000000000003
FLAD1	NM_201398	chr1:154942263-154958324,chr1:154907910-154936473,chr1:154971093-154979946	17,277,553	1	0.40680000000000005
LENEP	NM_018655	chr1:154907910-154936473,chr1:154942263-154958324,chr1:154971093-154979946	17,277,553	1	0.09970000000000001
ZBTB7B	NM_015872	chr1:154971093-154979946,chr1:154907910-154936473,chr1:154942263-154958324	17,277,553	1	1.4086
IGLL5	NM_001178126	chr22:23217801-23243915,chr22:23268797-23285990,chr22:23188680-23209796	18,26,107	1	9.2417
CELF2	NM_001025077	chr10:11202486-11223770,chr10:11278938-11304708	19,49	1	0.7885
WWOX	NM_016373	chr16:78768031-78804986	20	1	0.023700000000000006
CCL4L1	NM_001001435	chr17:34597841-34641215,chr17:34509822-34539727	21,53	1	1.1275
CCL3L1	NM_021006	chr17:34597841-34641215,chr17:34509822-34539727	21,53	1	3.0153
CCL3L3	NM_001001437	chr17:34597841-34641215,chr17:34509822-34539727	21,53	1	3.0154
TBC1D3C	NM_001001418	chr17:34597841-34641215	21	1	0.0
ERN1	NM_001433	chr17:62150060-62186844,chr17:62196752-62210267	22,218	1	1.1178
SNORD104	NR_004380	chr17:62150060-62186844,chr17:62196752-62210267	22,218	1	0.7892
SNORA76	NR_002995	chr17:62150060-62186844,chr17:62196752-62210267	22,218	1	0.7879
PRKRIP1	NM_024653	chr7:102063427-102093327	23	1	1.8899
ORAI2	NM_032831	chr7:102063427-102093327	23	1	2.75
LRWD1	NM_152892	chr7:102063427-102093327	23	1	0.31299999999999994
ALKBH4	NM_017621	chr7:102063427-102093327	23	1	0.5855
