GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
NM_024408	chr1(.):120449175-120617276	0.1482
NM_021642	chr1(.):161470204-161494360	0.1382
NM_002585	chr1(.):164523801-164826045	0.1584
NM_001122834	chr1(.):210496595-210854638	0.1468
NM_001170587	chr1(.):210497249-210854638	0.1467
NM_001170580	chr1(.):210497639-210854638	0.1467
NM_001198993	chr1(.):1677670-1715297	0.1132
NM_023018	chr1(.):1677670-1714909	0.1137
NM_033487	chr1(.):1566099-1660775	0.1164
NM_001198994	chr1(.):1677670-1716508	0.1134
NR_026567	chr1(.):17012712-17051652	0.2301
NM_001113348	chr1(.):21538739-21677034	0.1135
NM_004091	chr1(.):23827921-23862713	0.151
NM_001135218	chr1(.):28924608-28974604	0.1295
NM_002379	chr1(.):31179123-31201432	0.1421
NR_034182	chr1(.):31186618-31204593	0.1454
NM_002600	chr1(.):66253855-66845262	0.1151
NM_001037341	chr1(.):66253192-66845262	0.1151
NM_001037340	chr1(.):66453389-66845262	0.1228
NM_001100910	chr1(.):120834004-120860681	0.1395
NR_024510	chr1(.):144295511-144345773	0.0977
NR_024584	chr1(.):144295516-144346755	0.0969
NR_034178	chr1(.):143910747-144099477	0.1989
NM_203458	chr1(.):145204110-145290912	0.3947
NM_004892	chr1(.):145091406-145121922	0.3758
NM_153713	chr1(.):145472084-145504091	0.1895
NM_207168	chr1(.):150594521-150607098	0.2378
NM_020524	chr1(.):154911558-154933567	0.3052
NM_181359	chr1(.):154372668-154445188	0.213
NM_002249	chr1(.):154674914-154847754	0.2101
NM_170782	chr1(.):154674914-154837338	0.2094
NM_052862	chr1(.):167594473-167680486	0.1864
NM_004736	chr1(.):180596145-180864415	0.1578
NM_015149	chr1(.):183600207-183902666	0.1933
NM_025191	chr1(.):184654624-184729041	0.2054
NM_144977	chr1(.):197516384-197749623	0.1777
NM_001195215	chr1(.):197468878-197749623	0.1776
NM_182663	chr1(.):206675878-206767616	0.2172
NM_002221	chr1(.):226814390-226931876	0.2011
NM_004481	chr1(.):230197955-230422875	0.1754
NM_032328	chr1(.):245128170-245256148	0.1494
NR_026588	chr1(.):245128630-245256148	0.1494
NR_026587	chr1(.):245128630-245293530	0.1418
NR_026586	chr1(.):245128283-245293530	0.1419
NM_003431	chr1(.):247314202-247340318	0.1509
NM_182838	chr1(.):1658680-1682431	0.13
NM_001110781	chr1(.):1587938-1629243	0.1391
NM_024011	chr1(.):1629169-1660791	0.0988
NM_001198995	chr1(.):1677670-1695081	0.0829
NR_026752	chr1(.):16939750-16962401	0.4647
NR_027504	chr1(.):16967068-16981915	0.4694
NR_002729	chr1(.):17076400-17095975	0.2442
NM_014675	chr1(.):17243444-17304474	0.1368
NM_001397	chr1(.):21538739-21621982	0.1131
NM_001113347	chr1(.):21538739-21611183	0.1024
NM_001113349	chr1(.):21538739-21621766	0.1123
NM_017707	chr1(.):23750055-23815750	0.0953
NM_002167	chr1(.):23879408-23891322	0.1688
NR_027042	chr1(.):23948823-23972056	0.1497
NM_006015	chr1(.):27017521-27113601	0.1573
NM_014280	chr1(.):28521789-28564542	0.1312
NM_016311	chr1(.):28557610-28569611	0.1687
NM_031459	chr1(.):28581005-28614002	0.1192
NR_024127	chr1(.):28900049-28913366	0.1829
NM_152304	chr1(.):28913711-28926088	0.1398
NM_001193532	chr1(.):28914006-28926088	0.1397
NR_003035	chr1(.):28902431-28912565	0.2018
NR_002987	chr1(.):28901275-28911405	0.2006
NR_003109	chr1(.):28874528-28910057	0.1501
NR_002976	chr1(.):28901892-28912024	0.1996
NR_003077	chr1(.):28900254-28910334	0.2066
NM_024482	chr1(.):28990243-29046387	0.1089
NR_004407	chr1(.):28970111-28980246	0.1686
NM_006762	chr1(.):31200314-31235683	0.191
NM_005202	chr1(.):36555843-36570850	0.1052
NM_018067	chr1(.):36616802-36651441	0.1272
NM_014408	chr1(.):36597172-36620067	0.1425
NM_001198979	chr1(.):40854016-40893998	0.1278
NM_001198978	chr1(.):40835304-40893998	0.1498
NM_001198980	chr1(.):40857471-40893998	0.1182
NM_022733	chr1(.):40834377-40893998	0.1493
NM_001037339	chr1(.):66792792-66845262	0.1613
NM_017709	chr1(.):118143603-118176011	0.1407
