REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	LP-1.jin.bam
4_MACS_peak_25239_lociStitched	chr6	290375	333243	4	42651	114410.4052
3_MACS_peak_9178_lociStitched	chr14	106144120	106177451	3	32681	143476.6226
4_MACS_peak_21566_lociStitched	chr3	141085104	141113755	4	28082	75684.4816
3_MACS_peak_9170_lociStitched	chr14	106023696	106051179	3	27451	118418.75039999999
12_MACS_peak_22664_lociStitched	chr4	71524275	71549850	12	24479	42922.5225
15_MACS_peak_8817_lociStitched	chr14	81935404	81957192	15	21111	28890.888000000003
11_MACS_peak_3202_lociStitched	chr10	22595345	22616812	11	19734	29965.7853
11_MACS_peak_23953_lociStitched	chr5	55435541	55455172	11	19110	36843.4608
10_MACS_peak_2980_lociStitched	chr10	5929828	5949359	10	18294	30112.895800000002
4_MACS_peak_19625_lociStitched	chr22	23229732	23249091	4	18877	34491.9303
3_MACS_peak_30147_lociStitched	chr8	126291663	126310799	3	18475	33683.1872
4_MACS_peak_1777_lociStitched	chr1	156457119	156476082	4	18441	38845.705500000004
6_MACS_peak_21850_lociStitched	chr3	171809785	171828638	6	18560	33096.4415
5_MACS_peak_1374_lociStitched	chr1	118192318	118211155	5	18186	40676.61780000001
7_MACS_peak_27914_lociStitched	chr7	81500585	81519420	7	17869	28698.8895
10_MACS_peak_10021_lociStitched	chr15	75063111	75081795	10	17358	25925.9184
3_MACS_peak_1371_lociStitched	chr1	118171467	118190110	3	18066	36773.3175
13_MACS_peak_23740_lociStitched	chr5	26869383	26887160	13	16871	25787.316199999997
10_MACS_peak_27903_lociStitched	chr7	81418251	81436004	10	16874	26038.3251
4_MACS_peak_18943_lociStitched	chr20	52195984	52213673	4	17325	34332.5801
8_MACS_peak_19633_lociStitched	chr22	23264592	23282195	8	16850	44491.5825
10_MACS_peak_8175_lociStitched	chr14	23022874	23040202	10	15908	21854.073600000003
5_MACS_peak_25364_lociStitched	chr6	7902245	7919504	5	16827	32776.5669
18_MACS_peak_26761_lociStitched	chr6	135332304	135349264	18	14165	15796.544
10_MACS_peak_4604_lociStitched	chr11	16973425	16990153	10	14825	22617.9288
6_MACS_peak_2213_lociStitched	chr1	184708912	184725619	6	16491	43025.5371
12_MACS_peak_890_lociStitched	chr1	51432126	51448806	12	15520	27603.732
10_MACS_peak_13907_lociStitched	chr18	46439364	46455926	10	15682	22146.7064
4_MACS_peak_12939_lociStitched	chr17	56407604	56424096	4	15776	45057.7932
11_MACS_peak_31318_lociStitched	chr9	112908621	112924805	11	14482	17223.0128
8_MACS_peak_10710_lociStitched	chr16	11821566	11837579	8	15018	24701.6538
12_MACS_peak_6099_lociStitched	chr12	9872103	9887820	12	14164	16095.779700000001
7_MACS_peak_13582_lociStitched	chr18	9059203	9074694	7	14689	28941.835300000002
6_MACS_peak_19898_lociStitched	chr22	37605983	37621377	6	14727	22849.3142
9_MACS_peak_19942_lociStitched	chr22	38783457	38798487	9	13704	20541.501
3_MACS_peak_12135_lociStitched	chr17	18217377	18232394	3	14911	25037.8441
