#RPMI8226_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/RPMI8226_H3K27ac_ROSE/RPMI8226_H3K27ac_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by RPMI8226_jia.bam
#Using cutoff of 19240.8204 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226_jia.bam	enhancerRank	isSuper
4_MACS_peak_14735_lociStitched	chr22	23261486	23302894	4	37259	285959.5072	1	1
4_MACS_peak_1408_lociStitched	chr1	149800426	149836503	4	29424	132947.3527	2	1
2_MACS_peak_18827_lociStitched	chr6	288919	309558	2	19184	107853.2223	3	1
1_MACS_peak_2349_lociStitched	chr1	234733395	234751394	1	18000	95385.7005	4	1
1_MACS_peak_23469_lociStitched	chr9	140060422	140070654	1	10233	94217.2792	5	1
1_MACS_peak_4003_lociStitched	chr11	65183463	65198852	1	15390	89941.0105	6	1
3_MACS_peak_4010_lociStitched	chr11	65253775	65278842	3	25025	83916.7959	7	1
6_MACS_peak_11914_lociStitched	chr19	54871003	54903503	6	30337	82702.75	8	1
1_MACS_peak_1539_lociStitched	chr1	154969609	154980183	1	10575	80728.2604	9	1
4_MACS_peak_1614_lociStitched	chr1	156450697	156479761	4	23946	78917.4792	10	1
3_MACS_peak_9727_lociStitched	chr17	56405229	56430707	3	20935	78191.982	11	1
4_MACS_peak_17890_lociStitched	chr5	55436898	55473599	4	33262	75435.2354	12	1
4_MACS_peak_14580_lociStitched	chr21	45552512	45581301	4	22630	74957.9193	13	1
3_MACS_peak_1694_lociStitched	chr1	161409424	161442633	3	33094	74677.0783	14	1
2_MACS_peak_13045_lociStitched	chr2	134874950	134902031	2	27029	73283.8941	15	1
1_MACS_peak_18917_lociStitched	chr6	7897638	7921802	1	24165	72216.5304	16	1
4_MACS_peak_9105_lociStitched	chr17	17721198	17744613	4	20911	71694.3885	17	1
6_MACS_peak_3948_lociStitched	chr11	63992621	64020360	6	19479	71569.3939	18	1
2_MACS_peak_1584_lociStitched	chr1	155938911	155952332	2	12941	69461.7276	19	1
7_MACS_peak_10009_lociStitched	chr17	76117418	76152295	7	23893	67898.5436	20	1
3_MACS_peak_2049_lociStitched	chr1	206727710	206750834	3	20055	67494.3312	21	1
9_MACS_peak_10668_lociStitched	chr19	1237471	1277560	9	21347	67273.3509	22	1
2_MACS_peak_11493_lociStitched	chr19	39887772	39903914	2	14741	66735.8706	23	1
4_MACS_peak_15266_lociStitched	chr22	50962551	50983750	4	19591	66492.7834	24	1
13_MACS_peak_19101_lociStitched	chr6	26155260	26208219	13	33050	65955.1386	25	1
2_MACS_peak_21459_lociStitched	chr7	150062799	150084022	2	17138	63473.7484	26	1
1_MACS_peak_18829_lociStitched	chr6	314834	334446	1	19613	61724.8476	27	1
6_MACS_peak_22185_lociStitched	chr8	115522456	115567364	6	42940	61339.8372	28	1
3_MACS_peak_6668_lociStitched	chr14	77486852	77512274	3	24679	60392.5032	29	1
10_MACS_peak_20524_lociStitched	chr7	30323435	30371307	10	42320	60017.1264	30	1
2_MACS_peak_16439_lociStitched	chr3	176908510	176921446	2	12607	59848.404	31	1
1_MACS_peak_489_lociStitched	chr1	27018385	27031330	1	12946	59100.3975	32	1
2_MACS_peak_12355_lociStitched	chr2	43439724	43456791	2	13343	57843.4764	33	1
6_MACS_peak_23858_lociStitched	chrX	48768094	48806065	6	33316	57545.0505	34	1
2_MACS_peak_6179_lociStitched	chr13	114556684	114568593	2	11287	57196.5452	35	1
7_MACS_peak_6939_lociStitched	chr14	106023698	106057526	7	23940	56617.9236	36	1
6_MACS_peak_21144_lociStitched	chr7	102062618	102092598	6	20333	56221.494	37	1
3_MACS_peak_23218_lociStitched	chr9	130531826	130549740	3	11909	56006.3296	38	1
2_MACS_peak_23169_lociStitched	chr9	127621761	127637205	2	13150	55388.3616	39	1
5_MACS_peak_3969_lociStitched	chr11	64611372	64638276	5	21156	54835.7328	40	1
1_MACS_peak_9540_lociStitched	chr17	43298158	43308629	1	10472	54583.2288	41	1
4_MACS_peak_3892_lociStitched	chr11	62305396	62327475	4	18601	54226.024	42	1
2_MACS_peak_21430_lociStitched	chr7	148394440	148425226	2	30614	54198.753	43	1
1_MACS_peak_1431_lociStitched	chr1	150532083	150541898	1	9816	53927.536	44	1
1_MACS_peak_17806_lociStitched	chr5	39072621	39079258	1	6638	53636.2518	45	1
4_MACS_peak_16444_lociStitched	chr3	177062501	177081036	4	13337	53480.889	46	1
7_MACS_peak_8517_lociStitched	chr16	67191398	67218500	7	17182	53298.7932	47	1
2_MACS_peak_23738_lociStitched	chrX	39953157	39969639	2	14524	53174.2284	48	1
3_MACS_peak_5640_lociStitched	chr12	122231613	122250603	3	11353	53027.676	49	1
2_MACS_peak_1624_lociStitched	chr1	156709660	156723304	2	11040	53005.5756	50	1
3_MACS_peak_12799_lociStitched	chr2	97186287	97205989	3	17611	52273.3464	51	1
4_MACS_peak_12146_lociStitched	chr2	20405087	20426347	4	18201	52189.048	52	1
4_MACS_peak_8271_lociStitched	chr16	29815432	29837266	4	14906	52043.5224	53	1
3_MACS_peak_18314_lociStitched	chr5	131744803	131767292	3	21352	51760.6824	54	1
7_MACS_peak_6947_lociStitched	chr14	106144136	106173168	7	21779	51372.124	55	1
2_MACS_peak_17829_lociStitched	chr5	43007218	43021862	2	10543	50865.934	56	1
3_MACS_peak_1509_lociStitched	chr1	154370186	154394401	3	15919	50534.2835	57	1
3_MACS_peak_23381_lociStitched	chr9	137281762	137300696	3	14914	50301.9578	58	1
7_MACS_peak_7063_lociStitched	chr15	31615688	31647230	7	19710	50101.3128	59	1
3_MACS_peak_17937_lociStitched	chr5	60612816	60632694	3	17158	49965.3408	60	1
1_MACS_peak_9597_lociStitched	chr17	46123831	46136641	1	12811	49869.33	61	1
4_MACS_peak_11966_lociStitched	chr19	56145740	56170499	4	14762	48955.9707	62	1
