REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM24.jin.bam
18_MACS_peak_25349_lociStitched	chr6	108861974	109025351	18	139121	156825.5823
8_MACS_peak_26186_lociStitched	chr7	7998671	8132723	8	128091	224188.56480000002
13_MACS_peak_27584_lociStitched	chr7	137604293	137717908	13	89620	137474.15
6_MACS_peak_8808_lociStitched	chr14	91781098	91886415	6	95551	165705.7678
5_MACS_peak_20235_lociStitched	chr3	141078470	141174818	5	93693	281634.83879999997
2_MACS_peak_23457_lociStitched	chr5	131742460	131837964	2	93023	228760.7312
12_MACS_peak_10154_lociStitched	chr15	94764472	94858082	12	60217	80663.73700000001
10_MACS_peak_27985_lociStitched	chr8	27206797	27300161	10	79051	85147.96800000001
7_MACS_peak_1497_lociStitched	chr1	118147059	118238040	7	74975	78134.4828
7_MACS_peak_1976_lociStitched	chr1	160574951	160662894	7	80831	105417.27410000001
13_MACS_peak_23123_lociStitched	chr5	95213362	95300974	13	66759	95593.4532
9_MACS_peak_15404_lociStitched	chr2	87741503	87826366	9	61479	78820.75439999999
7_MACS_peak_12142_lociStitched	chr17	62132551	62210428	7	67491	92455.5744
10_MACS_peak_10446_lociStitched	chr16	11761216	11838332	10	56715	76907.7868
11_MACS_peak_15509_lociStitched	chr2	99060430	99136282	11	60423	53187.4224
9_MACS_peak_21940_lociStitched	chr4	144256103	144331270	9	59632	86411.9832
7_MACS_peak_27272_lociStitched	chr7	114555155	114629532	7	57529	120364.2991
8_MACS_peak_20361_lociStitched	chr3	151984798	152058804	8	58501	119556.693
12_MACS_peak_2473_lociStitched	chr1	203235960	203309836	12	61868	111767.00039999999
7_MACS_peak_2577_lociStitched	chr1	206844832	206917097	7	61611	72857.573
6_MACS_peak_23589_lociStitched	chr5	139011059	139081870	6	58906	133294.6264
9_MACS_peak_11341_lociStitched	chr17	16825804	16895852	9	58953	64486.188799999996
8_MACS_peak_13197_lociStitched	chr19	2031006	2100152	8	51527	173763.898
13_MACS_peak_22123_lociStitched	chr4	160046167	160114977	13	45775	36565.634
10_MACS_peak_29000_lociStitched	chr8	142093698	142161173	10	46390	85699.9975
8_MACS_peak_20778_lociStitched	chr3	186702518	186769340	8	56670	90577.22099999999
6_MACS_peak_25232_lociStitched	chr6	90020116	90086502	6	60073	108162.7098
5_MACS_peak_23969_lociStitched	chr5	173309194	173374641	5	60947	103098.65909999999
13_MACS_peak_11044_lociStitched	chr16	81811968	81877037	13	52614	55074.401600000005
10_MACS_peak_18913_lociStitched	chr3	30645500	30710488	10	44835	59249.5596
9_MACS_peak_25661_lociStitched	chr6	137050821	137115742	9	48446	54806.3082
6_MACS_peak_5872_lociStitched	chr12	7022277	7085945	6	46758	103288.59640000001
5_MACS_peak_23346_lociStitched	chr5	118643477	118706772	5	48943	61161.9585
6_MACS_peak_24107_lociStitched	chr6	285564	348074	6	56469	100422.315
6_MACS_peak_30347_lociStitched	chr9	134493769	134555882	6	55572	118859.4368
12_MACS_peak_12920_lociStitched	chr18	52897714	52959721	12	39927	38295.5232
8_MACS_peak_18400_lociStitched	chr22	39813403	39875181	8	47757	78297.4372
10_MACS_peak_13020_lociStitched	chr18	60842039	60903159	10	39591	46402.304
3_MACS_peak_20712_lociStitched	chr3	183218497	183279463	3	58605	124474.2822
8_MACS_peak_19968_lociStitched	chr3	121503396	121564041	8	44401	64865.89200000001
