REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	U266.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
6_MACS_peak_1568_lociStitched	chr1	118147873	118190056	6	41011	131771.2554	1	1	FAM46C		FAM46C	FAM46C	2.7045	1	1
4_MACS_peak_29448_lociStitched	chr7	132184026	132224590	4	40192	173536.8484	2	1	PLXNA4		PLXNA4	PLXNA4	0.8094	2	1
3_MACS_peak_16715_lociStitched	chr2	37567299	37607793	3	40107	231864.5946	3	1	QPCT	PRKD3	QPCT	QPCT	5.8314	3	1
4_MACS_peak_17615_lociStitched	chr2	112180811	112215209	4	34021	145988.5518	4	1	LOC541471		LOC541471	LOC541471	2.1904	4	1
3_MACS_peak_9449_lociStitched	chr14	106025035	106058286	3	33183	142350.8561	5	1		TMEM121	TMEM121	TMEM121	0.1436	5	1
2_MACS_peak_17324_lociStitched	chr2	87793330	87826565	2	32889	137240.609	6	1	NCRNA00152		NCRNA00152	NCRNA00152	3.7422	6	1
7_MACS_peak_9178_lociStitched	chr14	91826629	91858856	7	31226	122762.3111	7	1	CCDC88C		CCDC88C	CCDC88C	1.4847	7	1
6_MACS_peak_12692_lociStitched	chr17	32688737	32719584	6	29985	106514.691	8	1	CCL1	CCL8,CCL13	CCL1	CCL1	1.0029	8	1
5_MACS_peak_30895_lociStitched	chr8	126292172	126322741	5	29961	87433.4538	9	1	NSMCE2		TRIB1	TRIB1	1.8636	9	1
3_MACS_peak_1574_lociStitched	chr1	118190947	118220181	3	29084	170685.6324	10	1		FAM46C	FAM46C	FAM46C	2.7045	10	1
3_MACS_peak_9984_lociStitched	chr15	60825007	60853071	3	27765	111402.8544	11	1	RORA		RORA	RORA	1.8475	11	1
2_MACS_peak_22303_lociStitched	chr3	141085045	141112727	2	27379	103525.1436	12	1	ZBTB38		ZBTB38	ZBTB38	1.2778	12	1
2_MACS_peak_26187_lociStitched	chr6	7892227	7919342	2	27020	107337.439	13	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.5344	13	1
3_MACS_peak_19139_lociStitched	chr20	30284861	30312201	3	26979	87129.846	14	1	BCL2L1	TPX2	BCL2L1	BCL2L1	1.6768	14	1
3_MACS_peak_9989_lociStitched	chr15	60858836	60885598	3	26618	144461.276	15	1	RORA		RORA	RORA	1.8475	15	1
6_MACS_peak_3041_lociStitched	chr1	233787018	233814119	6	26325	121645.5486	16	1	KCNK1		KCNK1	KCNK1	3.3278	16	1
1_MACS_peak_17322_lociStitched	chr2	87764977	87790640	1	25664	117634.0594	17	1	NCRNA00152		NCRNA00152	NCRNA00152	3.7422	17	1
2_MACS_peak_17619_lociStitched	chr2	112216719	112242135	2	25392	110707.0128	18	1	LOC541471		LOC541471	LOC541471	2.1904	18	1
2_MACS_peak_5393_lociStitched	chr11	65253849	65278517	2	24661	122804.7044	19	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	5.2948	19	1
1_MACS_peak_1973_lociStitched	chr1	156455347	156479623	1	24277	139511.7444	20	1	MEF2D		MEF2D	MEF2D	2.8301	20	1
1_MACS_peak_16714_lociStitched	chr2	37529810	37553331	1	23522	83118.5098	21	1	PRKD3	QPCT	PRKD3	QPCT	5.8314	21	1
4_MACS_peak_8421_lociStitched	chr14	23016992	23040369	4	23226	106987.1782	22	1	DAD1	ABHD4	DAD1	DAD1	1.6154	22	1
2_MACS_peak_22782_lociStitched	chr3	192595911	192619134	2	23161	136964.6094	23	1	C3orf59		C3orf59	C3orf59	1.6132	23	1
3_MACS_peak_25907_lociStitched	chr5	173309634	173333006	3	22906	56027.3584	24	1	CPEB4		CPEB4	CPEB4	1.0912	24	1
1_MACS_peak_16461_lociStitched	chr2	20404077	20426320	1	22244	96281.0498	25	1	SDC1		SDC1	SDC1	2.9294	25	1
3_MACS_peak_20341_lociStitched	chr22	23265960	23287945	3	21722	126723.7385	26	1		IGLL5	IGLL5	IGLL5	2.164	26	1
4_MACS_peak_5909_lociStitched	chr11	115051338	115073229	4	21448	57277.8015	27	1	CADM1		CADM1	CADM1	0.3605	27	1
1_MACS_peak_1879_lociStitched	chr1	154373632	154395058	1	21427	119529.2262	28	1	IL6R		IL6R	IL6R	1.8035	28	1
1_MACS_peak_5384_lociStitched	chr11	65183643	65204430	1	20788	107156.985	29	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	6.5435	29	1
5_MACS_peak_1790_lociStitched	chr1	150532312	150553319	5	20522	78700.6248	30	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.9821	30	1
4_MACS_peak_19574_lociStitched	chr20	52190856	52211945	4	20459	52650.7974	31	1	ZNF217		ZNF217	ZNF217	1.169	31	1
7_MACS_peak_21130_lociStitched	chr3	13330066	13351294	7	20428	57788.9844	32	1			NUP210	NUP210	0.7112	32	1
3_MACS_peak_14017_lociStitched	chr18	20804997	20825367	3	20292	88513.761	33	1	CABLES1		CABLES1	CABLES1	1.2453	33	1
