#MM8 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM8.H3K27ac_ROSE/MM8_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM8.jin.bam
#Using cutoff of 9590.3895 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM8.jin.bam	enhancerRank	isStretch
11_MACS_peak_16008_lociStitched	chr5	88168404	88186677	11	16660	50400.5886	1	1
14_MACS_peak_16823_lociStitched	chr6	7895641	7914718	14	16558	55561.7625	2	1
4_MACS_peak_14277_lociStitched	chr3	141096794	141112023	4	14527	43836.6765	3	1
4_MACS_peak_11604_lociStitched	chr2	201980253	201992964	4	12547	39156.2355	4	1
2_MACS_peak_20637_lociStitched	chr9	134542825	134555305	2	12471	47924.448	5	1
2_MACS_peak_3232_lociStitched	chr11	65183818	65196205	2	12370	69108.3117	6	1
9_MACS_peak_6725_lociStitched	chr15	81583866	81597125	9	12181	26634.6792	7	1
5_MACS_peak_5823_lociStitched	chr14	91832691	91844493	5	11569	30544.7562	8	1
2_MACS_peak_3242_lociStitched	chr11	65263643	65274806	2	11164	61982.5575	9	1
7_MACS_peak_8670_lociStitched	chr17	74257854	74269218	7	10495	41087.6784	10	1
2_MACS_peak_13385_lociStitched	chr3	13049942	13060254	2	10270	30064.636	11	1
7_MACS_peak_12683_lociStitched	chr21	44838127	44848634	7	10230	88402.7459	12	1
2_MACS_peak_7133_lociStitched	chr16	11827506	11837668	2	9975	40860.3858	13	1
1_MACS_peak_19659_lociStitched	chr8	126441053	126450795	1	9743	79704.173	14	1
4_MACS_peak_4086_lociStitched	chr12	26269862	26280297	4	9412	34846.639	15	1
6_MACS_peak_6005_lociStitched	chr14	106036608	106046257	6	9291	21586.7428	16	1
1_MACS_peak_12858_lociStitched	chr22	23229584	23238663	1	9080	43684.5164	17	1
5_MACS_peak_18155_lociStitched	chr7	8006930	8016479	5	8769	33058.638	18	1
1_MACS_peak_14281_lociStitched	chr3	141117971	141126472	1	8502	35746.705	19	1
2_MACS_peak_17579_lociStitched	chr6	106532428	106540912	2	8480	23940.9996	20	1
3_MACS_peak_12721_lociStitched	chr21	45572791	45581537	3	8405	38084.457	21	1
4_MACS_peak_2093_lociStitched	chr10	22603955	22612601	4	8263	26423.0406	22	1
2_MACS_peak_9106_lociStitched	chr18	60822352	60830506	2	8144	22672.197	23	1
3_MACS_peak_12863_lociStitched	chr22	23270380	23278854	3	8126	25481.318	24	1
4_MACS_peak_18921_lociStitched	chr7	137664938	137673649	4	8061	19757.4191	25	1
2_MACS_peak_3666_lociStitched	chr11	111236975	111245394	2	7926	21748.8027	26	1
4_MACS_peak_7120_lociStitched	chr16	11771313	11779175	4	7654	20429.407	27	1
5_MACS_peak_12659_lociStitched	chr21	44579969	44587760	5	7505	25231.1535	28	1
4_MACS_peak_6845_lociStitched	chr15	90638637	90646494	4	7493	20512.2699	29	1
2_MACS_peak_6821_lociStitched	chr15	89177648	89185145	2	7489	40535.5293	30	1
5_MACS_peak_15999_lociStitched	chr5	88116059	88123462	5	7283	15427.852	31	1
3_MACS_peak_6002_lociStitched	chr14	106028663	106036024	3	7250	14652.0705	32	1
2_MACS_peak_18946_lociStitched	chr7	139466326	139473812	2	7248	19177.6348	33	1
2_MACS_peak_15604_lociStitched	chr5	6479822	6487097	2	7217	21081.495	34	1
3_MACS_peak_18005_lociStitched	chr6	159458919	159466075	3	6989	14760.6812	35	1
7_MACS_peak_2383_lociStitched	chr10	81002034	81010273	7	6953	13694.0419	36	1
4_MACS_peak_8701_lociStitched	chr17	75135827	75143600	4	6936	17374.2096	37	1
2_MACS_peak_18887_lociStitched	chr7	130789577	130796243	2	6660	38087.5242	38	1
1_MACS_peak_10067_lociStitched	chr19	47729106	47735763	1	6658	28163.1042	39	1
5_MACS_peak_13813_lociStitched	chr3	53200617	53207729	5	6587	12906.8576	40	1
1_MACS_peak_11305_lociStitched	chr2	136888983	136895473	1	6491	17706.667	41	1
4_MACS_peak_9630_lociStitched	chr19	16693378	16700203	4	6461	15527.5575	42	1
3_MACS_peak_14282_lociStitched	chr3	141127854	141134702	3	6455	18175.2768	43	1
1_MACS_peak_1687_lociStitched	chr1	207994131	208000554	1	6424	23700.2277	44	1
4_MACS_peak_16397_lociStitched	chr5	140886640	140893477	4	6280	11473.8534	45	1
1_MACS_peak_15385_lociStitched	chr4	153453069	153459300	1	6232	20990.3697	46	1
1_MACS_peak_11346_lociStitched	chr2	158295432	158301643	1	6212	35569.7759	47	1
1_MACS_peak_9529_lociStitched	chr19	12899277	12905465	1	6189	30272.3148	48	1
2_MACS_peak_11006_lociStitched	chr2	89050729	89057003	2	6183	15892.6694	49	1
7_MACS_peak_6632_lociStitched	chr15	75334481	75341089	7	6153	12306.0784	50	1
4_MACS_peak_6600_lociStitched	chr15	75073977	75080616	4	6132	13287.2946	51	1
2_MACS_peak_11146_lociStitched	chr2	111875057	111881275	2	6115	21335.8234	52	1
1_MACS_peak_3701_lociStitched	chr11	115089641	115095744	1	6104	23303.6952	53	1
2_MACS_peak_14599_lociStitched	chr3	186713428	186719577	2	6089	22305.4975	54	1
3_MACS_peak_18577_lociStitched	chr7	86843876	86850449	3	6064	23547.7725	55	1
4_MACS_peak_2910_lociStitched	chr11	10323850	10330336	4	6009	14054.5134	56	1
2_MACS_peak_6593_lociStitched	chr15	74916069	74922157	2	5979	12818.8928	57	1
1_MACS_peak_740_lociStitched	chr1	66797379	66803335	1	5957	21109.2552	58	1
1_MACS_peak_18759_lociStitched	chr7	104650616	104656560	1	5945	47175.7448	59	1
2_MACS_peak_19461_lociStitched	chr8	95957733	95963693	2	5923	28573.432	60	1
3_MACS_peak_15598_lociStitched	chr5	5751094	5757070	3	5897	12289.644	61	1
6_MACS_peak_1968_lociStitched	chr10	6794434	6800888	6	5882	11513.936	62	1
2_MACS_peak_18413_lociStitched	chr7	55599953	55605760	2	5796	16211.4019	63	1
2_MACS_peak_17160_lociStitched	chr6	32935693	32941465	2	5722	27500.694	64	1
2_MACS_peak_11002_lociStitched	chr2	88922595	88928320	2	5716	30254.335	65	1
2_MACS_peak_9614_lociStitched	chr19	16434406	16440128	2	5715	34158.0512	66	1
4_MACS_peak_14954_lociStitched	chr4	40197321	40203698	4	5714	15355.1783	67	1
1_MACS_peak_1874_lociStitched	chr1	234743048	234748739	1	5692	14463.6765	68	1
2_MACS_peak_6649_lociStitched	chr15	75742897	75748826	2	5666	17206.5509	69	1
6_MACS_peak_10051_lociStitched	chr19	47217078	47223423	6	5666	13589.721	70	1
3_MACS_peak_2841_lociStitched	chr11	1871794	1877513	3	5647	14717.2746	71	1
1_MACS_peak_12677_lociStitched	chr21	44778584	44784223	1	5640	24035.6736	72	1
2_MACS_peak_8438_lociStitched	chr17	55332901	55338769	2	5626	18548.748	73	1
2_MACS_peak_11782_lociStitched	chr2	231734581	231740298	2	5614	15210.6502	74	1
2_MACS_peak_18756_lociStitched	chr7	104581255	104586800	2	5545	30187.5345	75	1
3_MACS_peak_16358_lociStitched	chr5	139047310	139053033	3	5537	14645.7293	76	1
7_MACS_peak_2648_lociStitched	chr10	112255534	112261630	7	5527	17510.1504	77	1
4_MACS_peak_10981_lociStitched	chr2	87816635	87822483	4	5511	11421.7288	78	1
3_MACS_peak_6622_lociStitched	chr15	75299213	75304765	3	5479	14130.9504	79	1
3_MACS_peak_18173_lociStitched	chr7	18534774	18540663	3	5451	12495.2802	80	1
4_MACS_peak_20491_lociStitched	chr9	127630404	127635904	4	5421	13627.9	81	1
2_MACS_peak_4933_lociStitched	chr12	125400906	125406350	2	5420	16496.9532	82	1
4_MACS_peak_15784_lociStitched	chr5	56468217	56474421	4	5420	22036.608	83	1
1_MACS_peak_9601_lociStitched	chr19	16186259	16191674	1	5416	31482.2685	84	1
4_MACS_peak_16629_lociStitched	chr5	173314091	173320119	4	5405	14267.6732	85	1
2_MACS_peak_16884_lociStitched	chr6	12008101	12013670	2	5386	21886.7269	86	1
2_MACS_peak_10530_lociStitched	chr2	33700075	33705545	2	5376	16687.876	87	1
1_MACS_peak_16040_lociStitched	chr5	90674854	90680221	1	5368	41330.7303	88	1
1_MACS_peak_10368_lociStitched	chr2	11886411	11891765	1	5355	16086.6284	89	1
4_MACS_peak_16743_lociStitched	chr6	389300	395081	4	5320	13731.0312	90	1
3_MACS_peak_14404_lociStitched	chr3	160116521	160122318	3	5317	13282.6661	91	1
10_MACS_peak_6030_lociStitched	chr14	106161846	106168219	10	5289	10317.2497	92	1
1_MACS_peak_3668_lociStitched	chr11	111246457	111251710	1	5254	25358.8575	93	1
3_MACS_peak_6157_lociStitched	chr15	34625227	34630508	3	5226	15590.0401	94	1
3_MACS_peak_9932_lociStitched	chr19	42055424	42060796	3	5220	17446.6444	95	1
2_MACS_peak_1153_lociStitched	chr1	150547801	150553208	2	5211	18860.6974	96	1
2_MACS_peak_14456_lociStitched	chr3	171815585	171820922	2	5190	17114.6916	97	1
3_MACS_peak_11802_lociStitched	chr2	232570421	232575913	3	5181	26005.7184	98	1
3_MACS_peak_5842_lociStitched	chr14	91879553	91885171	3	5158	14674.216	99	1
3_MACS_peak_524_lociStitched	chr1	40848396	40853785	3	5149	14187.6203	100	1
2_MACS_peak_8303_lociStitched	chr17	43302558	43307695	2	5115	13081.3705	101	1
4_MACS_peak_14243_lociStitched	chr3	133290746	133296299	4	5108	19947.4866	102	1
2_MACS_peak_16616_lociStitched	chr5	173168837	173174109	2	5078	15913.0048	103	1
2_MACS_peak_6295_lociStitched	chr15	45018170	45023271	2	5065	21059.9886	104	1
1_MACS_peak_1941_lociStitched	chr10	3823605	3828661	1	5057	31738.5344	105	1
4_MACS_peak_15408_lociStitched	chr4	153583719	153589164	4	5046	9705.168	106	1
2_MACS_peak_402_lociStitched	chr1	31226123	31231264	2	5042	15503.1996	107	1
2_MACS_peak_6120_lociStitched	chr15	31616153	31621401	2	5041	19964.4416	108	1
7_MACS_peak_12227_lociStitched	chr20	46384454	46390662	7	5016	9704.3456	109	1
3_MACS_peak_1992_lociStitched	chr10	11217513	11222632	3	5014	9527.4828	110	1
2_MACS_peak_9161_lociStitched	chr19	658674	663835	2	5012	17873.0591	111	1
4_MACS_peak_15494_lociStitched	chr4	185200639	185205956	4	5001	12399.244	112	1
6_MACS_peak_8159_lociStitched	chr17	36856964	36862602	6	4992	9206.854	113	1
