#JJN3_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/JJN3_H3K27ac_ROSE/JJN3_H3K27ac_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by JJN3_jia.bam
#Using cutoff of 25157.466 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	JJN3_jia.bam	enhancerRank	isSuper
3_MACS_peak_6983_lociStitched	chr14	106022189	106057939	3	35652	343110.625	1	1
6_MACS_peak_6997_lociStitched	chr14	106143301	106178475	6	33777	265057.1944	2	1
2_MACS_peak_23101_lociStitched	chr8	144593636	144614913	2	20409	223131.899	3	1
1_MACS_peak_20667_lociStitched	chr7	5458337	5470760	1	12424	203901.1836	4	1
4_MACS_peak_1412_lociStitched	chr1	154907115	154936323	4	22660	176311.1712	5	1
2_MACS_peak_1324_lociStitched	chr1	150532274	150553388	2	17345	167060.3022	6	1
1_MACS_peak_3766_lociStitched	chr11	65183245	65198775	1	15531	166751.822	7	1
1_MACS_peak_10481_lociStitched	chr18	72917297	72926554	1	9258	153086.7118	8	1
3_MACS_peak_1297_lociStitched	chr1	149801359	149826381	3	18865	145890.771	9	1
3_MACS_peak_8181_lociStitched	chr16	29815276	29833825	3	16042	135463.347	10	1
2_MACS_peak_22967_lociStitched	chr8	129178808	129208686	2	28105	130737.1646	11	1
5_MACS_peak_4149_lociStitched	chr11	111229461	111264377	5	29877	128951.7712	12	1
7_MACS_peak_16115_lociStitched	chr3	141079451	141130297	7	34951	124252.3702	13	1
2_MACS_peak_9360_lociStitched	chr17	43297451	43314321	2	12894	114103.619	14	1
2_MACS_peak_21293_lociStitched	chr7	81416232	81443005	2	24126	109889.7785	15	1
1_MACS_peak_1418_lociStitched	chr1	154970255	154980043	1	9789	109625.6	16	1
2_MACS_peak_22413_lociStitched	chr8	65480261	65498233	2	14303	109039.7184	17	1
1_MACS_peak_10408_lociStitched	chr18	60820802	60832202	1	11401	108618.06	18	1
1_MACS_peak_2138_lociStitched	chr1	228744028	228784496	1	40469	107871.5008	19	1
1_MACS_peak_19517_lociStitched	chr6	32934306	32943036	1	8731	102037.986	20	1
1_MACS_peak_658_lociStitched	chr1	51432071	51449937	1	17867	100246.126	21	1
1_MACS_peak_4534_lociStitched	chr12	12866167	12880672	1	14506	99466.587	22	1
1_MACS_peak_22971_lociStitched	chr8	129275108	129290822	1	15715	99347.0508	23	1
4_MACS_peak_9512_lociStitched	chr17	56401514	56424263	4	18679	98237.0067	24	1
7_MACS_peak_10851_lociStitched	chr19	12885748	12918278	7	17397	96165.186	25	1
1_MACS_peak_20867_lociStitched	chr7	26190888	26200516	1	9629	94269.6736	26	1
5_MACS_peak_19054_lociStitched	chr6	290701	332484	5	31317	93903.1142	27	1
2_MACS_peak_2194_lociStitched	chr1	234733613	234750154	2	15529	92798.3182	28	1
1_MACS_peak_1477_lociStitched	chr1	156457112	156476240	1	19129	92583.3456	29	1
1_MACS_peak_23014_lociStitched	chr8	134577012	134587272	1	10261	91109.826	30	1
1_MACS_peak_358_lociStitched	chr1	27018386	27031277	1	12892	87741.3024	31	1
3_MACS_peak_6697_lociStitched	chr14	77487685	77510926	3	21845	87086.3511	32	1
4_MACS_peak_19472_lociStitched	chr6	31781285	31805776	4	17293	85696.4581	33	1
1_MACS_peak_17968_lociStitched	chr5	40675806	40690481	1	14676	84648.335	34	1
3_MACS_peak_1234_lociStitched	chr1	145137897	145161658	3	19829	83947.613	35	1
1_MACS_peak_14064_lociStitched	chr20	52194841	52214759	1	19919	83697.4278	36	1
1_MACS_peak_1891_lociStitched	chr1	203288071	203298225	1	10155	83387.6942	37	1
3_MACS_peak_3672_lociStitched	chr11	62306422	62328528	3	18908	83140.666	38	1
8_MACS_peak_11621_lociStitched	chr19	54870739	54903180	8	28999	81894.0604	39	1
1_MACS_peak_1239_lociStitched	chr1	145206777	145214477	1	7701	81436.74	40	1
1_MACS_peak_20860_lociStitched	chr7	26001004	26011342	1	10339	81180.1788	41	1
2_MACS_peak_19466_lociStitched	chr6	31696469	31709707	2	10337	80878.8848	42	1
3_MACS_peak_318_lociStitched	chr1	25344473	25364543	3	18565	78686.442	43	1
2_MACS_peak_11245_lociStitched	chr19	39888070	39904594	2	13591	78606.3204	44	1
1_MACS_peak_11440_lociStitched	chr19	47613630	47617845	1	4216	77369.2755	45	1
2_MACS_peak_20858_lociStitched	chr7	25979491	25992614	2	9960	77282.6593	46	1
1_MACS_peak_20835_lociStitched	chr7	23504851	23516768	1	11918	76721.646	47	1
1_MACS_peak_17668_lociStitched	chr5	1310996	1320617	1	9622	76609.1367	48	1
5_MACS_peak_1168_lociStitched	chr1	118170569	118209576	5	28640	72946.9907	49	1
1_MACS_peak_20868_lociStitched	chr7	26236699	26244418	1	7720	72620.352	50	1
2_MACS_peak_8814_lociStitched	chr17	4841910	4855178	2	10339	72570.6528	51	1
1_MACS_peak_11443_lociStitched	chr19	47728692	47735347	1	6656	72490.253	52	1
2_MACS_peak_1452_lociStitched	chr1	155944700	155954185	2	9058	72399.9535	53	1
1_MACS_peak_9416_lociStitched	chr17	46123559	46136608	1	13050	71953.4909	54	1
3_MACS_peak_5474_lociStitched	chr12	122227796	122244793	3	10584	71027.0636	55	1
1_MACS_peak_13175_lociStitched	chr2	201980137	201994974	1	14838	70848.1587	56	1
1_MACS_peak_24864_lociStitched	chrX	153232058	153239884	1	7827	70282.9582	57	1
2_MACS_peak_1483_lociStitched	chr1	156709721	156723183	2	11019	69626.8102	58	1
2_MACS_peak_15081_lociStitched	chr3	5017727	5031612	2	12718	69344.467	59	1
3_MACS_peak_284_lociStitched	chr1	23848736	23866625	3	13774	69318.0861	60	1
1_MACS_peak_21292_lociStitched	chr7	81392242	81410909	1	18668	68832.6958	61	1
3_MACS_peak_10891_lociStitched	chr19	13948880	13961855	3	10218	68750.6325	62	1
1_MACS_peak_2458_lociStitched	chr10	22595462	22616287	1	20826	68493.425	63	1
2_MACS_peak_20712_lociStitched	chr7	7998334	8015422	2	13166	67526.6496	64	1
1_MACS_peak_10266_lociStitched	chr18	46471845	46480152	1	8308	66848.9211	65	1
3_MACS_peak_7781_lociStitched	chr15	101782368	101807594	3	20363	66811.061	66	1
4_MACS_peak_10570_lociStitched	chr19	1847341	1865493	4	11973	66592.4272	67	1
1_MACS_peak_17644_lociStitched	chr5	368036	376717	1	8682	66475.6256	68	1
1_MACS_peak_3610_lociStitched	chr11	58339338	58348903	1	9566	66464.3155	69	1
2_MACS_peak_10019_lociStitched	chr18	9132934	9148505	2	13846	66128.4799	70	1
2_MACS_peak_15154_lociStitched	chr3	13049205	13062388	2	12076	64735.1215	71	1
1_MACS_peak_11433_lociStitched	chr19	47285629	47292509	1	6881	64722.912	72	1
2_MACS_peak_14008_lociStitched	chr20	45978446	45990176	2	11666	64480.983	73	1
2_MACS_peak_8223_lociStitched	chr16	30661301	30673193	2	7771	64346.4228	74	1
13_MACS_peak_4600_lociStitched	chr12	18291428	18359821	13	53898	64309.9379	75	1
5_MACS_peak_3771_lociStitched	chr11	65253917	65278565	5	14271	63485.8536	76	1
1_MACS_peak_17982_lociStitched	chr5	42988244	42996706	1	8463	63473.462	77	1
4_MACS_peak_11665_lociStitched	chr19	56145570	56170491	4	14957	63022.7169	78	1
