ENHANCER_ID	CHROM	START	STOP	GENE_LIST
2_MACS_peak_1786_lociStitched	chr1	156448454	156479816	MEF2D
4_MACS_peak_19194_lociStitched	chr3	141079286	141132445	ZBTB38
6_MACS_peak_1715_lociStitched	chr1	154907544	154958197	ZBTB7B
6_MACS_peak_11085_lociStitched	chr17	37909357	37958427	IKZF3
1_MACS_peak_16784_lociStitched	chr20	52192074	52216221	ZNF217
9_MACS_peak_17765_lociStitched	chr22	39822916	39871639	ATF4
1_MACS_peak_23817_lociStitched	chr6	106531150	106556885	PRDM1
2_MACS_peak_8348_lociStitched	chr15	31545353	31562412	KLF13
2_MACS_peak_1721_lociStitched	chr1	154966166	154979573	ZBTB7B
3_MACS_peak_25880_lociStitched	chr7	150062712	150086725	ZNF775
6_MACS_peak_1724_lociStitched	chr1	155021944	155059552	ZBTB7B
5_MACS_peak_16428_lociStitched	chr20	32250409	32275094	ZNF341,E2F1
4_MACS_peak_11116_lociStitched	chr17	38462394	38487512	RARA
4_MACS_peak_23855_lociStitched	chr6	108897191	108933104	FOXO3
3_MACS_peak_12304_lociStitched	chr18	46439317	46462721	SMAD7
3_MACS_peak_5948_lociStitched	chr12	53582728	53605672	ZNF740,RARG
3_MACS_peak_10750_lociStitched	chr17	17720928	17744817	SREBF1
2_MACS_peak_25883_lociStitched	chr7	150100701	150113910	ZNF775
5_MACS_peak_21098_lociStitched	chr4	185317522	185349774	IRF2
4_MACS_peak_1904_lociStitched	chr1	161768677	161787481	ATF6
1_MACS_peak_21097_lociStitched	chr4	185301215	185308868	IRF2
3_MACS_peak_345_lociStitched	chr1	23849171	23866528	E2F2
2_MACS_peak_17524_lociStitched	chr22	29183331	29199555	XBP1
2_MACS_peak_16785_lociStitched	chr20	52224848	52241718	ZNF217
3_MACS_peak_17526_lociStitched	chr22	29206657	29226425	XBP1
2_MACS_peak_16788_lociStitched	chr20	52267377	52278772	ZNF217
5_MACS_peak_9824_lociStitched	chr16	29815318	29837559	MAZ
1_MACS_peak_11096_lociStitched	chr17	38015592	38025092	IKZF3
16_MACS_peak_29038_lociStitched	chrX	58213076	58278968	ZXDA
2_MACS_peak_21106_lociStitched	chr4	185391254	185399534	IRF2
6_MACS_peak_25385_lociStitched	chr7	101916153	101938953	CUX1
2_MACS_peak_16840_lociStitched	chr20	56044218	56058404	CTCFL
4_MACS_peak_10391_lociStitched	chr16	88746114	88774211	SNAI3
4_MACS_peak_14950_lociStitched	chr2	97190250	97212905	ARID5A
8_MACS_peak_12989_lociStitched	chr19	12885770	12918232	JUNB
4_MACS_peak_13875_lociStitched	chr19	56145678	56170640	ZNF524,FIZ1,ZNF784,ZNF580,ZNF581
2_MACS_peak_20779_lociStitched	chr4	140121175	140137401	ELF2
3_MACS_peak_26831_lociStitched	chr8	103654112	103675953	KLF10
4_MACS_peak_23861_lociStitched	chr6	108982702	109013000	FOXO3
8_MACS_peak_22308_lociStitched	chr5	142538049	142577256	NR3C1
5_MACS_peak_8353_lociStitched	chr15	31635730	31660698	KLF13
2_MACS_peak_16364_lociStitched	chr20	30146754	30162503	ID1
5_MACS_peak_5275_lociStitched	chr11	128585487	128610124	FLI1
2_MACS_peak_26500_lociStitched	chr8	65480271	65497236	BHLHE22
2_MACS_peak_21094_lociStitched	chr4	185262947	185277268	IRF2
2_MACS_peak_27655_lociStitched	chr9	73024878	73036929	KLF9
3_MACS_peak_11936_lociStitched	chr17	79868342	79886801	MAFG
1_MACS_peak_23822_lociStitched	chr6	106609757	106618144	PRDM1
1_MACS_peak_26618_lociStitched	chr8	80631488	80640620	HEY1
