ENHANCER_ID	CHROM	START	STOP	GENE_LIST
3_MACS_peak_9255_lociStitched	chr14	106024774	106049819	TMEM121
5_MACS_peak_19944_lociStitched	chr22	23268548	23287346	IGLL5
3_MACS_peak_25977_lociStitched	chr6	7895054	7921561	TXNDC5,MUTED-TXNDC5
4_MACS_peak_25851_lociStitched	chr6	311744	329584	DUSP22
5_MACS_peak_22027_lociStitched	chr3	141090735	141111287	ZBTB38
3_MACS_peak_22316_lociStitched	chr3	171809625	171827038	FNDC3B
2_MACS_peak_12485_lociStitched	chr17	34522387	34539899	CCL3L1,TBC1D3B,CCL4L1,CCL3L3
2_MACS_peak_12501_lociStitched	chr17	34624012	34641428	TBC1D3C,CCL4L1,CCL3L1,CCL3L3
2_MACS_peak_6589_lociStitched	chr12	12866317	12879973	CDKN1B,MIR613,GPR19,APOLD1
4_MACS_peak_3365_lociStitched	chr10	11204635	11223195	CELF2
8_MACS_peak_6278_lociStitched	chr11	128585733	128607300	FLI1
5_MACS_peak_22032_lociStitched	chr3	141115901	141132773	ZBTB38
2_MACS_peak_16837_lociStitched	chr2	99094020	99108342	INPP4A
5_MACS_peak_29439_lociStitched	chr7	150069416	150084623	ZNF775,LRRC61,C7ORF29,LOC728743,LOC285972,ACTR3C,RARRES2,REPIN1
1_MACS_peak_5412_lociStitched	chr11	65183878	65192645	NEAT1,FRMD8,MIR612,SLC25A45
1_MACS_peak_19742_lociStitched	chr21	45572804	45580853	C21ORF33,PWP2
4_MACS_peak_15847_lociStitched	chr2	20404120	20418366	SDC1
7_MACS_peak_23449_lociStitched	chr4	90210365	90230034	GPRIN3
2_MACS_peak_2638_lociStitched	chr1	203288256	203297486	BTG2,LOC730227,FMOD
7_MACS_peak_2732_lociStitched	chr1	206727810	206743132	RASSF5,LGTN
4_MACS_peak_17803_lociStitched	chr2	201980360	201992722	CFLAR,NDUFB3,FAM126B
2_MACS_peak_1817_lociStitched	chr1	150532554	150542749	MIR4257,MCL1,ADAMTSL4
6_MACS_peak_10843_lociStitched	chr16	11820117	11837556	TXNDC11
2_MACS_peak_14415_lociStitched	chr19	2082173	2091358	MOBKL2A,IZUMO4,MKNK2
6_MACS_peak_598_lociStitched	chr1	31214618	31231144	LAPTM5,LOC100129196,MATN1
5_MACS_peak_2011_lociStitched	chr1	156118517	156133324	SEMA4A,LMNA,SLC25A44,PMF1
5_MACS_peak_27008_lociStitched	chr6	90058550	90070965	UBE2J1,GABRR2
2_MACS_peak_9267_lociStitched	chr14	106157435	106168957	TMEM121
1_MACS_peak_19981_lociStitched	chr22	24183011	24191883	DERL3,SLC2A11,MIF
4_MACS_peak_25187_lociStitched	chr5	131753798	131767712	C5ORF56,SLC22A5
3_MACS_peak_4561_lociStitched	chr10	125823089	125836307	CHST15
3_MACS_peak_13500_lociStitched	chr17	76711364	76726376	CYTH1
3_MACS_peak_22455_lociStitched	chr3	183228023	183239468	KLHL6
6_MACS_peak_9068_lociStitched	chr14	91829936	91846209	CCDC88C
1_MACS_peak_19748_lociStitched	chr21	45660072	45665671	ICOSLG,AIRE,DNMT3L
1_MACS_peak_22367_lociStitched	chr3	176912674	176921062	TBL1XR1
3_MACS_peak_13431_lociStitched	chr17	75135740	75146541	SEC14L1
2_MACS_peak_19941_lociStitched	chr22	23228637	23241257	IGLL5
10_MACS_peak_24522_lociStitched	chr5	55437016	55454217	ANKRD55
2_MACS_peak_26194_lociStitched	chr6	25403329	25415276	LRRC16A
2_MACS_peak_10376_lociStitched	chr15	90637116	90646423	IDH2
2_MACS_peak_7636_lociStitched	chr12	109021027	109031682	SELPLG,TMEM119
1_MACS_peak_2632_lociStitched	chr1	203254979	203261357	LOC730227,BTG2
2_MACS_peak_3018_lociStitched	chr1	226839383	226852263	ITPKB
4_MACS_peak_20313_lociStitched	chr22	38782147	38795584	LOC400927,KCNJ4
1_MACS_peak_7032_lociStitched	chr12	53590696	53601183	ITGB7,ZNF740,MFSD5,CSAD,RARG
1_MACS_peak_22377_lociStitched	chr3	177073666	177079911	TBL1XR1
2_MACS_peak_24188_lociStitched	chr5	1311517	1320346	TERT,CLPTM1L
2_MACS_peak_1933_lociStitched	chr1	154908534	154918950	PMVK,CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1,PBXIP1
1_MACS_peak_2990_lociStitched	chr1	226127454	226133546	LEFTY2,PYCR2
2_MACS_peak_22384_lociStitched	chr3	178230184	178241314	KCNMB2
1_MACS_peak_14195_lociStitched	chr18	60822294	60830719	BCL2
7_MACS_peak_23074_lociStitched	chr4	40191868	40207625	RHOH
1_MACS_peak_18909_lociStitched	chr20	37498452	37506097	FAM83D,PPP1R16B
10_MACS_peak_20664_lociStitched	chr3	5226352	5241943	EDEM1
1_MACS_peak_8505_lociStitched	chr13	114829470	114835046	RASA3
1_MACS_peak_19699_lociStitched	chr21	44580515	44587243	CRYAA
1_MACS_peak_1914_lociStitched	chr1	154374149	154383535	IL6R
2_MACS_peak_22548_lociStitched	chr3	186711511	186719690	ST6GAL1
2_MACS_peak_22592_lociStitched	chr3	193817616	193822904	HES1
1_MACS_peak_19672_lociStitched	chr21	43480281	43486121	UMODL1,C21ORF121,ZNF295,C21ORF128
1_MACS_peak_20075_lociStitched	chr22	29212130	29221390	XBP1,CCDC117
5_MACS_peak_2799_lociStitched	chr1	209275199	209284092	LOC642587
5_MACS_peak_17059_lociStitched	chr2	112455596	112465688	ANAPC1
3_MACS_peak_3148_lociStitched	chr1	234741902	234749271	IRF2BP2,NCRNA00184
9_MACS_peak_7050_lociStitched	chr12	53853434	53870143	PCBP2,AMHR2,PRR13,TARBP2,MAP3K12,NPFF
5_MACS_peak_12129_lociStitched	chr17	16869394	16882822	TNFRSF13B
6_MACS_peak_7623_lociStitched	chr12	108954120	108966332	ISCU,FICD,TMEM119,SART3
4_MACS_peak_16663_lociStitched	chr2	86219781	86228882	LOC90784
