GENE_ID	locusLine	bin_1_RPMI8226.jin.bam
NM_021222	chr1(.):150975972-151013189	0.2548
NM_015215	chr1(.):6840383-7834766	0.1465
NM_017891	chr1(.):1012197-1056736	0.2008
NM_006559	chr1(.):32474490-32514472	0.3747
NM_021639	chr1(.):46087975-46157302	0.2107
NR_002188	chr1(.):155178615-155202325	0.4816
NM_001167740	chr1(.):245907641-246675644	0.1116
NM_022743	chr1(.):245907641-246585714	0.114
NM_001198993	chr1(.):1677670-1715297	0.9367
NM_023018	chr1(.):1677670-1714909	0.9398
NM_001014980	chr1(.):1172832-1187102	0.1878
NM_001198994	chr1(.):1677670-1716508	0.9148
NM_003820	chr1(.):2482804-2500267	0.4443
NM_001013630	chr1(.):12699565-12732097	0.0867
NM_015001	chr1(.):16169358-16271950	0.1918
NM_001113348	chr1(.):21538739-21677034	0.228
NM_004091	chr1(.):23827921-23862713	0.4711
NM_001048199	chr1(.):28827454-28870708	0.3821
NR_002909	chr1(.):28827454-28842404	0.5633
NM_002379	chr1(.):31179123-31201432	0.3287
NR_034182	chr1(.):31186618-31204593	0.3799
NM_032017	chr1(.):36800224-36856485	0.4397
NM_001127714	chr1(.):41970683-42389496	0.1758
NM_174964	chr1(.):44168217-44401831	0.2038
NM_003629	chr1(.):46500811-46603380	0.2884
NM_001114172	chr1(.):46500811-46603708	0.288
NM_015269	chr1(.):52883947-53023762	0.1184
NM_017522	chr1(.):53706216-53798726	0.2565
NM_033300	chr1(.):53706211-53798821	0.2564
NR_034178	chr1(.):143910747-144099477	0.2596
NM_153713	chr1(.):145472084-145504091	0.1833
NM_207168	chr1(.):150594521-150607098	0.4235
NM_015203	chr1(.):150331989-150454041	0.1784
NM_020524	chr1(.):154911558-154933567	0.868
NM_002249	chr1(.):154674914-154847754	0.343
NM_170782	chr1(.):154674914-154837338	0.3489
NM_005572	chr1(.):156079460-156112657	0.9994
NM_170708	chr1(.):156079460-156114878	0.9477
NM_005973	chr1(.):156732273-156775609	0.2225
NM_052862	chr1(.):167594473-167680486	0.2661
NM_015149	chr1(.):183600207-183902666	0.221
NM_018085	chr1(.):201793287-201858422	0.2427
NM_015375	chr1(.):205106630-205185727	0.1379
NM_182663	chr1(.):206675878-206767616	0.3441
NM_001193338	chr1(.):207071630-207100235	0.3551
NM_005449	chr1(.):207071630-207100378	0.3544
NM_032129	chr1(.):896876-915484	0.2343
NM_198317	chr1(.):890966-906099	0.4336
NM_015658	chr1(.):874582-899679	0.2897
NR_027693	chr1(.):905578-922473	0.1533
NM_001142467	chr1(.):929343-940552	0.9842
NM_005101	chr1(.):943846-954919	0.2605
NM_021170	chr1(.):929341-940552	0.9841
NM_198576	chr1(.):950502-996492	0.2947
NM_001130045	chr1(.):1104285-1138313	0.3042
NR_029639	chr1(.):1097483-1107578	0.3654
NM_016547	chr1(.):1147287-1172447	0.4119
NM_080605	chr1(.):1162628-1175420	0.7022
NM_153254	chr1(.):1110076-1126243	0.3187
