GENE_ID	locusLine	bin_1_U266.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):9955-10450	2.9919
1_MACS_peak_2_lociStitched	chr1(.):28620-29868	3.1746
1_MACS_peak_3_lociStitched	chr1(.):441920-442478	0.7854
1_MACS_peak_4_lociStitched	chr1(.):712830-715115	3.3537
1_MACS_peak_5_lociStitched	chr1(.):761853-763711	4.0344
1_MACS_peak_6_lociStitched	chr1(.):893880-894736	2.6186
1_MACS_peak_7_lociStitched	chr1(.):947972-949781	2.2512
1_MACS_peak_8_lociStitched	chr1(.):967953-968556	0.7611
2_MACS_peak_9_lociStitched	chr1(.):998587-1000335	1.0052
1_MACS_peak_11_lociStitched	chr1(.):1003728-1004774	1.1195
1_MACS_peak_12_lociStitched	chr1(.):1051007-1051532	1.4181
1_MACS_peak_13_lociStitched	chr1(.):1073004-1073441	0.7563
1_MACS_peak_14_lociStitched	chr1(.):1079290-1080696	1.5578
1_MACS_peak_15_lociStitched	chr1(.):1166435-1167421	2.7254
1_MACS_peak_16_lociStitched	chr1(.):1185225-1185881	1.2364
1_MACS_peak_17_lociStitched	chr1(.):1208052-1209984	2.1713
3_MACS_peak_18_lociStitched	chr1(.):1242613-1244765	1.9186
2_MACS_peak_21_lociStitched	chr1(.):1259426-1260889	1.9677
2_MACS_peak_23_lociStitched	chr1(.):1284203-1285408	0.7527
1_MACS_peak_25_lociStitched	chr1(.):1309771-1311747	2.4489
1_MACS_peak_26_lociStitched	chr1(.):1333678-1336004	2.5312
1_MACS_peak_27_lociStitched	chr1(.):1341574-1343719	3.6631
1_MACS_peak_28_lociStitched	chr1(.):1396817-1398848	2.6799
1_MACS_peak_29_lociStitched	chr1(.):1405764-1408388	2.7249
1_MACS_peak_30_lociStitched	chr1(.):1439915-1441632	1.8641
1_MACS_peak_31_lociStitched	chr1(.):1446214-1448548	3.5473
1_MACS_peak_32_lociStitched	chr1(.):1509103-1511147	5.506
2_MACS_peak_33_lociStitched	chr1(.):1550028-1552075	3.7919
1_MACS_peak_35_lociStitched	chr1(.):1565248-1567010	2.6582
1_MACS_peak_36_lociStitched	chr1(.):1589567-1591649	4.1477
1_MACS_peak_37_lociStitched	chr1(.):1605887-1607912	1.2039
1_MACS_peak_38_lociStitched	chr1(.):1622912-1625570	3.572
1_MACS_peak_39_lociStitched	chr1(.):1654631-1656895	3.8775
1_MACS_peak_40_lociStitched	chr1(.):1668736-1670885	2.3606
2_MACS_peak_41_lociStitched	chr1(.):1676201-1678818	3.4473
1_MACS_peak_43_lociStitched	chr1(.):1707046-1707552	0.6844
2_MACS_peak_44_lociStitched	chr1(.):1708431-1713296	4.3422
1_MACS_peak_46_lociStitched	chr1(.):1764690-1765718	1.0304
2_MACS_peak_47_lociStitched	chr1(.):1820936-1823715	2.9697
1_MACS_peak_49_lociStitched	chr1(.):1827486-1829545	1.9331
2_MACS_peak_50_lociStitched	chr1(.):1837280-1841484	5.9976
1_MACS_peak_52_lociStitched	chr1(.):1850021-1850734	1.1547
1_MACS_peak_53_lociStitched	chr1(.):1874577-1875516	0.8959
2_MACS_peak_54_lociStitched	chr1(.):2063952-2065511	1.0498
2_MACS_peak_56_lociStitched	chr1(.):2111092-2112948	1.1167
2_MACS_peak_58_lociStitched	chr1(.):2120427-2122017	1.616
2_MACS_peak_60_lociStitched	chr1(.):2125718-2126953	1.3269
1_MACS_peak_62_lociStitched	chr1(.):2158770-2159114	2.9319
1_MACS_peak_63_lociStitched	chr1(.):2186437-2188288	1.6761
1_MACS_peak_64_lociStitched	chr1(.):2231023-2233814	3.1964
2_MACS_peak_65_lociStitched	chr1(.):2322413-2324221	1.0819
2_MACS_peak_67_lociStitched	chr1(.):2343109-2344792	1.4661
2_MACS_peak_69_lociStitched	chr1(.):2457186-2458126	1.1313
1_MACS_peak_71_lociStitched	chr1(.):2473141-2473572	0.7473
3_MACS_peak_72_lociStitched	chr1(.):2477167-2480887	1.2906
1_MACS_peak_75_lociStitched	chr1(.):2486784-2488488	1.8444
1_MACS_peak_76_lociStitched	chr1(.):2516947-2517972	2.2281
1_MACS_peak_77_lociStitched	chr1(.):2518492-2518950	0.7639
1_MACS_peak_78_lociStitched	chr1(.):2573949-2574713	2.0154
1_MACS_peak_79_lociStitched	chr1(.):3565902-3566732	1.7822
1_MACS_peak_80_lociStitched	chr1(.):3573672-3574023	0.7777
3_MACS_peak_81_lociStitched	chr1(.):3712019-3713525	1.3678
1_MACS_peak_84_lociStitched	chr1(.):3773134-3773804	0.9185
1_MACS_peak_85_lociStitched	chr1(.):3815713-3818118	3.6119
1_MACS_peak_86_lociStitched	chr1(.):5975124-5978601	2.2364
1_MACS_peak_87_lociStitched	chr1(.):6051373-6055454	2.5428
1_MACS_peak_88_lociStitched	chr1(.):6068686-6071423	1.6433
1_MACS_peak_89_lociStitched	chr1(.):6083852-6088955	2.1821
2_MACS_peak_90_lociStitched	chr1(.):6258431-6260428	3.888
2_MACS_peak_92_lociStitched	chr1(.):6294793-6296765	2.0587
1_MACS_peak_94_lociStitched	chr1(.):6391431-6391772	0.6507
1_MACS_peak_95_lociStitched	chr1(.):6419252-6419821	0.8846
2_MACS_peak_96_lociStitched	chr1(.):6453169-6454723	2.7333
1_MACS_peak_98_lociStitched	chr1(.):6474631-6476298	1.9861
1_MACS_peak_99_lociStitched	chr1(.):6506998-6507945	1.1552
1_MACS_peak_100_lociStitched	chr1(.):6519663-6521631	2.4755
1_MACS_peak_101_lociStitched	chr1(.):6613801-6615418	2.0785
2_MACS_peak_102_lociStitched	chr1(.):6639367-6640896	2.1573
1_MACS_peak_104_lociStitched	chr1(.):6660346-6665490	5.2176
2_MACS_peak_105_lociStitched	chr1(.):6672290-6674654	3.2838
1_MACS_peak_107_lociStitched	chr1(.):6683914-6686471	2.3206
1_MACS_peak_108_lociStitched	chr1(.):6760808-6761960	3.2834
3_MACS_peak_109_lociStitched	chr1(.):6843564-6846472	3.1141
1_MACS_peak_112_lociStitched	chr1(.):7831237-7832127	2.0572
2_MACS_peak_113_lociStitched	chr1(.):7843027-7844950	1.31
1_MACS_peak_115_lociStitched	chr1(.):8013569-8015151	3.1855
2_MACS_peak_116_lociStitched	chr1(.):8020823-8022899	3.1956
1_MACS_peak_118_lociStitched	chr1(.):8261663-8262162	0.9879
1_MACS_peak_119_lociStitched	chr1(.):8483237-8483787	0.8173
2_MACS_peak_120_lociStitched	chr1(.):8487100-8488528	0.739
1_MACS_peak_122_lociStitched	chr1(.):8532800-8533506	0.8875
1_MACS_peak_123_lociStitched	chr1(.):8534600-8534935	0.5903
1_MACS_peak_124_lociStitched	chr1(.):8536642-8539095	1.3416
1_MACS_peak_125_lociStitched	chr1(.):8554546-8554853	0.6852
1_MACS_peak_126_lociStitched	chr1(.):8614995-8615538	0.9411
1_MACS_peak_127_lociStitched	chr1(.):8655783-8656141	0.7034
2_MACS_peak_128_lociStitched	chr1(.):8663205-8665116	1.0422
1_MACS_peak_130_lociStitched	chr1(.):8689008-8689585	1.1215
1_MACS_peak_131_lociStitched	chr1(.):8762825-8763507	1.373
1_MACS_peak_132_lociStitched	chr1(.):8824068-8824702	0.7123
1_MACS_peak_133_lociStitched	chr1(.):8876481-8878597	2.5138
1_MACS_peak_134_lociStitched	chr1(.):8889738-8890252	0.8303
1_MACS_peak_135_lociStitched	chr1(.):8936214-8940072	5.241
2_MACS_peak_136_lociStitched	chr1(.):8959483-8960629	0.9434
1_MACS_peak_138_lociStitched	chr1(.):9067752-9071398	1.7084
1_MACS_peak_139_lociStitched	chr1(.):9107204-9107499	0.552
1_MACS_peak_140_lociStitched	chr1(.):9136031-9143033	3.1917
1_MACS_peak_141_lociStitched	chr1(.):9144271-9144763	0.8007
1_MACS_peak_142_lociStitched	chr1(.):9161399-9161833	0.717
1_MACS_peak_143_lociStitched	chr1(.):9171142-9171864	0.7763
2_MACS_peak_144_lociStitched	chr1(.):9188478-9189788	0.9483
1_MACS_peak_146_lociStitched	chr1(.):9220603-9226508	6.3698
1_MACS_peak_147_lociStitched	chr1(.):9238631-9243636	3.9671
2_MACS_peak_148_lociStitched	chr1(.):9294212-9295762	1.9454
1_MACS_peak_150_lociStitched	chr1(.):9326769-9327241	0.7908
3_MACS_peak_151_lociStitched	chr1(.):9334890-9337252	2.1078
2_MACS_peak_154_lociStitched	chr1(.):9341829-9343620	1.2008
2_MACS_peak_156_lociStitched	chr1(.):9353378-9356342	1.2913
1_MACS_peak_158_lociStitched	chr1(.):9373879-9379020	2.9066
1_MACS_peak_159_lociStitched	chr1(.):9379773-9381089	1.1725
1_MACS_peak_160_lociStitched	chr1(.):9391234-9393747	2.2173
1_MACS_peak_161_lociStitched	chr1(.):9405036-9405591	0.9029
1_MACS_peak_162_lociStitched	chr1(.):9406213-9406780	0.7824
1_MACS_peak_163_lociStitched	chr1(.):9465994-9466773	0.9803
2_MACS_peak_164_lociStitched	chr1(.):9470928-9474409	2.2665
2_MACS_peak_166_lociStitched	chr1(.):9485003-9489961	2.4317
1_MACS_peak_168_lociStitched	chr1(.):9536369-9537857	1.755
1_MACS_peak_169_lociStitched	chr1(.):9589465-9589964	0.8351
