GENE_ID	locusLine	bin_1_35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
5_MACS_peak_1_lociStitched	chr1(.):30360-36748	0.163
2_MACS_peak_6_lociStitched	chr1(.):39072-40067	0.1976
3_MACS_peak_8_lociStitched	chr1(.):87452-90476	0.2024
2_MACS_peak_11_lociStitched	chr1(.):92546-94463	0.1374
2_MACS_peak_13_lociStitched	chr1(.):132079-134160	0.1137
1_MACS_peak_15_lociStitched	chr1(.):135716-135980	0.0283
3_MACS_peak_16_lociStitched	chr1(.):329768-331760	0.0689
1_MACS_peak_19_lociStitched	chr1(.):460818-461202	0.0428
1_MACS_peak_20_lociStitched	chr1(.):537096-537570	0.1407
1_MACS_peak_21_lociStitched	chr1(.):553845-554151	0.0253
2_MACS_peak_22_lociStitched	chr1(.):658497-659975	0.0642
5_MACS_peak_24_lociStitched	chr1(.):798596-802867	0.1247
1_MACS_peak_29_lociStitched	chr1(.):804030-804481	0.1017
2_MACS_peak_30_lociStitched	chr1(.):807904-809945	0.1347
1_MACS_peak_33_lociStitched	chr1(.):826071-826475	0.1219
6_MACS_peak_34_lociStitched	chr1(.):829265-843882	0.1057
2_MACS_peak_40_lociStitched	chr1(.):845363-879050	0.1044
1_MACS_peak_42_lociStitched	chr1(.):894720-895546	0.0948
3_MACS_peak_43_lociStitched	chr1(.):908433-911208	0.0669
11_MACS_peak_46_lociStitched	chr1(.):913468-947400	0.1007
5_MACS_peak_57_lociStitched	chr1(.):949404-954244	0.1077
2_MACS_peak_62_lociStitched	chr1(.):955453-976287	0.0927
10_MACS_peak_64_lociStitched	chr1(.):977372-1016839	0.0794
3_MACS_peak_74_lociStitched	chr1(.):1052557-1072645	0.1016
1_MACS_peak_77_lociStitched	chr1(.):1074315-1074687	0.0124
2_MACS_peak_78_lociStitched	chr1(.):1075906-1078755	0.0507
4_MACS_peak_80_lociStitched	chr1(.):1080052-1088017	0.0784
4_MACS_peak_84_lociStitched	chr1(.):1089994-1122391	0.0815
4_MACS_peak_88_lociStitched	chr1(.):1123783-1128638	0.1175
4_MACS_peak_92_lociStitched	chr1(.):1129869-1150054	0.077
5_MACS_peak_96_lociStitched	chr1(.):1171841-1185142	0.0901
