GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS	IS_SUPER	TSS_SIGNAL
IGLL5	NM_001178126	chr22:23221520-23287495,chr22:23198568-23210581	1,233	1	5.7857
FAM46C	NM_017709	chr1:118148299-118219144	2	1	2.1588
ZBTB38	NM_001080412	chr3:141079181-141132904	3	1	1.6222
GNG7	NM_052847	chr19:2594345-2638097	4	1	0.8997999999999999
MUTED-TXNDC5	NR_037616	chr6:7888850-7921060	5	1	0.9166000000000001
TXNDC5	NM_001145549	chr6:7888850-7921060	5	1	3.3833
INPP4A	NM_004027	chr2:99060507-99107693	6	1	0.66
QPCT	NM_012413	chr2:37531922-37586446	7	1	1.4152999999999998
PRKD3	NM_005813	chr2:37531922-37586446	7	1	0.37600000000000006
CCL4L1	NM_001001435	chr17:34596581-34642034,chr17:34508261-34540731	8,14	1	1.3948
CCL3L1	NM_021006	chr17:34596581-34642034,chr17:34508261-34540731	8,14	1	3.0753
CCL3L3	NM_001001437	chr17:34596581-34642034,chr17:34508261-34540731	8,14	1	3.0768
TBC1D3C	NM_001001418	chr17:34596581-34642034	8	1	0.012699999999999989
DUSP22	NM_020185	chr6:290241-338076	9	1	1.4583
TMEM121	NM_025268	chr14:106024595-106057724	10	1	0.1108
BCL2L1	NM_001191	chr20:30262465-30312235	11	1	1.0326
COX4I2	NM_032609	chr20:30262465-30312235	11	1	0.0
TPX2	NM_012112	chr20:30262465-30312235	11	1	0.0
SMAD7	NM_005904	chr18:46439386-46482911	12	1	1.1058999999999999
CHMP4B	NM_176812	chr20:32398409-32452425	13	1	0.8024
TBC1D3B	NM_001001417	chr17:34508261-34540731	14	1	0.07690000000000002
CKS1B	NR_024163	chr1:154907792-154957618	15	1	0.9231
MIR4258	NR_036212	chr1:154907792-154957618	15	1	1.0424
FLAD1	NM_201398	chr1:154907792-154957618	15	1	0.11289999999999997
PMVK	NM_006556	chr1:154907792-154957618	15	1	1.6451
PBXIP1	NM_020524	chr1:154907792-154957618	15	1	1.2851
PYGO2	NM_138300	chr1:154907792-154957618	15	1	1.2554999999999998
SHC1	NM_001130041	chr1:154907792-154957618	15	1	0.9716000000000001
LENEP	NM_018655	chr1:154907792-154957618	15	1	0.041200000000000014
ZBTB7B	NM_015872	chr1:154907792-154957618	15	1	0.4765
DCST1	NM_001143687	chr1:154907792-154957618	15	1	0.13940000000000002
DCST2	NM_144622	chr1:154907792-154957618	15	1	0.09880000000000003
TNFRSF13B	NM_012452	chr17:16869305-16895634	17	1	1.1198000000000001
MYOM2	NM_003970	chr8:2027431-2050984,chr8:1990697-2000192	18,354	1	1.2764
BTG2	NM_006763	chr1:203236250-203278399,chr1:203288196-203297892	19,238	1	1.1327
LOC730227	NR_034150	chr1:203236250-203278399,chr1:203288196-203297892	19,238	1	2.0378
CHIT1	NM_003465	chr1:203236250-203278399	19	1	0.032200000000000006
FMOD	NM_002023	chr1:203236250-203278399,chr1:203288196-203297892	19,238	1	0.009399999999999992
CCL1	NM_002981	chr17:32688398-32726773	20	1	0.6938
CCL8	NM_005623	chr17:32688398-32726773	20	1	0.0
CCL13	NM_005408	chr17:32688398-32726773	20	1	0.10820000000000002
CLPTM1L	NM_030782	chr5:1311229-1320700,chr5:1335259-1346360	21,278	1	3.9886000000000004
TERT	NM_001193376	chr5:1311229-1320700,chr5:1335259-1346360	21,278	1	0.030700000000000005
C21orf33	NM_198155	chr21:45552624-45581063	22	1	1.2622
PWP2	NM_005049	chr21:45552624-45581063	22	1	0.11049999999999999
