ENHANCER_ID	CHROM	START	STOP	GENE_LIST
5_MACS_peak_16205_lociStitched	chr6	290051	343722	DUSP22,IRF4
3_MACS_peak_6097_lociStitched	chr14	106024726	106057810	TMEM121
6_MACS_peak_13370_lociStitched	chr22	46422799	46471672	LOC150381,LOC730668,LOC400931,MIR3619,MIRLET7A3,MIRLET7B,WNT7B,LOC100271722,C22ORF26
1_MACS_peak_3401_lociStitched	chr11	65183305	65198674	NEAT1,FRMD8,MIR612,SLC25A45
4_MACS_peak_1213_lociStitched	chr1	149797844	149836676	HIST2H2AA4,FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB,HIST2H4B,HIST2H3A,HIST2H2BC
1_MACS_peak_6139_lociStitched	chr15	21924773	21950571	LOC646214
3_MACS_peak_12492_lociStitched	chr20	52194603	52215794	ZNF217
5_MACS_peak_4942_lociStitched	chr12	122219362	122251590	RHOF,HPD,TMEM120B,SETD1B,LOC338799
6_MACS_peak_16384_lociStitched	chr6	26155079	26219793	HIST1H4D,HIST1H2AC,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H1T,HIST1H2BC,HIST1H1D,HIST1H4G,HIST1H3F,HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H2AE,HIST1H3D,HIST1H2AD,HIST1H2BG
2_MACS_peak_6134_lociStitched	chr15	20992058	21032591	BCL8,POTEB
3_MACS_peak_2190_lociStitched	chr10	22595340	22634258	BMI1,SPAG6,COMMD3
4_MACS_peak_3799_lociStitched	chr11	111230409	111263879	POU2AF1
2_MACS_peak_6141_lociStitched	chr15	21998749	22039367	CXADRP2
5_MACS_peak_5031_lociStitched	chr12	127525586	127572384	LOC440117
1_MACS_peak_10913_lociStitched	chr2	43444235	43457309	ZFP36L2,LOC100129726
11_MACS_peak_6101_lociStitched	chr14	106145200	106175817	TMEM121
1_MACS_peak_4199_lociStitched	chr12	26265299	26280916	BHLHE41
2_MACS_peak_3406_lociStitched	chr11	65259918	65278986	MALAT1,MIR612,SCYL1,LTBP3
1_MACS_peak_9270_lociStitched	chr18	60977114	60989015	BCL2,KDSR
6_MACS_peak_2751_lociStitched	chr10	112599920	112642794	LOC282997,SHOC2,NCRNA00081,PDCD4
1_MACS_peak_4133_lociStitched	chr12	12866190	12880741	CDKN1B,MIR613,GPR19,APOLD1
3_MACS_peak_8116_lociStitched	chr17	27037286	27074354	NEK8,SUPT6H,SDF2,RPL23A,SNORD42B,SNORD4A,SNORD42A,SNORD4B,TRAF4,PROCA1,RAB34,TLCD1
3_MACS_peak_16447_lociStitched	chr6	27772786	27808608	HIST1H4J,HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,HIST1H3J,HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2BN,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H2AK
4_MACS_peak_17533_lociStitched	chr7	29694094	29726637	LOC646762,DPY19L2P3,LOC100271874
1_MACS_peak_1754_lociStitched	chr1	206281577	206308313	C1ORF186,CTSE
1_MACS_peak_8514_lociStitched	chr17	46123255	46138374	NFE2L1,SNX11,MIR152,COPZ2,CBX1
1_MACS_peak_1388_lociStitched	chr1	156455742	156476172	MEF2D
2_MACS_peak_4505_lociStitched	chr12	57621360	57639399	NDUFA4L2,MIR1228,NXPH4,SHMT2,STAC3
1_MACS_peak_16278_lociStitched	chr6	7896167	7920086	TXNDC5,MUTED-TXNDC5
1_MACS_peak_9264_lociStitched	chr18	60821297	60831806	BCL2
5_MACS_peak_7673_lociStitched	chr16	81829317	81877546	PLCG2
5_MACS_peak_19783_lociStitched	chr9	134126846	134154226	FAM78A,PPAPDC3
1_MACS_peak_19294_lociStitched	chr9	66454563	66462307	LOC442421
4_MACS_peak_12992_lociStitched	chr22	23188356	23227438	IGLL5,MIR650
1_MACS_peak_17670_lociStitched	chr7	50343022	50353407	IKZF1
2_MACS_peak_16969_lociStitched	chr6	106531325	106563072	PRDM1
7_MACS_peak_17543_lociStitched	chr7	30323074	30371004	MIR550B1,DKFZP586I1420,ZNRF2,MIR550A1
3_MACS_peak_12714_lociStitched	chr21	34586801	34614564	IFNAR2,IL10RB,C21ORF54
6_MACS_peak_6506_lociStitched	chr15	63764403	63801155	USP3
2_MACS_peak_3944_lociStitched	chr11	128584839	128607153	FLI1
1_MACS_peak_1979_lociStitched	chr1	234734132	234750773	IRF2BP2,NCRNA00184
4_MACS_peak_1928_lociStitched	chr1	228643112	228679616	RNF187,TRIM11,TRIM17,HIST3H3,HIST3H2BB,HIST3H2A
1_MACS_peak_3544_lociStitched	chr11	69452437	69464654	CCND1,ORAOV1
1_MACS_peak_18732_lociStitched	chr8	93063802	93076556	RUNX1T1
4_MACS_peak_3385_lociStitched	chr11	64877796	64903782	MRPL49,ZFPL1,SPDYC,CAPN1,CDCA5,C11ORF2,TM7SF2,ZNHIT2,FAU,SYVN1
2_MACS_peak_3579_lociStitched	chr11	72848440	72867854	FCHSD2
2_MACS_peak_14947_lociStitched	chr4	90206641	90230099	GPRIN3
1_MACS_peak_2500_lociStitched	chr10	81946404	81966424	ANXA11
5_MACS_peak_16425_lociStitched	chr6	27094161	27130324	HIST1H2BK,HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ
6_MACS_peak_20156_lociStitched	chrX	48767921	48816926	PIM2,PQBP1,TIMM17B,KCND1,GRIPAP1,SLC35A2,OTUD5
1_MACS_peak_17487_lociStitched	chr7	23502639	23518380	IGF2BP3,RPS2P32
1_MACS_peak_6138_lociStitched	chr15	21891738	21911509	LOC646214
4_MACS_peak_19050_lociStitched	chr8	145731680	145755269	LRRC14,KIFC2,PPP1R16A,CYHR1,FOXH1,GPT,MFSD3,RECQL4,LRRC24,MGC70857,ARHGAP39
3_MACS_peak_1233_lociStitched	chr1	150532400	150553227	MCL1,MIR4257,ENSA,ADAMTSL4
1_MACS_peak_18550_lociStitched	chr8	42741912	42755604	RNF170,THAP1,HOOK3
1_MACS_peak_6452_lociStitched	chr15	55692641	55701994	CCPG1,MIR628,FLJ27352
1_MACS_peak_4509_lociStitched	chr12	57846137	57857279	GLI1,INHBC,MARS,ARHGAP9,INHBE
2_MACS_peak_11897_lociStitched	chr2	227654114	227667977	IRS1,RHBDD1
3_MACS_peak_218_lociStitched	chr1	16159046	16179942	SPEN,UQCRHL,FLJ37453
2_MACS_peak_20075_lociStitched	chrX	39949358	39969973	BCOR
1_MACS_peak_9113_lociStitched	chr18	30338895	30353900	KLHL14
4_MACS_peak_6372_lociStitched	chr15	45001680	45023381	B2M,TRIM69,SPG11,PATL2
7_MACS_peak_3288_lociStitched	chr11	62306386	62343233	AHNAK,ROM1,MTA2,EML3,B3GAT3,EEF1G,TUT1
5_MACS_peak_8600_lociStitched	chr17	56405611	56430796	MIR142,MPO,BZRAP1,SUPT4H1
4_MACS_peak_18268_lociStitched	chr7	150053591	150078746	REPIN1,LRRC61,C7ORF29,LOC728743,ACTR3C,RARRES2,ZNF775
3_MACS_peak_9304_lociStitched	chr18	74806230	74828362	MBP
4_MACS_peak_3871_lociStitched	chr11	118954860	118979795	H2AFX,VPS11,HINFP,ABCG4,HYOU1,HMBS,C2CD2L,DPAGT1
1_MACS_peak_16210_lociStitched	chr6	387818	403694	IRF4
1_MACS_peak_17980_lociStitched	chr7	104649645	104659831	MLL5,LOC100216545
3_MACS_peak_11265_lociStitched	chr2	87795110	87825347	NCRNA00152
1_MACS_peak_6494_lociStitched	chr15	60871937	60885941	RORA
2_MACS_peak_4748_lociStitched	chr12	105716462	105732035	C12ORF75
1_MACS_peak_18812_lociStitched	chr8	103539857	103550456	ODF1
3_MACS_peak_8559_lociStitched	chr17	48223824	48247317	PPP1R9B,SAMD14,HILS1,COL1A1,SGCA
3_MACS_peak_13455_lociStitched	chr3	5223112	5241824	EDEM1
4_MACS_peak_10599_lociStitched	chr19	56145437	56169653	CCDC106,ZNF524,ZNF865,EPN1,FIZ1,ZNF784,ZNF580,ZNF581,U2AF2
2_MACS_peak_7137_lociStitched	chr16	12055384	12071461	TNFRSF17,GSPT1,RUNDC2A
3_MACS_peak_7406_lociStitched	chr16	34718764	34745413	LOC100130700,LOC146481
3_MACS_peak_12394_lociStitched	chr20	43587093	43609365	STK4,PABPC1L,TOMM34
1_MACS_peak_6660_lociStitched	chr15	75068182	75084240	CSK,CYP1A2,LMAN1L,CPLX3
3_MACS_peak_6874_lociStitched	chr15	93346997	93364605	ASB9P1
1_MACS_peak_12424_lociStitched	chr20	45978312	45988847	ZMYND8,LOC100131496
1_MACS_peak_9298_lociStitched	chr18	72918194	72928572	TSHZ1,ZADH2
1_MACS_peak_14261_lociStitched	chr3	141096658	141110590	ZBTB38
5_MACS_peak_1326_lociStitched	chr1	154926953	154958197	SHC1,LENEP,ZBTB7B,DCST1,PMVK,DCST2,CKS1B,MIR4258,FLAD1,PBXIP1,PYGO2
1_MACS_peak_9216_lociStitched	chr18	52983072	52992477	TCF4
1_MACS_peak_17604_lociStitched	chr7	39987297	39995451	CDK13
2_MACS_peak_13245_lociStitched	chr22	39456832	39475540	APOBEC3G,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H
3_MACS_peak_3162_lociStitched	chr11	46121027	46144989	PHF21A
4_MACS_peak_243_lociStitched	chr1	17221257	17249120	CROCC
2_MACS_peak_7729_lociStitched	chr16	87885372	87905331	SLC7A5
1_MACS_peak_2855_lociStitched	chr10	133876227	133894204	JAKMIP3
1_MACS_peak_6597_lociStitched	chr15	69108765	69116099	ANP32A,MIR548H4,MIR4312,C15ORF28
5_MACS_peak_18188_lociStitched	chr7	137664523	137688083	CREB3L2
3_MACS_peak_10160_lociStitched	chr19	39880549	39904627	ZFP36,SAMD4B,SUPT5H,RPS16,MED29,PLEKHG2,PAF1
3_MACS_peak_3364_lociStitched	chr11	64610721	64634176	CDC42BPG,MAP4K2,MEN1,MIR192,MIR194-2,EHD1
1_MACS_peak_252_lociStitched	chr1	17763080	17770313	RCC2
1_MACS_peak_18918_lociStitched	chr8	126612257	126623211	TRIB1
1_MACS_peak_3887_lociStitched	chr11	120205620	120217950	ARHGEF12,TMEM136
6_MACS_peak_3346_lociStitched	chr11	63992631	64019782	FKBP2,STIP1,FERMT3,GPR137,KCNK4,C11ORF20,BAD,NUDT22,DNAJC4,VEGFB,PLCB3,TRPT1,PPP1R14B
1_MACS_peak_6456_lociStitched	chr15	56656260	56666725	TEX9
1_MACS_peak_2521_lociStitched	chr10	89619751	89631329	PTEN,CFLP1,ATAD1,KILLIN
3_MACS_peak_7324_lociStitched	chr16	29815233	29834079	PRRT2,ZG16,LOC440356,CDIPT,KIF22,MAZ,C16ORF53,MVP
5_MACS_peak_3017_lociStitched	chr11	10314690	10344703	ADM,SBF2
1_MACS_peak_3227_lociStitched	chr11	58339243	58349623	LPXN,CNTF,ZFP91-CNTF,ZFP91
4_MACS_peak_11380_lociStitched	chr2	112186088	112223603	LOC541471
5_MACS_peak_12511_lociStitched	chr20	52530702	52559638	SUMO1P1
