REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	OPM.2.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
2_MACS_peak_23925_lociStitched	chr6	7894881	7922201	2	27234	192029.548	1	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	4.1016	1	1
2_MACS_peak_9105_lociStitched	chr14	106025643	106053156	2	27089	164161.8171	2	1		TMEM121	TMEM121	TMEM121	0.1314	2	1
4_MACS_peak_20151_lociStitched	chr3	141085199	141111668	4	26375	128882.8548	3	1	ZBTB38		ZBTB38	ZBTB38	1.4474	3	1
8_MACS_peak_18362_lociStitched	chr22	23264510	23287169	8	21767	150976.917	4	1		IGLL5	IGLL5	IGLL5	2.432	4	1
4_MACS_peak_30303_lociStitched	chrX	58215636	58243316	4	27506	79607.68	5	1			ZXDA	ZXDA	NONE	5	1
3_MACS_peak_1666_lociStitched	chr1	156457508	156479667	3	22123	126507.9469	6	1	MEF2D		MEF2D	MEF2D	2.432	6	1
5_MACS_peak_24964_lociStitched	chr6	106531645	106556394	5	24345	76907.5175	7	1	PRDM1		PRDM1	PRDM1	2.3707	7	1
4_MACS_peak_3244_lociStitched	chr10	22595358	22615631	4	20128	98924.1308	8	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	5.4113	8	1
2_MACS_peak_14965_lociStitched	chr2	20403924	20425666	2	21727	77614.5916	9	1	SDC1		SDC1	SDC1	2.3578	9	1
5_MACS_peak_21331_lociStitched	chr4	77117233	77137674	5	20042	79145.5079	10	1	SCARB2	FAM47E,NUP54	SCARB2	SCARB2	1.3356	10	1
3_MACS_peak_5052_lociStitched	chr11	65183646	65198367	3	14606	124003.8156	11	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	8.4704	11	1
3_MACS_peak_1594_lociStitched	chr1	154907538	154920952	3	13227	130162.749	12	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	PMVK	3.5477	12	1
7_MACS_peak_3029_lociStitched	chr10	5929972	5950170	7	19892	76869.5484	13	1	FBXO18,ANKRD16		FBXO18	FBXO18	1.4943	13	1
3_MACS_peak_2095_lociStitched	chr1	184707366	184724958	3	17082	102040.6368	14	1	EDEM3		EDEM3	EDEM3	1.5916	14	1
7_MACS_peak_27892_lociStitched	chr8	71501652	71521146	7	18848	62105.9346	15	1	TRAM1		TRAM1	TRAM1	1.495	15	1
3_MACS_peak_21260_lociStitched	chr4	71521962	71538325	3	15942	91339.9023	16	1	IGJ	ENAM,UTP3,RUFY3	IGJ	IGJ	4.3752	16	1
2_MACS_peak_7247_lociStitched	chr12	123370519	123387213	2	16645	69310.1492	17	1	VPS37B		VPS37B	VPS37B	2.4638	17	1
2_MACS_peak_6076_lociStitched	chr12	12866220	12880071	2	13804	91301.6367	18	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	6.1033	18	1
2_MACS_peak_21502_lociStitched	chr4	90214216	90229984	2	15707	73163.52	19	1	GPRIN3		GPRIN3	GPRIN3	1.1597	19	1
3_MACS_peak_10461_lociStitched	chr16	11820571	11837872	3	16915	50873.5905	20	1	TXNDC11		TXNDC11	TXNDC11	0.9181	20	1
1_MACS_peak_22322_lociStitched	chr5	1311090	1320329	1	9240	110744.1974	21	1	CLPTM1L	TERT	TERT	TERT	0.1256	21	1
3_MACS_peak_8940_lociStitched	chr14	94436435	94449465	3	12881	88699.119	22	1		C14orf48,OTUB2,C14orf86,ASB2	ASB2	C14orf48	2.1442	22	1
5_MACS_peak_22680_lociStitched	chr5	53813407	53830533	5	16100	55702.315	23	1	SNX18		SNX18	SNX18	1.5308	23	1
3_MACS_peak_15778_lociStitched	chr2	99092632	99107340	3	14482	71507.3544	24	1	INPP4A		INPP4A	INPP4A	1.1916	24	1
6_MACS_peak_6249_lociStitched	chr12	33044424	33060374	6	15867	42058.555	25	1	PKP2		PKP2	PKP2	0.5251	25	1
1_MACS_peak_18466_lociStitched	chr22	29186083	29199672	1	13590	67087.5341	26	1	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.2285	26	1
4_MACS_peak_20155_lociStitched	chr3	141117748	141132313	4	14466	52002.876	27	1	ZBTB38		RASA2	RASA2	NONE	27	1
4_MACS_peak_17810_lociStitched	chr20	61272982	61286537	4	13390	58641.641	28	1	SLCO4A1	LOC100127888	SLCO4A1	SLCO4A1	1.6123	28	1
5_MACS_peak_18350_lociStitched	chr22	23224603	23239958	5	14782	38567.1535	29	1	IGLL5		IGLL5	IGLL5	2.432	29	1
1_MACS_peak_22990_lociStitched	chr5	88175258	88187032	1	11775	71799.0294	30	1	MEF2C		MEF2C	MEF2C	0.5949	30	1
1_MACS_peak_1588_lociStitched	chr1	154755656	154766034	1	10379	76475.482	31	1	KCNN3		KCNN3	KCNN3	0.8779	31	1
3_MACS_peak_5064_lociStitched	chr11	65263537	65276364	3	12692	55453.6864	32	1	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	3.072	32	1
2_MACS_peak_438_lociStitched	chr1	27018587	27031488	2	12889	52936.6733	33	1	ARID1A		ARID1A	ARID1A	0.7757	33	1
4_MACS_peak_22525_lociStitched	chr5	32580167	32592245	4	11734	64044.8028	34	1	SUB1		SUB1	SUB1	2.408	34	1
3_MACS_peak_4102_lociStitched	chr10	111643537	111656790	3	13005	50379.9542	35	1	XPNPEP1		XPNPEP1	XPNPEP1	1.0882	35	1
